SOS_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOS43,0,0,0,0,3,6,7,6,0,21,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,4,0,0,4,0,0,0,8,0,0,0,0,0,8,0,3,0,24,26,45,122,47,5,283,6,26,24,118,105,137,85,20,6,521,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,6,3,0,0,44,0,25,16,126,51,68,38,14,0,328,0,0,0,9,14,12,6,5,3,55,0,0,0,0,0,0,0,0,0,0,0,3,12,30,29,94,98,47,3,323,0,3,3,4,10,8,5,0,0,30,7,13,40,73,33,26,15,7,0,218,0,0,0,8,0,0,0,0,0,17,0,0,0,19,0,0,0,0,0,24,0,7,12,61,40,8,5,0,0,133,0,0,0,3,8,0,3,0,0,20,0,4,13,39,45,34,37,13,7,199
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,7,6,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOS50,0,4,8,29,23,68,131,64,28,360,3,82,254,1088,271,331,288,132,62,2517,5,73,292,1481,758,831,781,298,194,4714,8,60,376,1468,77,47,16,4,0,2052,17,55,111,453,320,361,934,767,410,3437,174,1696,2729,9345,4919,4846,2683,869,191,27454,3,12,43,424,265,343,327,187,87,1702,41,402,279,1579,209,129,97,29,3,2759,0,31,107,211,245,127,43,13,0,775,67,1383,2759,7135,3220,1829,1037,240,36,17699,4,39,52,801,397,540,682,205,233,2960,0,6,20,52,44,41,26,15,0,204,24,336,674,2261,1858,2369,2025,1255,506,11302,34,425,890,2584,1262,1414,1192,418,124,8341,73,1042,2513,6285,4277,2681,1516,713,252,19354,23,237,426,1693,636,469,403,210,64,4160,25,65,57,1685,174,109,97,11,4,2217,47,417,727,2596,1265,617,293,52,10,6026,6,34,25,284,139,81,41,16,9,645,92,464,495,1622,558,508,409,153,44,4367
SOS51,0,0,0,0,0,15,3,14,4,34,0,3,8,48,5,17,12,0,0,102,0,5,6,99,42,28,20,12,4,213,0,8,11,73,6,0,0,0,0,101,0,10,11,81,72,57,191,145,47,618,55,337,523,2004,1070,1103,608,170,48,5912,0,0,0,5,6,10,10,7,3,42,4,24,13,86,10,7,6,0,3,154,4,23,22,48,49,19,15,0,0,172,27,286,374,1405,576,363,184,34,0,3257,0,0,7,53,37,22,28,12,25,188,0,0,0,12,4,11,4,0,0,37,0,33,41,203,154,268,239,160,53,1154,0,7,20,97,51,53,40,14,0,282,20,180,284,863,594,325,198,86,25,2572,0,23,18,105,31,11,11,0,0,205,8,3,5,289,4,6,0,0,0,317,10,109,75,461,260,133,34,0,3,1086,0,0,0,11,4,6,0,0,0,14,5,29,33,210,89,92,82,26,7,564
SOS52,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,3,5,0,0,11,0,0,0,0,0,0,5,0,0,4,0,0,0,8,0,0,0,0,0,3,0,0,0,8,17,14,39,17,4,98,4,14,51,201,150,196,124,18,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,12,3,38,25,159,57,47,19,6,0,355,0,0,0,7,0,5,4,0,0,17,0,0,0,0,0,3,0,0,0,4,0,0,0,22,19,39,41,23,4,150,0,0,0,5,3,5,4,0,0,13,0,17,24,78,46,34,18,11,4,222,0,0,0,7,0,0,5,0,0,13,0,0,0,49,0,0,0,0,0,49,0,6,0,47,25,9,3,0,0,94,0,0,0,0,0,0,0,0,0,0,0,5,5,21,9,18,21,0,4,69
SOS53,0,0,0,0,0,4,6,0,0,16,0,0,4,13,4,8,3,0,0,30,0,0,0,5,5,15,10,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,6,49,33,45,102,50,12,310,6,58,80,463,397,498,222,53,12,1780,0,0,0,0,0,0,0,3,0,8,0,4,0,9,0,5,0,0,0,22,0,0,5,8,19,10,7,0,0,51,3,36,28,162,81,71,20,9,0,406,0,0,0,18,15,6,22,11,0,69,0,0,0,0,0,0,0,0,0,3,0,7,14,86,97,166,110,46,3,536,0,0,3,33,29,36,19,8,0,121,3,40,74,222,235,140,75,29,9,834,0,0,0,11,3,3,0,5,0,25,0,0,0,61,0,8,0,0,0,69,5,10,11,83,65,27,13,0,0,221,0,0,0,3,0,0,0,0,0,7,4,20,16,71,43,59,55,17,4,276
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,0,7,10,42,19,22,12,3,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,21,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,15,3,0,0,4,0,0,0,0,0,7,0,0,5,7,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,5,0,0,21
SOS60,0,0,0,0,0,5,3,0,0,11,0,0,5,8,0,0,0,0,0,22,0,0,8,34,8,9,3,0,0,72,3,64,246,1515,4,9,4,0,0,1847,0,4,5,31,25,28,104,83,42,311,7,38,48,216,159,153,126,60,18,819,0,0,0,0,0,0,3,0,0,3,16,14,19,180,11,3,0,0,0,244,0,0,7,17,38,15,7,3,0,79,0,40,52,313,108,91,68,10,3,691,0,0,0,35,19,24,45,39,28,195,0,0,0,0,3,0,0,0,0,4,0,12,15,43,43,71,85,85,37,390,0,7,23,78,26,9,16,10,0,178,5,27,31,147,77,63,72,17,16,465,7,15,35,263,16,15,15,4,0,367,0,4,5,182,4,0,0,0,0,203,4,22,32,140,60,20,10,0,0,294,0,0,0,3,0,7,5,0,0,21,7,31,47,151,63,63,63,27,0,459
SOS61,0,0,0,0,0,4,3,7,0,16,0,0,0,0,3,4,6,7,0,19,4,10,28,54,17,0,5,0,0,117,4,47,158,679,13,10,0,0,0,914,0,0,5,25,19,39,170,171,59,482,3,33,44,223,192,224,179,97,18,1010,0,0,0,3,0,0,0,3,0,7,15,11,19,89,10,0,0,3,0,142,0,0,0,11,29,17,14,0,0,69,0,35,46,321,140,124,102,27,0,793,0,0,0,14,11,24,18,9,13,94,0,0,0,5,0,0,0,0,0,15,0,7,8,33,40,99,135,115,38,475,0,9,6,18,14,12,14,0,3,80,5,18,31,98,67,41,46,19,6,339,0,21,21,141,24,9,3,8,0,223,0,9,4,134,4,0,0,0,0,158,6,17,18,91,57,37,12,0,0,232,0,0,0,0,5,6,0,0,0,8,0,15,18,94,46,39,56,23,5,299
SOS62,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,38,0,0,0,3,5,11,29,24,7,80,0,0,7,28,30,52,54,16,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,5,0,0,16,0,6,0,29,11,8,7,11,0,78,0,0,0,0,6,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,21,28,10,4,71,0,4,7,0,3,6,4,0,0,25,0,8,4,17,15,13,8,3,0,68,0,0,5,6,0,0,0,0,0,13,0,0,0,16,0,0,0,0,0,19,0,4,0,10,6,5,3,0,0,27,0,0,0,0,0,0,3,0,0,6,0,6,4,18,10,12,26,4,0,70
SOS63,0,0,0,0,0,0,6,5,0,9,0,0,0,0,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,6,0,6,9,54,0,0,0,0,0,65,0,3,6,17,28,40,60,34,4,192,9,21,30,143,163,202,135,38,6,742,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,25,0,0,0,0,22,12,3,0,0,38,0,14,12,91,42,30,21,6,0,211,0,0,0,16,6,7,17,3,0,43,0,0,0,0,0,0,0,0,0,6,0,7,4,13,24,51,52,23,4,178,0,0,0,13,18,9,11,0,0,55,0,4,8,64,41,49,29,10,0,210,0,0,0,15,4,5,0,0,4,32,0,0,0,35,0,5,0,0,0,35,0,0,0,37,24,11,8,0,0,89,0,0,0,0,6,0,0,0,0,3,0,11,17,62,36,57,48,16,0,250
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,5,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,0,0,0,0,4,0,0,0,0,8,0,0,3,16,0,0,0,0,0,28,0,0,8,46,17,14,4,4,0,85,0,35,177,919,16,14,5,0,0,1171,0,3,0,37,5,14,26,21,5,109,7,41,62,346,208,204,112,32,6,1003,0,0,0,0,0,0,0,0,0,3,15,30,22,118,18,7,0,0,0,206,0,12,20,53,70,40,21,0,0,223,13,213,368,1328,509,324,207,58,14,3025,0,0,3,29,9,6,6,3,0,49,0,0,4,5,4,0,4,0,0,18,0,3,10,44,37,42,22,24,9,188,0,5,13,45,29,31,26,17,0,172,4,27,32,116,55,26,9,6,0,279,6,47,42,295,46,31,21,15,7,514,4,12,4,238,9,3,0,0,0,280,5,35,66,251,123,76,40,17,0,604,0,0,0,10,0,0,0,0,0,18,3,19,14,88,23,19,17,4,0,191
SOS71,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,4,0,0,0,13,0,0,0,4,0,6,0,0,0,8,0,9,22,141,5,3,0,0,0,180,0,0,0,11,3,5,9,5,3,32,7,50,48,203,84,106,42,13,4,553,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,28,0,0,6,19,19,12,3,0,0,61,6,35,31,266,102,72,39,0,5,552,0,0,0,11,0,0,0,0,0,17,0,0,0,8,0,0,7,0,0,15,0,0,0,12,9,10,6,7,0,55,0,0,0,4,3,0,0,0,0,13,0,9,17,42,21,23,9,4,0,119,0,4,4,55,5,0,4,0,0,72,0,0,0,44,3,3,0,0,0,52,0,0,7,42,20,11,0,0,0,85,0,0,0,0,0,0,0,0,0,4,15,53,24,128,43,44,10,3,0,313
SOS72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,6,0,0,4,0,0,5,0,4,0,41,28,30,20,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,5,5,4,0,0,0,17,0,4,3,35,12,10,0,0,0,72,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,7,0,0,0,16,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,0,3,9,12,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,10
SOS73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,0,0,3,9,5,12,4,0,26,0,8,12,58,63,63,24,9,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,3,17,8,9,0,0,49,0,7,11,36,37,29,22,6,0,150,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,6,4,0,27,0,0,0,0,0,3,0,0,0,5,0,0,5,9,9,3,4,0,0,43,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,9,0,10,6,35,22,24,11,5,0,109,0,0,0,0,0,0,0,0,0,0,0,5,4,14,0,7,15,0,4,47
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,8,0,0,0,12,9,12,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
SOS80,0,0,5,6,5,11,55,30,13,127,0,11,17,93,32,23,16,3,0,198,0,3,32,124,81,40,29,17,10,340,8,35,520,1974,37,29,16,3,0,2633,0,19,32,64,43,52,139,124,57,533,23,148,243,751,436,421,262,126,32,2441,0,0,6,72,36,56,61,17,6,249,12,135,125,787,105,42,22,0,0,1239,0,3,24,83,128,90,36,12,4,381,10,154,269,1439,499,389,230,66,13,3067,0,14,7,145,77,98,131,60,44,578,0,7,24,42,29,30,9,8,0,147,5,21,40,121,117,177,175,175,69,886,8,54,95,213,107,75,56,14,8,628,9,66,167,408,278,132,101,36,17,1215,5,78,123,688,266,260,170,72,29,1688,3,12,25,258,49,25,17,5,0,395,10,65,104,535,191,114,69,19,3,1112,3,11,6,44,33,19,19,6,0,130,56,199,243,613,258,162,161,71,4,1772
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,18,18,45,33,12,3,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,9,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10
