SOS_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOS10,11111,54027,225505,251831,205330,133188,27638,2290,132,911052,30867,48131,68031,51047,43253,42509,22964,4788,412,312007,11970,19268,29433,23399,20389,19275,6674,935,94,131433,947,3175,8265,6056,3896,2572,786,235,63,26001,54892,124604,331234,332341,272866,197532,58066,8247,705,1380487,2539,7124,13376,10374,9320,7592,1197,61,3,51578,7022,6399,5027,2361,2114,2929,1268,171,15,27299,9561,13520,18399,12732,11432,10523,2470,225,18,78882,64460,138127,349635,345071,284292,208052,60532,8478,721,1459370,94979,45817,61279,51177,55915,89780,161780,112929,39410,713067,7176,11079,27264,21920,16496,13958,11105,9472,6811,125281,166619,195022,438180,418163,356701,311794,233418,130878,46944,2297716,5143,47777,186622,163007,146930,85348,13931,690,36,649487,37943,54292,91978,107996,92540,72915,23587,2785,173,484214,14366,19675,36178,28172,19850,17566,5392,603,58,141852,855,2389,5899,4015,2741,1881,608,207,72,18662,58300,124134,320679,303188,262055,177709,43521,4284,340,1294204,1447,4027,8208,6637,5646,3587,350,21,7,29932,6897,5596,6512,5631,4510,4021,877,56,12,34103,8342,9625,14723,12264,10156,7605,1224,78,21,64041
SOS11,7591,18998,54447,53375,51621,40097,8504,791,64,235486,12296,8602,12860,10649,10989,14021,8795,1776,149,80129,1485,1238,2711,2443,2604,3313,1283,189,33,15295,513,820,1716,1241,1063,885,320,143,56,6759,21879,29663,71740,67707,66275,58316,18901,2901,306,337677,1337,1957,2820,2123,2166,1981,290,9,3,12679,1879,964,921,566,647,874,416,39,13,6326,3214,2921,3743,2693,2816,2852,709,48,15,19012,25092,32581,75484,70397,69088,61166,19606,2948,320,356683,17775,6336,10434,10565,14089,29152,69506,49219,16082,223150,2958,3060,6453,5738,5609,5334,5250,4242,2403,41044,45826,41981,92366,86705,88784,95651,94358,56413,18800,620876,3373,12979,33023,31913,36905,25201,3942,201,9,147551,16675,13064,28814,31457,29230,28999,9407,976,52,158675,1998,1954,6583,3849,3059,3698,1200,139,18,22499,504,631,1272,918,797,694,270,146,50,5280,22554,28621,69691,68140,69991,58586,14822,1463,121,334002,712,1003,1397,1163,1243,893,94,5,5,6519,1935,1067,1475,1313,1216,1374,290,26,10,8701,2651,2069,2873,2479,2461,2269,381,35,13,15219
SOS12,704,1531,3980,4684,5271,4456,982,111,10,21727,1047,686,940,933,1296,1717,1012,188,16,7838,162,121,202,246,324,481,172,26,0,1734,61,72,132,143,142,141,56,18,5,768,1974,2410,5247,6013,7026,6788,2232,343,29,32064,97,156,206,150,220,265,34,6,0,1135,115,70,67,55,58,130,57,3,0,563,221,232,271,200,277,396,96,7,0,1696,2191,2640,5521,6215,7304,7184,2323,350,29,33757,1764,446,729,823,1391,3594,7959,4551,1100,22353,318,248,585,575,689,780,774,485,178,4632,4275,3333,6832,7612,9386,11562,11057,5379,1306,60750,285,898,2101,2680,3644,2572,440,36,4,12659,1447,989,2269,2903,3176,3351,1023,118,9,15288,203,167,484,362,342,446,136,13,0,2156,49,49,115,85,101,75,34,8,9,514,1981,2106,4971,6027,7250,6447,1633,172,19,30608,56,75,116,89,106,120,7,0,0,574,152,49,94,113,110,154,25,0,0,693,204,122,212,200,213,271,33,0,0,1264
SOS13,3977,6946,14733,18964,24977,22199,7999,1664,176,101640,4307,2335,3020,3230,4922,7180,4964,1450,215,31614,729,653,886,1000,1448,1698,792,169,35,7411,322,288,505,570,653,636,291,223,49,3545,9329,10216,19144,23766,31999,31720,14053,3509,473,144209,254,409,614,533,676,735,124,4,0,3347,470,186,206,166,197,387,162,14,0,1797,724,592,818,701,877,1126,285,23,0,5144,10057,10814,19964,24462,32875,32850,14335,3528,475,149358,7685,2069,3474,3539,5132,11967,23930,13191,3034,74021,1438,1177,2204,2595,3272,3918,3260,1756,494,20124,19179,14066,25644,30595,41279,48733,41527,18477,4005,243500,1410,3863,7765,10547,16479,11948,3179,567,40,55781,5823,3705,7461,11065,13186,13523,5206,910,106,60981,937,718,1901,1467,1449,1755,599,114,13,8951,285,206,400,403,510,435,250,153,29,2670,8450,8498,17524,23479,31621,27648,9232,1744,185,128384,172,222,302,245,360,326,28,0,0,1658,572,220,307,325,348,428,81,7,0,2299,745,445,611,572,708,756,108,7,0,3957
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,23,70,243,184,129,102,17,4,0,762,22,48,133,69,54,61,26,0,0,410,10,10,51,33,34,14,6,0,0,152,4,11,23,14,7,10,6,5,0,66,57,128,435,295,228,187,52,6,0,1388,13,36,75,70,57,33,6,0,0,285,9,15,25,13,17,23,3,0,0,106,24,49,97,83,79,56,12,0,0,392,78,181,530,377,303,237,61,4,0,1775,83,92,218,241,274,401,459,127,13,1917,90,136,412,483,435,312,131,39,8,2040,253,411,1164,1108,1010,949,648,166,19,5734,9,48,170,97,85,52,9,0,0,470,48,50,160,75,75,78,24,0,0,506,6,21,43,23,19,22,3,0,0,136,0,0,6,9,6,0,0,0,0,20,66,122,369,195,189,156,34,0,0,1128,9,16,28,37,24,12,0,0,0,135,19,19,28,24,14,19,4,0,0,124,27,37,57,62,40,30,6,0,0,252
SOS20,9870,55140,237389,248952,200681,129970,26243,2025,111,910378,34625,53480,66881,44211,36987,37232,22155,4546,333,300451,4916,6539,9886,7729,6651,7167,2989,517,65,46461,815,2853,7565,5284,3355,2125,704,228,66,22992,50221,118009,321722,306172,247668,176488,52091,7321,581,1280281,1933,6457,11942,8742,7987,5991,923,51,10,44035,10198,6754,4577,2199,1913,2591,1057,136,16,29446,12130,13215,16521,10940,9900,8586,1986,188,29,73488,62352,131226,338236,317112,257571,185074,54074,7510,609,1353763,73851,31645,36494,30714,35750,61660,129665,95589,35624,530992,5485,8957,23156,17427,13424,10442,8462,6980,4168,98495,141691,171827,397885,365252,306744,257175,192208,110073,40398,1983259,2975,38816,173527,140378,128237,72984,10921,500,21,568353,45548,66376,101804,116067,99201,75260,23350,2403,110,530115,6661,8966,22217,16241,8481,8461,2912,367,40,74342,746,2250,5096,3473,2519,1599,537,199,81,16501,55929,116399,302639,276163,238433,158306,37718,3460,257,1189306,1139,3729,7820,5598,4722,2937,286,17,3,26241,10315,6338,6549,6035,4799,3726,780,64,8,38610,11454,10059,14368,11628,9525,6660,1057,81,13,64850
SOS21,4065,12287,38316,37803,35595,26751,5515,460,39,160837,7641,5322,7537,6749,6490,8322,5510,1047,77,48694,1033,768,1561,1531,1586,2221,908,140,27,9770,316,502,1221,986,795,587,247,88,25,4774,13055,18891,48636,47067,44468,37882,12183,1741,163,224078,637,1157,1742,1266,1299,1126,184,9,0,7409,1362,568,575,394,344,522,214,24,9,4006,2001,1720,2310,1662,1647,1648,396,34,9,11424,15052,20606,50949,48735,46114,39524,12574,1769,170,235495,11784,3672,5695,5738,7777,16119,40969,28001,9147,128886,1585,1652,3769,3562,3389,3187,3325,2588,1408,24466,28423,25924,60410,58034,57277,58832,56871,32359,10722,388853,1375,7380,21435,19624,22268,14626,2198,105,13,89021,10204,8631,19093,22711,20939,19522,5904,506,27,107535,1398,1237,4474,2754,1951,2657,828,88,12,15397,322,440,836,639,632,443,193,89,32,3627,13304,17685,45837,45731,45786,37245,9118,794,84,215583,310,562,919,746,739,556,52,0,6,3889,1398,618,976,904,775,795,148,21,3,5635,1710,1178,1899,1644,1514,1353,203,24,8,9529
SOS22,395,977,2756,3127,3515,3009,715,87,4,14589,549,386,621,614,761,1217,757,112,8,5014,104,63,142,169,184,305,133,23,0,1125,39,42,122,96,94,79,39,14,0,525,1090,1466,3637,4012,4552,4616,1644,228,22,21257,34,67,117,92,129,157,30,0,0,620,63,36,43,21,45,73,25,0,0,308,97,103,156,109,173,232,52,0,0,933,1183,1572,3794,4120,4728,4851,1696,233,17,22183,1069,249,376,508,810,2215,5107,2899,792,14017,168,167,332,362,460,532,548,306,146,3014,2422,1990,4494,4987,5995,7590,7353,3432,950,39223,133,510,1434,1480,2121,1571,250,13,0,7519,839,626,1496,2059,2198,2364,686,70,0,10347,143,104,388,268,225,323,111,6,0,1569,52,41,69,71,80,68,30,12,4,423,1163,1287,3391,3885,4627,4323,1078,108,5,19858,32,37,58,44,88,75,10,0,0,341,68,28,57,66,70,82,16,7,0,394,106,65,115,115,157,158,28,7,0,737
SOS23,2559,5451,11744,15194,19724,17973,6168,1326,134,80282,3358,1794,1934,2234,3433,5404,4218,1153,174,23698,484,307,488,597,914,1382,612,123,27,4933,249,250,445,428,594,534,338,189,41,3061,6651,7807,14609,18457,24663,25293,11331,2791,370,111976,165,279,386,302,460,516,78,0,4,2183,410,159,126,71,138,261,110,17,0,1296,577,435,505,377,595,772,191,16,4,3471,7224,8233,15113,18837,25263,26065,11523,2807,374,115450,5558,1416,2639,2739,3726,8194,18179,9840,2168,54461,967,791,1511,1843,2415,2722,2503,1318,381,14446,13752,10442,19262,23421,31393,36977,32210,13965,2926,184354,793,2720,5977,7216,11373,8641,2258,372,26,39377,4493,3192,5930,9145,11082,11393,4222,708,59,50233,737,430,1413,981,1157,1486,529,86,18,6831,245,179,321,326,443,376,254,128,29,2310,6268,6521,13645,17665,24058,21902,7263,1295,127,98750,87,151,207,165,242,222,13,3,0,1090,459,143,172,193,273,354,60,8,0,1667,545,295,379,356,511,578,79,11,0,2757
