SA1_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
12702151807,0,0,0,0,0,0,12,7,3,17,0,0,0,0,0,7,0,0,0,17,0,5,6,0,0,4,3,3,0,15,15,22,31,24,34,32,32,12,3,207
12702151808,0,0,0,0,0,3,7,6,6,24,0,0,0,0,0,0,4,0,0,10,0,0,3,3,0,3,8,5,3,20,9,13,15,15,24,27,41,35,49,225
12702151809,0,0,0,0,0,0,6,9,10,22,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,8,0,8,10,15,21,13,13,14,7,97
12702151810,0,0,0,0,4,3,8,11,0,26,0,0,0,0,0,3,0,0,4,4,0,0,0,7,0,6,3,3,0,19,16,27,40,29,45,44,42,20,5,268
12702151811,0,0,0,0,0,0,16,10,5,29,0,0,0,0,0,0,0,0,3,11,3,5,3,0,9,3,0,4,3,38,19,28,48,51,71,58,65,27,14,394
12702151812,0,0,0,0,0,0,9,11,3,25,0,0,0,0,0,0,4,0,0,6,0,0,4,0,0,0,0,3,0,15,8,22,39,30,40,46,33,33,10,250
12702151901,0,0,0,0,8,0,11,12,0,42,0,0,0,0,3,0,3,7,6,27,0,0,0,0,0,0,7,0,0,15,12,17,46,53,51,68,62,41,14,369
12702151902,0,0,0,0,0,3,12,22,4,48,0,0,0,0,3,0,6,10,0,22,0,0,0,0,0,3,6,0,0,7,11,27,37,44,50,54,70,45,11,336
12702151903,0,0,0,5,3,0,15,5,9,36,0,0,0,3,0,5,3,3,3,11,0,0,3,4,3,4,3,0,0,16,14,28,52,44,52,40,58,25,8,324
12702151904,0,0,4,0,5,10,7,7,4,34,0,0,0,0,5,0,8,0,0,18,0,0,0,0,3,0,4,9,0,19,10,28,74,73,63,66,67,25,6,417
12702151905,0,0,4,3,6,14,16,10,3,51,0,0,0,0,5,3,3,0,8,19,0,0,0,0,0,0,0,0,0,6,17,41,86,63,79,79,77,36,16,480
12702151906,0,4,0,0,8,4,12,20,0,58,0,0,0,4,6,7,3,5,6,28,0,0,0,0,4,6,8,0,0,21,11,33,52,57,56,61,56,30,8,373
12702151907,0,0,5,0,7,3,9,3,0,27,0,0,0,0,0,0,5,0,6,7,0,3,0,0,6,0,0,0,0,11,9,29,61,39,55,44,47,8,4,296
12702151908,0,0,5,0,3,3,7,6,4,29,0,0,0,0,0,0,6,4,5,9,0,0,0,0,0,0,0,0,0,5,3,15,30,36,30,19,29,15,5,181
12702151909,0,3,3,4,0,5,4,7,4,38,0,0,3,5,0,3,4,6,0,27,0,0,0,0,0,0,3,0,0,15,10,25,67,53,49,67,76,28,7,394
12702151910,0,0,4,0,3,5,5,7,0,23,0,0,0,6,0,4,6,3,4,18,0,0,3,0,0,0,7,0,0,13,9,11,56,35,32,47,42,20,5,256
12702151911,0,0,4,0,3,7,6,5,0,29,0,0,3,0,3,3,3,3,0,23,0,0,3,5,0,0,3,0,0,12,3,18,55,48,37,61,43,10,4,276
12702151912,0,0,3,17,3,9,15,10,3,61,0,0,10,4,12,11,11,5,4,60,3,8,10,8,9,3,6,0,6,57,27,64,106,102,108,77,61,31,14,589
12702151913,0,0,9,0,7,5,8,5,3,35,0,6,0,0,3,8,8,0,4,25,5,0,4,4,0,5,7,0,7,26,13,26,70,31,68,52,43,20,9,335
12702151914,0,3,4,4,10,7,13,5,0,46,0,5,4,3,10,11,7,3,0,44,0,0,3,3,0,5,6,0,0,24,15,46,92,51,86,79,49,21,8,446
12702151915,0,0,8,5,13,8,17,8,7,74,0,0,5,4,6,12,16,28,13,90,4,0,3,3,6,6,20,26,41,122,19,34,57,59,73,82,105,82,74,580
12702151916,0,0,4,0,0,10,10,7,4,33,0,0,0,0,0,10,3,3,0,21,0,0,4,4,3,7,6,8,0,32,6,13,45,41,37,54,38,31,8,268
12702151917,0,0,6,9,6,4,7,10,3,44,0,4,8,0,6,8,9,11,3,46,0,4,4,4,0,4,5,0,0,26,18,36,71,73,64,67,48,32,12,419
12702151918,0,3,3,8,3,10,11,9,0,50,0,0,6,3,7,5,14,3,0,44,0,0,8,9,0,6,0,0,0,24,22,46,90,82,79,74,42,16,7,464
12702151919,0,5,12,11,15,12,16,12,7,88,0,0,14,10,7,14,15,5,10,85,0,5,8,3,8,8,14,15,6,64,27,64,116,114,105,117,95,59,34,718
12702151920,0,0,10,3,4,6,11,10,8,50,0,0,8,3,8,8,4,9,4,41,0,0,3,15,3,4,3,5,4,37,22,33,110,100,81,81,60,41,17,551
12702151921,0,0,6,3,3,5,13,8,0,31,0,0,0,0,0,0,3,0,3,7,0,5,0,0,3,4,0,0,0,21,5,28,49,56,62,59,43,22,3,328
12702151922,0,0,0,0,0,3,0,4,0,19,0,0,0,0,0,6,3,0,0,12,0,0,0,0,0,4,4,3,0,9,6,9,25,18,24,32,28,7,4,151
