SA1_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
50201102738,11,4,6,5,8,7,0,33,4,6,0,0,0,0,0,19,13,0,0,0,0,0,0,12,21,23,10,4,0,0,0,58,0,0,0,0,0,0,0,0,43,42,18,15,8,7,0,128,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,7,3,6,0,5,0,0,0,18,0,0,0,0,0,0,0,0,4,16,5,4,0,0,0,34,45,54,22,18,8,7,0,159
50201102739,3,5,4,3,7,0,0,25,0,3,3,0,0,0,0,13,5,4,4,4,0,0,0,16,9,12,7,4,7,0,0,36,4,0,0,0,0,0,0,3,17,27,19,14,12,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,15,22,26,25,16,12,4,5,103
50201102740,17,13,15,3,10,0,0,63,3,0,0,0,0,0,0,5,0,8,3,0,0,0,0,17,20,15,12,4,3,4,3,58,0,0,0,0,0,0,0,0,47,38,29,10,20,3,3,147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,8,3,5,4,0,0,23,0,0,0,0,0,0,0,0,7,12,10,3,6,0,0,37,51,46,36,15,23,3,3,179
50201102741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50201102743,0,4,3,0,6,0,0,10,5,6,0,3,4,0,0,22,0,8,0,0,0,0,0,11,14,9,11,7,8,0,0,52,0,0,0,0,0,0,0,0,14,36,16,13,15,5,0,97,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,6,4,0,0,0,11,19,39,19,13,16,5,0,112
50201102744,10,17,3,3,6,5,0,44,10,10,0,0,0,0,0,18,5,0,5,0,0,0,0,10,21,7,9,4,6,4,0,43,0,0,0,0,0,0,0,0,37,33,11,4,12,3,0,108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,8,5,0,0,19,0,0,0,0,0,0,0,0,8,4,5,8,7,0,0,29,47,37,14,8,20,4,0,136
50201102746,16,26,9,5,24,5,5,87,11,13,4,0,0,0,0,23,7,3,4,5,0,4,0,27,40,17,13,7,3,0,0,85,0,0,0,0,0,0,0,0,73,55,32,27,33,9,5,231,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,3,0,0,0,0,0,0,12,17,17,11,13,11,0,0,62,0,0,0,0,0,0,0,0,19,19,16,14,11,0,0,81,95,77,47,34,40,9,3,307
50201102747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50201102748,4,7,8,3,4,0,0,21,3,3,0,0,0,0,0,12,0,4,0,0,0,0,0,6,17,13,9,6,4,0,0,45,0,0,0,0,0,0,0,0,30,22,11,8,8,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,6,3,5,4,0,0,0,19,34,33,20,9,6,0,0,96
50201102749,10,11,9,6,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,9,10,5,3,0,0,0,30,0,0,0,0,0,0,0,0,19,21,9,10,5,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,19,23,9,8,5,0,0,72
50201102750,13,14,3,3,4,3,0,34,0,3,0,0,0,0,0,12,3,4,0,7,0,0,0,21,18,18,9,5,3,0,0,52,0,0,0,0,0,0,0,0,32,30,15,18,15,3,5,118,0,4,0,0,0,0,0,10,0,3,6,0,0,0,0,14,0,0,0,0,0,0,0,3,7,16,7,7,7,0,0,45,0,0,0,0,0,0,0,0,19,24,7,13,10,4,0,69,53,57,23,29,18,3,5,184
50201102751,19,15,4,0,5,4,0,53,4,4,6,0,3,0,0,16,4,9,0,0,4,0,0,9,17,24,14,5,4,0,0,63,0,0,0,0,0,0,0,0,49,48,23,5,15,6,0,140,0,4,0,3,0,0,0,8,0,0,0,3,0,0,0,7,0,7,0,0,3,0,0,11,12,15,6,8,5,0,0,47,0,0,0,0,0,0,0,0,15,19,10,7,11,0,0,71,64,72,37,13,29,9,0,216
50201102752,18,23,10,9,9,3,0,72,9,4,0,0,0,3,0,20,8,0,4,0,0,0,0,10,22,23,8,4,9,4,0,64,0,0,0,0,0,0,0,4,55,42,27,17,19,4,5,171,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,22,0,0,0,0,0,0,0,0,3,11,0,0,10,0,0,25,59,60,32,17,24,4,3,194
50201102753,10,15,16,3,6,5,0,55,10,11,0,0,0,0,0,23,4,3,0,0,0,0,0,14,23,10,7,6,4,0,0,45,0,0,0,0,0,0,0,0,49,39,25,10,10,5,0,133,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,10,7,0,0,0,0,18,52,43,25,10,15,3,0,149
50201102754,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,7,0,9,0,3,0,0,23,0,0,0,0,0,0,0,0,7,5,4,0,10,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,3,5,0,0,13,15,13,7,7,16,0,0,55
50201102755,0,8,5,0,6,0,0,24,0,5,0,0,0,0,0,5,0,3,4,0,0,0,0,9,23,12,11,5,6,3,0,56,0,0,0,0,0,0,0,0,24,24,12,3,9,5,0,92,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,9,27,23,17,11,17,5,0,103
50201102756,14,21,14,4,3,0,0,56,4,0,0,0,7,0,0,10,0,0,5,0,0,0,0,5,14,7,7,0,3,0,0,36,0,0,0,0,0,0,0,0,44,33,19,10,11,0,0,113,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,8,3,5,5,0,0,27,0,0,0,0,0,0,0,0,15,15,8,4,7,0,0,42,56,41,26,8,18,4,0,159
50201102801,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,13,9,5,3,0,0,35,0,0,0,0,0,0,0,0,15,14,9,5,3,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,13,7,7,3,0,0,37,0,0,0,0,0,0,0,0,5,19,5,9,3,0,0,45,23,34,13,13,8,0,0,92
50201102802,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,0,0,0,9,0,3,0,0,0,0,0,3,5,10,3,5,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,9,0,0,0,25,0,0,0,0,0,0,0,3,9,10,3,6,0,0,0,34,14,17,11,12,3,4,0,66
50201102804,6,4,0,4,4,0,0,18,0,0,3,3,0,0,0,10,4,0,0,0,0,0,0,6,12,3,13,8,8,0,0,41,0,0,0,0,0,0,0,0,21,11,15,17,9,0,0,72,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,10,3,13,11,6,4,0,0,43,0,0,0,0,0,0,0,0,6,19,16,9,9,0,0,61,26,30,29,24,19,8,0,132
50201102805,9,3,3,0,8,0,0,20,3,0,0,0,0,0,0,3,6,3,7,0,4,0,0,14,0,7,7,5,3,0,0,31,0,0,0,0,0,0,0,0,17,18,12,4,12,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,11,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,15,4,5,4,0,0,27,22,34,19,10,19,0,3,99
50201102807,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,10,0,0,4,4,4,0,0,15,0,0,0,0,0,0,0,0,9,11,4,5,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,8,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,20,15,13,9,7,7,0,0,54
