SA1_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
10102100801,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,0,0,3,0,4,7,0,0,0,9,0,0,0,0,4,0,5,0,0,3,10,8,3,0,19,5,7,0,0,13,3,5,0,0,12,0,6,0,0,8,9,11,0,0,13,0,4,3,0,11,0,0,0,0,0,38,50,16,0,105
10102100802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,4,0,0,0,10,11,4,3,0,15,3,4,0,0,11,6,3,0,0,10,8,12,0,0,17,3,10,3,0,18,7,10,0,0,19,3,8,0,0,12,8,26,0,0,35,5,3,4,0,16,0,0,0,0,0,70,86,25,0,171
10102100803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,4,0,4,4,0,0,0,6,0,0,3,0,8,0,0,5,0,9,3,5,0,0,9,0,4,6,0,7,0,0,0,0,3,4,3,0,0,11,0,4,0,5,7,7,0,0,0,8,0,3,0,0,3,0,4,0,0,3,0,5,4,0,14,0,0,0,0,0,23,29,34,4,88
10102100804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,6,8,0,7,0,6,3,0,7,0,13,0,0,0,0,6,4,4,5,0,14,0,0,0,0,0,0,0,3,0,8,8,7,0,0,15,4,0,0,0,4,3,4,0,0,8,0,4,0,0,3,0,5,0,0,4,0,0,3,0,0,0,0,0,0,0,35,40,34,0,105
10102100805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,6,0,7,3,5,0,0,3,0,0,6,0,6,0,0,5,0,5,5,0,0,0,5,0,3,0,0,4,0,0,4,0,4,0,3,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,9,15,32,0,65
10102100806,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,7,0,3,0,8,9,0,0,0,8,3,0,0,0,3,3,5,5,0,9,0,6,0,0,3,6,5,4,0,14,8,3,3,0,17,3,8,0,0,15,0,10,0,0,13,3,4,5,0,11,0,4,0,0,11,0,4,0,0,4,0,0,0,0,0,48,47,27,0,123
10102100807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,10,0,3,0,0,5,3,0,0,0,10,5,4,0,0,14,4,3,3,0,7,10,3,0,0,11,8,9,0,0,18,3,7,3,0,20,3,7,0,0,7,5,3,0,0,4,6,0,0,0,11,4,0,4,0,4,0,3,0,0,0,52,58,22,5,134
10102100808,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,9,0,4,0,14,0,0,7,0,3,0,0,0,0,7,6,8,0,0,13,3,4,3,0,7,5,8,0,0,8,8,6,8,0,21,3,8,0,0,12,4,9,0,0,11,3,8,0,0,11,0,7,0,0,8,0,0,0,0,5,3,0,3,0,3,45,60,37,0,147
10102100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102100810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,3,6,0,14,0,5,0,0,7,4,4,0,0,5,0,0,0,0,5,4,12,0,0,20,0,4,0,0,3,0,0,0,0,0,25,36,12,0,80
