SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
4008,1778,555,24,12,11,2381,1980,752,25,5,4,2771,615,567,129,0,0,1311,164,1157,176,0,0,1495,10,32,0,0,0,41,226,261,9,3,5,501,99,41,23,0,5,172,7,21,0,0,0,27,1123,2074,336,4,13,3548,53,20,3,5,0,79,66,99,11,0,3,180,4998,3497,408,28,28,8952
5000,31883,498,65,1065,269,33782,26099,307,51,178,112,26746,4799,600,207,36,23,5669,3666,856,134,9,33,4690,1593,327,133,34,19,2095,6193,321,56,105,69,6743,4312,380,62,278,117,5153,164,33,7,0,0,208,20725,2522,597,456,254,24559,4061,269,40,172,156,4697,1716,155,49,203,112,2227,84481,3742,809,2075,905,92016
5001,4657,168,12,128,5,4965,4280,72,3,5,8,4372,1290,234,11,0,0,1533,423,168,7,0,3,596,94,155,10,0,0,263,878,84,9,7,0,973,120,36,6,43,4,211,12,16,0,0,0,31,2817,690,45,48,7,3604,191,93,4,5,0,297,163,43,0,8,0,211,12112,1061,64,191,28,13451
5002,526,42,8,92,9,676,1199,70,14,13,0,1296,513,207,58,10,5,801,481,214,6,3,3,708,40,30,0,0,0,79,259,43,20,9,9,347,257,47,4,28,13,352,12,3,0,0,0,23,1564,546,98,56,39,2299,73,15,0,12,4,107,104,28,3,12,3,152,3469,695,124,182,63,4532
5003,7375,645,87,151,9,8267,11090,399,54,12,17,11571,3055,791,257,11,5,4116,371,494,39,0,0,907,54,165,75,0,0,298,1653,300,57,3,0,2011,137,56,9,38,0,244,29,15,3,0,0,50,5303,1817,438,52,14,7622,270,238,22,5,8,546,249,106,14,20,8,401,24294,3206,610,241,50,28400
5004,4892,338,29,142,7,5408,5109,222,11,16,4,5355,1459,237,3,6,6,1707,261,212,0,0,0,477,21,60,0,0,0,92,912,81,11,7,4,1015,126,19,4,67,5,217,13,3,0,0,0,15,2791,615,20,82,14,3517,233,155,17,22,0,431,183,46,0,9,7,242,13208,1366,74,268,36,14957
5005,1333,89,19,40,13,1492,1365,32,0,3,9,1399,333,111,22,0,0,466,118,68,5,0,0,190,7,13,26,0,0,49,416,58,11,6,7,499,73,12,0,10,4,95,10,7,3,0,0,18,957,265,63,17,9,1314,71,10,3,0,13,96,56,15,8,0,4,77,3778,413,95,60,40,4379
5006,3934,302,21,107,23,4384,4746,186,20,10,9,4972,1477,452,103,4,9,2044,297,184,41,0,0,524,60,44,0,0,0,107,1040,159,21,5,0,1230,163,48,0,28,7,242,17,7,0,0,0,25,3059,898,169,34,16,4170,157,85,5,3,3,260,168,46,14,3,5,237,12062,1516,227,159,55,14020
5007,1657,110,10,45,3,1822,3869,236,10,5,0,4117,1213,635,72,5,0,1922,282,237,11,0,5,525,9,59,0,0,0,66,570,105,7,7,3,692,233,101,11,82,7,424,8,16,0,3,0,27,2314,1144,104,88,11,3668,100,23,0,10,0,140,170,50,5,6,0,234,8106,1569,125,148,18,9975
5008,264,32,0,16,0,315,1154,119,5,4,0,1285,719,221,151,0,0,1094,312,77,37,0,0,422,16,5,0,0,0,18,116,46,8,0,0,177,1106,119,56,27,3,1314,4,4,0,0,0,5,2274,467,257,29,9,3035,261,31,26,8,5,324,62,26,3,4,8,99,4015,676,298,60,13,5062
