SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1010,37124,5025,2517,340,48,45060,40017,2466,1682,64,32,44262,16003,3790,4629,312,89,24827,1236,1307,781,5,14,3330,361,373,368,5,3,1107,4231,645,654,56,32,5616,654,137,61,122,11,982,118,41,40,9,0,206,22602,6291,6534,513,144,36071,1214,1499,530,25,12,3279,1250,454,229,40,34,2000,102204,15739,11484,980,279,130681
1011,8649,883,615,286,45,10486,7270,565,323,19,12,8187,2639,1111,1358,12,20,5143,366,217,196,3,0,779,201,133,126,0,0,460,1134,273,270,21,14,1708,171,43,25,89,15,342,37,17,14,0,3,66,4545,1786,1986,130,53,8497,273,177,69,9,5,539,278,82,79,30,12,483,21024,3499,3074,477,129,28198
1012,3598,250,71,17,6,3943,4755,107,29,0,4,4896,2151,584,609,21,10,3381,331,90,151,0,0,571,89,45,44,3,0,184,715,60,55,7,3,842,71,22,45,5,4,153,15,12,14,0,0,46,3383,809,920,35,14,5165,93,172,56,5,4,322,163,44,36,0,9,251,11998,1385,1106,54,41,14582
1013,3214,857,489,122,7,4680,1447,168,146,4,0,1772,665,286,598,29,8,1589,28,82,72,0,0,179,43,65,69,0,0,177,248,93,99,7,6,453,23,13,19,17,0,73,7,5,7,0,0,22,1013,545,867,51,13,2493,91,39,172,4,8,314,112,37,55,4,4,205,5870,1648,1728,184,39,9463
1014,2881,203,24,15,0,3130,2752,111,16,6,3,2886,1341,409,203,20,5,1977,391,83,36,0,0,508,35,61,18,0,0,117,377,57,36,6,0,481,37,14,7,14,0,71,13,4,4,0,0,18,2194,626,301,41,8,3176,67,73,5,0,0,141,108,21,8,4,10,142,8002,1027,359,71,23,9486
1015,2524,92,110,53,0,2788,1987,45,24,25,0,2080,861,202,310,10,5,1381,177,44,33,0,0,256,38,71,22,0,0,137,453,61,73,7,6,602,45,19,21,25,0,106,16,12,4,0,0,32,1587,398,464,44,8,2508,67,7,21,5,0,104,93,21,17,6,8,136,6265,568,630,136,27,7616
1016,2081,64,76,17,3,2246,1921,41,40,0,4,2004,827,178,544,24,0,1573,215,22,42,0,0,285,33,20,29,0,0,82,351,35,82,7,4,481,86,12,35,17,0,159,14,3,9,0,0,28,1526,274,740,52,13,2606,121,17,18,0,0,158,117,11,20,7,4,165,5771,408,894,82,29,7182
1017,1920,5,41,14,0,1983,1548,12,5,3,3,1566,593,65,145,6,0,807,133,8,30,0,0,164,124,12,49,0,3,193,283,7,23,0,0,320,46,0,9,27,0,80,10,0,0,0,0,10,1189,85,261,37,6,1577,77,0,4,0,0,79,110,0,7,15,10,144,4842,106,314,66,16,5347
1018,3380,308,91,77,3,3866,3244,189,62,0,0,3504,1088,587,373,3,10,2065,233,146,53,0,0,426,52,136,37,0,0,231,681,141,84,11,3,917,50,14,16,94,0,176,8,18,4,3,0,36,2115,1043,565,112,15,3855,88,86,7,4,0,186,117,33,13,3,3,166,8939,1668,737,207,28,11573
1019,1869,120,6,16,3,2009,1294,37,6,3,4,1340,655,195,63,7,0,917,227,81,18,0,0,325,8,16,11,0,0,38,177,22,11,3,0,215,19,3,5,3,5,28,5,3,0,0,0,9,1095,321,101,11,10,1534,41,87,6,0,0,135,102,27,8,0,0,135,4399,595,121,23,10,5149
1020,1771,26,0,37,4,1833,2125,15,3,0,0,2139,564,46,3,0,0,613,15,0,0,0,0,16,15,0,3,0,0,13,175,10,0,10,0,200,167,0,0,29,0,200,6,0,0,0,0,6,946,57,9,40,0,1061,49,0,3,0,0,55,54,0,0,4,0,60,4949,103,24,83,3,5155
1021,3565,201,39,93,0,3908,3306,67,14,5,4,3395,1363,168,101,0,9,1640,32,26,3,0,0,57,16,22,10,0,0,53,447,17,20,5,4,498,74,21,5,9,19,123,11,0,0,0,0,18,1948,244,144,15,24,2378,186,298,7,6,4,500,136,35,0,12,3,179,9134,842,210,136,36,10362
1022,1341,109,0,11,6,1470,1484,43,0,4,0,1527,773,294,20,7,4,1092,127,31,17,0,0,170,27,19,3,0,0,53,184,33,0,0,0,217,26,10,0,13,7,43,8,3,0,0,0,9,1142,386,40,16,10,1587,30,6,0,0,5,43,51,15,0,44,0,105,4047,556,49,73,12,4727
1023,1130,44,7,15,10,1197,1456,32,3,0,0,1492,829,289,18,0,0,1139,155,72,0,0,0,227,43,32,0,0,0,75,209,17,0,0,0,227,27,9,0,6,9,48,4,0,0,0,0,7,1271,422,20,3,7,1728,49,17,0,5,5,70,49,14,0,0,0,61,3958,518,27,17,15,4545
1024,4099,1035,312,108,43,5593,2300,432,88,6,9,2837,816,642,357,3,0,1817,13,45,37,0,0,92,18,80,25,0,0,119,298,130,61,3,5,497,107,48,10,10,9,184,4,9,3,0,0,23,1252,948,496,19,17,2732,111,224,24,4,5,374,87,53,19,0,4,162,7857,2692,936,141,78,11695
1025,53749,5507,2152,403,63,61882,61723,3631,1700,54,41,67147,22793,7907,5847,233,72,36848,3752,2362,1872,3,12,8014,756,694,533,8,7,1995,6637,1350,969,58,42,9056,1085,210,123,166,12,1598,163,66,53,6,0,283,35184,12579,9404,478,148,57794,1657,1134,350,23,14,3174,1547,410,277,30,35,2296,153857,23254,13876,995,305,192297
1026,4381,223,58,55,7,4722,4033,156,24,4,0,4219,1859,591,163,4,0,2622,449,141,21,0,0,622,312,169,52,0,3,537,533,66,28,6,0,628,274,17,6,5,19,320,20,14,3,0,0,36,3455,996,277,16,20,4765,106,30,14,3,4,158,164,40,7,7,17,236,12142,1445,384,87,45,14108
1027,4390,269,59,19,0,4736,5054,114,41,6,0,5220,2512,689,264,17,5,3492,476,181,75,0,0,738,71,78,28,0,0,176,530,85,30,0,3,652,65,11,6,11,10,107,20,7,3,0,0,28,3683,1054,417,28,21,5201,97,74,29,0,10,210,180,38,18,0,7,247,13404,1556,559,53,49,15616
1028,6025,1135,700,38,8,7910,4460,479,277,7,10,5225,2013,1025,1274,19,6,4346,113,117,122,0,0,357,138,199,165,0,0,506,584,195,183,10,4,981,63,39,27,10,6,147,11,19,15,0,0,40,2923,1606,1791,43,20,6383,192,292,172,0,3,659,185,94,74,6,9,369,13782,3606,3011,96,52,20544
1029,1593,89,44,16,0,1745,2267,105,20,0,0,2396,604,309,118,0,3,1037,235,32,24,0,0,294,35,14,9,0,0,58,157,34,3,4,0,208,78,0,0,45,0,134,3,0,0,0,0,7,1120,398,157,53,6,1732,57,12,7,3,0,70,51,9,8,0,0,73,5087,611,231,82,9,6020
1030,3225,265,68,25,6,3589,2149,58,23,0,7,2228,1160,112,98,0,0,1367,16,11,7,0,0,39,24,17,6,0,0,41,323,23,17,4,0,370,96,15,0,20,0,134,5,0,0,0,0,10,1626,170,125,21,0,1957,81,215,3,0,3,311,105,19,8,0,8,138,7186,725,234,55,25,8225
1031,324924,51965,77538,1176,346,455952,370215,69940,114145,828,581,555707,125339,54580,270140,3438,1376,454878,17757,16790,22818,17,98,57486,2698,4036,8538,50,92,15402,30951,9693,31814,886,450,73791,6198,1992,4696,356,231,13480,1003,453,1427,30,25,2942,183942,87554,339436,4777,2271,617981,10125,5152,11538,171,140,27126,10801,2996,7654,155,344,21950,900007,217612,550302,7112,3688,1678712
1032,4602,275,20,32,25,4959,4649,117,14,3,7,4784,2851,1142,223,4,13,4232,417,139,58,0,0,626,107,96,26,0,3,233,802,120,12,0,6,938,70,24,4,19,10,123,39,21,5,3,0,69,4286,1549,329,26,30,6211,180,88,5,0,23,297,225,49,6,8,17,305,13946,2076,368,70,93,16555
1033,3698,267,90,21,5,4076,2566,71,27,0,0,2668,1272,295,346,6,0,1924,245,54,78,0,0,385,116,73,82,0,0,277,436,50,43,4,3,536,40,26,12,14,0,87,19,15,7,0,0,33,2127,514,568,27,10,3242,89,32,14,0,6,137,216,29,23,24,0,298,8690,912,725,81,22,10424
1034,3138,175,34,160,13,3516,1629,54,16,5,4,1705,645,159,53,4,0,857,53,45,14,0,0,103,71,64,19,0,0,154,322,39,15,3,3,380,18,0,4,23,7,49,3,3,0,0,0,8,1116,313,95,26,7,1555,68,9,10,8,0,94,79,13,0,14,0,107,6021,557,157,208,25,6970
1035,5789,244,252,16,3,6300,6770,98,117,8,5,6994,3029,460,1362,30,7,4892,718,37,134,0,0,885,75,47,71,0,0,191,865,76,120,6,0,1062,258,13,24,7,4,309,24,5,9,0,0,46,4967,642,1714,45,19,7390,223,141,65,3,8,438,212,27,54,5,4,295,17960,1149,2204,74,35,21419
1036,32335,3493,3245,472,31,39575,31676,3230,2610,87,23,37621,8928,4162,7069,174,56,20394,3222,1995,1534,8,3,6757,203,280,248,3,7,746,2860,751,1078,58,35,4778,278,67,116,61,8,543,79,33,47,0,0,168,15573,7297,10096,309,115,33382,724,445,663,25,14,1865,870,234,277,22,16,1426,81177,14694,16888,908,203,113867
2000,119157,2998,381,1403,216,124159,89349,993,167,233,110,90859,17737,2982,575,108,43,21455,2229,1135,301,7,3,3684,480,390,143,6,6,1024,12881,776,155,143,67,14035,2692,169,73,469,67,3468,289,89,12,29,4,433,36321,5548,1268,766,193,44091,6453,349,92,117,51,7059,4897,347,72,202,49,5571,256181,10236,1980,2723,617,271738
2001,2321,177,10,17,0,2524,4111,127,0,5,3,4246,878,289,0,5,4,1183,135,25,36,0,0,194,15,50,4,0,0,68,261,53,13,0,0,333,26,5,10,9,0,47,5,8,0,0,0,15,1324,432,59,12,3,1837,158,16,0,0,0,173,100,8,3,0,0,110,8012,754,74,38,8,8888
2002,2307,190,9,15,0,2521,1742,47,3,0,0,1799,681,203,35,7,0,926,145,83,12,0,0,235,49,48,4,0,0,102,305,37,6,0,0,354,14,10,0,0,0,29,8,9,0,0,0,20,1215,385,58,8,4,1666,77,72,0,0,0,148,111,31,0,0,0,145,5448,723,75,28,11,6280
2003,12816,1182,201,23,10,14237,13567,800,94,15,19,14492,7323,2071,584,10,21,10006,861,462,68,0,3,1393,140,152,37,0,3,338,1621,335,85,10,6,2055,127,38,13,8,3,192,47,20,0,0,0,73,10120,3077,789,29,40,14054,444,154,14,4,4,624,442,127,23,0,6,596,37386,5345,1121,70,73,43993
2004,12635,594,55,43,24,13352,13298,372,45,6,25,13746,6141,1390,166,14,10,7726,858,405,81,0,0,1344,216,117,24,0,0,354,1965,227,38,7,12,2250,146,17,8,13,0,183,45,11,7,0,0,62,9378,2172,310,33,27,11914,417,49,5,0,0,474,446,70,10,0,4,530,36178,3252,429,84,77,40027
2005,2159,60,0,4,6,2223,1408,22,0,0,0,1431,438,47,0,3,0,497,59,76,0,0,0,138,25,6,0,0,0,35,244,13,5,3,0,261,12,0,0,7,0,24,3,0,0,0,0,3,783,148,0,14,3,947,52,3,0,0,0,55,70,3,0,0,0,78,4471,234,11,21,7,4737
2006,1893,129,0,10,0,2039,1558,29,0,7,3,1591,513,183,0,6,0,697,148,69,3,0,0,224,26,21,0,0,0,43,233,34,0,0,0,269,21,14,0,29,0,72,9,9,0,0,0,17,950,328,3,34,3,1323,38,24,0,3,0,66,78,32,0,3,0,110,4516,549,0,56,8,5127
2007,3122,264,0,94,10,3488,2610,83,0,9,4,2704,932,326,13,0,0,1279,214,151,0,0,0,361,30,21,0,0,0,56,345,59,0,6,3,417,58,7,0,13,0,80,9,0,0,0,0,9,1582,574,17,17,7,2197,108,75,0,4,3,188,137,45,0,0,3,191,7564,1044,21,122,26,8772
2008,33789,2587,480,225,28,37109,36504,1818,350,20,24,38720,15747,3940,1305,44,38,21073,1584,894,114,0,0,2588,331,341,76,5,9,763,3785,731,184,24,21,4744,362,113,26,173,7,676,106,52,11,4,0,171,21921,6065,1711,249,68,30018,1344,557,30,50,9,1989,1170,235,50,16,10,1477,94723,11267,2616,566,137,109315
2009,2671,137,11,11,0,2836,3444,92,11,0,0,3553,426,146,14,0,0,584,21,20,5,0,0,41,6,12,4,0,0,20,215,53,0,0,0,269,12,5,0,6,0,24,4,0,0,0,0,4,685,229,15,9,5,940,78,4,0,0,0,90,67,3,0,0,0,71,6949,473,41,24,4,7487
2010,2436,70,51,9,0,2558,2208,17,13,0,3,2241,939,125,179,4,0,1249,176,65,45,0,0,287,12,5,18,0,0,36,253,19,28,0,0,302,20,4,12,6,0,40,6,4,5,0,0,14,1419,220,281,3,0,1922,78,29,11,0,0,115,92,15,13,0,0,114,6220,348,366,11,6,6953
2011,406805,70169,38396,1249,312,516926,501261,85163,56577,655,357,644011,176211,89064,138098,1665,560,405597,11536,9735,12224,8,31,33528,1960,2125,3579,20,40,7724,40600,15224,16413,574,188,72999,6212,1792,1708,956,102,10770,1240,551,604,26,22,2435,237753,118491,172622,3251,937,533047,13652,8674,6114,155,71,28665,15743,4333,3613,131,127,23942,1175219,286829,277316,5445,1793,1746604
2012,5852,335,147,116,17,6465,6252,158,61,6,0,6480,2316,629,477,7,12,3445,387,181,110,0,0,686,95,28,69,0,0,193,1073,139,91,10,11,1322,204,28,32,57,6,318,42,12,18,0,0,81,4115,1020,798,74,30,6045,307,44,69,4,6,430,370,57,51,25,8,499,16888,1616,1125,230,59,19921
2013,3164,202,31,11,5,3406,2863,75,15,0,0,2945,792,279,129,0,0,1203,241,167,44,0,0,447,50,28,6,0,0,84,379,48,18,4,0,450,36,13,0,14,0,66,7,12,4,0,0,22,1507,546,199,16,4,2272,77,60,3,0,0,137,169,35,9,9,0,226,7776,916,254,37,10,8993
2014,1777,92,12,16,0,1895,1383,29,3,4,4,1422,425,136,26,6,0,590,135,76,3,0,0,214,12,6,0,0,0,18,230,37,3,3,0,273,20,12,3,6,0,39,4,4,0,0,0,11,821,269,35,14,0,1139,52,3,0,0,0,58,68,11,0,0,0,82,4105,398,55,34,7,4596
2015,1964,84,82,27,4,2164,1769,49,21,0,3,1842,907,197,214,4,0,1317,161,54,24,0,0,239,28,10,13,0,0,53,188,23,21,0,4,234,121,4,4,0,0,135,8,3,0,0,0,15,1407,294,274,6,0,1985,44,10,7,3,0,65,76,13,9,0,0,98,5260,452,396,35,17,6156
2016,5767,375,6,209,8,6355,6163,135,3,13,7,6331,2557,938,12,8,0,3525,580,209,10,4,0,807,121,62,25,14,0,219,975,130,3,16,7,1130,175,55,0,60,3,294,48,18,0,4,0,75,4460,1416,53,99,13,6047,245,74,0,93,0,409,335,75,0,22,3,432,16961,2076,58,438,33,19573
2017,1393,84,34,7,0,1520,1267,22,13,3,0,1305,424,142,188,0,0,758,128,39,55,0,0,210,20,4,20,0,0,45,233,49,17,0,6,306,29,10,0,10,0,52,3,4,4,0,0,12,837,243,279,10,3,1381,58,10,3,0,0,66,59,12,14,0,0,79,3609,368,337,27,9,4348
2018,5504,196,340,54,9,6103,5488,89,91,4,6,5678,2166,302,606,4,3,3079,366,96,150,0,0,610,84,34,39,0,0,149,659,44,63,5,5,770,64,7,21,11,0,110,28,0,13,0,0,44,3363,485,889,18,11,4770,115,61,41,3,0,214,285,29,49,0,0,361,14753,860,1405,82,30,17127
2019,2850,174,0,10,0,3039,2376,81,0,0,0,2453,917,444,0,3,0,1365,249,116,5,0,0,362,23,49,0,0,0,69,316,83,0,3,0,403,21,15,0,5,0,44,7,10,0,0,0,12,1531,714,5,12,0,2264,63,29,0,0,0,92,158,133,0,0,0,301,6979,1123,5,29,9,8146
2020,5257,228,170,213,4,5869,6007,125,72,3,9,6211,1765,256,172,5,5,2210,152,70,44,0,0,266,16,0,8,0,0,26,547,47,40,0,0,648,56,6,3,28,0,95,12,7,0,0,0,20,2558,386,273,41,4,3262,195,9,52,28,0,277,201,12,14,0,4,233,14220,761,575,289,20,15861
2021,4679,392,69,45,9,5196,4240,199,63,20,4,4530,1541,585,227,24,3,2378,369,124,73,0,0,567,49,31,42,0,0,127,552,129,55,3,4,746,49,16,18,9,0,98,16,5,8,0,0,24,2582,893,429,35,6,3939,131,71,43,3,0,251,148,29,14,0,4,200,11775,1589,619,107,19,14111
3000,97317,1548,535,2429,629,102456,77011,837,264,444,238,78798,22326,3779,1787,158,59,28110,5598,1180,605,22,32,7442,1814,552,366,17,20,2765,16363,796,496,206,142,18005,6717,977,405,648,244,8992,457,100,61,28,9,646,53274,7389,3720,1080,501,65970,7696,401,113,260,264,8740,5190,346,195,510,208,6447,240492,10528,4824,4722,1834,262410
3001,760,62,135,103,32,1084,1281,84,135,11,14,1517,490,204,448,5,13,1166,22,19,34,0,0,70,7,13,10,0,0,31,195,41,125,5,16,384,30,49,45,15,41,171,4,0,4,0,0,8,745,328,663,22,74,1833,20,0,6,10,11,47,41,9,13,0,6,77,2849,478,949,144,137,4558
3002,189419,15988,18069,1381,206,225062,277611,19782,21188,140,208,318924,116231,41935,65822,175,497,224667,12054,5562,7259,9,44,24930,1021,1348,1963,11,36,4375,26882,6363,11300,111,202,44857,4776,5392,2741,1243,123,14273,676,457,421,27,8,1593,161638,61054,89508,1575,911,314688,5699,4340,3037,49,99,13221,7120,1897,1985,275,142,11425,641500,103067,133790,3415,1557,883324
3003,9525,480,567,309,12,10892,7680,144,131,18,9,7979,3351,817,726,17,8,4922,421,361,185,0,3,973,51,75,102,0,0,230,1760,157,242,15,8,2181,222,40,99,120,6,486,31,10,28,0,0,75,5839,1467,1385,158,25,8865,261,343,49,10,7,664,309,101,65,15,0,495,23614,2536,2189,504,53,28897
3004,11682,883,1505,176,83,14324,17188,868,1472,15,33,19580,5930,2294,4170,17,102,12519,906,430,547,4,6,1891,126,138,132,3,7,408,2360,720,960,27,32,4108,366,173,338,133,38,1048,60,30,41,3,5,146,9747,3789,6186,201,191,20114,377,221,77,11,15,692,519,158,193,24,52,948,39513,5915,9440,418,373,55662
3005,681,20,11,11,16,743,1642,54,23,3,7,1737,809,291,220,0,5,1324,98,8,44,0,0,144,16,5,8,0,0,24,268,52,37,0,3,361,155,52,36,0,6,247,0,8,0,0,0,9,1349,400,345,5,15,2116,48,17,3,0,5,75,51,10,4,0,0,65,3772,499,396,22,38,4736
3006,3594,111,140,78,3,3924,5726,146,107,0,4,5988,3016,660,964,0,6,4653,401,90,154,0,0,640,78,73,23,0,0,181,773,43,81,0,0,901,107,20,31,33,9,201,18,11,7,0,0,35,4389,905,1264,44,14,6613,112,19,17,4,5,153,145,23,11,4,0,191,13971,1197,1543,131,28,16869
3007,46746,13494,13862,1155,196,75460,64380,14822,9091,89,132,88513,22647,14893,19587,62,201,57396,1337,1597,1335,0,5,4276,188,394,559,0,4,1145,5870,4197,5043,67,85,15257,854,2483,2079,430,72,5925,149,144,202,16,4,510,31051,23705,28805,573,366,84508,1362,1136,1230,42,23,3793,1846,885,1034,61,67,3895,145389,54048,54022,1923,788,256170
3008,2990,74,22,15,5,3100,2573,50,5,9,5,2644,1215,364,98,0,17,1696,112,100,17,0,0,229,20,51,15,0,0,94,559,57,22,4,4,644,39,33,20,0,0,91,3,9,4,0,0,17,1955,618,174,9,18,2774,70,4,20,0,0,95,118,25,13,0,5,154,7705,758,227,32,37,8759
3009,8716,770,238,250,57,10025,5335,260,69,14,13,5691,2898,951,210,9,14,4090,204,296,8,0,0,510,53,77,7,0,0,133,988,193,52,18,8,1265,135,103,13,99,23,384,18,13,3,0,0,43,4304,1639,299,132,45,6420,363,147,65,6,14,590,314,81,21,9,6,436,19030,2889,687,414,131,23163
3010,1240,15,30,13,0,1294,1080,12,19,4,4,1117,709,113,193,0,5,1019,46,10,40,0,0,100,8,0,8,0,0,17,213,13,12,0,0,239,35,4,10,4,0,51,8,0,0,0,0,11,1019,147,271,4,6,1442,37,0,8,0,0,47,58,5,28,0,0,85,3438,184,343,15,6,3989
3011,7106,468,219,167,25,7983,10615,359,159,12,11,11149,3844,1685,674,19,41,6256,561,405,179,0,0,1144,90,96,33,0,0,219,1491,351,137,19,11,2010,139,58,26,93,20,344,34,30,6,0,0,72,6157,2631,1049,132,74,10045,459,132,24,7,8,629,364,161,28,51,30,626,24705,3741,1476,376,147,30437
3012,4215,95,40,55,4,4411,2908,23,12,11,3,2961,1104,196,162,0,5,1475,160,176,56,0,0,389,21,45,10,0,0,85,694,55,45,0,0,804,74,17,13,32,3,136,19,11,7,0,0,33,2073,498,300,40,14,2924,119,40,16,7,3,187,152,34,22,13,0,220,9467,693,385,134,28,10706
3013,926,37,6,48,8,1027,1822,57,5,9,3,1897,785,455,100,5,3,1344,350,113,56,5,5,526,17,9,10,0,0,42,403,128,14,7,3,556,189,119,32,34,17,390,11,4,3,0,0,24,1754,843,220,50,26,2883,138,50,26,13,3,236,101,24,5,139,3,279,4751,1004,267,262,46,6328
3014,7691,206,161,39,18,8110,10019,131,127,9,8,10292,4021,966,560,10,9,5565,617,285,139,0,3,1040,156,79,75,0,0,310,1692,173,114,3,7,1993,166,36,50,31,7,292,34,17,13,0,0,66,6683,1560,953,47,23,9262,292,30,64,0,12,402,324,52,38,8,9,423,25007,1975,1344,107,66,28494
3015,38256,5951,4898,553,125,49786,43001,3249,2731,49,65,49097,14746,4992,6223,42,89,26097,864,673,1005,0,10,2551,118,132,194,0,0,445,4814,1314,1618,25,65,7828,479,318,353,213,28,1389,106,45,56,5,4,221,21137,7480,9451,283,186,38533,1399,2060,603,35,17,4114,1227,376,337,25,31,2004,105022,19120,18015,942,426,143532
3016,14574,1510,290,55,17,16450,16351,770,204,13,18,17361,7638,3871,1356,6,15,12887,587,512,158,0,0,1253,71,135,44,0,0,248,2289,506,199,3,6,3004,410,133,28,27,3,596,56,30,9,0,0,96,11049,5187,1788,33,32,18090,382,452,43,5,9,900,453,167,35,4,10,666,42814,8085,2358,117,88,53468
