SUA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1010,1128,1575,503,1108,1086,387,169,240,67,6263,1866,2040,1050,2833,2096,808,282,471,148,11595,4131,2203,13001,5876,4703,2378,2495,3320,582,38691,196,139,204,323,470,332,158,311,26,2158,414,333,304,622,803,367,241,361,51,3490,119,213,92,105,212,75,49,74,20,954,234,329,222,344,371,196,173,233,287,2391,13906,28066,16590,14134,12955,5617,3936,5662,1516,102388
1011,227,290,85,223,232,76,27,65,10,1227,369,338,210,676,428,178,52,160,24,2428,853,386,2526,1433,1055,614,412,858,97,8225,41,15,38,90,116,85,32,68,0,485,94,40,41,136,131,86,35,84,8,658,22,34,12,23,36,8,4,36,0,179,57,85,54,93,75,39,27,125,80,636,2738,6047,3208,3337,2716,1309,633,1653,294,21936
1012,108,137,32,150,90,18,23,17,7,591,171,217,100,393,234,77,23,49,17,1277,502,237,1576,825,681,334,340,402,77,4962,25,23,26,57,82,43,20,35,6,322,34,24,33,69,104,39,24,39,3,363,7,22,16,17,16,6,6,7,3,114,23,54,35,56,40,30,31,47,51,362,1485,3554,2034,2175,1622,769,531,806,212,13187
1013,36,58,23,52,51,24,6,13,4,263,68,79,52,157,75,45,5,18,4,501,187,129,589,416,202,140,76,212,31,1989,11,0,14,28,31,26,4,21,0,140,15,11,8,41,34,25,13,14,0,162,9,8,4,8,5,0,0,9,0,44,19,25,18,58,18,21,11,26,24,217,491,1172,761,863,506,320,113,336,78,4639
1014,60,89,23,81,52,23,7,16,4,346,144,110,83,244,139,48,22,41,22,857,288,142,935,576,342,217,284,262,52,3100,13,6,15,24,38,22,9,19,0,148,21,14,17,55,56,21,25,31,3,238,6,13,11,7,11,7,0,3,0,55,17,15,13,27,15,9,15,45,27,181,813,1550,1169,1291,785,379,389,485,130,6996
1015,38,68,14,53,41,3,4,0,0,221,54,79,24,159,80,28,7,25,6,466,180,118,558,540,292,156,144,229,35,2249,10,3,11,32,38,30,8,26,0,168,13,10,8,47,30,18,12,25,4,169,3,11,0,3,7,5,3,4,0,33,9,14,13,26,14,9,8,32,21,136,440,1048,651,964,602,280,194,367,67,4617
1016,39,47,28,59,50,11,14,30,4,285,77,86,61,163,72,36,25,86,8,613,308,98,799,249,261,143,153,274,51,2331,11,3,13,20,50,22,12,23,0,148,18,15,15,41,59,24,20,33,3,219,7,3,9,9,6,0,4,19,0,61,20,17,20,21,25,26,14,78,37,260,770,1329,1036,713,645,321,273,780,139,6002
1017,16,43,0,38,21,10,4,5,0,131,43,49,16,112,48,19,7,10,7,310,159,103,399,407,180,98,101,153,24,1626,7,6,4,32,22,22,4,15,0,117,14,6,0,41,26,14,8,18,7,132,0,3,4,3,4,5,0,5,0,27,3,17,12,29,6,18,15,26,14,151,339,659,455,734,362,202,147,247,55,3191
1018,49,93,34,81,54,16,5,13,3,357,104,138,73,270,147,64,16,57,11,880,288,142,928,594,418,222,191,387,39,3216,15,9,18,33,51,33,13,40,5,218,24,17,19,58,59,38,14,40,8,287,3,8,4,11,10,10,0,9,0,55,11,29,19,21,22,19,14,25,32,188,817,2419,1221,1416,1024,486,292,681,115,8474
1019,27,34,19,34,19,7,8,6,0,155,36,45,34,75,63,8,9,15,0,288,122,66,473,223,154,74,210,136,26,1478,9,0,9,15,35,13,8,21,0,105,5,11,12,19,23,8,9,10,0,88,0,0,3,4,3,0,5,5,0,21,5,7,3,13,13,6,14,17,8,98,302,583,590,462,376,146,278,215,44,3001
1020,34,72,34,46,54,10,5,8,3,260,87,79,83,126,103,38,16,18,11,559,223,117,831,337,272,123,201,155,47,2314,15,5,14,23,41,16,0,18,0,132,16,6,18,24,32,18,8,11,0,128,3,5,8,3,5,3,0,9,0,32,16,8,11,11,11,9,9,13,19,113,560,920,1025,669,613,244,257,248,99,4633
1021,78,96,33,80,64,21,11,11,3,407,129,140,78,243,134,47,25,50,9,853,365,200,1243,483,386,182,283,295,64,3509,23,12,22,31,47,32,14,42,6,218,14,20,17,44,71,23,26,30,5,256,6,16,3,10,8,7,0,4,4,62,18,24,17,31,23,9,18,16,29,187,961,1938,1503,1098,912,382,412,496,144,7843
1022,33,36,25,38,26,13,12,9,3,200,46,48,47,97,63,29,21,18,5,375,175,72,696,218,155,82,335,155,24,1914,8,5,13,3,16,20,13,17,0,99,13,3,4,17,23,12,15,13,0,112,6,6,7,5,6,3,3,6,0,39,3,12,9,10,16,10,13,13,15,108,460,889,850,498,392,204,430,267,58,4064
1023,20,34,32,29,11,7,17,6,3,161,32,28,35,68,27,26,32,16,5,278,85,54,735,194,191,74,358,146,28,1867,10,0,11,10,16,14,24,20,4,104,6,0,11,13,27,14,18,17,0,97,0,0,5,0,5,3,5,4,0,26,7,8,7,12,10,14,21,15,16,106,245,511,866,382,337,154,486,255,58,3296
1024,99,144,43,87,82,29,5,26,8,516,142,131,116,209,142,64,21,39,4,889,353,158,1079,452,304,211,186,254,66,3047,20,6,25,20,34,30,9,17,0,164,43,16,20,51,67,35,13,29,0,271,4,17,3,10,7,5,3,8,0,64,22,30,20,29,25,23,20,28,26,208,1090,1755,1427,1079,869,450,278,443,134,7520
1025,1508,2324,934,1383,1400,427,204,262,88,8528,2530,2971,1914,4333,3109,1013,543,679,215,17307,5626,3266,21659,9606,7850,3566,5657,4619,812,62662,309,176,336,611,766,540,312,518,28,3603,453,362,382,822,1138,437,319,427,50,4388,128,300,95,182,209,94,70,102,37,1208,303,445,317,512,473,245,273,383,443,3398,20217,50830,27870,22132,20238,8012,8065,8054,2170,167587
1026,98,135,47,132,97,32,13,29,11,587,158,173,138,366,170,60,21,37,11,1136,495,219,1555,868,481,311,302,445,65,4741,27,12,25,54,53,45,15,59,0,289,27,21,22,89,62,35,16,40,7,316,17,15,9,11,19,12,4,6,3,90,22,29,37,62,30,35,15,36,29,295,1237,2436,1983,1910,1130,652,414,771,147,10687
1027,115,159,60,117,121,35,20,29,9,666,193,226,157,379,263,66,41,58,21,1400,460,258,1701,757,629,297,436,396,62,4996,36,12,40,39,66,34,27,45,5,299,25,32,29,69,109,38,30,44,6,386,18,24,7,11,16,5,3,7,3,95,15,40,22,36,45,29,22,41,34,282,1629,4233,2219,1842,1666,611,643,724,177,13740
1028,136,250,98,140,172,46,16,31,16,906,223,250,144,413,299,127,20,86,17,1581,573,291,1658,1062,682,426,228,435,82,5433,27,28,24,62,72,55,21,53,0,350,51,38,29,95,119,52,24,53,3,462,11,34,16,22,29,8,0,8,0,132,39,48,29,55,45,29,20,25,54,340,1849,4714,2183,2290,1847,873,355,787,206,15118
1029,37,36,28,42,37,9,14,5,0,214,60,62,61,127,81,33,48,15,6,497,208,114,1002,373,282,125,582,163,34,2897,6,0,10,30,29,16,32,29,0,162,11,3,18,28,44,12,22,10,5,144,7,3,4,3,8,5,0,10,5,40,9,7,13,17,16,10,15,13,20,135,542,923,1204,725,598,231,745,273,76,5323
1030,54,82,27,60,35,18,10,8,0,289,87,77,69,155,83,30,11,29,9,550,215,116,807,425,247,134,121,222,36,2321,17,8,10,21,30,25,6,23,0,141,22,10,9,38,32,21,9,22,3,164,3,8,10,9,9,5,0,4,0,50,17,13,14,16,11,13,9,16,14,123,649,1241,980,844,552,284,161,343,73,5125
1031,18091,21727,9630,11850,17122,6955,4258,4954,1351,95942,25537,25908,16242,27506,28436,12571,6802,7936,2345,153291,35363,17959,98734,34989,37076,17359,21111,20996,4744,288340,2329,1608,1657,2610,5477,2585,1561,2053,260,20142,5762,4537,3510,5282,10745,4241,2774,3232,595,40681,2702,5078,1636,1644,3054,1361,1052,1256,435,18228,3771,5694,2686,3253,4774,2360,2279,2818,5956,33585,290689,632576,174844,146787,220773,93061,59441,66878,30243,1715289
1032,87,172,42,128,95,25,19,30,6,600,203,207,109,365,231,63,38,74,18,1313,516,280,1616,798,637,378,408,520,55,5206,33,8,28,63,74,48,24,79,0,354,49,34,33,62,102,48,23,48,3,401,14,20,13,12,15,10,3,23,0,108,25,34,33,57,47,27,19,79,33,357,1394,3398,1992,1867,1453,686,582,1108,155,12635
1033,38,73,18,54,40,14,5,5,4,245,56,101,56,230,84,48,4,33,7,620,281,126,731,638,259,226,182,325,35,2811,19,3,20,38,35,33,18,42,3,216,23,20,20,43,43,15,12,23,4,204,6,14,0,9,9,9,0,6,0,47,14,24,19,55,18,26,15,32,26,224,567,1308,904,1207,569,381,254,500,94,5781
1034,48,63,16,50,30,18,0,11,5,240,80,55,28,133,69,31,4,29,8,436,220,83,735,258,179,144,85,181,28,1907,17,3,14,15,21,24,3,10,0,99,25,11,12,25,21,21,8,29,0,159,6,3,4,0,4,0,0,4,0,26,13,15,16,18,23,16,11,22,5,142,625,1085,882,616,446,308,108,321,64,4461
1035,139,207,65,177,117,43,19,36,11,815,232,303,175,561,316,109,34,67,24,1823,804,417,2239,1143,902,433,437,572,99,7040,35,25,39,70,76,61,42,83,8,442,43,27,44,85,149,51,27,67,3,500,12,41,18,20,22,16,4,24,8,173,46,37,44,58,56,36,35,65,48,428,2202,5496,2948,2698,2150,952,661,1095,249,18455
1036,927,1245,562,1047,842,241,156,199,52,5271,1556,1751,1318,2747,1919,631,301,453,145,10828,3208,1784,12259,4871,4118,1871,3084,2731,527,34449,143,105,150,344,477,234,128,292,27,1897,336,258,216,515,793,279,200,266,40,2904,83,173,75,73,136,35,40,62,18,703,178,265,173,290,262,144,152,210,245,1918,12629,30208,16193,13259,12079,4703,4636,4964,1444,100116
2000,3758,2746,1232,2144,1844,644,321,780,197,13664,4104,3271,2061,5732,3245,1181,549,1442,302,21878,14056,3078,28104,10506,7135,4225,7118,9447,1430,85100,691,218,446,682,806,599,297,834,48,4620,968,324,470,893,819,448,401,644,91,5067,267,298,138,148,161,63,59,159,38,1327,1401,648,733,866,630,624,564,1213,755,7436,39012,47407,35625,26698,19934,9448,9866,16795,3608,208400
2001,73,83,64,83,92,26,26,20,5,480,126,137,112,266,197,49,48,52,10,996,310,129,1237,421,395,165,303,264,63,3289,16,3,16,19,30,26,9,22,0,148,31,14,28,35,35,20,15,11,0,181,5,8,7,10,14,0,4,0,0,49,17,18,25,26,23,19,15,22,33,193,953,1892,1608,1137,1049,397,477,450,141,8112
2002,33,47,13,47,35,22,8,14,5,228,68,103,28,136,82,30,11,24,13,500,182,68,569,284,208,142,137,178,26,1789,17,4,10,10,17,12,10,20,0,95,6,12,6,20,18,10,3,16,3,96,0,7,3,4,0,0,0,5,0,34,14,9,14,22,15,3,6,27,13,121,459,990,687,643,474,250,186,336,75,4090
2003,349,431,189,331,305,123,62,89,21,1894,474,558,392,1076,683,239,102,175,43,3734,1189,506,4079,1920,1390,812,770,1089,150,11909,61,41,59,106,144,131,49,110,0,705,65,65,58,161,124,95,40,66,6,675,25,62,20,32,25,11,7,20,6,200,64,96,71,105,83,72,47,75,90,706,4457,11266,5441,5154,4143,1940,1288,1957,451,36096
2004,232,384,171,300,243,73,47,65,18,1539,453,609,299,1085,536,222,107,204,40,3553,1136,546,3849,1967,1210,729,865,1188,178,11674,53,22,70,97,138,101,40,136,14,657,70,49,61,140,144,61,45,84,7,672,25,63,18,26,23,10,6,27,3,202,48,107,68,113,79,69,62,83,95,720,3634,10000,4902,4880,3437,1638,1308,2114,448,32363
2005,34,60,17,35,24,17,3,13,6,211,54,58,42,81,36,12,7,15,6,319,65,47,287,118,81,38,50,74,11,780,7,0,7,10,9,3,0,11,0,45,8,7,8,14,13,4,0,0,0,57,0,3,3,3,3,0,0,0,0,12,9,16,12,9,9,5,3,8,6,72,453,1334,464,432,300,132,80,177,52,3426
2006,35,28,16,63,27,10,3,19,10,204,51,35,27,96,45,21,8,34,0,331,163,63,495,304,125,90,135,262,29,1668,10,0,4,11,15,11,6,24,0,82,16,0,9,22,11,6,8,15,0,89,0,3,4,9,0,0,0,8,0,25,7,8,11,21,12,9,15,29,18,120,379,615,606,598,293,171,195,478,60,3389
2007,58,74,32,57,46,18,5,12,5,314,103,100,78,208,107,49,8,40,10,694,370,93,1014,408,247,163,205,288,39,2824,14,0,18,16,19,16,0,18,7,115,22,10,12,31,33,17,14,11,0,148,6,6,6,8,3,0,0,5,0,34,23,18,18,29,20,19,15,29,14,187,919,1595,1241,951,609,348,268,455,83,6472
2008,1017,1492,677,1039,927,319,183,276,91,6030,1506,1589,1299,2801,1719,703,398,546,111,10683,2940,1304,11084,4906,2969,1799,1998,2757,507,30251,126,91,163,238,260,221,131,253,14,1490,253,163,175,416,362,220,133,194,26,1946,76,168,61,97,75,34,38,52,23,626,182,258,206,330,209,156,121,232,303,2001,13193,31040,15643,13862,10557,5116,3851,5607,1537,100407
2009,88,150,48,88,93,29,14,17,6,540,126,147,103,191,163,57,23,29,10,851,328,117,1061,228,247,100,162,163,46,2440,17,9,12,17,21,11,7,7,3,96,21,26,14,31,48,15,18,16,3,189,10,18,4,11,7,4,0,5,0,55,18,27,13,20,24,14,11,10,22,166,1396,2586,1388,836,901,323,259,304,116,8117
2010,78,82,21,64,37,22,3,9,5,317,93,106,33,195,105,28,15,28,7,605,281,105,741,320,222,144,171,175,32,2189,3,5,9,23,38,22,9,17,0,123,13,11,8,28,27,10,3,25,0,123,0,6,3,3,6,0,0,0,0,31,21,16,5,15,12,10,12,20,19,135,713,1407,869,791,549,264,228,291,81,5186
2011,17200,21078,12407,13542,16385,6942,4832,5259,1391,99034,25734,25387,22351,38080,28873,13490,9344,10432,2618,176309,36605,17015,127374,46654,36981,20289,25221,29840,6175,346150,1943,1285,2177,3070,4238,2642,1713,2601,261,19930,4589,3394,3575,6269,7221,3806,2599,3304,636,35390,2100,4049,1664,1560,1865,1082,986,1154,438,14892,3601,5272,3496,4117,4308,2669,2475,3353,6141,35437,267410,609215,216716,185077,210929,95555,69778,83954,31556,1770192
2012,141,189,58,163,109,34,19,47,9,767,275,311,164,488,234,93,51,110,41,1765,716,289,1872,878,656,405,437,568,104,5932,39,20,28,63,71,59,31,85,4,404,52,22,28,79,67,46,22,50,9,374,18,19,3,15,13,5,5,20,5,99,71,59,44,66,44,44,37,104,78,547,2016,3741,2348,2154,1503,771,648,1165,276,14623
2013,46,44,24,43,47,7,13,9,0,235,83,100,55,201,106,36,19,26,9,643,226,108,1129,511,340,145,263,303,63,3091,8,7,14,21,24,16,12,22,0,129,12,6,6,22,25,13,10,12,7,111,3,4,5,7,0,4,0,5,0,26,9,23,16,32,16,25,8,41,23,191,515,1007,1296,977,670,272,346,455,114,5647
2014,22,43,8,23,21,10,9,3,3,143,35,42,26,118,44,17,13,10,5,307,104,61,463,226,119,64,154,139,34,1370,0,5,10,8,16,8,10,13,0,71,5,10,3,25,10,7,13,10,0,86,6,11,4,0,0,0,0,5,0,25,9,15,5,20,4,7,9,16,10,98,287,691,533,514,260,124,209,214,63,2894
2015,41,79,21,57,31,10,4,8,8,258,95,89,53,173,89,21,8,14,7,557,159,71,561,293,161,103,97,161,34,1641,7,4,13,16,17,16,3,20,0,101,15,10,8,18,12,12,4,11,0,89,3,0,5,0,6,0,6,3,0,25,19,12,8,11,12,10,4,14,9,101,599,1348,737,709,432,209,136,258,68,4493
2016,136,156,55,131,117,28,24,48,9,702,295,302,162,555,276,100,67,137,19,1920,625,245,1815,850,576,357,329,601,97,5503,19,9,16,38,55,53,22,64,6,299,41,24,34,68,70,49,28,69,3,384,8,31,12,15,3,9,6,22,0,110,38,59,41,50,32,42,36,89,62,445,1826,4036,2306,2149,1469,767,591,1285,245,14665
2017,19,40,15,31,28,9,3,10,4,151,57,81,33,109,56,21,5,29,10,399,197,70,432,184,151,89,69,129,21,1341,11,5,4,20,13,11,4,19,0,78,9,3,4,21,17,20,0,20,3,97,4,5,3,4,0,0,0,5,0,20,7,14,12,15,6,3,4,25,13,96,437,844,528,467,324,167,97,268,54,3188
2018,85,131,61,105,97,21,7,18,12,536,186,241,126,383,245,67,32,50,25,1368,427,217,1758,743,652,293,456,524,87,5149,17,15,34,41,56,34,13,39,5,259,31,9,15,52,43,23,22,21,0,222,13,21,16,14,9,6,6,9,0,88,33,36,41,45,33,28,33,50,26,323,1193,3067,2210,1685,1462,564,606,776,197,11765
2019,56,61,29,77,52,21,6,16,4,317,93,116,47,242,98,38,14,37,14,707,235,86,755,402,241,167,181,260,31,2355,10,0,9,25,24,26,11,19,0,128,12,8,18,38,17,16,4,21,7,133,5,6,4,3,12,0,0,8,0,32,19,19,11,33,18,16,16,23,27,184,672,1623,952,1007,575,329,259,427,88,5925
2020,114,188,79,131,136,44,18,48,11,775,226,228,146,447,238,101,40,93,23,1543,629,212,1967,714,546,317,471,629,84,5575,28,7,22,40,52,40,19,44,3,263,39,26,34,95,59,34,29,41,5,361,16,23,7,16,15,5,5,8,0,101,32,47,26,59,43,25,25,52,54,357,1724,3363,2414,1917,1426,670,647,1085,209,13458
2021,108,149,51,108,90,39,19,38,7,603,166,183,122,386,192,95,27,82,19,1272,488,171,1460,723,439,279,258,469,72,4363,22,11,13,27,45,39,12,56,0,221,20,10,32,56,54,29,9,36,7,251,3,11,7,6,4,6,6,7,0,53,26,34,20,45,28,36,17,66,33,306,1390,3312,1855,1696,1163,615,387,895,164,11477
3000,2216,2005,819,1590,1222,384,338,581,137,9290,3714,2494,1769,4846,3454,952,816,1505,306,19852,11330,3405,30386,11335,8566,4354,10242,10026,1805,91452,671,251,669,808,918,925,587,1375,98,6298,1022,331,518,1001,847,550,670,958,100,5995,249,222,172,172,138,78,139,271,38,1477,1050,572,662,857,595,550,891,1631,1003,7823,28667,36547,36870,24818,19526,8853,14322,19106,3990,192689
3001,70,60,54,58,31,27,12,26,9,337,128,82,100,168,84,37,32,48,6,686,265,125,807,253,157,119,176,229,33,2159,27,21,22,33,18,30,15,29,4,192,24,18,17,26,26,13,14,22,0,158,6,7,9,11,4,3,3,11,0,53,18,12,22,31,13,15,10,26,24,169,783,892,1133,863,466,319,292,571,84,5387
3002,7225,9187,4548,5647,6333,2180,1498,1825,492,38942,15155,14728,10397,22902,18540,7254,3974,5281,1312,99541,24261,12840,78573,35313,30231,15265,18366,21866,3883,240585,1293,861,1729,2326,3011,2644,1501,2790,186,16333,2382,1890,1933,3575,4330,2311,1677,2248,283,20623,926,1771,679,793,938,517,445,623,190,6887,1707,2393,1577,2183,2081,1287,1280,1939,2952,17408,120890,283064,115651,102965,107728,46532,35510,47563,13979,873884
3003,117,207,53,159,83,37,17,29,8,720,253,269,140,628,343,109,53,109,25,1932,767,296,2511,1631,863,562,613,893,129,8275,49,15,69,98,97,120,48,181,3,685,51,30,40,129,84,70,46,99,4,553,11,29,17,23,16,5,5,16,11,134,55,46,40,93,46,49,29,120,72,544,1958,4652,3038,3221,1903,1060,856,1696,275,18666
3004,471,692,309,515,374,194,103,127,28,2817,920,914,685,1738,1056,387,172,298,85,6249,1759,895,6275,3060,2106,1265,1191,1596,257,18408,108,73,144,228,169,211,82,227,10,1249,133,105,137,313,238,160,83,159,21,1347,53,91,44,86,47,33,18,52,8,418,114,166,138,204,125,132,76,155,197,1313,5977,14371,8460,8149,5631,3030,1967,3112,792,51483
3005,35,24,9,18,18,10,19,12,3,159,70,59,44,89,75,31,50,22,7,448,213,94,890,164,212,120,413,116,46,2263,17,7,27,23,32,45,17,32,0,204,17,5,23,15,15,14,19,19,0,128,9,3,6,4,5,3,0,9,0,31,15,19,14,10,12,12,20,30,17,138,544,971,1071,433,468,267,562,306,81,4706
3006,84,143,81,81,63,25,25,15,10,518,176,200,182,287,228,68,70,60,23,1295,471,284,2918,791,645,332,902,584,164,7091,36,24,57,77,71,103,66,94,8,532,27,28,38,58,65,37,40,55,6,364,8,26,24,18,5,5,12,14,0,101,21,26,36,43,40,31,48,50,48,335,1245,3081,3550,1662,1354,675,1235,956,290,14039
3007,2494,2921,1329,2110,1935,1071,392,631,180,13058,4651,4398,3351,7771,5058,2974,942,1795,438,31366,8548,3757,26251,10577,8255,5598,4438,7123,1348,75898,417,251,416,706,731,793,256,709,55,4329,903,600,650,1270,1384,995,385,761,111,7049,298,453,245,288,300,193,95,208,56,2138,661,810,621,809,725,562,314,568,924,5997,32052,62718,36774,31748,26549,16730,8309,14691,4283,233854
3008,37,52,12,49,35,14,10,7,0,219,72,80,46,196,97,44,10,39,9,596,208,83,825,484,313,220,250,379,53,2797,17,7,27,24,26,44,18,51,4,219,10,8,20,38,27,34,8,23,0,172,6,6,6,6,8,0,3,4,0,32,14,15,17,16,16,19,14,33,24,168,484,1085,1003,932,615,407,332,581,98,5536
3009,112,170,56,136,82,38,16,27,10,654,196,200,120,569,269,94,31,71,19,1569,473,187,1639,1388,566,410,313,527,87,5601,21,18,40,57,50,71,30,83,0,375,36,23,37,114,74,44,28,53,5,407,11,16,7,16,7,6,6,15,0,84,24,38,36,69,24,45,16,61,53,373,1287,3568,2053,2711,1343,782,468,911,219,13348
3010,17,25,19,25,4,3,0,8,0,107,39,30,29,126,45,19,3,18,3,319,120,42,410,210,137,83,98,162,20,1292,7,0,7,22,22,19,5,32,0,116,5,0,11,15,6,6,7,22,0,80,3,5,0,4,0,3,3,7,0,29,7,0,3,7,4,5,3,17,12,70,299,623,500,472,265,158,146,323,43,2826
3011,163,256,139,170,170,49,52,45,18,1049,376,403,340,624,444,141,122,106,33,2584,1067,521,5256,1382,1326,610,1488,867,280,12787,48,28,98,82,113,152,74,116,5,715,64,57,73,142,110,93,84,67,9,702,24,37,28,31,12,15,25,14,6,195,57,71,83,107,56,47,88,77,83,675,2703,6472,6389,3205,2776,1278,2066,1451,483,26829
3012,39,75,26,49,46,8,5,6,0,253,85,90,60,200,113,49,19,27,5,655,236,110,862,696,357,195,240,329,50,3074,9,4,17,38,46,57,22,49,3,246,12,3,13,49,30,24,12,29,0,164,5,3,4,4,10,6,0,0,0,36,19,17,21,32,14,22,19,37,25,195,528,1132,1025,1197,730,390,324,508,96,5925
3013,24,53,21,26,24,7,12,6,0,178,57,75,62,138,110,29,35,16,14,539,180,110,1300,212,274,90,433,120,51,2773,16,5,18,15,35,29,29,19,0,156,7,12,14,27,16,7,26,14,0,116,7,9,8,3,6,0,6,6,0,50,14,13,19,31,22,10,24,25,36,195,498,1457,1515,642,592,205,601,237,114,5861
3014,129,193,107,194,99,26,30,31,13,827,302,318,253,763,426,97,65,82,39,2345,713,425,3594,1643,1134,552,1013,836,163,10065,46,38,83,143,149,138,55,142,5,800,51,24,54,136,101,59,76,87,6,583,12,32,16,23,15,10,9,20,0,147,34,39,45,85,46,42,66,103,71,550,2065,5835,4463,3611,2542,1064,1411,1460,372,22817
3015,1336,1797,693,1210,1101,520,171,352,95,7280,2301,2268,1696,3837,2625,1194,359,789,186,15269,5061,2030,15919,6588,4755,3143,2719,4356,692,45260,234,122,253,406,461,505,151,443,27,2589,445,318,305,644,697,495,204,423,47,3586,146,258,105,133,132,84,47,105,20,1027,315,385,338,434,317,299,143,308,413,2957,16975,34967,21136,17529,14004,7957,4293,8036,1989,126887
3016,331,460,202,353,305,90,65,84,25,1915,717,720,592,1398,975,310,173,224,51,5165,1602,684,5579,2919,2115,1136,1149,1559,215,16955,71,53,115,194,214,239,87,236,10,1221,111,69,103,240,226,135,82,123,19,1101,36,78,35,57,35,21,16,31,4,304,80,99,70,155,104,71,48,118,121,858,5096,13346,7357,6903,5417,2471,1830,2949,608,45972
3017,357,520,277,499,335,82,82,107,19,2282,965,842,604,2056,1170,343,211,265,102,6553,2020,1062,7679,4081,2644,1286,1885,1705,342,22705,111,60,155,310,252,267,131,240,14,1531,141,75,129,350,266,158,115,147,26,1405,42,85,43,59,42,21,23,26,3,342,104,151,127,217,127,102,103,151,189,1269,6388,16371,9804,9490,6465,2733,2784,3044,856,57936
3018,15,28,10,24,13,10,4,14,5,129,56,37,34,109,65,31,19,35,4,388,181,53,489,328,182,149,178,248,33,1837,15,7,10,30,12,28,16,32,5,146,10,8,13,26,22,14,11,22,3,132,6,7,0,0,0,0,3,6,0,26,10,9,13,11,4,9,8,39,15,121,396,767,612,612,374,255,248,444,71,3775
3019,50,79,34,53,32,19,9,10,3,289,87,100,65,201,86,33,20,22,3,629,259,104,1062,374,276,145,330,179,45,2776,12,6,14,32,19,21,9,31,0,145,29,19,20,31,26,16,18,15,0,165,4,10,9,5,10,3,9,4,0,46,15,21,15,26,21,5,29,17,16,173,714,1640,1312,874,641,274,450,298,91,6285
4000,1118,986,298,812,575,195,87,264,39,4371,1543,934,575,1832,1045,384,209,449,89,7061,5453,1280,10061,4416,3140,1737,2527,4029,554,33192,439,91,237,303,372,262,171,511,37,2415,620,125,230,431,391,204,166,364,44,2577,119,91,50,60,70,30,42,93,13,568,514,204,229,328,248,202,241,531,285,2788,13651,14557,12402,9728,7242,3508,3653,7133,1251,73129
