SUA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1028,655,460,377,378,404,451,398,303,204,3623,8060,5404,4842,5337,6021,6462,6934,4966,2162,50193
1029,318,323,238,168,174,162,85,45,15,1536,3564,2436,2513,2061,2163,1905,1364,713,306,17018
1030,313,198,184,209,199,213,223,153,64,1758,3047,1776,1891,2061,2291,2885,3453,2043,656,20105
1031,64256,44642,59120,52085,43510,35533,24862,16924,12418,353358,889695,592607,766928,729672,615554,527399,393027,220855,94315,4830047
1032,1105,659,620,553,510,393,325,304,176,4652,9045,5452,6226,5175,4827,4816,4250,2893,1193,43874
1033,611,330,294,305,269,327,294,224,133,2783,4722,2788,2775,2593,2920,3624,3555,2458,1086,26519
1034,241,147,122,143,170,210,178,106,54,1375,2608,1378,1426,1719,1869,2596,3039,1741,644,17026
1035,1014,674,646,543,520,465,366,268,165,4655,11409,8015,8118,6850,6335,6286,5282,3211,1488,57003
1036,4223,3158,2777,2613,2712,2470,1880,1349,898,22078,54767,39592,39317,37753,38260,37926,31070,19040,7966,305691
2000,12317,7497,7633,8822,9740,10651,9344,5361,2398,73767,118011,68456,68929,76856,93509,112766,105370,53737,18413,716050
2001,414,204,247,211,219,175,160,78,21,1731,5158,2767,3571,3442,3135,2664,2371,1187,431,24717
2002,279,149,172,125,167,168,175,144,121,1504,2698,1638,1807,1580,1787,2010,2117,1477,567,15684
2003,1812,1213,1167,968,1090,909,754,490,289,8690,21017,13946,15403,13881,13566,13020,11670,6629,2851,111973
2004,1762,1058,1107,963,965,959,709,523,390,8448,19389,12471,13979,12582,12136,12212,11096,6354,2812,103034
2005,125,117,261,230,212,150,143,133,117,1497,1608,844,1057,1365,1533,1631,1779,1064,472,11352
2006,196,117,133,108,133,115,126,88,36,1050,2176,1387,1657,1409,1489,1553,1536,1056,502,12756
2007,337,204,196,182,238,259,252,194,134,2006,3814,2338,2351,2308,2763,3085,3166,1985,753,22568
2008,4022,2914,3138,2927,2695,2347,2092,1238,617,21997,52506,34379,40178,37815,35719,33780,30849,17271,7134,289630
2009,326,212,102,206,247,192,162,70,19,1538,4763,2519,1727,3066,3378,2951,2322,1172,319,22200
2010,279,205,193,149,125,144,114,98,56,1348,3161,1932,2254,1913,1893,2136,1857,1245,589,16985
2011,61770,43224,57174,48695,42599,33952,24423,16079,9438,337358,872036,592184,778028,722456,615047,516353,393854,229530,98370,4817843
2012,1212,703,756,718,725,644,546,329,218,5850,10038,6113,7176,6274,6686,6775,5804,3359,1391,53620
2013,464,245,275,233,273,289,254,130,52,2210,3680,2384,2703,2390,2689,3141,2886,1515,602,21997
2014,199,108,101,138,127,133,130,70,23,1027,1764,1171,1080,1204,1474,1755,1622,816,346,11230
2015,226,177,170,161,186,132,127,72,67,1322,2805,1687,1869,1785,1900,1899,1800,1098,465,15301
2016,1169,718,733,668,605,598,440,349,151,5433,10632,6420,7295,6540,6425,6290,5443,3386,1406,53841
2017,266,124,152,120,92,117,98,64,43,1067,2146,1253,1643,1338,1133,1321,1116,813,417,11186
2018,929,534,589,547,529,523,404,331,292,4669,7803,4876,5760,5089,5134,5586,4902,2879,1221,43252
2019,328,178,188,169,190,188,169,139,87,1643,3429,2165,2282,2229,2388,2478,2399,1714,795,19882
2020,784,373,453,422,431,383,341,234,86,3507,8318,4574,5681,4929,5047,5318,4958,2949,1045,42827
2021,618,400,330,416,376,329,281,218,130,3089,6258,3982,4543,4287,4493,4622,4121,2376,1073,35743
3000,16964,11237,13210,12552,13776,13158,9720,5071,1696,97388,135694,77513,82708,85421,99933,114001,96555,46900,13151,751871
3001,253,283,505,333,325,274,166,53,6,2189,2274,1802,2826,2190,1991,1778,1199,405,51,14523
3002,35757,25488,29072,25720,22744,17150,11953,7350,4625,179874,470864,323786,366059,351411,318363,261654,203018,110618,41514,2447280
3003,1204,730,757,664,763,744,669,500,244,6280,12559,7964,8114,7748,8631,9736,9930,6723,2337,73747
3004,3076,2276,2813,2467,2441,1967,1364,668,280,17352,29125,17966,20478,21147,22038,19190,14428,6799,2244,153425
3005,345,220,272,292,205,192,78,36,32,1674,3554,1893,2239,2217,1763,1437,646,254,79,14089
3006,935,498,562,601,625,509,281,159,72,4254,9888,5557,6074,6080,6301,5672,3516,1585,520,45185
3007,10705,7629,9045,8191,8119,6791,5299,3503,1849,61116,121069,82049,92682,92660,91977,82452,72033,42694,15985,693596
3008,421,267,235,208,225,200,164,99,77,1892,4040,2671,2489,2434,2688,2806,2783,1759,754,22424
3009,845,504,440,484,601,601,696,577,245,4990,8890,5166,4889,5498,6614,8222,10036,6389,2010,57722
3010,232,140,124,105,101,99,99,45,28,972,2108,1321,1412,1150,1135,1190,1204,702,315,10545
3011,1769,1219,1476,1454,1402,1195,629,391,195,9733,16949,10276,11535,11493,11083,10470,7125,3843,1552,84333
3012,471,393,495,463,348,333,285,190,89,3067,4291,3005,2716,2847,3279,3975,4181,2369,825,27489
3013,461,333,431,366,331,244,102,63,19,2347,4331,2493,3284,2625,2222,1878,907,465,114,18317
3014,1590,1181,1393,1317,1115,883,490,284,147,8399,16246,10434,11158,10341,9457,9174,6774,4028,1683,79293
3015,5513,3692,3653,4048,4429,3935,3085,2000,1256,31607,65708,41150,40917,46836,52035,51398,47013,27618,10225,382903
3016,2099,1526,1419,1299,1282,1175,938,623,321,10681,28123,18653,18880,17178,16826,15961,14126,8861,3564,142163
3017,3422,3420,3370,2859,2497,1764,1048,580,258,19208,34665,26738,26559,23596,22846,20069,14540,7493,2506,179011
3018,331,163,145,137,178,174,140,127,70,1473,2894,1790,1729,1436,1765,2051,2027,1366,465,15525
3019,294,218,264,268,309,320,152,101,53,1982,3737,2253,2190,2410,2646,2926,2302,1310,480,20244
4000,4080,2579,2780,2948,3544,3869,3251,1848,768,25663,45453,26325,27167,29212,35468,42841,39144,19968,6809,272390
4001,15061,10946,11739,11288,11113,9821,7209,4768,2703,84659,234316,167100,192093,182556,172090,165080,138364,80593,36015,1368209
4002,481,287,271,270,306,285,257,184,119,2466,5354,3472,3586,3341,3699,3837,3342,1988,824,29446
4003,319,229,347,324,268,204,148,110,49,2001,3068,2068,2315,2040,2191,2389,2132,1475,570,18243
4004,332,234,435,338,241,196,109,64,27,1981,2521,1520,2087,1628,1645,1772,1324,771,248,13515
4005,295,197,200,225,247,210,165,110,59,1717,3023,1789,1967,1949,2095,2170,1851,1022,434,16307
4006,272,163,160,133,152,123,95,71,29,1209,2373,1717,1616,1387,1778,1849,1627,1106,439,13896
4007,232,141,105,146,179,276,334,226,109,1762,3242,1899,1744,2186,2743,4250,6451,4318,1540,28363
4008,410,224,258,225,260,259,134,107,52,1931,3794,2440,2710,2350,2936,2957,2099,1423,449,21154
5000,7072,4682,6996,7170,7043,6104,3955,1912,592,45519,50309,27970,34362,36962,39751,41796,32681,14942,4317,283092
5001,508,336,435,432,420,431,359,206,113,3239,6091,3781,3773,3839,4425,4793,4515,2701,1133,35053
5002,571,300,440,397,407,270,122,39,18,2566,3421,1552,2504,2413,2075,1573,819,237,63,14660
5003,1233,825,1033,976,953,834,585,344,209,6990,15186,8636,9396,10065,10003,9605,7859,4162,1539,76452
5004,646,321,399,482,486,433,389,247,82,3481,7596,3654,3811,5149,5485,5341,5494,2956,1045,40544
5005,321,183,165,175,206,170,148,118,27,1522,2303,1311,1333,1398,1582,1627,1322,858,275,12003
5006,1028,608,657,675,671,554,365,220,109,4890,7736,4489,4610,4767,5253,4994,3839,2078,828,38595
5007,814,519,683,617,558,473,233,81,31,4006,6476,3575,4745,4344,3889,3399,1770,669,202,29072
5008,729,348,556,598,418,255,86,15,4,3005,4497,1816,3195,3353,2357,1328,384,75,11,17013
5009,27319,19561,25041,23414,21398,16992,11623,7462,4677,157488,398380,253674,301619,304430,271487,237421,188232,102330,40664,2098239
5010,575,334,566,475,370,302,73,19,7,2721,3779,1619,3009,2783,1956,1568,455,103,25,15298
6000,2568,1599,1569,1732,1949,2389,2075,984,349,15210,26482,15767,16845,17797,21768,27767,24451,11346,3095,165335
6001,457,265,218,247,296,248,228,150,54,2161,4925,3141,3264,3129,3415,3786,3328,2087,744,27826
6002,488,280,299,258,286,297,291,216,112,2528,5355,3451,4142,3419,3950,4095,4001,2419,888,31721
6003,2874,2010,2516,2031,1976,1733,1408,945,422,15916,37944,26030,37415,29118,26977,26680,23599,13544,5344,226653
6004,1215,990,943,766,770,719,567,448,244,6657,15589,11140,13481,10956,11245,10748,9461,5911,2417,90953
6005,200,141,102,126,150,155,156,106,43,1175,2336,1561,1508,1536,1843,2307,2154,1340,496,15086
7000,2234,1528,2140,1781,1641,1358,716,184,22,11609,17843,11841,13513,11541,10393,8355,4509,1270,208,79475
7001,465,258,444,369,318,308,153,63,20,2407,5398,2773,4872,4023,3313,3048,1701,604,176,25912
7002,2640,1846,2980,2392,1920,1367,793,322,117,14380,25655,15355,24509,20253,16262,12824,8287,3287,779,127215
8000,17,28,25,40,44,44,28,3,0,237,265,271,230,243,241,215,145,50,9,1666
8001,5276,4897,5303,4145,3492,2800,2094,1183,589,29778,89535,64674,83719,74476,61337,49833,38421,20774,7756,490517
9000,128,92,219,157,139,115,82,53,6,983,825,410,583,642,665,772,586,257,66,4788
