SUA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1000,69,174,8,10,15,186,351,422,958,10277,9320,1631,21230,765,768,1532,22770,16596,748,40108
1001,13,33,0,0,0,33,28,26,83,1449,1237,187,2869,97,110,204,3074,1769,55,4899
1002,0,0,0,0,0,0,8,4,11,286,246,35,570,21,17,34,603,417,8,1028
1003,3,3,0,0,0,8,14,12,29,610,596,74,1288,26,34,54,1345,765,28,2135
1004,0,3,0,0,0,3,7,5,21,195,230,32,455,10,10,20,480,355,16,850
1005,7,17,0,0,0,15,14,14,48,657,479,65,1193,32,39,72,1273,614,19,1910
1006,3,10,0,0,0,10,11,4,21,477,414,66,964,13,19,33,996,601,16,1608
1007,6,10,0,0,0,10,10,8,29,299,201,55,553,19,17,41,588,461,13,1063
1008,0,3,0,0,0,3,0,0,3,83,117,25,220,0,6,11,232,146,4,385
1009,7,7,0,0,0,7,6,6,11,172,190,30,392,14,16,28,423,286,16,728
1010,14,51,3,0,3,55,111,105,268,4781,4005,1191,9975,295,268,558,10535,7368,206,18103
1011,8,12,0,0,0,17,22,30,69,1068,963,137,2173,72,66,144,2310,1437,57,3810
1012,4,15,0,0,0,13,15,23,56,712,425,92,1231,32,33,65,1301,655,39,1991
1013,0,7,0,0,0,7,15,7,27,213,237,52,498,14,6,22,520,467,18,1007
1014,3,7,0,0,0,7,13,6,19,380,289,43,714,19,29,47,762,465,10,1236
1015,4,4,0,0,0,8,14,14,33,276,283,39,602,26,27,55,653,554,22,1226
1016,0,0,0,0,0,0,11,10,19,286,190,30,510,11,15,28,540,303,16,852
1017,3,3,0,0,0,3,15,23,39,204,198,49,446,38,24,58,506,478,33,1015
1018,4,10,0,0,0,10,8,18,29,515,465,58,1041,25,45,76,1116,725,27,1868
1019,0,0,0,0,0,4,4,7,13,133,142,32,311,13,17,27,339,339,15,693
1020,0,3,0,0,0,3,9,7,14,188,159,34,381,12,6,16,400,229,10,644
1021,4,6,0,0,0,6,7,12,33,322,295,82,703,19,27,47,747,564,21,1329
1022,0,0,0,0,0,0,6,0,5,180,148,20,348,8,9,18,366,189,6,566
1023,4,8,0,0,0,9,6,5,20,190,136,34,366,17,14,33,398,254,9,663
1024,4,7,0,0,0,7,3,7,9,307,318,62,683,27,26,49,732,449,9,1187
1025,40,77,0,3,6,88,136,118,343,7422,5970,1090,14474,458,472,924,15405,9608,277,25283
1026,4,5,0,0,0,8,17,10,34,507,487,82,1070,37,41,75,1147,844,18,2011
1027,0,9,0,0,0,9,15,14,38,680,428,64,1171,34,32,70,1245,686,30,1957
1028,0,4,0,0,0,4,15,12,27,680,606,72,1356,30,47,73,1431,912,28,2376
1029,0,3,0,0,0,3,6,0,9,223,186,34,447,15,16,42,481,276,11,768
1030,0,3,0,0,0,3,8,3,14,221,244,44,512,20,20,36,550,412,14,981
1031,241,530,15,7,24,553,930,1228,2710,53219,31575,11413,96200,3283,2844,6130,102333,83648,2257,188234
1032,0,3,0,0,0,4,20,26,53,690,526,85,1303,64,75,138,1440,920,43,2401
1033,0,3,0,0,0,4,23,25,54,293,401,66,760,41,47,92,851,805,32,1689
1034,7,8,0,0,0,8,4,3,14,175,230,39,443,10,9,19,465,323,5,787
1035,5,8,0,0,0,9,23,21,54,839,641,81,1566,57,50,100,1666,991,46,2707
1036,13,39,4,0,0,42,84,80,203,3752,3022,856,7630,207,194,398,8026,5962,166,14154
2000,52,141,3,3,6,149,225,245,616,6443,6532,1104,14082,385,451,839,14918,10042,434,25393
2001,0,0,0,0,0,6,4,3,12,371,259,40,669,25,25,44,714,413,7,1136
2002,0,0,0,0,0,0,7,9,16,182,197,32,408,8,17,25,435,312,16,762
2003,4,12,6,0,6,23,39,41,99,1507,1538,217,3265,126,116,245,3512,2100,69,5686
2004,9,12,0,0,0,16,34,33,76,1469,1401,203,3080,78,91,173,3253,1965,53,5278
2005,0,0,0,0,0,0,3,0,6,137,193,25,350,5,6,5,356,196,7,553
2006,0,0,0,0,0,0,5,4,8,135,167,32,336,4,5,5,342,190,9,543
2007,3,4,0,0,0,6,6,6,16,253,246,50,548,14,11,32,573,345,14,933
2008,17,46,0,0,3,48,69,63,180,3658,3293,500,7444,199,225,420,7870,4204,132,12202
2009,0,0,0,0,0,0,0,10,9,248,206,28,478,7,11,12,499,173,12,682
2010,4,4,0,0,0,4,5,8,10,197,206,34,438,8,13,23,458,296,7,764
2011,286,673,22,19,44,710,962,1155,2830,58594,41489,6950,107033,3514,3661,7170,114202,74943,2215,191358
2012,8,21,0,0,0,21,33,19,77,762,564,110,1429,47,60,104,1536,984,47,2568
2013,0,3,0,0,0,8,15,16,28,249,262,44,560,30,31,63,622,519,25,1171
2014,0,4,0,0,0,4,5,6,12,133,133,21,283,13,15,27,314,232,11,554
2015,0,4,0,0,0,4,3,4,10,189,199,30,416,17,16,35,450,300,8,763
2016,6,9,0,4,4,10,27,33,68,671,617,101,1388,47,56,97,1486,1022,56,2564
2017,0,4,0,0,0,4,0,3,6,139,130,25,293,10,7,15,308,184,4,499
2018,0,14,0,0,0,11,24,22,57,564,579,86,1229,75,57,128,1357,939,42,2338
2019,0,0,0,0,0,0,6,3,11,272,283,38,589,25,18,41,632,387,9,1028
2020,3,8,0,0,0,8,9,10,23,489,518,78,1084,36,31,68,1158,638,19,1813
2021,0,4,0,0,0,4,11,7,18,469,505,83,1062,20,27,52,1113,521,24,1655
3000,67,167,15,10,19,191,269,337,787,7343,5914,1186,14440,816,655,1472,15913,12451,578,28942
3001,0,7,0,0,0,4,5,4,9,180,123,14,322,11,11,21,347,127,8,481
3002,158,370,12,14,33,403,441,609,1452,36444,22074,5933,64456,2592,2336,4932,69383,38853,1105,109346
3003,3,13,0,0,0,17,24,35,70,972,898,120,1989,101,107,213,2197,1539,55,3792
3004,3,19,3,3,4,22,38,62,127,2603,1979,261,4846,226,207,430,5274,2476,96,7847
3005,0,3,0,0,0,3,0,10,12,221,115,29,357,7,16,21,381,104,10,497
3006,8,7,5,5,4,13,10,17,34,660,469,77,1209,97,86,191,1391,796,20,2212
3007,53,118,3,7,11,124,139,202,467,9700,7875,1907,19491,644,675,1324,20813,11006,351,32171
3008,0,6,0,0,0,6,8,13,27,290,343,45,679,25,22,49,727,665,19,1413
3009,5,14,0,0,0,11,33,25,70,675,705,94,1477,83,76,159,1631,1284,40,2958
3010,0,4,0,0,0,4,5,0,9,124,135,20,286,9,11,16,297,240,0,538
3011,14,15,0,0,0,15,21,20,62,1381,876,132,2397,91,80,169,2562,1161,39,3763
3012,0,0,3,0,4,7,14,8,28,284,306,44,626,45,51,102,724,773,21,1523
3013,6,7,0,0,0,7,11,8,23,348,118,36,497,31,17,51,547,318,9,882
3014,3,21,0,0,3,17,25,33,78,1315,912,167,2396,128,113,237,2637,1476,55,4164
3015,32,66,0,0,0,68,52,83,207,4748,4325,1041,10112,255,323,573,10690,5357,166,16212
3016,9,24,3,0,3,28,33,32,96,2015,1508,218,3748,152,163,313,4062,2306,65,6433
3017,14,25,0,6,6,30,34,51,124,3112,1992,325,5432,235,220,452,5884,2831,105,8817
3018,0,0,0,0,0,5,7,6,22,202,191,35,428,28,22,53,481,341,13,835
3019,0,0,0,0,0,0,0,5,7,280,223,40,535,20,14,34,576,245,11,829
4000,18,50,3,4,7,59,83,79,221,2412,2413,332,5160,214,179,395,5549,3510,138,9200
4001,69,176,12,13,25,205,254,252,711,19514,15009,1911,36429,1294,1414,2709,39140,23711,540,63388
4002,0,3,0,0,0,3,12,4,19,395,411,52,858,33,34,72,931,489,13,1431
4003,0,3,0,0,0,4,8,3,15,233,211,27,478,39,21,57,539,411,7,960
4004,0,4,0,0,0,7,10,9,17,173,131,37,341,22,29,47,390,313,15,722
4005,0,0,0,0,0,0,3,10,12,158,229,25,410,12,11,25,432,296,17,747
4006,0,0,0,0,0,0,14,13,22,169,189,19,381,28,24,53,430,382,22,837
4007,3,3,0,0,0,3,5,0,7,219,348,40,614,10,15,26,639,450,5,1090
4008,5,6,3,0,3,9,17,6,33,281,268,45,594,40,40,78,672,520,15,1201
5000,11,35,3,3,8,45,109,123,275,2370,2056,333,4756,223,227,445,5205,3755,197,9156
5001,3,3,0,0,0,3,9,10,21,403,427,48,875,22,26,47,925,539,18,1478
5002,0,7,0,0,0,6,10,20,37,243,117,21,381,10,12,24,404,203,25,633
5003,3,13,0,0,0,13,16,10,39,1113,931,141,2178,74,85,168,2340,1191,21,3556
5004,0,6,0,0,0,6,3,9,17,446,516,54,1015,20,18,40,1050,428,8,1496
5005,0,4,0,0,0,4,0,3,9,140,93,15,252,8,12,17,271,172,13,452
5006,0,3,0,0,0,3,10,17,29,539,418,60,1014,45,51,98,1110,665,32,1809
5007,6,11,0,0,0,11,3,26,41,466,173,39,680,24,17,36,714,304,34,1054
5008,0,0,0,0,0,0,0,5,8,203,64,17,284,5,10,12,301,65,4,371
5009,134,283,17,21,34,315,299,466,1083,28762,20707,2665,52129,2011,2200,4210,56338,28368,831,85539
5010,0,5,0,0,0,5,7,12,22,221,57,23,305,13,10,26,325,152,15,494
6000,9,26,3,0,3,26,55,42,119,1534,1608,232,3373,165,159,317,3690,2673,80,6446
6001,0,0,0,0,0,4,5,14,24,332,354,44,725,36,55,89,818,676,25,1520
6002,4,9,0,0,0,9,17,19,42,436,446,64,950,50,52,100,1056,708,32,1795
6003,6,21,0,7,8,24,73,43,139,3281,2800,369,6456,231,238,469,6920,3889,117,10928
6004,7,13,0,0,4,12,31,19,58,1300,1210,130,2642,88,138,226,2864,1668,42,4572
6005,0,0,0,0,0,0,9,4,11,177,197,31,400,15,13,26,432,291,10,729
7000,6,17,0,5,5,21,49,75,150,674,389,122,1185,158,94,250,1431,2165,123,3717
7001,0,8,0,0,0,8,13,6,28,471,171,36,678,27,17,41,719,418,16,1155
7002,5,16,4,0,4,23,20,41,77,2364,844,185,3386,115,85,210,3595,1503,103,5200
8000,0,0,0,0,0,0,0,0,0,17,7,0,22,0,4,4,24,9,0,32
8001,14,40,4,0,6,44,38,73,159,8381,3352,641,12375,271,242,514,12886,5260,134,18278
9000,0,0,0,0,0,0,0,0,4,47,39,4,92,0,3,4,95,38,0,135
