SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
3001,4,8,0,100,0,0,5,0,0,0,0,0,0,4,123,134,0,0,0,5,0,0,0,3,0,6,11,25,325,108,9,243,30,103,20,124,16,332,136,1434
3002,173,1403,42,26068,187,39,94,133,135,187,54,103,73,520,8091,9620,139,29,105,81,49,57,7,49,63,947,1090,2620,57988,10705,2401,33245,7673,23892,3585,14634,4009,74788,10079,242988
3003,4,38,0,361,6,0,4,0,0,4,0,6,3,40,336,411,6,4,10,4,3,3,0,0,9,102,74,212,1326,327,57,1012,103,705,64,590,118,4652,487,9439
3004,14,64,0,1247,13,5,5,10,5,11,7,9,0,29,758,860,10,5,14,4,0,4,0,3,3,66,72,178,3630,827,152,2505,301,1420,177,1172,206,4047,906,15333
3005,5,4,0,178,0,0,5,0,0,0,0,0,0,5,109,118,0,0,0,0,0,0,0,0,0,4,7,13,414,47,17,236,29,132,19,53,20,148,112,1234
3006,6,13,0,437,4,0,0,3,0,3,4,0,0,10,280,320,6,0,0,3,0,0,0,0,0,20,15,52,1005,142,39,686,99,567,45,272,74,1278,302,4512
3007,70,643,12,6115,60,23,28,64,46,51,25,43,44,213,2544,3132,62,17,49,39,15,26,13,28,29,433,461,1158,13281,4373,851,10265,1986,6271,1387,5558,1341,27172,3396,75893
3008,0,3,0,62,4,0,0,5,0,0,0,6,0,4,87,100,0,0,3,0,0,0,0,0,0,24,20,56,324,89,14,306,30,195,20,183,40,1155,131,2489
3009,4,34,0,266,5,0,0,0,5,7,0,4,5,40,297,367,3,0,5,3,0,0,3,7,0,93,77,181,779,257,46,654,86,523,59,579,106,4992,442,8518
3010,0,0,0,46,0,0,0,0,0,0,0,0,0,6,37,46,5,0,0,3,0,0,0,0,0,9,4,28,193,42,0,161,16,108,16,65,18,464,52,1141
3011,3,49,3,869,8,0,3,5,4,4,0,4,4,21,719,777,5,0,10,9,0,0,3,0,3,52,54,142,2207,254,83,1261,156,864,78,520,97,2348,815,8682
3012,0,8,0,105,0,0,0,0,0,0,0,3,0,7,120,140,5,0,0,6,0,3,0,5,0,45,32,89,350,122,25,331,41,244,27,229,39,1789,182,3374
3013,7,4,0,266,0,3,0,0,4,0,0,0,5,0,99,114,4,0,9,6,0,0,0,3,0,4,8,27,632,26,25,186,50,185,13,44,22,211,116,1517
3014,13,21,0,544,6,5,3,0,3,12,3,3,7,24,495,555,3,0,5,4,0,6,0,0,3,50,52,120,1637,251,70,1046,147,757,80,442,110,2432,597,7564
3015,60,503,7,3647,34,13,20,32,17,37,11,26,17,131,1808,2148,18,17,26,12,12,17,0,8,14,266,235,623,6663,2664,554,5830,1135,3227,836,3607,898,20685,2232,48330
3016,6,71,0,1040,10,0,8,6,6,7,7,10,0,34,696,782,14,3,5,4,0,6,3,0,3,102,79,231,3312,642,101,2210,244,1392,136,1009,191,5636,850,15727
3017,11,67,0,1319,14,4,5,11,7,18,4,8,8,33,1168,1290,9,6,7,11,0,7,0,3,0,94,78,213,4599,621,164,2698,337,1735,153,1116,244,4905,1316,17886
3018,0,9,0,40,0,0,0,0,0,6,0,3,0,4,70,80,3,0,0,0,0,0,0,0,0,13,18,42,268,74,11,225,24,151,21,140,20,825,101,1863
3019,0,15,0,221,0,0,0,0,0,0,0,0,5,4,219,229,0,0,0,0,0,4,0,0,0,14,18,44,436,78,24,284,45,206,24,161,39,989,248,2541
4000,27,167,7,1732,24,9,0,24,12,38,8,39,21,127,1599,1905,39,16,38,26,12,25,4,21,11,288,256,743,5548,1990,349,5273,532,2752,414,2796,543,13999,2153,36353
4001,96,964,22,10588,85,26,25,79,42,101,16,73,27,407,4519,5402,60,26,38,47,30,39,8,27,19,677,619,1590,27380,7223,744,20262,2028,12418,1229,10707,1463,53280,5847,142591
4002,3,15,0,136,0,0,5,3,0,5,0,8,0,8,103,129,6,5,0,3,0,0,0,5,0,26,11,53,647,144,20,552,55,271,33,246,29,1258,138,3390
