SUA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
1000,0,0,0,0,3,11,5,19,0,0,0,7,0,4,5,57,0,0,0,3,0,10,40,48,21,13,7,5,5,0,9,163,11,22,138,228,193,195,287,172,29,34,29,62,33,11,34,1479,15,41,44,43,132,163,383,247,100,114,165,265,56,11,107,1875,11,69,253,101,28,34,10,7,0,0,0,0,4,0,18,546,28,55,68,18,11,24,41,14,0,6,10,15,0,4,15,314,14,22,47,65,123,113,137,118,26,30,46,68,72,69,60,1002,510,991,546,330,513,312,373,181,35,37,33,44,26,9,151,4085,9,107,198,37,13,14,9,12,0,0,0,0,0,0,23,423,10,15,56,54,85,49,47,40,0,13,13,11,18,9,26,459,41,42,114,125,110,163,804,640,222,236,236,290,131,74,102,3312,17,61,46,30,46,59,98,95,20,29,41,78,30,4,24,676,6,0,6,11,28,24,34,63
1001,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,11,0,0,0,0,0,8,34,40,3,4,0,0,6,3,0,91,0,0,13,11,9,14,21,14,4,3,3,0,0,0,0,98,0,0,0,5,10,22,59,48,26,11,13,19,3,0,0,222,0,28,83,20,6,10,0,0,0,0,0,0,0,0,5,150,0,3,6,3,0,0,11,4,0,0,0,0,0,0,0,37,0,0,6,3,24,14,13,7,0,4,0,0,0,0,3,78,92,215,80,41,27,10,28,14,0,7,0,0,7,0,19,539,8,22,21,3,8,0,5,0,0,0,0,0,0,0,0,65,0,0,5,0,11,11,5,10,3,3,0,0,0,0,0,53,3,0,14,12,12,22,436,415,122,144,117,101,39,6,17,1474,0,0,0,0,3,7,10,11,7,0,3,0,0,0,0,56,0,0,0,3,8,6,13,17
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,22,6,13,27,9,0,0,0,101,0,0,7,16,0,5,15,8,0,3,3,4,0,0,0,71,0,0,0,3,0,16,46,21,9,5,8,22,5,0,5,137,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,5,7,0,3,3,5,0,0,0,0,25,0,16,8,5,11,8,3,10,0,0,0,3,0,0,0,72,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,8,0,0,0,3,6,3,3,0,0,0,0,0,0,0,0,23,4,0,0,4,3,6,61,46,18,23,37,42,15,4,4,266,0,0,0,3,0,5,7,4,0,5,0,4,0,0,0,23,0,0,0,0,3,3,4,19
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,14,18,16,22,31,26,3,6,3,4,4,0,0,148,0,6,0,4,3,5,28,0,0,0,3,3,0,0,0,52,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,4,0,3,10,5,5,4,0,0,0,0,0,0,4,35,20,43,19,6,23,14,26,17,3,3,6,4,0,0,0,184,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,3,11,8,4,3,0,0,0,4,0,0,0,30,7,0,9,6,8,7,56,40,3,3,13,18,4,3,5,182,0,0,0,0,5,4,17,4,4,0,6,5,4,0,0,45,0,0,3,0,7,8,3,5
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,6,7,0,0,0,0,0,5,0,40,0,0,0,0,8,3,10,12,0,0,3,0,0,0,3,45,0,28,41,14,0,4,0,0,0,0,0,0,0,0,4,80,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,19,45,15,6,6,4,3,0,0,0,0,3,0,0,5,119,0,9,16,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,10,13,6,9,13,21,16,0,0,91,0,5,0,4,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,20,0,0,0,0,0,7,10,20,0,8,9,3,3,0,0,55,0,0,0,10,8,8,20,0,0,0,0,5,0,0,4,47,0,0,0,0,10,13,30,21,0,0,4,7,0,0,12,95,0,6,3,9,0,6,0,0,0,0,0,0,0,0,0,28,0,4,4,0,0,5,3,4,0,0,6,0,6,0,0,25,0,0,3,7,5,4,12,0,0,0,7,3,0,0,4,46,19,16,11,4,8,3,0,5,0,0,0,0,0,0,3,79,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,14,0,0,4,0,5,13,91,69,24,29,30,37,16,8,12,346,0,0,0,0,0,0,10,8,6,0,0,0,0,0,4,30,0,0,0,0,3,0,6,12
1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,27,0,5,14,25,13,14,18,7,0,0,3,0,4,0,3,110,5,0,3,0,25,15,39,26,8,4,10,19,4,0,6,161,0,3,17,3,4,5,0,0,0,0,0,0,0,0,0,37,0,5,7,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,15,7,8,4,0,0,0,0,0,0,3,60,36,55,32,25,25,17,13,3,0,0,0,0,0,0,11,213,0,9,27,7,5,0,3,0,0,0,0,0,0,0,0,53,0,0,9,13,10,9,15,7,0,9,4,0,3,0,0,78,6,4,12,13,7,20,102,72,20,30,43,24,11,0,12,386,0,3,0,0,9,3,14,3,0,3,0,0,0,0,0,41,0,0,0,3,4,0,7,14
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,5,7,7,0,6,0,0,0,0,0,0,0,0,0,0,35,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,11,8,6,7,8,12,15,0,0,67,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,14,8,0,4,5,10,5,0,0,75,0,0,0,0,0,0,5,3,0,0,0,4,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,7,8,0,26,12,33,11,8,8,13,14,12,0,9,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,7,5,0,7,6,0,3,0,3,0,0,0,28,0,0,0,0,0,0,5,5,0,0,0,0,3,0,0,15,0,0,0,0,3,0,0,0
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,4,6,3,0,0,0,4,0,0,0,35,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,16,17,17,14,7,6,0,4,0,0,0,0,0,0,5,90,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,3,3,4,0,0,0,4,0,0,0,33,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
