SUA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
3019,4,0,6,17,26,66,191,294,143,739,0,0,5,3,0,4,8,7,5,35,45,74,212,196,231,255,122,108,64,1307,541,959,2190,2410,2641,2926,2302,1310,480,15756
4000,81,84,319,409,573,1200,3067,3891,2182,11812,10,27,83,131,173,167,150,117,80,947,990,873,2236,2268,2819,3254,3169,2264,1096,18968,6017,11960,27148,29200,35446,42826,39133,19958,6808,218505
4001,294,390,1611,2385,2578,4176,9196,12880,8968,42455,62,252,1223,1834,2289,2214,1896,1751,1343,12868,2433,3499,8252,7278,6535,6381,6580,6328,4378,51669,30743,89556,191884,182414,171978,164988,138279,80536,35992,1086375
4002,14,9,49,64,68,120,327,437,277,1364,3,9,33,30,26,25,15,32,10,178,86,108,207,202,214,192,228,244,155,1636,784,1588,3583,3338,3704,3834,3342,1988,824,22983
4003,9,5,41,62,60,96,274,385,213,1156,3,6,15,11,14,15,21,20,4,105,60,69,167,155,173,153,160,133,65,1151,428,1051,2314,2035,2191,2384,2136,1475,571,14581
4004,11,11,49,36,45,76,179,212,96,713,4,4,20,9,9,23,13,16,4,92,72,66,188,169,164,160,131,116,29,1096,367,750,2083,1627,1641,1773,1321,771,248,10580
4005,4,3,18,16,28,54,158,198,136,630,0,0,3,0,5,0,7,3,0,23,69,70,137,171,165,156,147,112,56,1082,387,846,1966,1946,2095,2170,1850,1022,434,12718
4006,6,9,19,19,41,90,228,317,175,906,0,0,0,6,10,5,0,10,11,55,43,55,133,103,116,112,123,105,47,847,370,871,1616,1385,1778,1849,1627,1106,439,11039
4007,5,3,8,32,23,56,241,398,284,1064,0,0,5,4,10,6,14,12,8,61,35,36,66,97,126,203,310,316,205,1393,416,794,1744,2186,2743,4250,6444,4312,1537,24426
4008,12,11,22,34,39,93,214,272,96,797,0,3,13,7,16,5,10,13,6,80,67,91,198,175,238,215,173,184,101,1441,497,1219,2712,2349,2932,2957,2099,1415,445,16625
5000,183,138,391,418,671,1002,1875,2051,942,7674,27,44,129,164,243,215,198,196,96,1311,1650,2097,5737,5898,6031,5368,3814,2256,868,33716,7719,13341,34342,36932,39728,41782,32671,14938,4316,225771
5001,8,12,37,44,47,105,202,340,222,1022,0,5,18,27,36,19,19,10,17,147,86,79,219,221,240,274,294,281,190,1879,991,1605,3773,3838,4423,4787,4515,2701,1136,27780
5002,8,4,8,16,23,26,62,33,15,195,4,0,3,11,12,9,9,3,8,65,124,134,428,326,351,247,119,44,17,1781,421,748,2500,2409,2075,1574,819,237,63,10842
5003,17,22,58,67,91,171,398,557,310,1695,5,0,27,19,27,44,30,29,24,206,179,223,646,570,590,571,522,375,288,3959,2067,3887,9397,10065,10006,9601,7858,4159,1539,58569
5004,9,11,21,25,36,72,174,278,245,863,0,5,34,10,18,20,12,9,13,114,102,77,319,350,333,318,339,289,163,2291,921,1390,3811,5145,5486,5341,5498,2958,1045,31596
5005,6,0,10,9,17,41,71,115,64,330,0,0,0,3,0,7,10,0,5,24,74,69,141,163,192,147,157,144,39,1121,359,578,1333,1398,1581,1626,1321,858,275,9323
5006,20,15,25,35,58,141,271,364,199,1126,0,12,16,21,20,31,36,36,28,196,216,191,473,508,495,431,312,269,154,3042,1225,2033,4611,4762,5252,4990,3835,2078,828,29612
5007,10,13,22,53,64,97,128,101,49,541,6,4,12,30,23,18,12,6,6,113,146,214,510,445,391,384,258,129,74,2544,878,1958,4745,4336,3890,3392,1765,671,202,21839
5008,3,0,5,17,32,22,31,7,3,125,5,4,5,12,5,3,3,7,0,35,128,164,514,525,359,219,71,17,3,2000,428,890,3191,3349,2352,1324,386,75,11,12007
5009,470,463,1665,2636,3384,4976,9135,11341,7108,41175,97,231,1331,1872,2112,2177,1898,1564,1154,12438,4342,6693,18131,16112,13720,11584,10458,9775,7365,98174,54294,131292,301393,304236,271295,237243,188097,102237,40626,1630708
5010,6,8,15,32,37,46,43,23,8,211,4,0,7,12,20,7,11,4,0,60,119,157,496,426,336,278,83,21,8,1928,448,825,2999,2781,1955,1568,453,103,25,11161
6000,65,40,104,136,254,726,1416,1283,804,4827,15,9,39,38,34,57,61,49,40,333,545,493,1246,1332,1527,1989,2098,1381,570,11167,3994,7286,16833,17790,21764,27754,24438,11343,3097,134310
6001,10,6,27,31,66,113,246,302,263,1061,3,0,14,9,26,18,22,7,6,116,99,87,178,178,226,198,243,233,118,1552,723,1573,3263,3124,3417,3785,3325,2087,744,22044
6002,13,24,34,38,50,105,227,291,263,1039,0,11,20,8,15,25,21,11,3,108,59,69,221,156,174,247,312,279,158,1673,803,1705,4141,3412,3947,4094,4000,2417,888,25412
6003,69,70,241,242,304,553,967,1341,1101,4878,6,25,166,131,175,163,152,92,55,971,462,592,1811,1269,1090,1140,1373,1247,679,9672,4941,13820,37399,29106,26968,26672,23591,13530,5345,181367
6004,24,49,161,158,158,262,500,621,593,2530,3,21,96,133,165,107,61,65,26,678,209,375,712,483,467,518,564,646,412,4380,2158,5881,13471,10950,11233,10744,9462,5911,2416,72231
6005,0,4,9,16,33,54,150,171,185,618,0,0,0,0,0,3,4,4,0,23,54,47,72,90,103,108,154,143,58,831,350,709,1508,1535,1841,2305,2154,1340,496,12237
7000,446,414,842,837,844,762,628,228,40,5048,58,78,132,169,204,226,253,124,44,1288,620,791,1917,1612,1613,1370,778,231,33,8970,3851,6012,13486,11528,10387,8352,4507,1270,208,59599
7001,52,44,104,104,129,139,181,92,30,876,3,7,31,35,48,52,54,25,22,271,109,94,395,314,279,256,169,73,31,1718,697,1283,4874,4023,3310,3044,1700,603,175,19706
7002,51,33,168,259,378,488,685,518,186,2769,8,29,84,102,127,148,161,104,42,799,522,816,2323,1783,1480,1131,785,399,159,9390,3094,8444,24492,20236,16249,12810,8275,3285,778,97657
8000,5,0,4,0,0,4,0,4,3,28,0,0,0,0,0,0,0,0,0,0,10,9,25,41,40,34,27,6,5,200,69,130,230,243,241,215,145,50,9,1324
8001,84,77,348,438,554,997,1830,1974,1138,7434,20,50,291,249,281,308,294,323,182,2000,1204,1976,4096,2849,2144,1806,1839,1462,881,18257,12548,36372,83670,74445,61302,49810,38401,20758,7753,385062
9000,0,0,3,5,15,33,67,21,3,146,0,0,0,0,9,30,43,26,9,119,23,56,211,153,135,128,84,52,5,860,85,218,578,636,655,767,586,257,66,3851
