SUA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1028,4677,4136,1599,125,10540,2859,390,13782,691,171,295,19,1174,1366,95,2636,271,121,152,12,552,357,56,969,964,288,450,28,1730,1718,153,3606,249,67,121,11,446,795,63,1300,145,45,42,5,238,320,19,575,277,45,68,3,398,522,54,972,58,7,8,0,74,58,0,134,4,9,3,0,12,5,0,22,738,178,243,21,1178,1693,135,3011,9,0,0,0,8,11,0,18,15,0,0,0,18,38,0,58,0,0,0,0,0,0,0,0,4,3,3,0,13,7,0,21,22,6,6,0,34,56,0,96,15,0,3,0,17,28,5,52,6411,4608,2308,170,13497,6364,681,20544
1029,1416,1892,622,45,3975,1002,110,5087,67,54,59,4,186,201,12,399,31,11,35,5,82,117,19,209,99,70,95,9,266,313,27,611,32,12,22,0,72,155,8,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,32,12,22,0,72,156,8,231,4,0,3,0,7,26,3,37,7,0,4,0,11,19,3,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,13,0,5,0,22,52,5,82,4,3,0,0,6,0,0,9,1563,1982,743,62,4345,1524,148,6020
1030,2571,1624,882,54,5126,1866,192,7186,284,19,26,3,335,285,20,640,30,0,3,0,35,45,5,79,316,21,29,3,370,332,23,725,35,15,20,0,66,116,12,199,0,0,0,0,3,0,0,6,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,5,3,6,0,14,9,0,27,47,22,26,0,93,134,9,234,0,0,0,0,0,12,0,21,7,0,4,0,12,20,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,5,0,17,42,0,55,9,0,0,0,8,14,0,25,2939,1676,940,57,5616,2383,224,8225
1031,205843,434694,107567,10076,758183,122340,19480,900007,15481,19890,7822,799,43997,22329,2880,69203,32342,54312,19722,1737,108116,33392,6893,148406,47823,74201,27543,2540,152111,55722,9775,217612,18739,15358,7790,1384,43268,38069,5877,87220,37751,27886,14588,2616,82837,58815,11567,153218,53317,36880,14345,2980,107526,63449,12943,183922,37477,20189,6961,2220,66846,39971,11196,118012,1756,2414,929,127,5236,2280,420,7932,149039,102725,44613,9325,305712,202587,42004,550302,60,20,20,5,102,211,15,326,78,18,29,5,133,290,11,430,12,15,8,0,31,23,0,58,1417,1079,567,141,3212,2260,817,6291,1568,1135,618,153,3474,2792,844,7112,747,736,263,42,1793,1626,274,3688,405022,613494,180606,22149,1221274,385061,72382,1678712
1032,3903,3903,2137,170,10116,3375,461,13946,298,125,137,22,584,1067,72,1727,60,31,28,4,122,200,20,347,354,158,164,28,713,1273,90,2076,36,36,24,5,98,202,12,317,8,0,0,0,7,17,0,22,4,5,0,0,7,9,0,18,0,0,0,0,0,0,0,0,4,3,0,0,5,0,0,10,50,41,28,5,126,226,12,368,5,0,0,0,5,22,0,30,5,0,0,0,11,22,4,37,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,8,16,0,0,0,19,48,4,70,20,4,5,3,37,55,0,93,4338,4119,2341,204,11005,4983,570,16555
1033,2575,2033,1465,113,6190,2241,264,8690,129,24,84,10,241,582,24,849,11,7,13,0,32,37,0,65,143,27,93,10,273,613,23,912,88,28,56,8,182,478,20,680,6,0,0,0,6,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,12,91,29,57,8,185,516,23,725,3,0,0,0,4,34,0,41,5,0,3,0,8,15,0,22,0,0,0,0,0,0,0,0,0,0,0,4,10,8,0,13,10,5,7,3,20,53,3,81,9,0,0,0,7,8,0,22,2826,2100,1624,133,6675,3435,312,10424
1034,2295,1394,683,37,4415,1462,137,6021,54,11,37,3,108,161,8,281,61,23,37,3,121,145,9,278,111,36,76,7,231,305,16,557,35,13,7,0,56,78,9,138,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,6,5,0,16,38,14,12,0,61,90,7,157,8,0,0,0,12,18,0,32,41,3,5,4,48,105,3,160,0,0,0,0,0,0,0,0,4,3,0,0,3,11,0,16,49,7,6,4,72,136,8,208,11,5,0,0,15,7,0,25,2510,1458,776,48,4794,2008,169,6970
1035,4936,5678,2405,198,13217,4091,652,17960,190,69,54,3,318,569,38,927,42,19,19,6,88,110,22,219,235,86,79,5,408,681,60,1149,274,175,146,24,614,1297,114,2025,19,0,0,0,20,89,3,113,11,0,0,0,12,30,0,40,0,0,0,0,0,0,0,0,3,5,0,0,9,13,0,21,299,177,149,24,657,1428,116,2204,3,0,0,0,6,3,0,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,9,8,0,0,18,25,14,63,15,10,3,0,27,32,15,74,6,7,0,0,12,24,0,35,5495,5965,2638,234,14323,6249,845,21419
1036,22753,31328,10149,765,64989,14008,2174,81177,1341,674,789,77,2881,2941,203,6025,2055,1670,1335,97,5154,3076,440,8669,3394,2341,2128,174,8032,6016,645,14694,1280,690,740,92,2807,3673,429,6904,720,265,276,38,1301,1607,360,3266,1381,369,274,60,2081,1766,389,4236,775,219,94,14,1107,746,224,2075,111,88,49,3,257,140,16,407,4275,1634,1427,212,7551,7925,1413,16888,71,9,20,0,95,201,7,306,53,6,14,10,77,145,7,227,0,0,0,0,0,0,0,3,77,63,38,11,186,157,31,374,198,77,70,19,364,501,48,908,36,40,25,0,96,96,9,203,30657,35410,13792,1172,81038,28543,4286,113867
2000,87510,69194,23753,2084,182545,67902,5740,256181,1614,454,685,62,2820,6171,234,9224,322,148,112,13,592,366,49,1006,1935,603,800,80,3415,6540,282,10236,254,75,116,13,460,1264,53,1772,16,5,10,0,28,37,5,65,11,7,0,0,17,19,0,38,8,4,3,0,19,4,0,24,14,18,0,0,40,40,0,83,309,110,131,12,560,1364,56,1980,197,53,30,4,284,703,29,1008,264,69,51,7,384,636,42,1065,28,13,8,0,50,51,7,101,153,109,37,5,304,213,24,543,635,239,125,19,1021,1605,101,2723,182,95,34,0,314,261,51,617,90573,70241,24837,2194,187845,77667,6225,271738
