SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
2005,0,0,0,0,260,260,12,0,0,0,195,202,153,3,5,0,446,615,325,32,29,0,329,713,317,57,97,10,265,746,388,48,137,5,189,771,457,45,168,30,121,819,296,14,76,38,34,457,83,0,10,53,21,169,2033,198,515,139,1859,4743,0,0,0,0,245,245,6,0,0,0,122,128,119,9,0,0,315,442,255,29,40,3,323,657,320,51,113,12,284,788,395,43,190,35,201,856,435,42,249,104,132,967,230,9,128,202,33,605,53,3,27,203,20,303,1814,179,760,565,1684,4999,0,0,0,0,510,510,19,0,0,0,320,334,274,9,5,3,760,1057,579,59,69,3,660,1365,643,108,209,20,551,1533,784,89,328,41,389,1631,895,81,415,133,252,1779,521,21,208,241,65,1064,139,6,37,254,38,472,3851,376,1272,702,3544,9742
2006,0,0,0,0,359,358,3,0,0,0,351,356,198,5,10,3,641,852,386,21,42,3,262,714,370,32,94,0,225,727,399,51,122,23,145,736,458,36,100,29,75,708,336,11,41,72,34,492,109,0,0,58,10,173,2259,161,416,180,2099,5120,0,0,0,0,343,347,3,0,0,0,322,326,241,21,13,0,525,799,387,30,58,3,216,698,366,50,149,7,187,767,412,49,197,51,104,819,493,38,120,123,57,826,250,9,53,221,28,561,56,0,15,242,10,327,2206,204,614,655,1785,5461,3,0,0,0,705,704,9,0,0,0,666,677,433,24,25,7,1163,1657,775,54,99,6,480,1409,739,86,248,12,413,1489,821,98,315,73,246,1553,953,73,222,153,130,1536,584,21,94,288,60,1056,164,4,15,292,16,502,4471,369,1027,831,3885,10580
2007,0,0,0,0,679,679,5,0,0,0,500,510,299,18,8,0,811,1136,648,43,55,0,322,1066,754,90,166,6,303,1314,920,66,236,23,209,1446,1041,57,256,94,90,1532,672,21,92,128,28,949,152,4,19,107,4,290,4499,293,826,358,2946,8928,0,0,0,0,609,608,14,3,0,0,523,542,405,36,24,8,747,1214,705,71,99,10,358,1240,842,105,207,16,279,1449,1008,71,287,98,170,1644,983,80,256,249,63,1634,534,10,120,343,25,1034,87,9,21,345,10,466,4570,388,1017,1070,2785,9829,0,0,0,0,1288,1284,18,7,3,0,1025,1051,708,49,32,5,1553,2351,1350,108,152,11,681,2308,1600,189,373,23,583,2763,1920,140,519,120,379,3085,2027,143,506,340,153,3166,1209,41,213,465,59,1985,236,9,39,451,20,753,9071,683,1843,1424,5737,18753
2008,12,7,0,0,8327,8352,131,6,4,3,9046,9198,5432,219,208,11,14219,20094,10920,644,953,52,5693,18266,10365,903,1951,101,3869,17197,10158,815,2349,269,2275,15871,10410,506,1941,621,1020,14489,5731,171,713,924,279,7821,1539,46,129,919,94,2727,54700,3320,8253,2899,44838,114008,7,3,3,0,7944,7959,250,23,3,3,8592,8867,6817,392,317,15,12541,20083,11412,935,1386,132,5698,19555,10544,1190,2835,324,3625,18523,10345,947,3708,884,2024,17905,9834,538,2976,2126,887,16358,4485,156,1201,3315,298,9450,810,28,225,3230,109,4403,54506,4206,12657,10027,41717,123112,21,10,3,5,16273,16313,385,27,10,7,17641,18066,12250,616,529,30,26759,40178,22330,1576,2340,178,11383,37815,20913,2096,4791,423,7498,35719,20503,1763,6057,1150,4301,33780,20234,1040,4919,2746,1907,30849,10216,322,1908,4237,581,17271,2353,78,348,4153,197,7134,109202,7530,20912,12927,86550,237121
2009,0,0,0,0,835,835,3,0,0,0,524,522,253,10,12,0,562,837,1050,36,47,0,285,1423,1172,60,145,3,222,1603,1098,60,169,23,128,1476,843,36,111,44,73,1113,448,13,49,54,18,587,71,0,10,43,3,127,4946,223,542,173,2649,8530,0,0,0,0,711,711,6,0,0,0,441,448,345,17,22,5,507,887,1169,62,83,3,313,1638,1231,83,222,29,211,1776,1037,55,219,49,113,1475,818,28,172,137,51,1210,310,9,46,194,20,581,36,0,14,136,3,192,4950,260,787,550,2367,8914,0,0,0,0,1544,1544,9,5,0,0,961,970,599,24,27,5,1067,1727,2219,99,137,5,601,3066,2402,141,368,27,434,3378,2133,116,389,73,238,2951,1661,67,286,184,122,2322,763,30,99,248,39,1172,112,3,20,181,3,319,9897,481,1330,725,5009,17437
2010,0,0,0,5,519,521,13,0,0,5,469,484,316,30,17,0,746,1099,509,44,64,6,307,921,551,55,112,10,175,900,669,41,143,12,153,1017,604,32,128,38,68,869,408,8,46,67,23,551,134,0,4,84,3,228,3198,207,502,216,2464,6594,0,0,0,0,431,433,10,3,0,0,480,496,397,32,24,0,694,1152,551,58,77,4,303,988,567,63,160,23,185,999,659,64,228,59,108,1118,586,32,153,149,56,984,345,9,59,267,17,700,65,0,10,262,15,359,3181,267,730,767,2283,7233,0,0,0,5,953,955,21,10,0,4,944,977,713,61,42,0,1438,2254,1062,104,138,8,611,1913,1121,116,272,29,353,1893,1323,109,369,70,262,2136,1193,68,279,188,128,1857,753,12,109,327,44,1245,203,0,17,347,18,589,6384,470,1231,985,4751,13824
2011,136,29,31,28,137434,137659,3005,157,95,67,162604,165928,107703,3934,4966,268,268549,385424,227150,10207,17010,599,102832,357794,192928,13794,29037,1572,62211,299544,165121,11536,33653,3734,35923,249970,130766,7378,23408,7569,15571,184692,75640,2896,9603,11437,5098,104673,22210,589,1891,11719,1422,37830,924669,50513,119693,36991,791649,1923516,211,30,21,25,130581,130864,7338,453,251,53,149640,157732,145976,6661,8115,473,231376,392597,231943,14470,24640,1763,91838,364658,192826,17472,43686,4900,56620,315500,159915,13196,48956,13319,30993,266382,120649,7577,36588,30426,13924,209161,56278,2408,15129,46169,4870,124858,11080,394,3502,43576,1995,60543,926209,62655,180893,140696,711832,2022295,345,58,53,53,268017,268525,10339,609,351,118,312245,323658,253680,10595,13085,748,499919,778028,459091,24674,41646,2363,194675,722456,385749,31270,72724,6470,118833,615047,325045,24729,82609,17052,66913,516353,251416,14956,59998,37996,29494,393854,131918,5306,24732,57605,9972,229530,33290,981,5389,55291,3413,98370,1850879,113173,300590,177689,1503484,3945813
2012,0,0,0,0,1613,1613,32,0,0,0,1517,1546,1015,49,47,0,2402,3514,1667,153,157,4,1017,2997,1835,188,371,25,794,3205,1958,211,555,75,499,3292,1910,122,431,122,264,2850,1079,48,184,182,93,1593,300,8,20,169,19,515,9791,774,1766,580,8217,21133,0,0,0,0,1498,1502,79,4,0,0,1371,1455,1253,111,72,7,2215,3663,1798,212,231,25,1004,3275,1924,269,563,70,650,3482,1978,203,704,182,406,3480,1779,107,503,432,133,2951,803,24,180,728,37,1766,160,3,41,661,13,873,9774,942,2296,2104,7338,22449,0,0,0,0,3111,3114,105,3,0,0,2887,3004,2268,161,118,9,4619,7176,3470,369,385,33,2017,6274,3757,454,931,99,1443,6686,3935,411,1263,256,910,6775,3687,234,932,555,398,5804,1878,70,365,907,135,3359,460,10,62,828,35,1391,19566,1715,4058,2685,15553,43582
2013,0,0,0,4,632,635,12,0,0,0,581,598,327,24,18,0,982,1350,534,46,56,0,492,1136,568,86,187,20,411,1265,834,106,294,38,286,1571,812,102,277,94,146,1433,450,34,84,89,45,704,110,8,23,96,3,237,3649,401,946,348,3583,8925,0,0,0,0,578,578,18,0,0,0,554,578,401,39,41,4,872,1354,561,90,105,9,487,1248,686,136,249,31,321,1426,826,91,341,118,194,1574,752,78,285,260,83,1457,339,11,108,340,13,808,60,3,11,289,5,365,3638,458,1143,1050,3106,9391,0,0,0,4,1209,1212,32,0,0,0,1137,1175,725,65,58,6,1854,2703,1100,138,165,10,980,2390,1259,224,436,45,734,2689,1664,201,635,165,484,3141,1562,176,558,355,230,2886,787,47,202,428,58,1515,165,5,31,387,7,602,7285,863,2083,1400,6689,18322
2014,0,0,0,0,340,340,3,0,0,0,282,294,130,5,4,0,368,506,248,20,36,0,258,565,346,51,84,0,242,723,490,36,146,13,182,867,543,39,126,43,74,822,259,8,52,56,18,384,80,0,10,37,3,130,2086,168,458,160,1764,4636,0,0,0,0,299,298,16,0,0,0,229,243,171,15,18,0,374,570,305,31,55,7,237,640,367,57,126,16,170,742,502,55,175,52,105,887,468,25,149,118,39,803,210,9,52,149,7,426,42,4,12,165,0,219,2079,200,583,515,1456,4833,0,0,0,0,638,639,20,0,0,0,514,534,301,21,19,0,744,1080,555,53,92,5,497,1204,719,110,212,20,413,1474,989,94,324,69,282,1755,1011,64,277,163,107,1622,469,12,106,208,22,816,113,6,22,205,3,346,4165,364,1044,670,3219,9468
