SUA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
1000,3,8,29,103,529,376,660,873,223,211,198,348,104,64,158,3890,41,40,44,44,165,23,33,33,3,8,3,0,0,0,21,462,9,26,52,81,55,37,52,37,12,10,8,8,5,8,17,413,6,41,158,336,404,492,957,343,72,58,91,140,71,37,56,3251,6,20,37,35,61,56,97,89,25,22,34,34,5,7,17,542,0,0,0,0,25,23,47,50,17,26,63,134,19,0,26,438,0,4,13,35,77,105,386,276,54,55,63,76,50,15,78,1295,1116,3785,9278,5279,3525,2141,2939,1270,165,167,170,224,140,65,1489,31749,19,52,253,440,405,419,697,361,85,80,73,71,84,39,88,3158,0,4,6,59,119,68,93,85,33,18,24,58,30,13,79,685,437,1195,2081,2072,1552,1142,1889,1192,221,268,327,613,279,146,681,14087,2683,8765,15919,12911,11701,8277,12743,7676,1710,1832,2126,3066,1340,698,4506,95957
1001,0,0,4,12,93,61,154,192,41,16,44,45,12,12,15,698,8,7,4,3,18,5,3,0,0,0,0,0,0,0,5,58,0,0,0,8,9,3,8,9,0,4,0,0,0,0,0,44,0,0,4,18,21,41,111,26,5,7,12,13,4,0,0,267,0,5,3,4,3,13,28,38,21,7,17,5,0,9,0,153,0,0,0,0,0,0,7,14,0,7,8,0,0,0,0,37,0,0,0,0,13,18,40,31,14,5,12,0,0,5,9,138,85,248,629,320,263,121,310,92,13,22,37,19,23,16,82,2269,4,0,10,18,11,26,39,39,7,0,8,4,11,0,7,198,0,0,0,9,10,8,16,24,6,45,61,66,7,0,6,253,60,166,212,201,132,99,429,427,98,98,194,200,49,8,54,2423,285,982,1291,917,951,730,2162,1855,448,497,608,536,190,74,280,11801
1002,0,0,0,0,13,7,27,30,9,8,26,21,4,0,6,160,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,4,8,6,11,37,30,4,0,0,0,0,3,0,0,104,0,0,0,0,13,4,11,21,11,9,16,12,0,0,0,96,0,0,0,0,0,6,5,0,0,4,0,5,0,0,0,15,0,0,0,0,0,7,18,0,0,0,5,0,0,0,0,28,13,53,173,84,58,42,73,42,6,8,8,11,4,0,20,601,3,0,9,20,11,15,28,20,5,10,0,4,5,0,8,135,0,0,0,0,0,4,3,22,4,13,4,20,4,0,0,74,9,22,29,33,29,44,103,72,25,51,86,85,34,3,16,638,36,127,270,231,222,264,596,469,140,211,466,659,138,20,81,3937
1003,0,0,4,7,26,17,29,23,7,8,10,8,6,6,11,164,0,3,5,0,9,0,4,0,0,0,0,0,0,0,0,20,0,0,0,5,4,0,0,8,4,0,0,3,0,0,0,26,0,14,19,30,40,27,66,23,4,6,3,9,0,5,0,254,0,0,3,3,0,13,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,8,16,37,32,3,3,0,6,0,4,12,128,68,184,466,252,193,172,303,164,31,25,14,18,14,4,72,1984,0,5,16,26,28,26,50,37,5,7,16,11,8,0,0,236,0,0,0,4,9,6,7,10,5,0,0,4,0,0,0,46,28,55,97,101,75,66,154,128,33,32,27,45,20,7,25,906,147,439,779,667,684,565,1033,674,140,137,132,159,75,30,209,5875
1004,0,0,0,3,14,8,9,25,5,0,10,0,0,0,5,89,0,3,0,5,12,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,5,3,16,0,16,15,6,0,0,0,0,0,0,3,74,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,10,5,0,3,0,3,0,0,0,31,43,162,321,184,108,47,54,35,7,4,0,0,0,0,51,1009,0,0,0,11,13,10,12,0,0,0,0,3,0,0,0,60,0,0,0,3,0,6,3,0,0,0,0,0,0,0,3,23,20,47,95,59,45,31,34,11,8,0,7,9,0,0,4,374,101,389,596,428,292,206,241,138,41,39,36,55,27,5,106,2698
1005,0,0,0,4,13,23,37,64,5,17,28,22,11,6,8,244,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,5,4,5,4,0,0,0,0,0,0,4,19,0,0,0,6,7,27,43,4,3,6,8,4,7,0,0,123,0,0,0,0,8,6,18,28,0,3,8,12,0,0,0,89,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,20,18,6,3,3,0,0,0,6,73,33,103,215,151,92,63,77,32,10,10,10,6,4,0,36,855,0,0,5,7,6,7,27,17,0,0,5,0,0,0,4,88,0,0,0,3,9,0,12,15,5,3,3,4,4,0,14,82,13,31,51,62,46,53,61,51,23,7,18,12,4,0,37,458,83,233,394,361,355,342,682,509,119,157,185,151,73,15,207,3867
1006,0,0,4,6,25,24,34,60,18,15,17,22,3,0,4,235,11,9,12,11,26,3,5,4,0,0,0,0,0,0,3,70,0,5,3,8,3,0,10,3,5,0,0,0,3,0,0,43,5,3,13,37,28,36,78,25,5,0,9,4,5,7,3,259,0,0,4,3,7,3,6,8,3,3,0,4,0,0,0,45,0,0,0,0,9,15,13,6,4,0,0,0,0,0,0,47,0,0,0,4,11,7,33,26,5,8,5,6,3,4,4,115,101,285,748,517,278,184,303,93,8,11,11,19,12,5,121,2697,4,4,29,30,17,31,33,26,4,4,4,0,10,3,10,213,0,0,0,0,0,0,8,4,4,0,0,10,0,0,3,42,33,100,170,209,112,78,119,53,10,15,9,15,17,0,44,989,232,640,1305,1150,825,576,1154,665,148,156,204,195,112,21,282,7654
1007,0,0,0,0,24,21,19,47,13,11,23,22,10,7,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,14,3,26,47,33,19,4,17,5,7,0,0,0,0,0,3,169,0,0,0,0,6,3,6,6,0,5,0,7,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,20,14,11,12,13,16,20,7,0,10,0,3,0,0,133,15,82,96,77,92,69,122,113,34,36,49,56,29,16,22,907
1008,0,0,0,5,0,3,11,3,5,0,4,0,5,0,0,36,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,16,17,16,5,0,0,0,0,5,0,0,70,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,11,0,0,0,3,4,3,10,12,0,0,0,0,3,0,0,37,8,35,81,86,72,74,121,82,22,19,33,33,22,0,19,689,0,0,5,12,10,20,34,18,3,4,13,7,21,7,3,168,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,13,0,4,23,32,54,47,114,164,81,72,117,184,70,4,29,1000,25,84,155,218,262,247,486,444,142,149,230,316,174,12,78,3032
1009,0,0,0,0,9,6,6,3,0,4,0,0,0,0,4,43,5,0,0,0,0,0,3,0,3,0,0,0,0,3,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,10,12,3,10,4,0,0,0,0,0,0,0,48,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,3,0,0,5,24,42,144,300,160,84,65,69,29,3,9,4,11,3,0,49,966,0,0,6,6,9,6,4,10,0,0,0,10,0,3,0,71,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,16,18,57,38,23,20,23,9,0,3,0,7,0,0,5,225,86,257,468,331,215,159,193,88,19,21,13,36,10,8,92,1996
