SUA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
1000,20,27,18,65,26,24,48,115,462,17,596,15,31,5,59,11,9,21,77,162,0,242,20,95,20,129,33,33,67,194,348,8,554,38,177,34,249,71,70,138,382,668,13,1064,76,402,57,537,86,110,199,736,1310,14,2059,148,956,167,1275,118,157,271,1546,1858,16,3420,396,1297,179,1873,99,109,212,2085,1746,23,3854,829,1373,179,2382,63,60,128,2507,2493,35,5035,1219,1287,175,2684,61,58,119,2805,2057,28,4887,1196,971,123,2296,49,44,87,2387,1373,22,3780,1022,569,119,1706,22,7,34,1740,774,17,2529,969,377,75,1421,9,14,20,1442,536,9,1988,1651,555,123,2330,19,14,38,2366,637,11,3011,603,212,50,863,11,7,20,882,275,9,1163,449,108,37,589,6,0,3,595,106,0,703,160,43,12,216,0,0,0,216,58,0,280,429,117,34,573,16,10,16,598,202,6,805,989,673,155,1814,53,43,96,1911,1177,104,3185,60,48
1001,5,0,0,3,4,3,11,14,44,0,57,0,0,0,0,0,0,0,3,10,0,13,3,10,4,11,3,3,9,24,34,0,57,0,23,3,25,8,6,15,42,74,0,115,3,35,9,45,13,11,28,67,168,0,234,19,106,20,146,10,31,41,187,259,0,448,35,188,28,246,15,21,26,277,212,6,492,116,200,10,323,14,7,22,344,238,6,590,216,207,14,433,6,4,16,443,200,0,646,192,139,19,353,8,14,18,369,136,0,503,155,86,16,250,4,0,3,254,83,0,342,143,58,4,207,4,0,0,214,63,0,276,251,76,21,348,0,0,6,348,69,0,418,90,19,8,124,0,0,0,124,21,0,146,54,16,0,72,0,0,0,72,10,0,82,16,5,0,19,0,0,0,19,4,0,26,52,8,0,57,0,0,0,61,14,0,70,92,68,14,174,3,4,6,181,96,13,285,12,10
1002,0,0,0,4,0,0,5,4,8,0,16,0,0,0,0,0,0,0,0,3,0,3,0,7,4,7,0,0,0,4,10,0,21,0,8,0,8,3,0,6,14,9,0,19,0,9,0,7,3,3,6,15,39,0,46,7,26,3,30,0,0,6,34,63,0,95,14,35,3,48,3,4,7,55,45,0,103,19,38,6,61,0,3,3,66,70,0,135,42,35,3,73,0,0,0,78,53,0,127,21,30,3,54,0,0,0,61,26,0,88,26,17,5,45,0,0,0,45,18,0,65,28,12,3,48,0,0,0,48,23,0,67,59,13,5,75,0,0,0,77,15,0,90,18,3,0,23,0,0,0,23,3,0,27,6,5,0,9,0,0,0,9,3,0,13,5,0,0,5,0,0,0,5,4,0,5,10,4,4,20,0,0,0,17,3,0,25,32,15,3,47,0,0,0,54,16,3,70,0,0
1003,0,0,0,0,0,0,0,3,17,0,19,0,0,0,0,0,0,0,0,9,0,13,0,8,0,8,0,4,5,11,12,0,19,0,4,0,4,0,0,0,4,14,0,18,0,16,0,17,3,6,3,25,54,0,77,0,39,15,56,4,3,7,68,74,0,139,20,77,7,110,0,0,3,108,67,0,180,38,94,3,140,0,5,5,143,126,0,272,63,91,8,167,5,0,4,173,116,0,291,81,67,3,152,0,3,5,155,72,0,225,68,48,10,128,7,0,3,130,46,0,173,64,31,6,105,0,3,3,108,34,0,139,103,42,5,152,0,0,5,154,39,0,197,39,13,0,55,0,0,0,55,10,0,69,25,5,0,35,0,0,0,35,8,0,40,13,0,0,14,0,0,0,16,3,0,15,27,13,4,45,0,0,0,45,11,0,56,55,32,6,100,0,0,3,102,55,3,165,0,0
1004,0,0,4,4,0,0,0,4,9,0,15,0,0,0,0,0,0,0,0,3,0,3,0,3,0,7,3,0,3,6,5,0,14,3,4,4,5,4,0,4,10,18,0,24,0,5,0,5,5,3,4,10,36,0,44,0,33,0,36,0,3,3,40,33,0,79,10,30,3,43,0,0,0,47,35,0,80,12,38,3,55,0,0,0,60,48,0,109,27,31,6,64,0,0,0,67,52,0,113,36,20,0,53,0,0,0,52,32,4,87,18,12,5,32,0,0,0,32,21,0,51,21,9,0,29,0,0,0,29,14,0,41,33,20,0,54,0,0,0,55,7,0,60,10,9,0,17,0,0,0,17,3,0,25,9,0,0,7,0,0,0,7,0,0,10,3,0,0,5,0,0,0,5,0,0,5,3,0,0,4,0,0,0,11,3,0,10,17,21,0,33,0,0,0,33,26,4,64,0,3
1005,0,0,0,4,0,0,0,4,14,0,19,0,0,0,4,3,0,3,4,5,0,8,0,6,0,3,0,0,5,7,10,0,21,0,3,4,5,5,3,3,16,25,0,38,0,16,0,21,4,5,6,27,37,0,60,8,38,3,47,3,5,13,62,70,0,131,12,58,8,76,3,8,12,91,63,0,159,47,71,8,130,3,0,12,141,103,5,239,82,73,5,160,0,9,9,166,71,0,238,76,47,0,126,0,0,6,136,55,0,186,65,46,5,114,0,0,0,118,23,0,143,66,25,4,94,0,0,0,96,17,0,113,136,29,6,169,0,0,0,168,34,0,203,46,10,5,59,0,0,0,62,21,0,79,29,7,0,36,0,0,0,36,9,0,43,11,6,0,9,0,0,0,9,3,0,18,17,4,5,24,3,0,0,24,0,0,33,56,26,5,88,6,0,3,90,44,0,136,8,4
1006,0,0,0,0,0,0,4,3,16,0,22,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,5,9,0,15,0,6,0,14,0,3,3,14,15,0,25,0,17,5,17,0,4,4,17,34,0,54,4,24,0,23,0,4,5,31,33,0,67,12,46,9,70,0,3,3,71,50,0,119,20,42,3,69,0,0,0,70,82,6,152,47,50,4,105,0,4,4,111,70,0,180,48,42,3,102,3,0,3,100,69,0,166,47,41,7,99,3,4,6,100,45,0,145,41,28,8,76,0,0,0,78,35,0,112,79,37,8,132,0,0,0,132,29,0,165,41,13,3,58,0,0,0,60,21,0,83,43,7,3,49,0,0,0,49,14,0,64,16,7,0,21,0,0,0,21,3,0,22,26,9,3,45,0,0,0,45,10,0,53,46,37,0,81,0,0,0,83,39,9,128,4,0
1007,0,0,0,0,0,3,5,0,13,0,23,0,4,0,4,0,0,0,4,3,0,6,0,0,0,0,0,0,0,8,8,0,14,0,8,3,12,4,0,0,16,22,0,36,0,11,7,14,0,0,3,23,42,0,60,3,23,0,32,3,3,7,33,52,0,91,15,32,5,55,3,4,6,57,41,0,101,24,26,5,52,0,3,6,58,74,0,132,40,33,7,74,0,0,0,74,45,0,120,33,22,3,59,0,0,0,59,42,0,99,26,10,5,45,0,0,0,45,18,0,57,34,5,3,40,0,0,0,40,20,0,62,50,15,4,67,0,0,0,65,20,0,89,16,4,0,19,0,0,0,19,4,0,27,17,6,0,21,0,0,0,21,0,0,21,8,0,0,12,0,0,0,12,5,0,12,0,0,0,6,0,0,0,6,3,0,7,26,9,6,36,8,0,5,45,32,0,73,3,0
1008,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,11,0,4,5,5,0,3,3,5,14,0,18,0,13,0,17,0,3,6,21,14,0,37,0,9,0,10,0,0,0,17,15,0,29,0,17,6,23,0,0,0,23,21,0,40,9,13,0,18,0,0,0,23,17,0,38,8,9,0,20,0,0,0,20,5,0,27,5,11,0,30,0,0,0,29,7,0,33,10,7,3,18,0,0,0,18,0,0,21,18,6,4,23,0,0,0,23,13,0,33,0,0,0,3,0,0,0,3,6,0,12,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4,0,12,0,0,0,12,5,0,15,7,13,0,18,0,0,0,18,15,0,38,0,0
1009,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,4,0,10,0,0,0,8,0,0,3,8,5,0,8,0,3,0,6,0,4,5,10,18,0,26,6,20,0,31,0,6,9,34,29,0,65,5,32,5,44,4,0,4,52,28,0,75,11,21,0,33,0,0,5,40,47,3,86,19,25,5,46,8,0,8,48,37,0,89,22,25,0,50,0,3,3,51,46,0,98,18,12,3,30,0,0,0,30,18,0,44,14,19,0,33,0,0,0,33,4,0,36,31,10,4,45,0,0,0,45,10,0,57,17,0,0,19,0,0,0,19,4,3,23,14,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,3,12,0,0,15,0,0,0,15,0,0,15,7,8,0,17,0,0,0,20,27,0,51,0,0
