SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1000,3261,3828,7090,1559,1606,3160,1353,4050,5403,1619,8401,10016,5761,23567,29328,5920,13055,18973,21343,8176,29520,17093,10155,27246,19800,9446,29247,22537,6106,28639,14920,4727,19648,16164,3497,19665,31446,5078,36522,22145,556,22697,17218,1088,18303,10469,174,10643,26203,1906,28107,19806,1219,21031,4596,5485,10080,263201,112113,375313
1001,162,328,490,80,125,210,96,413,508,127,858,983,437,2153,2586,579,1516,2095,1653,1023,2672,1500,1277,2773,1791,1257,3043,2154,906,3064,1603,696,2300,1729,476,2203,3784,664,4453,2622,121,2741,1850,136,1985,1136,38,1171,2156,195,2351,1475,123,1600,315,527,843,25256,12815,38073
1002,50,73,122,26,44,67,28,121,144,28,212,240,96,489,583,119,377,496,378,252,633,332,322,655,400,287,683,469,227,689,341,189,531,393,134,526,727,235,960,525,34,556,380,50,435,269,10,277,590,67,657,321,64,382,54,86,141,5517,3269,8785
1003,92,162,252,59,80,142,36,173,207,50,349,398,207,1066,1269,216,824,1041,850,492,1347,798,564,1365,989,441,1432,1107,333,1439,749,252,1003,796,189,981,1603,292,1896,1136,62,1207,868,64,930,529,13,545,1403,116,1518,762,94,852,166,246,410,12427,5816,18244
1004,57,64,124,30,28,56,29,87,117,23,189,210,125,484,614,128,300,430,491,219,712,385,221,605,462,216,680,555,168,723,296,97,389,292,71,360,558,91,651,318,8,328,234,20,250,116,5,125,259,37,295,289,13,307,86,116,196,4730,2430,7162
1005,66,125,188,30,47,77,38,123,158,48,288,339,137,695,835,165,501,668,535,310,846,510,427,937,677,436,1105,752,308,1062,567,284,855,583,198,780,1291,311,1602,1010,51,1058,719,56,773,498,9,506,999,68,1067,650,57,705,112,141,258,9380,4428,13812
1006,116,165,277,68,67,141,44,136,184,41,266,306,178,809,987,143,513,658,606,393,1003,595,433,1027,732,439,1170,918,259,1175,563,248,814,724,156,879,1431,263,1694,1101,25,1132,917,72,994,538,6,549,1845,129,1974,695,39,740,118,192,309,11370,4624,15997
1007,55,77,138,15,34,52,21,114,137,35,211,249,113,690,800,118,321,440,389,193,579,335,229,562,362,200,560,374,153,524,218,130,349,247,98,349,492,163,657,386,12,401,295,29,324,193,0,200,323,44,370,362,21,380,94,144,237,4429,2875,7308
1008,28,49,78,5,17,26,15,26,40,9,71,84,46,179,224,50,171,224,90,101,192,96,122,216,116,137,250,163,98,263,117,85,200,146,62,202,292,119,416,223,55,279,163,56,219,119,23,141,408,124,535,196,104,296,17,44,65,2306,1645,3952
1009,67,76,138,39,33,71,31,89,123,28,159,190,132,599,727,160,422,585,678,195,870,473,229,701,517,186,707,613,95,711,318,63,376,326,38,367,528,71,596,384,9,395,268,10,275,155,5,156,315,17,333,290,17,303,71,114,188,5399,2414,7808
1010,903,1383,2288,351,503,850,333,1202,1538,443,2726,3176,1488,7679,9169,1751,5306,7056,6237,2959,9198,5329,3446,8774,6247,3276,9517,7318,2295,9617,5268,1831,7098,5564,1413,6976,11779,1919,13693,8937,271,9211,7170,470,7636,4441,95,4540,11312,705,12013,5180,389,5567,1055,1695,2751,91103,39572,130681
1011,163,231,397,94,97,186,90,299,394,104,611,713,383,1668,2053,430,1331,1755,1517,700,2218,1256,809,2059,1551,748,2303,1882,515,2395,1254,376,1628,1275,292,1561,2440,403,2841,1739,72,1809,1237,80,1311,753,27,774,1673,140,1804,1216,132,1353,265,362,626,19319,8877,28198
1012,82,119,202,28,49,78,36,121,156,36,267,299,139,710,852,174,416,585,562,300,857,506,404,906,654,441,1092,748,339,1085,624,263,886,624,218,841,1483,355,1837,1058,77,1131,788,63,849,503,21,522,1058,128,1182,763,74,831,152,220,367,10009,4573,14582
1013,80,96,173,48,47,97,34,133,170,34,280,316,141,905,1046,139,610,748,795,299,1094,579,320,898,591,290,879,579,152,729,332,98,425,329,87,419,577,90,673,341,13,355,238,23,260,128,3,127,278,46,317,354,24,377,131,242,375,5723,3740,9463
1014,54,95,150,26,41,62,17,128,149,32,226,258,95,686,776,132,400,533,452,215,665,342,292,639,412,307,719,524,193,720,392,165,559,404,113,518,858,194,1048,640,28,667,460,35,502,307,5,311,554,43,597,347,31,378,81,161,239,6125,3356,9486
1015,44,81,123,18,25,40,27,95,117,44,232,278,112,605,721,131,408,544,484,210,691,410,233,643,526,218,748,487,129,616,325,118,444,312,73,383,598,100,699,354,17,371,234,18,249,130,3,139,234,29,266,311,26,336,73,130,204,4861,2755,7616
1016,44,56,105,20,26,47,6,79,83,27,131,162,84,364,446,78,158,229,254,144,395,242,195,437,310,221,531,404,129,535,322,111,432,363,101,465,781,160,941,570,18,596,385,33,423,263,10,276,491,60,549,342,22,366,82,81,168,5072,2110,7182
1017,33,48,81,19,27,44,13,86,98,28,151,175,97,422,518,135,224,359,402,128,529,326,164,492,349,127,478,381,63,439,237,57,296,226,26,253,416,50,470,253,3,255,158,8,167,82,0,82,155,11,164,242,19,259,81,93,174,3644,1704,5347
1018,47,72,114,27,43,68,32,150,180,44,362,404,130,891,1016,188,637,827,526,379,903,535,416,947,581,442,1020,695,268,965,478,196,675,521,137,660,1056,183,1240,684,40,727,404,33,434,246,14,259,417,57,481,376,58,437,93,130,225,7058,4517,11573
1019,25,69,92,22,39,61,19,94,118,26,175,203,94,515,615,80,228,305,300,132,435,247,178,420,249,160,406,278,92,372,179,94,274,161,54,216,330,96,425,236,8,246,169,18,190,102,0,103,275,30,309,184,13,198,53,110,161,3038,2112,5149
1020,44,33,78,20,10,33,13,26,41,11,81,91,60,185,244,79,129,209,242,64,300,211,110,321,261,99,365,294,74,367,238,64,295,258,43,298,556,53,617,424,9,432,384,10,396,216,4,214,417,5,423,304,9,308,61,50,111,4092,1058,5155
1021,75,127,199,43,36,77,35,88,121,33,204,243,141,541,684,160,433,598,588,216,804,488,249,741,593,232,828,617,157,778,406,139,545,437,87,525,979,156,1134,702,20,718,525,30,558,334,3,340,709,39,741,465,30,490,102,132,238,7431,2930,10362
1022,25,56,74,9,18,31,9,48,54,18,97,112,40,248,291,65,157,222,190,95,286,178,127,303,172,107,276,226,76,303,188,67,258,172,63,240,478,118,593,338,25,365,290,29,315,151,13,163,466,57,519,205,16,225,40,60,101,3267,1465,4727
1023,38,45,81,10,14,23,16,41,60,18,105,124,64,215,279,90,132,218,200,87,286,173,120,295,195,146,339,190,75,263,176,87,265,174,74,250,401,142,540,295,10,302,254,37,291,136,6,139,365,45,406,231,15,249,48,71,121,3066,1480,4545
1024,106,154,263,58,43,100,38,116,155,41,244,288,162,679,841,163,587,747,720,330,1055,613,287,899,709,297,1006,776,215,989,465,152,616,468,101,571,973,161,1135,612,20,626,468,24,492,277,0,280,743,57,801,523,40,566,99,163,264,8028,3667,11695
1025,1091,1647,2737,424,687,1111,473,1779,2252,606,3815,4420,1963,10497,12462,2338,6321,8662,8149,3705,11850,7347,4878,12224,8625,4999,13624,9834,3813,13642,7508,3145,10652,7744,2485,10226,17700,4040,21738,13892,746,14634,11626,986,12617,7390,306,7697,17963,1233,19202,8082,1191,9276,1349,1924,3270,134087,58205,192297
1026,86,116,206,39,47,84,50,161,211,52,315,363,197,875,1075,234,607,840,811,320,1128,690,409,1092,781,395,1174,981,267,1249,613,210,826,662,137,798,1262,172,1436,883,29,909,605,30,637,354,11,365,700,63,760,569,48,612,147,202,351,9701,4404,14108
1027,69,147,212,41,69,102,40,148,191,71,332,404,156,837,997,211,507,716,578,338,918,562,432,992,617,481,1097,754,342,1085,611,275,890,639,223,862,1385,369,1753,1132,57,1195,899,79,971,620,14,634,1381,129,1507,641,85,729,137,206,342,10548,5070,15616
1028,119,208,327,62,75,137,61,216,276,59,502,561,262,1281,1543,262,1071,1332,1149,546,1689,988,671,1660,1123,604,1722,1330,378,1714,792,284,1077,837,240,1074,1650,315,1962,1182,57,1244,897,63,955,539,14,548,1319,122,1444,711,82,790,151,322,477,13497,7045,20544
1029,42,51,98,17,19,37,21,62,80,18,101,123,77,269,338,78,165,242,216,88,306,171,128,298,222,140,359,280,99,378,205,93,293,235,82,315,569,166,734,454,14,471,413,49,467,273,9,282,692,66,758,329,23,352,38,55,98,4345,1675,6020
1030,81,91,176,27,47,73,31,56,90,37,204,238,114,600,709,151,321,470,641,211,858,451,245,697,520,182,702,559,141,707,375,96,470,364,81,448,648,125,778,422,13,441,283,16,294,164,3,168,342,37,371,323,22,348,83,116,193,5616,2611,8225
1031,16169,19771,35938,4612,5552,10159,5317,13016,18331,5971,26712,32683,16832,51838,68672,18513,31799,50313,49095,25229,74328,46141,32132,78275,59574,38028,97603,71742,32784,104522,57817,29592,87413,61938,25340,87283,144257,49519,193775,114500,7437,121933,104285,15137,119416,75611,3964,79575,295255,28330,323585,61552,9387,70935,12099,11879,23976,1221274,457446,1678712
1032,94,152,250,40,72,117,50,192,241,68,378,441,211,900,1115,239,638,877,773,402,1172,682,537,1221,863,556,1414,960,363,1325,692,246,939,782,224,1009,1591,300,1891,1072,63,1132,770,63,834,401,19,420,912,109,1022,647,82,731,154,254,408,11005,5547,16555
1033,67,113,183,37,54,90,37,150,189,60,349,404,181,922,1100,192,536,727,763,279,1046,607,304,912,684,250,932,719,147,865,384,125,510,463,72,534,772,97,868,447,19,466,265,21,284,161,3,167,250,48,297,422,37,453,172,217,385,6675,3745,10424
1034,58,69,132,32,37,66,27,75,100,19,153,177,148,479,621,130,376,504,474,194,668,381,185,563,501,142,645,485,99,587,326,69,397,294,56,356,599,74,672,367,11,374,216,13,227,132,0,132,273,31,305,267,23,286,59,104,164,4794,2176,6970
1035,104,155,258,44,78,119,66,225,289,73,427,503,266,1077,1337,315,693,1011,761,549,1307,701,687,1389,963,713,1678,1150,518,1663,820,441,1262,986,333,1325,1990,459,2451,1454,97,1552,1192,94,1292,724,31,754,1567,127,1694,959,105,1066,178,287,462,14323,7099,21419
1036,807,1038,1849,285,404,693,329,1182,1513,438,2447,2887,1370,6052,7417,1555,3474,5027,5022,2177,7207,4484,2577,7055,5088,2649,7731,5863,2011,7877,4287,1677,5957,4611,1387,5998,10033,2238,12267,8278,361,8641,6963,487,7459,4655,155,4817,11856,711,12569,4280,690,4970,826,1105,1930,81038,32834,113867
2000,2179,2861,5041,1097,1247,2343,981,2989,3965,1132,6248,7380,4163,17653,21813,4108,9654,13762,15095,6366,21469,12874,7659,20536,14595,7167,21756,16431,4641,21075,11104,3702,14798,12292,2538,14834,23550,3483,27032,16294,356,16649,11740,753,12486,6923,121,7039,16370,1481,17855,13240,733,13970,3675,4238,7912,187845,83888,271738
2001,70,87,150,23,26,47,25,50,79,27,140,162,107,369,481,116,247,363,337,148,484,324,179,500,396,196,589,483,181,662,376,148,526,398,94,488,970,156,1128,719,12,730,621,27,647,398,0,394,851,33,888,362,25,384,92,80,173,6698,2190,8888
2002,46,61,105,16,20,39,26,81,104,32,161,192,72,461,533,96,303,409,395,187,587,329,201,527,360,181,542,422,121,543,278,79,356,277,68,346,513,67,582,340,15,355,220,19,241,112,5,114,216,38,253,239,28,266,78,117,191,4070,2214,6280
2003,211,386,604,89,153,243,96,430,522,151,970,1119,495,2656,3150,689,1790,2478,1988,1106,3092,1836,1420,3255,2181,1475,3655,2550,1033,3586,1854,844,2696,1907,624,2533,3766,833,4602,2774,138,2915,2182,188,2366,1283,45,1325,2928,266,3198,1587,212,1800,343,507,856,28905,15089,43993
2004,166,339,503,95,151,247,99,384,482,144,877,1018,468,2280,2749,597,1575,2172,1842,1040,2883,1764,1251,3016,2034,1274,3307,2311,904,3215,1674,734,2411,1730,580,2312,3732,743,4479,2660,139,2799,2078,139,2220,1169,42,1206,2312,204,2514,1479,202,1677,337,473,814,26704,13322,40027
2005,29,47,70,15,37,46,13,60,79,15,150,163,59,415,476,73,231,300,226,155,382,205,184,389,240,140,377,284,84,365,193,75,271,178,54,233,349,88,436,261,6,270,176,8,190,113,4,113,227,25,247,188,17,209,41,73,112,2892,1850,4737
2006,36,62,97,11,34,42,13,74,92,25,133,163,59,402,463,80,213,298,244,149,390,211,211,423,247,186,428,305,114,419,220,65,284,227,60,295,471,81,554,285,16,300,179,20,200,106,4,109,199,30,230,184,26,208,57,79,134,3169,1959,5127
