SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
3001,30,50,84,7,13,15,24,31,57,12,58,74,35,115,152,61,153,208,144,122,263,130,184,322,174,156,327,229,98,332,194,84,278,200,78,272,440,140,577,302,34,330,214,44,259,135,5,141,314,42,352,366,75,436,40,33,74,3044,1515,4558
3002,5560,7732,13291,2168,2620,4785,2421,6427,8849,2775,13379,16153,8272,31542,39809,10645,23672,34321,29774,15925,45695,29556,20874,50435,36899,23688,60591,43918,19755,63676,34887,16713,51599,36967,13275,50235,83454,22551,106005,64260,4014,68269,53846,5644,59490,36972,1454,38426,107347,7988,115335,38297,5915,44209,5484,6658,12147,633512,249809,883324
3003,187,270,461,116,122,239,96,324,422,144,725,868,483,2064,2544,531,1359,1893,2026,683,2709,1604,786,2389,1722,704,2427,1794,439,2237,1230,354,1578,1237,249,1483,2312,339,2657,1522,64,1586,1074,77,1154,617,13,637,1258,130,1391,1334,126,1452,319,459,777,19609,9295,28897
3004,365,516,884,129,185,312,174,511,685,211,1107,1318,562,2304,2862,808,1806,2618,1942,1268,3212,2014,1789,3802,2518,1819,4340,3032,1416,4449,2395,1098,3488,2535,837,3368,5185,1232,6417,3729,195,3924,2907,267,3175,1840,71,1913,3915,379,4291,3192,457,3643,388,579,966,37826,17833,55662
3005,30,28,60,12,7,14,13,26,36,7,47,52,26,97,118,46,61,105,100,88,190,100,102,202,143,143,284,154,117,268,154,114,269,170,88,260,476,165,642,382,21,407,327,52,380,253,5,260,606,63,668,418,21,442,35,27,68,3462,1268,4736
3006,106,184,289,43,50,89,55,170,218,63,348,414,233,694,927,310,522,832,699,315,1018,564,402,963,670,420,1093,788,360,1147,590,370,958,632,272,906,1532,485,2013,1148,54,1205,1023,111,1137,622,12,641,1463,139,1602,1051,91,1144,137,141,281,11735,5141,16869
3007,2083,2749,4831,760,921,1679,762,1936,2700,865,4234,5100,2708,10739,13442,3301,8547,11845,10341,5312,15654,9713,6752,16460,12145,7021,19170,14426,5426,19856,10680,4144,14825,11394,3277,14671,24474,5005,29473,17867,1089,18962,14002,1360,15364,8643,385,9028,22780,1949,24734,11784,1943,13726,2157,2488,4644,180893,75272,256170
3008,47,80,132,25,30,57,35,93,130,40,205,242,144,674,821,162,474,637,636,207,837,518,284,805,545,232,783,598,153,746,430,108,532,397,76,475,687,96,783,402,19,420,289,9,298,164,0,166,226,35,262,394,37,430,101,105,206,5843,2923,8759
3009,229,222,451,112,86,194,87,252,339,119,552,663,412,1661,2069,449,1128,1584,2012,535,2549,1518,561,2080,1595,563,2153,1533,358,1889,938,274,1213,908,159,1068,1587,217,1806,1080,26,1102,728,53,778,403,11,414,829,103,936,1108,82,1196,279,397,674,15926,7239,23163
3010,26,41,66,17,16,33,11,32,45,13,81,98,74,281,350,78,160,243,247,107,355,207,136,340,199,106,303,240,85,326,187,66,255,131,36,173,317,77,393,219,7,227,163,3,164,83,0,92,184,29,218,182,21,203,44,67,113,2631,1361,3989
