SUA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
1016,26,529,47,611,17,558,58,632,80,1400,167,1646,131,1140,110,1372,139,988,106,1230,154,938,79,1165,99,629,61,791,59,389,54,500,20,148,54,217,715,6719,733,8167,30,510,30,579,33,483,52,574,145,1386,137,1661,179,1052,97,1327,230,925,80,1233,270,795,77,1137,155,684,64,899,69,493,62,630,14,278,92,385,1125,6609,681,8422,61,1043,78,1185,53,1036,113,1204,221,2786,298,3312,305,2191,201,2701,366,1913,182,2467,422,1724,156,2305,254,1314,128,1694,126,882,120,1125,28,429,139,603,1844,13325,1421,16593
1017,25,413,73,516,27,323,155,504,66,576,380,1022,105,496,288,891,129,611,149,885,142,730,115,983,121,755,70,948,53,414,51,516,21,117,15,154,692,4444,1291,6426,38,384,62,481,31,329,37,397,136,580,106,818,203,519,97,821,214,597,87,901,247,728,72,1042,177,743,69,985,68,464,82,617,7,237,62,305,1122,4579,676,6375,66,798,133,1002,54,650,193,906,201,1156,481,1841,312,1018,381,1709,341,1212,233,1783,385,1455,184,2033,301,1497,136,1933,126,881,129,1139,26,355,79,460,1817,9020,1965,12802
1018,42,799,71,913,56,732,81,869,136,1450,145,1732,178,1293,120,1601,276,1332,129,1726,306,1444,112,1854,202,1253,87,1542,79,639,55,780,27,240,32,303,1291,9186,842,11319,40,717,95,847,64,689,83,839,211,1450,149,1808,353,1318,137,1804,454,1334,90,1880,497,1400,98,1991,309,1334,75,1721,113,889,91,1088,27,457,75,563,2060,9588,894,12543,84,1522,167,1768,117,1423,163,1709,346,2902,294,3541,526,2612,261,3398,728,2661,218,3609,800,2838,210,3848,507,2589,165,3261,189,1529,146,1862,53,702,108,862,3350,18774,1738,23865
1019,12,283,36,343,21,280,57,354,49,562,174,787,65,469,128,662,118,552,72,735,125,652,72,855,88,666,72,821,44,409,42,491,11,117,10,137,537,3983,662,5185,23,248,32,301,24,230,14,272,78,552,42,678,108,465,42,614,182,523,46,745,204,652,37,892,116,675,59,844,63,487,53,606,4,227,18,258,803,4066,342,5213,34,535,70,639,46,512,67,627,129,1116,225,1468,168,936,173,1276,298,1072,112,1486,329,1310,112,1748,197,1339,124,1664,107,892,98,1100,19,345,28,388,1337,8050,1008,10392
1020,19,454,27,504,25,375,26,427,42,671,46,758,94,738,47,878,157,805,57,1023,136,795,44,980,111,711,48,865,52,363,36,451,9,61,11,72,642,4967,343,5951,34,391,26,443,31,326,21,373,93,675,39,814,205,716,38,963,256,705,37,1001,223,696,42,962,148,669,49,859,51,339,31,416,10,78,5,86,1051,4592,275,5920,56,845,51,950,53,694,50,803,139,1348,84,1573,304,1458,80,1844,417,1515,95,2020,352,1496,89,1939,252,1379,89,1724,103,697,63,863,16,136,18,166,1690,9560,619,11876
1021,45,674,39,757,41,757,44,845,104,1315,78,1495,148,1212,86,1446,231,1286,68,1585,255,1342,81,1678,211,1399,84,1687,157,947,82,1180,52,366,35,455,1247,9291,591,11126,40,651,54,750,54,663,38,754,170,1345,67,1585,262,1120,72,1455,362,1172,67,1610,442,1356,75,1871,292,1437,109,1839,177,1129,111,1414,36,583,62,683,1839,9465,654,11958,91,1324,88,1503,96,1421,85,1600,279,2657,147,3079,413,2332,156,2902,595,2464,135,3191,696,2696,154,3547,498,2833,192,3521,336,2077,185,2595,88,952,101,1138,3083,18749,1247,23078
1022,17,341,24,376,23,294,14,333,52,749,56,859,84,646,58,786,84,593,42,713,90,541,41,667,60,455,36,554,28,297,28,357,11,98,15,127,439,4016,322,4777,18,297,18,328,14,270,21,308,94,780,54,929,128,602,43,775,150,563,40,752,160,512,36,705,84,489,40,615,50,384,32,462,7,183,43,233,705,4080,322,5114,30,631,41,710,35,570,38,642,150,1529,111,1786,211,1250,99,1560,230,1153,78,1469,243,1055,79,1379,147,945,77,1167,79,676,68,822,21,279,57,353,1147,8099,646,9889
1023,6,381,35,422,16,299,46,367,61,721,163,952,84,629,127,843,64,611,100,779,92,575,60,726,49,434,29,506,28,196,31,243,0,45,11,60,407,3894,598,4897,24,305,28,354,19,288,19,327,108,736,63,906,124,570,66,756,135,570,48,753,118,531,31,682,63,420,36,516,27,222,23,271,0,103,19,122,607,3741,332,4681,32,681,57,770,32,590,69,696,163,1464,231,1860,208,1202,192,1603,201,1182,150,1528,210,1104,91,1404,105,852,62,1026,51,411,48,517,0,147,29,179,1008,7634,934,9573
1024,31,715,50,801,20,494,37,557,70,893,72,1040,125,957,58,1141,193,1328,85,1608,313,1694,109,2116,269,2037,114,2417,169,1356,141,1668,43,326,63,434,1247,9802,736,11779,46,592,39,669,40,465,31,537,109,872,55,1032,226,1024,65,1310,356,1350,67,1778,535,1747,96,2380,444,2097,134,2671,218,1390,162,1774,29,487,154,671,1997,10024,796,12823,74,1306,93,1471,62,961,68,1097,180,1762,128,2069,355,1977,116,2450,550,2680,151,3381,852,3444,205,4501,712,4133,246,5085,391,2747,303,3440,68,809,221,1104,3246,19820,1529,24604
1025,648,13705,840,15194,793,15161,1131,17084,2165,30141,2354,34662,3243,26422,2025,31694,4220,24775,1687,30679,4869,22808,1445,29120,3504,20053,1329,24889,1606,11098,1019,13719,437,3391,647,4479,21489,167554,12474,201522,752,13068,778,14590,1152,14698,878,16721,3586,29970,1634,35189,5568,25775,1413,32754,7128,23642,1182,31953,7874,22237,1140,31249,4878,20976,1305,27151,1841,13042,1398,16285,355,6257,1345,7958,33127,169663,11061,213849,1399,26771,1618,29785,1942,29858,2010,33805,5749,60117,3987,69849,8809,52201,3434,64445,11352,48423,2868,62634,12743,45043,2587,60368,8384,41028,2629,52045,3448,24136,2418,30001,796,9647,1995,12437,54617,337214,23538,415368
