SUA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
1000,1214,10,5,12,1227,156,6,1389,38540,4551,958,316,44367,334,103,436,44800,2165,66,47030,48208,7544,1209,516,57485,391,138,528,58011,2466,115,60587,5849,989,909,115,7864,45,18,64,7933,307,16,8257,719,76,49,847,1700,13,4,20,1714,90,87,1891,93317,13162,3129,1802,111412,784,258,1044,112451,5029,285,117767,432,76,43,17,561,158,9,166,728,76,3,813,938,176,32,32,1171,68,52,124,1292,95,3,1389,1372,250,73,41,1736,225,64,291,2020,172,6,2200,94685,13414,3204,1843,113143,1016,321,1333,114477,5203,289,119975,16880,3444,860,730,21911,534,204,737,22649,5056,67,27776,146,30,10,132,308,5,14,18,327,42,552,917,111706,16882,4074,2705,135360,1551,538,2088,137449,10306,917,148670
1001,134,4,4,5,142,16,0,161,3972,411,95,21,4499,53,16,73,4572,207,7,4785,5454,632,81,39,6201,54,9,55,6257,199,5,6465,620,65,65,4,751,14,0,13,767,27,0,793,73,3,0,52,131,0,0,0,136,3,23,160,10116,1115,234,114,11586,124,22,145,11728,444,32,12207,55,26,0,3,83,17,0,17,101,12,0,118,122,19,3,4,150,4,8,14,160,15,0,177,178,43,4,8,233,20,8,30,258,32,0,294,10293,1161,243,116,11815,138,30,174,11991,473,32,12500,1782,321,59,42,2204,51,15,65,2270,433,7,2715,11,0,0,14,26,0,0,0,26,3,31,61,12095,1479,305,178,14047,195,52,242,14285,913,68,15271
1002,20,3,0,3,29,17,0,48,952,122,5,3,1088,8,5,14,1099,68,3,1172,822,181,23,8,1037,3,6,11,1043,58,11,1109,83,28,14,0,123,7,0,7,133,3,0,134,11,0,0,8,18,0,0,0,18,7,0,31,1872,337,39,22,2266,20,7,29,2294,137,7,2443,18,3,3,0,25,0,0,0,29,7,0,31,30,10,0,0,40,0,5,5,45,4,0,43,46,14,3,0,67,0,4,4,73,8,0,80,1922,353,43,23,2338,20,12,34,2367,142,7,2524,329,136,9,8,483,28,16,49,531,260,3,795,0,0,0,4,5,0,0,0,5,0,9,13,2252,492,58,29,2826,45,35,82,2899,403,18,3328
1003,58,0,0,0,60,9,0,70,1458,261,36,13,1774,30,10,34,1809,110,3,1923,2159,525,61,27,2772,4,5,13,2785,120,0,2904,274,48,53,0,375,0,0,0,372,29,0,404,27,3,0,31,69,0,0,0,69,5,6,76,3923,842,149,76,4985,34,15,46,5039,263,11,5312,8,9,0,0,17,0,0,0,17,0,0,17,39,8,0,3,49,6,3,8,57,4,0,62,48,21,0,3,67,8,3,7,74,4,0,84,3964,863,149,76,5060,38,17,55,5114,265,11,5391,637,221,44,18,918,13,3,17,943,162,5,1103,10,3,0,8,22,0,0,0,22,0,16,34,4615,1086,198,95,5997,49,27,74,6070,428,34,6531
1004,4,0,0,0,4,0,0,4,423,77,14,3,518,11,0,15,537,42,0,581,502,130,18,7,658,3,0,9,659,46,0,701,66,13,11,0,82,0,0,0,82,14,0,99,8,4,0,15,23,0,0,0,23,0,0,24,997,214,38,24,1284,18,4,18,1305,100,0,1408,0,4,0,0,0,0,0,4,9,0,0,9,7,3,0,0,15,0,0,5,18,0,0,18,9,8,0,0,14,3,3,5,23,0,0,23,1008,225,38,24,1304,21,10,26,1323,100,0,1427,182,66,13,13,272,4,0,4,275,97,0,371,3,0,0,0,9,0,0,0,9,0,0,12,1199,286,53,40,1580,21,10,28,1607,197,4,1812
1005,54,0,0,0,54,3,0,57,1835,197,26,10,2068,19,0,22,2089,79,0,2172,1797,217,32,15,2060,7,7,11,2070,64,5,2134,255,13,32,0,303,0,4,4,306,11,0,319,16,3,0,9,37,0,0,0,37,0,9,42,3907,440,94,29,4466,26,10,33,4502,153,11,4669,18,3,0,0,23,13,0,13,34,0,0,34,43,9,5,3,56,5,0,9,68,4,0,70,65,13,5,3,82,19,0,21,103,4,0,109,3969,449,95,32,4547,46,11,58,4603,156,11,4774,587,154,17,12,777,28,3,30,816,157,0,973,0,4,0,6,7,0,0,0,7,0,10,18,4562,607,115,48,5333,71,19,85,5425,315,23,5768
1006,88,0,0,0,92,16,0,104,1630,251,59,12,1952,17,5,20,1980,72,0,2047,2186,434,74,26,2716,7,8,22,2735,93,0,2828,264,40,40,0,347,0,0,0,347,8,3,360,32,0,0,24,48,0,0,0,48,0,3,58,4110,725,182,54,5060,32,12,49,5110,171,6,5283,6,3,0,0,11,5,0,5,22,3,0,23,62,10,4,5,83,8,0,8,84,4,0,91,72,15,4,4,93,14,0,14,105,8,0,114,4175,741,181,59,5153,46,12,61,5214,177,6,5403,845,148,39,42,1076,25,3,29,1105,156,7,1268,3,0,0,0,11,0,0,0,11,0,21,31,5028,889,222,105,6237,68,14,91,6327,336,36,6698
1007,8,0,0,0,8,0,0,11,501,48,29,10,576,5,4,11,588,37,0,620,480,64,19,5,568,7,0,7,578,29,0,601,84,13,6,0,116,0,0,0,116,4,0,116,3,0,0,9,22,0,0,0,22,3,0,27,1073,128,55,27,1284,14,4,20,1301,66,7,1369,6,5,0,0,8,0,0,0,10,0,0,10,18,3,0,0,24,0,0,0,27,5,0,29,24,3,0,0,33,5,0,5,35,5,0,38,1099,135,56,27,1317,13,4,18,1330,74,7,1410,269,30,18,12,327,16,14,26,350,75,3,425,0,0,0,4,7,0,0,0,7,0,8,11,1370,168,68,42,1648,27,13,44,1688,146,7,1847
1008,8,0,0,0,8,0,0,8,228,39,0,3,277,0,0,0,277,18,0,295,351,184,8,7,554,4,0,5,561,32,0,591,34,11,7,0,52,0,0,0,52,4,0,56,6,0,0,0,5,0,0,0,9,0,0,12,618,239,24,10,890,8,0,10,900,54,0,952,5,6,0,0,10,0,0,0,10,0,0,10,6,0,5,0,11,0,4,4,12,3,0,17,8,14,5,0,23,0,4,4,24,3,0,26,632,248,30,10,914,8,6,8,925,57,0,984,95,58,8,0,162,0,7,6,174,29,0,195,0,0,0,0,0,0,0,0,0,0,11,15,732,303,35,11,1083,7,10,16,1100,87,11,1188
1009,23,0,0,0,23,10,0,28,536,99,15,3,643,4,0,5,651,55,3,704,694,98,19,3,816,16,7,17,831,41,4,876,78,8,10,0,96,0,0,0,101,6,0,102,0,0,0,17,18,0,0,0,18,0,0,18,1304,205,41,20,1569,21,5,23,1599,101,10,1699,3,0,0,0,3,4,0,4,7,0,0,6,27,0,0,0,27,0,0,0,27,7,0,31,28,0,0,0,33,4,0,4,32,6,0,41,1338,204,41,20,1604,23,5,26,1628,106,10,1742,161,58,15,6,241,9,0,11,249,57,0,310,0,0,0,0,0,0,0,0,0,0,4,9,1501,264,55,27,1844,30,3,36,1884,167,12,2061
1010,965,10,3,12,981,135,0,1115,10847,2006,644,66,13558,182,64,245,13796,959,20,14771,15287,3468,984,141,19872,169,45,213,20090,923,36,21044,3423,848,795,47,5112,38,8,43,5158,238,5,5398,216,29,17,202,466,5,0,10,477,35,40,550,29776,6345,2444,455,39015,394,113,510,39520,2152,91,41761,187,70,3,10,273,33,13,48,320,30,0,347,376,118,29,6,536,21,12,26,566,38,0,604,564,187,39,21,803,55,20,77,884,70,0,957,30338,6528,2482,474,39817,450,137,584,40404,2223,91,42720,6667,1563,600,186,9017,207,63,270,9290,1676,36,11008,50,10,0,66,122,0,0,0,122,10,138,273,37050,8102,3082,721,48962,660,204,856,49817,3912,268,53998
1011,73,0,0,4,76,18,0,103,2703,452,65,13,3245,31,23,48,3296,210,7,3514,3241,741,87,43,4110,30,14,45,4158,180,8,4339,325,52,49,0,434,0,0,0,434,8,0,439,40,14,0,47,102,0,0,0,102,3,4,106,6317,1264,200,105,7883,60,39,99,7981,402,20,8401,53,5,4,0,58,19,0,19,78,7,0,87,82,16,0,6,101,14,5,12,114,19,0,130,131,26,4,6,161,31,5,27,187,31,0,215,6448,1284,207,107,8046,85,37,128,8175,431,20,8616,995,350,58,62,1462,67,27,95,1561,524,8,2095,20,3,0,14,41,0,0,0,41,4,41,87,7461,1637,269,178,9546,154,70,221,9770,958,64,10797
1012,32,0,0,0,32,3,0,36,1997,201,45,10,2253,21,9,34,2284,58,0,2349,2025,254,44,28,2343,12,0,12,2355,50,3,2410,283,29,70,0,383,3,0,3,392,3,0,393,32,0,0,28,65,5,0,5,69,0,12,84,4343,484,158,68,5047,39,12,53,5095,114,19,5236,21,0,0,0,19,4,0,4,19,0,4,24,44,6,0,0,44,0,0,0,44,10,0,54,61,6,0,0,69,4,0,4,69,7,4,83,4400,490,158,68,5110,42,12,54,5164,124,24,5315,694,95,26,27,835,22,11,33,873,166,0,1037,8,0,0,6,15,0,0,0,15,0,11,33,5105,581,183,102,5969,70,19,86,6056,291,34,6382
1013,10,0,0,0,10,5,0,12,405,79,9,4,497,4,0,4,503,37,3,540,647,142,15,12,812,3,7,12,825,49,0,875,43,19,9,0,71,0,0,0,71,5,0,72,12,4,0,9,23,0,0,0,22,4,0,23,1099,237,36,23,1397,14,7,19,1420,85,5,1510,3,0,0,0,3,3,0,3,10,0,0,9,7,5,0,0,14,7,0,7,19,5,0,22,14,6,0,0,16,7,0,7,30,4,0,37,1113,244,36,23,1417,21,7,28,1447,93,3,1545,135,67,5,3,213,19,0,19,230,86,0,317,0,0,0,3,3,0,0,0,3,0,0,6,1253,306,43,34,1631,44,9,51,1680,180,5,1864
1014,12,0,0,0,12,6,0,19,987,102,18,4,1101,11,3,12,1116,55,3,1182,1063,93,50,5,1214,14,0,14,1224,70,0,1291,156,17,16,0,196,3,0,3,205,14,0,212,12,0,0,19,35,0,0,0,39,3,0,45,2217,217,82,28,2549,23,3,27,2578,145,6,2734,9,0,0,0,9,5,0,5,13,0,0,18,33,5,0,0,40,5,0,5,43,5,0,49,47,5,0,0,48,8,0,8,56,4,0,62,2262,221,82,28,2601,30,3,36,2636,152,6,2790,397,77,22,11,504,19,19,37,536,98,0,637,6,0,0,0,10,0,0,0,10,0,8,24,2664,298,104,45,3110,49,19,70,3179,252,22,3451
1015,4,0,0,0,7,0,0,7,573,82,18,7,672,14,0,14,685,35,0,721,661,101,21,9,795,3,0,9,804,55,0,852,93,18,13,0,124,0,0,0,124,6,0,124,9,0,0,12,17,0,0,0,17,6,0,28,1334,202,50,23,1613,18,0,20,1632,94,4,1729,20,0,0,4,26,0,0,0,30,6,0,33,11,3,0,0,15,11,3,13,24,0,0,28,34,7,0,4,44,11,3,13,58,3,0,59,1369,211,50,23,1652,30,7,33,1685,104,4,1788,325,88,9,21,439,14,8,32,467,106,5,579,0,0,0,0,0,0,0,0,0,0,8,10,1695,293,56,49,2094,44,17,64,2157,216,14,2386
1016,26,0,0,0,26,4,0,31,857,99,14,4,974,10,3,19,993,39,3,1037,1193,101,3,20,1311,10,3,14,1322,39,4,1369,108,8,11,0,128,0,0,0,128,10,0,138,23,0,0,10,35,0,0,0,35,6,3,43,2173,202,27,39,2446,24,5,31,2479,92,15,2589,24,0,6,0,23,5,0,5,29,4,0,26,24,10,0,0,34,0,0,3,35,0,0,40,47,10,6,0,56,7,0,4,62,3,0,69,2217,212,35,41,2502,26,12,37,2541,97,17,2650,466,82,14,15,569,17,4,18,590,123,0,715,3,0,0,0,10,0,0,0,10,3,16,31,2682,295,50,59,3086,40,15,56,3140,224,33,3400
1017,8,0,0,0,13,0,0,13,382,79,11,3,479,7,6,17,489,45,0,531,428,102,14,3,552,5,0,9,559,55,0,613,54,9,10,0,73,0,0,0,73,5,0,76,3,0,0,9,9,0,0,0,9,0,4,21,863,199,27,18,1109,18,4,19,1130,104,4,1240,3,0,0,0,3,4,0,3,8,5,0,15,17,0,0,0,17,0,0,0,17,7,0,18,18,0,0,0,19,4,0,3,28,9,0,33,882,202,27,18,1131,20,9,30,1156,115,4,1278,170,75,14,12,266,16,11,26,294,125,0,423,0,3,0,0,8,0,0,0,8,0,10,16,1056,271,40,28,1398,35,16,55,1454,244,10,1713
1018,24,0,0,0,24,4,0,28,890,143,10,9,1055,11,4,19,1068,53,0,1124,1127,274,20,14,1436,10,4,9,1456,84,4,1540,123,37,15,0,171,0,0,0,171,10,0,184,6,8,0,13,29,0,0,0,29,6,4,32,2145,458,46,37,2691,21,4,28,2722,153,8,2881,9,4,0,0,12,3,5,4,19,4,0,24,21,4,0,3,29,0,7,10,42,6,0,42,35,5,0,3,41,3,10,16,57,10,0,64,2181,467,50,40,2734,30,20,41,2780,164,8,2949,458,66,17,27,571,10,9,19,588,99,0,692,4,0,0,0,4,0,0,0,4,0,17,15,2637,535,67,68,3303,40,20,58,3364,264,28,3651
1019,8,0,0,0,8,5,0,8,284,30,8,0,327,13,0,13,341,26,0,366,467,73,15,0,565,3,0,3,567,35,0,599,81,11,3,3,104,3,0,3,111,0,0,110,11,4,0,8,19,0,0,0,19,0,0,19,849,122,28,18,1015,17,0,23,1038,62,0,1092,0,6,0,0,10,0,0,3,11,0,0,11,6,0,0,0,7,3,0,3,9,3,0,19,7,3,0,0,12,5,0,5,18,3,0,26,859,125,28,18,1026,27,0,24,1054,62,0,1119,198,51,15,3,262,4,3,3,271,63,6,336,4,0,0,0,4,0,0,0,4,0,5,5,1062,177,41,20,1298,29,3,33,1330,125,7,1464
