SUA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,8,23,18,118,20,15,10,4,3,206,0,9,11,46,134,73,47,0,0,322,24,292,282,1417,511,387,252,47,11,3231,0,6,5,85,67,66,141,57,35,453,0,0,28,132,12,14,3,0,0,184,0,26,34,246,286,661,850,582,141,2828,0,24,19,57,78,60,32,3,3,273,8,73,119,462,361,299,254,91,21,1687,0,24,28,273,70,88,85,55,11,637,8,8,25,446,11,13,4,3,0,503,12,116,155,589,212,107,40,3,0,1234,0,9,6,56,56,52,18,22,3,215,25,98,102,390,274,311,413,105,11,1736,14,29,49,392,161,133,55,10,3,847,0,10,11,66,78,147,167,93,26,600,0,6,16,95,58,60,48,9,3,300,32,204,246,1635,1020,1289,1421,971,316,7124,2010,5820,5012,12499,8032,9654,8855,5461,2363,59711,34298,83716,68456,145790,93509,112766,105370,53737,18413,716050
2001,0,6,0,26,0,0,0,0,0,31,0,0,0,5,0,0,0,0,0,8,0,7,4,53,27,16,10,4,0,118,0,0,3,5,10,3,7,3,0,25,0,4,0,5,0,8,0,0,0,21,0,0,7,21,17,32,42,28,7,156,0,12,0,4,9,0,0,4,0,33,0,3,7,31,16,7,13,0,3,76,0,5,4,36,9,4,7,0,0,65,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,0,6,0,0,19,0,0,0,0,0,0,0,0,0,6,0,6,11,22,6,10,9,4,0,68,0,0,0,22,4,9,10,0,0,48,0,0,0,9,4,3,8,8,4,29,0,0,10,20,8,10,0,0,0,42,6,13,10,103,81,62,64,47,20,404,58,121,99,249,133,110,118,79,28,1005,1646,3513,2767,7011,3135,2664,2371,1187,431,24717
2002,0,3,3,9,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,4,5,12,11,67,25,17,12,4,0,150,0,0,0,5,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,13,10,17,6,55,0,0,3,3,4,0,0,0,0,14,0,3,0,23,7,4,7,6,0,50,0,0,0,15,0,5,0,0,0,18,0,0,0,15,0,0,0,0,0,12,3,0,3,30,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,9,0,0,31,0,0,5,23,14,12,3,0,0,53,0,0,0,0,4,0,3,0,0,12,0,0,0,0,0,3,0,0,0,6,0,9,0,38,18,18,20,26,8,138,51,121,103,238,130,155,143,135,98,1177,892,1809,1638,3388,1787,2010,2117,1477,567,15684
2003,0,17,24,125,13,4,0,0,0,184,0,0,4,11,24,5,0,0,0,39,6,53,69,315,91,53,36,10,0,635,0,0,0,17,7,13,7,5,4,57,0,0,0,4,0,5,0,4,0,18,0,8,9,42,39,59,99,85,19,368,0,10,12,20,20,6,5,0,0,76,5,18,21,91,42,47,29,7,0,263,0,11,19,158,36,15,9,0,3,249,0,4,3,35,11,3,0,0,0,54,0,16,22,67,37,13,3,0,0,154,0,0,0,4,4,0,3,0,0,21,0,32,34,97,41,45,38,16,0,308,0,5,26,85,24,18,11,4,0,163,0,4,0,15,9,12,17,12,4,71,0,7,7,40,16,7,6,6,0,92,13,63,110,381,161,155,149,102,49,1175,257,604,684,1389,629,614,608,493,278,5559,6523,14490,13946,29278,13566,13020,11670,6629,2851,111973
2004,0,9,12,82,15,0,0,0,0,116,0,0,3,12,26,8,0,0,0,54,3,39,69,319,101,61,36,10,0,638,0,0,0,8,4,3,8,4,0,30,0,0,0,8,0,0,0,0,0,5,0,0,5,25,24,50,76,55,19,256,0,3,5,18,9,7,10,0,0,45,5,16,39,77,54,27,16,14,4,255,6,21,29,122,36,25,14,8,3,263,0,3,3,47,3,0,0,0,0,62,9,190,306,204,15,21,0,0,0,749,0,0,0,6,6,4,3,0,0,14,5,16,26,47,30,22,18,7,0,169,0,8,8,72,20,16,4,0,0,131,0,0,0,9,10,13,11,5,3,46,0,3,5,30,15,5,5,0,0,65,17,58,66,227,93,89,92,67,17,731,273,598,555,1385,615,646,546,438,243,5307,6186,13209,12471,26561,12136,12212,11096,6354,2812,103034
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,11,0,0,0,9,5,0,0,0,0,23,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,5,8,9,10,15,5,10,58,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,8,10,4,0,40,0,0,0,8,0,3,4,0,0,19,0,0,0,0,0,0,0,3,0,5,0,3,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,10,6,9,20,6,0,60,0,0,0,33,14,5,0,0,0,50,0,0,0,0,0,3,3,3,3,21,0,0,0,0,0,0,0,0,0,3,0,5,13,55,33,25,25,11,4,172,14,61,61,102,105,85,115,107,115,769,469,1140,844,2419,1533,1631,1779,1064,472,11352
2006,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,6,12,32,17,4,6,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,30,0,0,0,4,8,8,3,13,4,33,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,3,12,4,0,8,0,0,29,0,0,10,127,0,0,0,0,0,134,0,0,0,8,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,6,0,0,21,0,0,0,9,5,0,0,0,0,8,0,0,0,0,0,0,0,0,5,6,0,0,0,0,4,0,0,0,0,0,0,6,9,44,24,19,14,6,9,123,40,69,50,158,77,74,100,84,38,685,690,1483,1387,3064,1489,1553,1536,1056,502,12756
2007,0,4,0,5,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,5,0,21,21,70,28,16,5,0,0,160,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12,29,22,0,74,0,0,0,0,0,4,0,0,0,10,0,3,0,13,3,7,0,11,0,42,4,6,0,57,0,3,0,5,0,73,0,0,0,7,0,0,0,0,0,11,0,0,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,6,5,6,6,4,0,0,0,24,0,0,0,23,3,9,6,0,0,33,0,0,0,0,0,4,0,8,0,12,0,0,0,0,5,3,0,0,0,8,3,5,6,34,13,12,21,20,6,123,49,121,112,280,164,209,233,206,112,1474,1175,2632,2338,4655,2763,3085,3166,1985,753,22568
2008,14,103,153,462,46,9,17,0,0,802,0,4,3,34,55,30,8,3,0,135,15,106,224,916,354,237,140,35,4,2031,0,0,3,84,49,59,115,52,62,414,0,3,0,25,9,5,0,0,0,51,0,30,29,203,169,333,398,285,93,1546,0,33,42,97,56,48,51,3,3,327,6,61,115,360,211,168,118,46,16,1098,7,29,123,464,83,48,59,17,5,832,0,5,4,74,8,9,0,0,0,106,3,163,227,302,90,46,13,0,0,841,0,5,3,39,45,31,24,31,5,182,20,81,100,339,137,106,113,46,0,942,3,21,90,293,136,102,41,12,7,698,0,10,11,44,56,69,67,50,11,328,0,3,25,113,40,24,17,4,0,233,34,284,363,1492,642,807,826,691,310,5443,523,1459,1522,3442,1616,1488,1597,1154,526,13337,16936,35571,34379,77994,35719,33780,30849,17271,7134,289630
2009,0,0,0,5,0,0,0,0,0,9,0,0,0,0,8,3,0,0,0,9,0,0,0,16,3,0,0,0,0,27,0,0,0,5,3,0,8,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,16,21,30,24,20,3,114,0,8,5,4,9,9,3,0,0,26,0,0,7,24,25,16,3,0,0,80,0,4,0,8,0,5,9,0,0,30,0,0,3,5,0,0,0,0,0,7,0,4,0,6,7,5,0,0,0,25,0,0,0,0,3,0,0,0,0,8,3,12,7,25,8,21,8,0,3,90,0,0,0,14,0,0,0,0,0,15,0,3,0,9,9,8,8,4,0,37,0,0,0,0,3,0,4,0,0,16,6,11,13,65,54,52,47,38,12,292,28,106,104,179,150,138,125,56,21,915,1294,3477,2519,4789,3378,2951,2322,1172,319,22200
