SUA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
1000,376,300,339,277,110,0,0,0,1405,45,155,197,189,218,0,0,0,805,126,893,1459,2662,4064,7347,4536,2535,23624,550,1349,1996,3127,4398,7347,4536,2535,25841,46760,42816,45413,54933,66907,60353,29503,6389,353073,5756,5888,5897,6140,6458,5656,3319,1357,40474,53067,50050,53303,64200,77761,73355,37359,10281,419389,153,120,122,71,25,0,0,0,480,5,42,61,63,37,0,0,0,203,49,203,407,731,905,679,271,187,3438,206,366,583,861,961,679,271,187,4128,44176,46455,50566,60595,72083,63167,33105,12261,382410,4810,4564,4883,5068,5462,4893,3709,2275,35672,49191,51383,56041,66528,78512,68746,37089,14721,422206,530,420,457,350,130,0,0,0,1892,53,193,257,246,259,0,0,0,1015,176,1094,1864,3394,4972,8029,4808,2725,27058,758,1708,2586,3993,5364,8029,4808,2725,29961,90932,89271,95982,115529,138994,123520,62610,18648,735483,10564,10459,10786,11212,11921,10552,7028,3630,76147,102254,101435,109347,130732,156274,142106,74446,25000,841594
1001,346,242,152,85,33,0,0,0,862,8,22,24,34,29,0,0,0,116,28,142,200,335,449,729,440,231,2563,383,408,372,457,515,729,440,231,3535,5361,5629,5093,4859,4725,3980,1974,516,32138,368,398,348,295,275,237,153,76,2148,6113,6437,5815,5607,5510,4950,2565,831,37822,167,83,31,10,8,0,0,0,291,5,11,7,4,14,0,0,0,33,18,27,44,107,115,90,39,16,457,182,118,85,129,133,90,39,16,780,5339,6190,5913,5671,5722,5113,2961,1229,38132,342,351,316,248,243,250,258,158,2167,5864,6650,6309,6047,6097,5449,3258,1401,41079,517,326,176,101,36,0,0,0,1154,11,29,31,40,40,0,0,0,148,44,166,248,444,566,821,475,250,3013,568,525,456,584,646,821,475,250,4316,10699,11821,11002,10528,10441,9091,4936,1753,70272,710,746,665,545,518,480,410,233,4315,11981,13092,12123,11653,11600,10394,5823,2228,78903
1002,0,4,0,0,0,0,0,0,4,9,4,5,7,3,0,0,0,23,4,24,30,55,73,91,66,60,402,10,34,35,59,77,91,66,60,433,1607,1375,1160,1032,1167,918,550,135,7947,315,157,86,73,85,56,67,32,861,1927,1567,1278,1163,1324,1069,683,226,9238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,7,17,17,11,0,0,61,5,7,10,20,17,11,0,0,63,1802,1519,1242,1257,1339,1108,773,302,9338,402,161,106,74,77,72,89,73,1049,2207,1687,1350,1356,1432,1188,859,378,10459,0,7,0,0,0,0,0,0,4,6,4,5,9,3,0,0,0,26,3,32,37,67,87,98,71,59,462,14,41,43,77,95,98,71,59,500,3413,2897,2400,2294,2508,2031,1318,437,17288,715,314,186,154,160,129,154,107,1915,4134,3251,2626,2521,2760,2253,1542,599,19697
1003,4,0,3,0,0,0,0,0,11,3,8,0,6,6,0,0,0,23,11,39,53,100,155,335,295,221,1202,14,44,63,103,164,335,295,221,1233,2081,1806,2303,2530,2767,2697,1430,399,16000,157,141,146,134,152,150,104,70,1058,2248,1989,2509,2768,3078,3185,1824,691,18295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,30,31,29,20,20,144,0,8,8,31,34,29,20,20,152,1934,2107,2578,2951,3234,3323,1956,942,19028,116,148,136,150,147,163,154,181,1199,2045,2266,2724,3124,3419,3516,2135,1146,20383,7,0,6,0,0,0,0,0,7,3,9,0,9,11,0,0,0,26,11,39,59,131,188,362,312,242,1352,13,54,65,136,197,362,312,242,1386,4012,3913,4880,5477,5998,6019,3388,1334,35033,271,289,283,281,301,319,261,255,2256,4293,4253,5234,5897,6499,6697,3961,1833,38674
1004,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,17,16,41,74,218,146,77,585,4,17,16,44,76,218,146,77,595,703,629,668,894,1100,1272,644,163,6065,77,57,53,94,80,87,70,29,532,775,699,739,1034,1255,1570,855,258,7192,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,6,12,21,29,11,7,91,0,4,6,13,23,29,11,7,94,639,680,743,960,1402,1500,842,345,7105,58,67,66,68,72,83,86,51,560,702,752,812,1041,1492,1615,942,404,7762,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,12,6,20,20,53,91,245,156,86,673,4,19,20,57,101,245,156,86,690,1337,1310,1411,1856,2497,2769,1487,502,13174,132,122,123,157,153,171,152,75,1095,1479,1452,1552,2069,2748,3186,1797,664,14958
1005,0,0,3,0,0,0,0,0,6,6,17,9,5,5,0,0,0,39,8,29,67,102,136,174,136,81,736,16,48,75,110,138,174,136,81,780,2428,2208,1858,1862,1803,1497,812,224,12699,259,400,337,198,120,79,55,22,1478,2704,2653,2277,2171,2062,1751,999,335,14952,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,11,16,19,26,5,10,93,3,9,15,13,19,26,5,10,101,2315,2377,2053,2166,2088,1784,1075,582,14451,125,123,103,117,100,74,79,50,774,2449,2510,2175,2301,2210,1879,1156,641,15324,0,6,3,0,0,0,0,0,7,6,17,12,4,5,0,0,0,39,10,38,82,115,152,198,134,90,833,20,60,98,124,158,198,134,90,882,4745,4582,3912,4031,3892,3282,1890,810,27148,384,523,438,314,221,155,135,73,2247,5153,5163,4447,4470,4268,3631,2162,977,30275
1006,4,3,8,4,3,0,0,0,17,0,3,5,11,6,0,0,0,27,3,35,49,83,140,255,262,180,1010,11,45,57,97,147,255,262,180,1057,1961,1819,1950,2253,2297,2229,1515,350,14371,100,70,109,117,94,112,118,99,817,2074,1929,2117,2465,2536,2593,1893,634,16248,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,29,26,38,21,15,139,0,7,8,25,26,38,21,15,148,1910,1907,2142,2628,2731,3058,2097,699,17176,106,74,87,115,105,126,150,169,924,2017,1993,2237,2769,2857,3228,2271,881,18242,6,5,4,3,3,0,0,0,26,0,3,6,11,6,0,0,0,31,10,39,53,109,166,292,280,198,1150,16,51,64,127,171,292,280,198,1205,3865,3725,4088,4878,5027,5285,3613,1055,31543,204,145,195,233,195,241,265,264,1746,4084,3919,4355,5232,5395,5825,4162,1515,34488
1007,4,0,0,3,0,0,0,0,9,0,0,0,4,0,0,0,0,5,3,14,22,46,68,105,97,48,397,3,12,23,47,68,105,97,48,414,871,926,794,874,1102,927,403,119,6023,118,103,106,90,71,63,46,33,638,993,1050,921,1015,1244,1101,542,205,7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,16,11,3,0,47,0,0,4,8,17,11,3,0,44,796,1028,871,906,1234,1041,644,299,6823,79,96,92,74,75,62,89,79,651,875,1128,962,993,1320,1112,735,388,7516,4,0,0,3,0,0,0,0,8,0,0,0,4,0,0,0,0,6,3,16,26,53,80,113,100,57,441,3,14,27,61,80,113,100,57,459,1667,1957,1657,1788,2342,1966,1041,421,12845,199,204,196,166,150,134,128,117,1286,1874,2182,1883,2010,2570,2214,1272,590,14592
1008,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,6,11,4,22,46,26,19,127,0,6,12,4,22,46,26,19,133,382,866,744,616,601,535,191,27,3963,48,110,89,68,49,44,19,5,420,432,983,843,688,675,620,237,50,4520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,0,17,0,6,0,0,8,3,0,0,20,471,1017,793,640,649,561,222,96,4452,61,114,77,61,56,34,19,22,433,530,1134,870,695,705,604,241,121,4904,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,4,10,5,30,51,27,19,148,0,7,13,5,30,51,27,19,151,850,1886,1537,1253,1246,1096,424,125,8418,109,229,162,124,101,73,36,29,859,961,2118,1711,1387,1375,1225,483,171,9431
1009,0,0,0,5,0,0,0,0,4,0,3,0,5,3,0,0,0,7,4,11,24,52,67,224,201,111,689,3,12,27,59,73,224,201,111,705,757,473,589,920,1239,1585,946,214,6720,39,29,34,35,53,75,52,25,342,807,513,649,1013,1361,1876,1201,348,7767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,25,13,11,90,0,0,3,14,24,25,13,11,93,637,517,761,1048,1555,1821,1140,422,7897,37,21,31,25,60,62,73,31,335,673,539,793,1088,1630,1910,1229,462,8322,0,0,0,5,0,0,0,0,3,0,0,0,5,3,0,0,0,4,4,13,32,66,87,247,216,123,782,6,12,33,70,91,247,216,123,792,1396,991,1350,1971,2794,3404,2087,638,14621,76,51,62,60,110,135,129,52,679,1479,1058,1443,2098,2996,3785,2429,811,16093
