SUA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1000,275324,271252,546577,45777,49298,95074,82177,85943,168124,5942,6361,12302,7810,8349,16162,815,869,1686,1337,1326,2662,408,404,814,739,734,1469,4586,4769,9347,19,17,38,103837,108770,212604,6743,7233,13977,3108,2660,5772,159464,167958,327422,50331,44638,94961,485122,483849,968966
1001,22510,24092,46605,3802,4184,7983,5975,6630,12602,6032,6532,12562,844,810,1652,144,129,270,202,202,405,114,113,225,163,162,330,171,172,344,0,3,4,13642,14754,28393,1093,1179,2272,433,340,769,18962,20450,39414,2801,2787,5589,44279,47326,91611
1002,4728,5173,9901,2026,2113,4139,1541,1910,3446,71,97,169,239,310,549,26,31,62,47,52,97,9,8,25,23,36,61,31,45,70,0,0,4,1992,2482,4476,770,885,1648,69,55,124,4850,5537,10389,1090,1268,2360,10675,11977,22651
1003,11331,11957,23293,2255,2553,4805,4299,4876,9170,296,324,614,661,770,1429,31,38,69,79,77,153,16,24,43,60,55,112,44,40,76,0,0,0,5472,6205,11675,504,551,1049,182,164,346,8408,9474,17878,1337,1479,2823,21080,22915,43990
1004,4018,4310,8323,774,807,1583,1818,2034,3851,91,104,195,92,110,198,15,19,33,20,28,44,7,9,17,16,13,25,350,355,703,0,0,0,2404,2667,5070,122,134,264,60,53,108,3362,3659,7023,721,699,1420,8098,8668,16771
1005,8410,8691,17105,1859,1920,3775,4690,5207,9905,81,79,167,136,167,306,30,37,63,32,24,56,11,22,35,16,19,36,25,30,60,0,0,0,5024,5600,10622,328,374,704,151,139,285,7362,8022,15383,1711,1015,2726,17485,17733,35215
1006,9860,10824,20685,1740,1862,3600,5260,5835,11091,49,58,102,122,150,270,20,18,39,43,38,79,9,21,31,8,16,26,49,86,135,4,6,8,5561,6219,11780,500,536,1037,109,97,204,7913,8709,16624,1005,1168,2172,18781,20700,39476
1007,5029,5163,10186,1192,1443,2641,426,473,892,80,81,164,91,82,168,181,197,380,37,37,74,16,22,37,14,17,30,9,10,11,0,0,0,846,900,1752,124,128,253,55,55,115,2218,2534,4761,828,841,1670,8077,8541,16620
1008,2158,2192,4351,575,574,1146,739,872,1611,218,263,473,145,162,308,15,24,38,35,30,60,5,5,12,6,6,14,20,7,29,0,0,0,1179,1370,2550,551,687,1236,76,87,159,2376,2709,5089,492,505,999,5023,5414,10437
1009,4834,5099,9941,976,1070,2043,1936,2145,4084,84,83,164,140,148,286,12,9,26,33,30,60,6,8,16,18,13,30,28,31,63,0,0,0,2256,2474,4731,76,99,182,62,52,112,3372,3693,7066,458,438,894,8666,9233,17903
1010,88792,93982,182772,10680,11484,22160,41163,44873,86038,548,593,1136,863,1033,1896,128,129,259,260,291,551,86,98,185,85,100,182,179,193,373,0,0,4,43301,47320,90619,2942,3247,6189,1302,1213,2515,58224,63259,121482,9306,10337,19645,156322,167573,323897
1011,17672,18948,36623,3371,3683,7048,7162,7997,15162,403,472,877,799,888,1687,62,62,124,111,114,226,41,44,87,50,52,105,79,98,182,0,4,6,8723,9742,18463,1260,1422,2685,367,334,708,13719,15180,28896,2361,2480,4843,33756,36604,70360
1012,8635,9357,17985,1703,1936,3636,4569,5197,9772,148,122,273,210,214,425,29,31,59,66,66,135,15,21,34,25,29,52,36,38,71,0,0,0,5106,5718,10817,605,627,1229,204,187,386,7612,8463,16077,1730,1720,3449,17980,19538,37515
1013,5211,5753,10966,1095,1269,2367,2189,2453,4640,51,57,104,92,115,209,3,7,12,18,27,47,7,5,18,8,8,17,23,26,48,0,0,0,2397,2699,5096,129,151,284,74,102,178,3690,4227,7919,691,809,1502,9599,10788,20388
1014,5818,6074,11893,2085,2335,4424,1592,1751,3349,59,64,123,96,105,196,21,9,32,29,24,52,3,4,5,9,6,13,129,175,305,0,0,0,1939,2139,4078,300,272,567,77,99,181,4402,4843,9247,1216,759,1975,11436,11678,23114
1015,4804,5042,9851,1429,1669,3097,1155,1347,2498,44,58,107,242,262,498,11,9,24,13,21,28,10,7,19,9,18,28,3,8,12,0,3,3,1493,1725,3221,75,99,173,83,89,171,3087,3577,6665,791,824,1620,8681,9451,18132
1016,5040,5227,10267,1506,1579,3084,905,970,1869,163,136,293,81,98,177,25,19,49,17,29,45,8,10,19,3,10,18,22,38,59,0,0,0,1225,1308,2531,911,818,1726,66,37,98,3703,3739,7439,756,729,1486,9495,9695,19185
1017,3757,4063,7822,1015,1174,2187,997,1110,2109,29,22,50,96,108,197,6,5,12,10,3,18,6,9,14,12,13,22,4,7,10,0,0,0,1156,1285,2438,40,52,91,64,56,124,2275,2570,4845,1396,741,2143,7431,7378,14809
1018,6840,7449,14294,1347,1525,2871,2923,3122,6042,121,133,258,368,410,772,27,32,58,28,41,61,20,15,39,31,39,71,11,19,29,0,0,0,3536,3798,7331,270,272,543,135,148,277,5292,5741,11028,978,1038,2017,13102,14229,27334
1019,3323,3472,6792,787,820,1612,885,944,1826,17,11,28,52,44,95,10,11,15,9,7,17,5,5,8,0,0,0,3,0,4,0,0,0,975,1025,1996,51,80,130,21,11,34,1833,1939,3768,784,467,1246,5937,5875,11811
1020,3833,3765,7599,766,785,1549,1652,1656,3310,66,72,137,148,148,297,29,27,57,23,36,55,7,7,12,35,30,63,29,28,57,0,0,0,1995,2007,3997,77,88,167,62,47,110,2893,2917,5813,382,314,697,7112,6995,14106
1021,6721,6966,13690,1049,1191,2246,3797,4057,7858,49,70,116,115,132,247,14,17,32,33,37,73,9,11,26,9,10,19,24,25,52,0,0,0,4053,4365,8414,165,185,348,123,130,250,5394,5871,11260,624,703,1318,12732,13531,26265
1022,2635,2737,5376,1023,1080,2099,1295,1399,2693,25,32,53,118,130,246,12,7,21,31,32,60,5,4,5,11,18,27,3,9,12,0,0,0,1492,1628,3120,95,109,198,45,40,82,2654,2854,5509,383,397,778,5668,5990,11661
1023,2800,2749,5547,965,972,1930,1039,1120,2157,9,15,29,120,122,244,19,19,34,29,17,48,11,8,11,10,9,13,3,0,5,0,0,0,1237,1304,2541,102,104,209,84,63,149,2387,2440,4823,687,395,1080,5866,5587,11453
1024,6826,7290,14119,1720,1926,3645,2963,3216,6179,137,138,274,162,188,348,30,29,64,54,44,97,12,30,42,30,27,57,52,61,110,0,0,0,3440,3737,7175,315,321,638,90,89,181,5565,6069,11632,806,863,1666,13201,14224,27423
1025,128578,133077,261652,15929,17066,32994,63339,68828,132171,1203,1280,2488,2055,2250,4302,433,445,875,544,520,1062,191,206,401,404,381,790,567,592,1159,15,11,28,68749,74514,143263,5298,5684,10983,2144,2027,4173,92126,99286,191410,13612,12268,25882,234312,244633,478943
1026,9194,9554,18742,1862,2120,3989,3775,4070,7843,142,139,283,199,191,391,39,40,80,76,57,135,12,19,32,23,27,49,99,97,189,10,4,11,4377,4641,9015,353,374,724,167,151,317,6763,7282,14054,2120,1382,3498,18073,18222,36298
1027,9360,10056,19417,2362,2532,4897,4650,5131,9781,119,114,231,227,234,465,50,54,103,48,61,111,14,25,38,33,29,59,53,71,123,0,0,5,5196,5715,10910,455,516,973,181,146,323,8189,8915,17105,1202,1247,2449,18747,20213,38965
1028,11199,12400,23600,1972,2186,4158,6372,7456,13824,267,316,580,431,493,926,38,46,87,59,65,120,39,52,89,39,45,79,115,111,223,0,0,0,7361,8578,15939,521,580,1101,196,243,438,10048,11580,21633,1278,1389,2673,22528,25371,47902
1029,4004,3916,7921,1382,1474,2860,1418,1400,2815,101,48,148,335,204,539,41,22,64,52,41,98,26,9,33,34,19,51,23,8,25,0,0,0,2037,1742,3774,141,124,264,69,48,120,3636,3385,7021,598,378,972,8234,7685,15916
1030,4946,5221,10170,993,1125,2118,2132,2367,4502,54,62,109,99,98,199,7,11,19,33,40,68,8,8,16,20,27,48,90,97,183,7,9,20,2453,2715,5172,136,128,270,75,58,136,3657,4035,7694,652,642,1296,9267,9896,19163
1031,1185200,1234516,2419721,118276,120464,238743,570647,581997,1152643,11961,11678,23638,12685,12472,25161,3655,3635,7292,5544,5140,10683,949,951,1900,1214,1033,2250,3827,3806,7637,48,39,77,610531,620749,1231281,186134,190301,376436,16236,14030,30269,931169,945551,1876723,124679,119507,244186,2241055,2299575,4540630
1032,9605,10302,19911,2315,2549,4861,4742,5150,9894,106,85,188,289,350,641,43,36,77,37,46,80,12,19,29,20,20,35,16,23,37,0,0,0,5268,5722,10991,758,735,1489,165,161,329,8503,9167,17677,1688,1780,3471,19799,21256,41052
1033,6457,7048,13506,1718,1946,3665,2114,2336,4447,44,58,104,128,139,265,13,11,27,13,18,34,12,13,19,17,17,33,8,14,20,0,0,3,2346,2606,4949,152,169,322,111,102,209,4328,4819,9148,1200,1265,2468,11985,13138,25123
1034,4189,4516,8705,1133,1244,2380,1511,1659,3170,60,66,123,71,80,149,11,19,28,21,19,39,3,4,10,8,12,21,97,104,199,0,0,0,1774,1967,3743,114,114,233,38,41,80,3062,3362,6427,549,532,1077,7801,8412,16216
1035,12952,13785,26734,2333,2689,5030,5958,6843,12802,447,544,991,442,431,869,135,142,275,76,91,163,21,27,44,70,53,121,200,203,405,0,0,0,7347,8337,15680,1098,1096,2194,229,201,433,11007,12324,23329,1553,1622,3176,25517,27725,53240
1036,83174,86044,169212,9912,10341,20251,33406,35826,69236,611,657,1259,758,822,1579,132,151,281,252,254,502,74,83,156,96,92,187,381,431,816,0,5,5,35695,38328,74023,4001,3870,7866,1024,942,1964,50630,53480,104113,7318,7647,14962,141119,147169,288292
2000,199120,195952,395075,29988,31691,61676,4207,4485,8689,63326,65878,129206,2509,2618,5129,1120,1184,2306,1015,969,1983,488,524,1015,632,630,1256,303,294,595,6,3,6,73604,76582,150189,4936,5135,10072,1745,1423,3169,110275,114827,225106,32772,28801,61569,342172,339582,681756
2001,6076,6239,12317,1406,1561,2970,75,86,158,2755,2954,5705,38,51,85,25,29,51,28,29,54,11,13,22,13,14,28,5,5,14,0,0,0,2949,3180,6124,228,253,479,63,62,127,4639,5069,9704,506,542,1051,11216,11852,23068
2002,3665,4088,7750,1049,1162,2209,119,128,245,1239,1416,2653,54,84,137,17,15,32,37,36,75,17,14,26,12,7,25,8,5,14,0,0,0,1507,1704,3209,139,151,284,62,43,106,2756,3061,5813,569,656,1220,6987,7801,14786
2003,25670,27896,53567,3475,3743,7220,454,567,1027,15229,16861,32090,379,406,786,186,224,408,150,165,322,93,116,208,101,83,183,56,59,115,0,0,0,16648,18491,35142,1319,1317,2638,437,389,826,21877,23943,45821,2977,3088,6058,50522,54926,105446
2004,24862,26415,51280,3316,3633,6949,492,617,1109,12550,14135,26687,360,392,746,171,203,377,151,162,311,73,82,158,97,103,196,68,85,158,0,0,0,13963,15778,29744,1012,1177,2194,342,405,744,18634,20990,39629,2846,3091,5941,46354,50502,96851
2005,2635,2991,5624,575,616,1191,70,56,123,973,1148,2120,22,37,61,16,18,33,28,24,46,6,4,15,9,17,28,4,5,10,0,0,0,1124,1317,2441,62,108,168,26,21,41,1788,2056,3845,915,502,1417,5338,5547,10885
2006,3410,3598,7005,1005,1017,2017,20,44,68,731,820,1554,36,35,66,17,19,38,12,10,22,11,4,18,16,15,25,0,0,0,0,0,0,837,945,1787,221,195,419,37,31,75,2102,2190,4292,394,373,768,5902,6167,12062
2007,5493,5964,11455,1248,1389,2639,374,452,835,1973,2129,4106,67,86,154,22,26,46,37,43,76,12,12,25,20,29,49,9,10,12,0,0,0,2517,2789,5302,166,195,358,61,63,125,3994,4431,8424,762,749,1508,10252,11142,21393
2008,67742,72179,139914,11161,11898,23061,1181,1325,2502,35955,39715,75669,785,954,1739,349,373,718,404,399,807,271,302,573,191,238,430,139,167,305,0,0,0,39278,43472,82749,4893,4524,9413,945,872,1816,56273,60758,117038,8251,7485,15741,132268,140424,272695
2009,6499,6571,13073,735,786,1522,58,64,126,2298,2303,4602,40,57,98,8,14,25,22,27,52,10,10,19,14,15,28,9,5,15,0,0,0,2467,2503,4967,121,154,273,50,40,90,3372,3478,6852,482,503,990,10356,10551,20913
2010,4404,4621,9023,1493,1617,3111,56,57,117,955,1065,2013,48,60,107,68,83,152,17,19,34,11,4,16,17,13,33,0,0,6,0,0,0,1175,1301,2469,125,150,272,50,49,100,2843,3110,5950,488,509,989,7729,8240,15968
2011,1195351,1257294,2452650,100682,104456,205135,23222,24037,47264,572261,588595,1160854,14828,15762,30595,7225,7527,14753,8922,8803,17723,3154,3344,6498,2422,2337,4755,3099,3255,6349,20,20,49,635157,653678,1288833,165760,170490,336249,14437,12504,26940,916038,941129,1857160,113561,109630,223194,2224952,2308051,4533006
2012,13184,13628,26818,2206,2417,4627,750,835,1583,4173,4535,8709,196,253,452,363,392,752,73,102,181,17,27,47,68,69,134,22,19,42,0,0,0,5669,6230,11897,1001,980,1985,188,152,341,9067,9782,18843,2408,2385,4799,24659,25799,50462
2013,6261,6279,12538,1093,1302,2393,49,48,100,1602,1788,3388,58,66,119,18,14,28,17,19,38,10,11,18,8,13,23,0,5,4,0,0,0,1763,1962,3720,102,77,177,97,111,206,3053,3448,6500,914,910,1814,10222,10631,20852
2014,2970,2984,5955,929,960,1885,51,59,114,669,759,1423,48,67,115,59,81,139,23,35,58,8,14,21,11,18,31,6,4,3,0,0,0,872,1026,1903,68,81,146,40,35,80,1909,2098,4009,393,362,756,5264,5451,10717
2015,3521,3861,7380,1051,1186,2242,149,162,315,1129,1274,2405,150,152,299,56,55,105,30,25,52,21,15,43,25,23,53,29,24,53,0,0,0,1590,1735,3326,164,195,358,55,55,111,2861,3169,6031,496,504,999,6876,7533,14413
2016,13273,13556,26835,2343,2463,4806,282,319,596,4923,5450,10374,200,182,386,45,47,96,53,55,109,41,32,72,41,52,96,16,14,29,0,0,0,5602,6152,11756,1167,1337,2506,205,228,431,9319,10174,19493,2069,2062,4128,24654,25798,50457
2017,2789,3080,5874,791,854,1643,105,116,216,534,635,1172,30,40,66,25,20,49,19,19,36,5,10,15,11,11,29,0,0,0,0,0,0,732,850,1581,259,271,533,24,28,52,1804,2007,3814,364,390,757,4963,5475,10436
2018,10958,11371,22321,1950,2222,4174,152,164,319,4091,4457,8551,134,153,287,36,43,79,52,58,113,31,39,74,27,29,61,10,4,21,0,3,3,4546,4957,9500,342,436,781,150,165,317,6991,7777,14769,1797,1866,3662,19750,21008,40759
2019,5077,5570,10646,1444,1589,3038,151,182,333,1263,1449,2710,93,121,210,23,27,52,29,42,73,6,13,24,16,18,39,4,12,17,0,0,0,1592,1863,3461,151,191,342,60,85,140,3244,3737,6974,574,639,1212,8898,9949,18840
2020,9473,10116,19592,2322,2549,4870,113,120,225,5450,5969,11422,121,145,271,27,41,69,49,41,88,22,31,49,24,18,42,10,15,25,0,0,0,5815,6379,12189,304,353,654,147,133,274,8583,9408,17991,1211,1280,2488,19269,20805,40070
2021,9170,9901,19070,1847,2081,3929,106,115,223,3116,3565,6683,117,122,238,76,100,180,68,59,128,16,33,48,32,29,55,6,5,16,0,0,0,3542,4038,7576,492,451,944,128,96,226,6003,6664,12669,1041,1106,2141,16214,17672,33884
3000,192445,182775,375223,32107,33798,65907,7311,7511,14822,3312,3382,6696,67428,70655,138086,1018,1034,2052,1578,1568,3142,564,571,1137,1319,1296,2619,286,286,570,3,0,9,82822,86320,169133,6817,7180,13996,2925,2599,5522,124667,129898,254564,46603,36048,82653,363709,348719,712433
3001,2420,2130,4544,1041,1022,2063,399,403,800,252,308,561,1089,1156,2249,80,104,181,92,93,187,30,33,63,42,30,69,16,18,42,0,0,0,2008,2151,4156,446,563,1007,82,81,160,3580,3811,7392,1047,812,1859,7043,6753,13789
3002,546173,566651,1112830,56552,60721,117278,26329,28200,54529,12743,13480,26230,333440,354243,687688,3794,3930,7726,4364,4428,8789,1746,1819,3563,2789,2808,5590,2654,2685,5344,33,28,60,387894,411619,799511,59954,66038,125995,12704,11123,23825,517109,549499,1066606,63343,57725,121067,1126627,1173877,2300503
3003,17670,18722,36393,1915,2172,4087,739,768,1514,377,401,783,9181,10281,19467,71,87,165,98,91,184,75,71,146,100,105,202,38,25,71,6,3,7,10688,11852,22542,828,938,1763,350,338,686,13781,15291,29075,2377,2331,4712,33828,36347,70182
3004,33167,33922,67088,4425,4797,9223,1591,1698,3289,1503,1564,3067,17631,19203,36840,469,525,989,578,596,1175,159,156,314,556,574,1131,133,148,286,3,7,7,22621,24471,47095,2812,3327,6140,868,790,1663,30736,33387,64124,7306,6422,13727,71206,73735,144941
3005,2755,2597,5351,1180,1248,2433,146,129,275,45,51,97,1361,1426,2784,11,12,23,45,53,98,9,14,24,31,32,58,0,0,4,0,0,0,1650,1717,3368,227,250,472,93,73,157,3148,3286,6431,736,477,1219,6645,6363,13002
3006,10419,9987,20405,1796,1953,3745,386,383,770,255,265,516,5483,5938,11423,67,87,159,151,129,283,62,59,123,98,107,206,21,13,34,0,0,0,6531,6974,13510,495,599,1093,305,261,573,9129,9788,18915,1550,1286,2840,21099,21064,42160
3007,144039,152337,296374,18372,19824,38191,21803,24139,45943,6273,7028,13297,79577,87088,166666,1139,1327,2467,1244,1406,2651,727,825,1555,670,674,1347,756,849,1603,10,14,27,112208,123345,235547,16458,18469,34920,4194,3900,8099,151227,165536,316762,21627,22103,43737,316897,339978,656876
3008,4898,5332,10231,969,1188,2157,161,196,360,98,112,203,2893,3275,6166,22,28,50,23,27,52,27,35,61,33,29,61,8,10,17,0,0,0,3263,3712,6972,123,166,294,112,121,229,4462,5183,9654,694,671,1365,10060,11187,21243
3009,12241,13254,25491,1564,1810,3382,1185,1312,2499,758,874,1626,7066,8278,15343,139,147,289,112,150,260,124,137,264,98,105,207,85,91,173,4,0,5,9566,11099,20662,493,621,1119,343,396,742,11966,13933,25898,1960,2064,4028,26169,29251,55419
3010,2287,2432,4725,771,830,1597,68,70,139,22,24,43,982,1144,2126,13,12,24,18,10,29,7,3,11,9,10,21,0,0,5,0,0,0,1125,1275,2404,163,127,292,64,46,107,2119,2278,4396,373,359,737,4785,5072,9856
3011,19211,19245,38454,2324,2515,4843,683,760,1440,400,428,828,10483,11551,22037,138,135,279,233,212,444,78,75,154,147,146,297,33,40,76,0,0,0,12204,13359,25557,1027,1129,2153,479,394,879,16030,17393,33420,4128,3122,7248,39375,39760,79129
3012,6939,7205,14144,1184,1379,2565,292,298,587,179,186,366,2563,2715,5275,18,20,43,36,36,72,45,54,98,45,42,89,4,6,6,0,0,0,3183,3353,6533,126,148,272,134,94,236,4630,4970,9605,1678,895,2570,13244,13076,26318
3013,3992,3645,7640,1481,1591,3076,122,118,238,65,45,113,1320,1396,2714,35,39,74,45,46,91,5,17,24,62,67,133,8,11,18,0,0,0,1661,1743,3404,301,320,614,127,91,218,3572,3736,7310,1024,824,1848,8594,8209,16800
3014,19139,19459,38595,2118,2349,4471,379,403,785,224,239,467,9531,10855,20381,72,74,145,92,100,194,27,34,58,79,94,176,30,34,55,0,0,0,10433,11837,22270,850,870,1718,457,420,882,13861,15478,29335,3944,2487,6436,36936,37422,74366
