SUA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
1000,6,4,0,4,8,10,30,232,0,0,10,13,12,38,30,44,3,20,6,4,0,0,16,185,13,64,208,235,254,145,265,196,20,12,20,32,20,4,57,1539,121,638,520,108,62,45,74,78,11,15,29,32,7,4,134,1890,9,24,8,10,47,77,176,68,14,19,18,24,9,10,27,538,0,0,0,18,45,53,119,30,14,12,18,52,23,0,19,403,4,19,85,116,76,44,57,15,9,5,0,5,0,0,44,477,14,38,132,141,128,59,125,98,60,98,135,106,25,8,62,1234,0,0,0,4,0,8,99,116,96,124,129,96,20,4,10,702,140,1186,382,222,199,148,176,67,20,11,14,31,9,8,82,2683,74,197,1006,2445,2639,1585,1428,622,81,74,104,88,52,65,705,11148,0,3,68,42,30,18,15,0,3,0,0,0,0,0,16,198,4,4,10,8,7,16,71,93,19,19,20,34,12,7,18,337
1001,0,0,0,0,6,0,0,48,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,12,0,5,16,12,13,12,26,12,0,0,0,4,0,0,3,97,6,58,36,8,0,5,4,6,0,0,10,3,4,0,12,140,0,0,0,4,0,4,10,7,0,0,0,0,0,0,0,25,0,0,0,0,5,3,27,11,3,10,3,0,0,0,0,58,0,0,9,3,0,4,4,9,0,0,0,0,4,0,3,33,0,0,16,14,7,13,12,8,4,13,0,9,5,0,0,115,0,0,0,0,0,0,118,200,27,60,26,17,0,3,9,460,18,197,39,23,9,14,5,10,0,0,0,0,0,0,8,329,0,20,77,153,220,148,156,93,15,19,15,16,10,14,22,980,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,19,33,20,5,11,0,0,0,0,89
1002,0,3,5,4,0,0,0,44,0,0,0,0,0,0,12,26,9,6,167,325,22,0,6,577,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,23,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,9,13,0,0,5,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,4,0,4,4,3,9,5,5,0,0,0,0,0,38,0,0,0,0,0,0,17,28,22,33,57,81,14,0,9,262,0,20,11,3,0,5,3,6,0,0,0,0,0,0,0,51,4,3,20,38,32,34,39,35,7,0,7,4,7,0,3,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,6,4,4,0,0,35
1003,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,10,6,13,22,7,3,0,3,0,0,0,3,77,13,31,13,0,6,0,5,14,0,5,4,4,0,0,3,104,0,0,0,0,10,12,24,23,6,3,4,6,0,0,7,85,0,0,0,0,4,7,8,3,0,3,0,5,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,10,13,4,12,0,0,4,0,0,0,0,3,64,0,0,0,5,0,0,9,0,8,7,4,0,0,0,5,35,10,61,11,8,15,5,14,16,0,3,6,3,0,0,4,147,0,13,72,144,143,104,118,77,20,13,0,10,16,3,39,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,8,0,8,3,0,4,0,0,0,0,3,48,0,21,26,11,0,0,0,0,0,0,0,0,0,0,8,63,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,10,4,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,5,10,6,8,0,0,0,0,38,4,40,11,10,0,6,0,0,0,0,0,0,0,0,3,72,3,8,29,57,56,49,25,5,0,0,0,5,0,0,13,266,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,5,4,0,0,3,31,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,20,0,4,14,11,8,7,15,13,0,4,0,0,0,0,4,72,0,14,13,0,0,0,3,0,0,0,0,0,3,0,0,41,0,3,3,0,0,7,4,0,0,3,3,0,0,0,0,24,0,0,0,0,0,0,10,8,0,4,0,0,0,0,0,34,0,0,16,7,6,6,3,0,0,0,0,0,0,0,7,43,0,0,3,7,11,0,14,4,0,0,0,3,0,0,0,49,0,0,0,0,0,0,37,32,15,40,24,11,8,0,0,173,5,38,12,7,12,7,0,0,0,0,0,0,0,0,3,83,0,0,28,58,81,50,84,28,8,0,3,3,3,0,26,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,21,0,3,9,13,3,0,0,60
1006,0,0,5,0,0,0,0,38,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,15,3,5,20,14,21,16,16,12,0,0,0,0,0,0,6,123,10,48,45,14,12,0,12,3,4,0,6,0,5,0,10,164,0,0,0,7,0,3,9,5,0,0,0,0,0,0,3,28,0,0,0,0,3,3,12,7,0,0,0,0,0,0,0,35,0,3,4,3,0,5,3,3,0,0,0,0,0,0,0,27,0,0,10,16,7,5,11,0,0,0,3,3,5,0,0,61,0,0,0,0,0,0,117,101,43,36,59,37,11,0,0,404,9,65,18,16,13,3,8,0,0,3,0,0,0,0,8,146,11,23,85,137,126,75,80,40,0,9,5,6,0,0,29,634,0,0,6,3,5,3,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,4,12,0,0,3,6,0,0,0,35
1007,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,0,9,3,4,0,0,0,0,0,0,0,3,0,0,0,18,0,0,4,9,13,9,10,4,0,5,0,0,5,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1008,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,4,13,6,0,0,4,3,5,0,0,49,0,6,6,0,5,0,16,47,6,13,15,18,8,0,9,140,0,0,0,0,0,13,22,19,3,3,3,10,4,0,3,87,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,7,0,5,3,3,9,0,0,11,5,9,7,0,0,60,0,3,15,35,35,40,56,50,11,5,8,12,5,0,4,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,6,0,7,0,0,0,0,0,0,0,0,33,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,13,9,7,0,3,0,0,0,0,0,0,0,6,82,0,6,25,51,51,29,21,9,3,0,3,0,0,0,12,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
