SUA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
1000,0,6,7,36,27,19,12,4,0,103,0,19,19,226,130,135,174,97,21,821,0,14,18,124,64,169,382,252,140,1159,0,24,14,63,23,13,21,0,4,159,3,5,21,111,26,13,7,0,0,185,0,0,4,48,73,75,50,28,5,287,0,19,38,252,111,117,45,21,4,608,0,0,0,6,11,63,177,120,18,406,0,0,6,17,4,20,37,12,0,89,0,0,0,14,7,3,4,0,0,32,4,6,25,303,17,9,0,0,0,363,4,6,13,91,90,161,492,379,92,1323,16,126,209,1089,998,1325,1240,423,69,5503,0,0,0,16,23,36,37,16,0,124,11,14,17,126,27,7,8,7,0,207,0,10,16,57,113,81,49,5,0,333,27,186,168,470,160,70,30,12,3,1120,0,0,0,34,21,36,63,38,11,205,0,0,3,53,14,3,11,0,0,89,4,9,26,112,145,351,449,296,87,1484
1001,0,0,0,4,0,0,0,0,0,7,0,0,0,17,8,5,9,6,0,53,0,3,0,16,3,11,31,18,3,85,0,3,0,0,3,0,0,0,0,9,0,0,4,22,4,0,0,0,0,27,0,7,0,6,9,5,0,0,4,22,0,6,10,14,6,3,3,4,0,47,0,0,0,0,0,0,6,3,0,14,0,0,3,9,3,0,0,0,0,20,0,0,0,6,0,0,4,0,0,11,4,34,79,112,7,0,0,0,0,232,0,0,3,8,5,6,59,65,13,168,0,21,25,138,100,89,75,29,7,487,0,0,0,0,0,0,0,0,0,6,0,8,5,37,0,0,0,0,0,54,0,0,0,9,13,13,3,0,0,32,0,22,47,116,46,13,5,4,0,256,0,0,0,0,0,4,14,5,0,19,0,0,0,0,3,0,0,0,0,7,0,0,0,17,23,39,41,34,7,162
1002,13,79,84,65,19,9,5,0,0,270,0,0,0,6,6,0,3,4,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,6,5,3,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,12,99,3,0,0,0,0,125,0,4,0,0,0,4,10,5,0,16,0,7,11,27,19,22,17,5,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,4,5,4,0,6,0,0,10,0,12,3,38,6,4,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,6,0,0,0,4,3,12,3,8,0,38
1003,0,0,0,0,0,0,0,0,0,0,0,3,0,11,9,5,8,6,5,46,0,0,0,22,4,4,13,17,7,60,0,0,4,15,6,0,5,0,0,30,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,8,3,3,3,3,0,26,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17,0,5,3,7,3,6,22,9,8,61,0,17,17,102,67,76,68,25,6,373,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,7,15,8,5,0,0,34,0,4,4,9,5,6,0,0,0,32,0,0,0,8,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,7,15,10,19,18,3,86
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,15,0,0,0,0,0,4,8,13,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,4,0,0,0,0,6,4,3,0,0,9,0,0,0,0,0,0,3,4,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,22,0,0,0,0,0,3,19,9,4,33,0,0,0,18,12,24,43,19,4,133,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,0,0,0,0,16,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,12,12,13,4,46
1005,0,0,0,6,0,0,0,0,0,14,0,3,3,9,7,5,5,9,4,35,0,0,0,0,0,13,10,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,4,0,0,0,10,0,0,0,7,9,4,7,5,0,27,0,0,5,11,10,5,0,0,0,23,0,0,0,0,0,0,6,3,0,7,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,72,5,0,4,0,0,90,0,0,0,5,0,4,9,12,0,40,3,3,16,62,51,36,22,10,0,211,0,0,0,0,0,0,0,0,0,0,0,7,0,24,3,0,0,0,0,36,0,0,0,0,4,3,0,0,0,9,3,15,16,50,15,4,0,0,0,100,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,3,0,0,4,8,11,9,16,8,5,61
1006,0,0,0,3,0,4,6,0,0,5,0,3,0,18,11,15,14,15,0,73,0,0,0,11,12,8,29,20,10,95,0,0,0,0,0,0,4,0,0,4,0,0,0,12,0,0,0,0,0,18,0,0,0,4,0,4,3,4,0,13,0,6,0,10,3,11,0,0,0,29,0,0,0,0,0,3,9,5,0,21,0,0,0,0,0,4,5,0,5,15,0,0,0,0,0,0,0,0,0,7,0,5,16,183,3,0,0,0,0,216,0,0,0,0,7,9,27,18,8,70,0,10,10,43,56,67,62,45,4,300,0,0,0,3,4,4,0,0,0,10,0,0,0,20,0,3,0,0,0,24,0,0,0,0,9,0,0,0,0,13,0,10,17,50,9,4,0,0,0,92,0,0,0,4,0,5,12,5,0,28,0,0,0,0,0,0,0,0,0,0,0,4,5,10,15,23,45,37,7,145
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,5,5,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,3,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0,5,3,13,5,8,4,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,4,15,13,26,11,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,7
1008,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,3,10,0,0,29,0,3,0,63,6,0,6,0,0,82,0,4,9,19,0,0,0,0,0,31,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,5,3,0,3,0,0,19,0,0,3,68,27,29,12,5,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,3,0,22
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,18,0,0,0,0,0,4,6,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,14,3,30,0,0,0,11,13,17,26,18,8,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,17,27,0,59
