SUA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
1000,11,40,73,482,354,735,1307,836,244,4085,0,4,0,21,30,78,145,108,35,423,9,34,21,136,81,91,72,18,5,459,48,194,175,1986,265,247,219,112,54,3312,8,37,46,257,90,78,110,34,20,676,0,6,17,107,48,29,14,13,0,232,0,9,12,70,37,32,16,4,0,185,3,40,55,415,238,285,308,159,37,1539,5,15,23,192,126,297,586,416,230,1890,9,37,33,206,117,70,56,3,7,538,3,11,34,256,46,35,27,3,0,403,0,3,10,90,115,128,80,34,9,477,9,38,64,482,240,238,117,35,16,1234,0,0,0,22,26,126,321,189,30,722,0,3,7,31,10,38,55,19,0,164,0,0,0,33,27,11,8,4,0,88,5,14,63,591,21,7,3,0,0,702,5,17,41,223,195,349,1015,669,176,2683,38,256,398,2206,2085,2789,2390,823,160,11148,0,0,0,29,39,50,52,20,3,198
1001,3,0,4,35,27,64,219,138,48,539,0,0,0,9,4,4,9,23,14,65,0,3,3,18,10,7,11,0,0,53,16,68,123,1073,86,45,38,16,8,1474,0,0,0,29,15,7,0,0,0,56,0,0,0,21,6,14,0,0,0,48,0,0,0,5,3,0,0,0,0,12,0,8,4,29,8,15,10,17,0,97,0,10,0,18,10,12,46,35,25,140,0,3,0,11,6,0,4,0,0,25,0,0,4,44,9,0,0,0,0,58,0,7,0,7,11,3,5,0,4,33,0,9,11,39,21,12,11,5,0,115,0,0,0,0,0,3,9,10,0,27,0,0,3,23,7,4,0,0,0,38,0,0,0,9,3,0,0,0,0,19,0,73,146,222,10,3,0,0,0,460,0,0,3,14,19,22,112,125,30,329,10,50,58,258,182,186,161,61,19,980,0,0,0,0,0,0,3,0,0,11
1002,0,4,0,13,10,20,19,5,8,72,0,3,4,0,0,0,0,0,3,8,0,0,0,10,6,7,4,0,0,23,6,18,39,173,18,10,3,4,0,266,0,0,3,6,9,3,0,0,0,23,0,0,0,34,0,0,0,0,0,44,23,172,171,140,42,20,10,0,0,577,0,0,0,5,4,10,3,7,0,23,0,0,0,5,0,6,8,0,5,18,0,0,0,13,3,5,0,0,0,26,0,0,0,15,0,0,0,0,0,14,0,0,0,4,3,0,4,0,0,7,0,0,5,12,3,3,4,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,14,0,3,36,214,9,0,0,0,0,262,0,6,0,3,0,8,15,13,0,51,0,12,34,52,34,37,36,14,4,235,0,0,0,0,0,0,0,0,0,0
1003,0,0,0,39,20,30,44,30,10,184,0,0,0,0,0,0,4,0,0,8,0,3,0,7,11,6,0,0,0,30,6,8,9,103,18,11,8,7,5,182,0,7,5,9,5,6,7,0,0,45,0,0,0,6,4,6,8,0,0,24,0,0,0,0,0,5,0,0,0,5,0,7,0,28,11,6,15,3,3,77,0,0,4,32,8,12,20,16,10,104,0,3,12,44,13,7,3,3,0,85,0,0,0,18,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,4,0,22,11,10,13,3,3,64,0,0,0,0,0,0,12,13,4,23,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,28,0,0,0,0,0,35,0,10,7,22,14,16,45,24,12,147,0,30,40,198,149,149,141,52,14,770,0,0,0,0,0,0,0,0,0,5
1004,0,0,3,5,9,18,39,38,9,119,0,0,0,0,0,3,14,15,0,36,0,0,0,4,0,6,0,0,0,9,0,8,6,55,6,13,5,0,0,91,0,0,0,6,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,9,11,5,5,48,0,0,0,0,0,15,20,19,6,63,0,0,0,4,0,0,4,0,0,12,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,4,0,0,0,3,4,4,4,0,0,16,0,0,0,0,4,0,11,4,0,24,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,38,0,0,0,0,0,7,36,21,3,72,0,5,5,48,48,50,73,36,9,266,0,0,0,0,0,0,0,5,0,7
1005,0,0,0,11,6,11,25,28,0,79,0,0,0,0,0,8,8,0,3,20,0,5,0,8,0,0,0,0,0,14,8,27,26,230,36,9,15,0,0,346,0,4,0,20,4,0,4,4,0,30,0,7,4,12,10,3,4,0,0,31,0,0,0,10,0,0,0,0,0,20,0,7,6,17,13,9,17,6,3,72,0,3,0,3,0,13,12,3,6,41,0,4,4,0,12,0,3,0,0,24,0,0,4,18,5,4,0,0,0,34,0,0,0,12,9,4,10,3,0,43,0,0,5,12,18,3,9,0,0,49,0,0,0,0,0,0,8,8,0,14,0,0,0,5,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,28,134,5,0,0,0,0,173,0,0,0,9,5,14,24,29,13,83,3,10,38,111,85,63,51,20,3,379,0,0,0,0,0,0,0,0,0,5
1006,0,5,0,23,13,27,64,62,19,213,0,0,0,6,3,11,18,14,0,53,0,14,11,11,14,14,15,3,0,78,0,20,28,245,35,14,16,21,4,386,0,3,5,18,7,3,10,4,0,41,0,0,0,12,6,6,4,0,0,38,0,0,0,3,0,5,6,0,0,15,0,0,3,21,20,18,21,25,3,123,0,3,0,20,15,18,49,34,21,164,0,0,0,9,3,3,7,0,0,28,0,0,3,21,4,0,0,0,0,35,0,0,0,5,10,5,4,4,0,27,0,4,0,18,14,13,5,9,0,61,0,0,0,0,0,4,27,16,0,44,0,0,3,0,3,6,9,0,4,24,0,0,0,4,0,9,4,0,0,15,6,11,30,345,3,4,0,0,0,404,0,0,0,6,16,12,58,39,10,146,0,19,20,106,113,125,146,97,13,634,0,0,0,3,8,8,0,0,0,20
1007,0,0,0,0,4,0,10,10,10,35,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,8,0,44,4,8,0,0,0,67,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,4,3,8,12,25,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,10,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,4,4,0,18,0,5,3,27,13,13,12,3,0,72,0,0,0,0,0,0,0,0,0,0
1008,0,0,21,57,16,27,20,8,0,149,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,7,0,0,6,13,5,3,5,0,0,28,0,0,0,5,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,9,10,3,0,49,0,0,10,107,4,8,8,0,0,140,5,4,9,53,13,7,4,0,0,87,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,3,0,0,38,10,5,6,6,0,60,0,12,9,131,45,46,29,7,0,279,0,0,0,0,0,0,0,0,0,0
1009,0,0,0,4,5,14,24,29,7,90,0,0,0,0,0,3,0,4,5,8,0,0,0,0,0,0,5,0,0,3,0,0,0,11,8,3,4,5,0,33,0,0,0,6,0,3,0,0,0,12,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,7,6,33,0,0,0,0,4,4,8,3,0,22,0,0,0,0,4,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,6,13,9,0,23,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,30,31,0,82,0,6,5,22,33,42,49,34,13,200,0,0,0,0,0,0,0,0,0,0
