SUA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
2010,0,0,0,0,0,0,0,0,0,3,0,3,0,5,7,0,0,0,0,13,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,22,0,0,5,4,3,0,0,0,0,14,0,0,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,3,0,0,0,5,0,8,7,21,11,3,4,3,3,55,23,57,58,122,41,64,56,42,21,485,492,1137,1003,2021,900,1017,869,551,228,8217,0,0,0,0,0,0,0,0,0,0,503,934,816,1784,869,983,870,565,301,7628,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,8
2011,114,959,1218,2653,1121,811,597,183,49,7698,54,668,1276,4388,2841,1858,1256,625,124,13083,119,1253,3264,14697,5281,4191,3041,1321,375,33545,46,170,265,2350,374,226,258,63,8,3760,86,691,1213,2746,408,143,96,30,6,5413,23,176,274,2505,2011,2187,978,640,106,8901,326,1227,1223,3305,1418,1020,678,277,55,9532,138,1129,2999,11347,8498,8839,4699,1375,497,39530,0,42,80,483,342,354,297,191,67,1843,9,63,283,1074,511,287,115,36,4,2385,590,4572,7249,31947,14104,12450,10239,6645,2489,90286,5349,11713,12692,35706,12841,10517,8304,6027,2992,106140,146338,301431,303588,743220,299544,249970,184692,104673,37830,2371285,69,826,1906,4999,1380,698,287,100,31,10284,128550,235760,202989,372417,179359,142234,100913,55915,27572,1445709,20,329,369,2940,508,265,142,19,0,4592,6,11,72,1449,788,1068,619,311,104,4423,19,97,205,2042,336,158,76,28,9,2961,33,202,750,3408,1724,1424,916,350,121,8934,61,271,301,2283,805,487,270,108,34,4607
2012,0,0,0,4,0,0,0,0,0,7,0,5,12,18,9,5,4,0,0,60,0,0,0,22,6,6,4,3,0,43,3,0,0,28,0,0,0,0,0,33,0,4,6,41,11,3,0,0,0,65,0,0,8,25,29,37,24,19,3,131,0,0,0,3,9,0,0,0,0,22,0,9,14,51,26,40,14,8,0,158,0,0,0,0,0,0,3,4,0,13,0,0,0,10,3,0,0,0,0,18,4,22,35,167,51,50,46,27,8,415,106,293,273,586,301,303,278,173,64,2369,1601,3529,3159,6515,3205,3292,2850,1593,515,26257,0,6,34,44,14,7,6,0,0,107,1443,2897,2476,4900,2707,2764,2314,1307,625,21436,0,0,5,7,0,3,0,0,0,12,0,0,0,7,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,15,7,3,3,0,0,29,0,0,0,4,9,0,5,0,0,20
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,16,0,0,0,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,4,6,3,0,0,0,24,0,0,0,3,6,0,0,0,0,12,0,0,0,0,0,8,0,6,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,33,10,20,46,30,12,152,44,87,83,205,110,126,125,55,24,860,581,1294,1228,2488,1265,1571,1433,704,237,10799,0,0,0,0,0,0,0,0,0,0,527,1136,1046,2211,1160,1237,983,474,213,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,15
2014,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,10,6,12,14,5,0,46,6,43,36,72,61,64,73,34,17,402,264,631,629,1074,723,867,822,384,130,5529,0,0,0,0,0,0,0,0,0,0,242,561,487,989,637,739,631,336,179,4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5
2015,0,0,0,0,0,0,0,0,0,3,0,5,0,8,9,4,0,0,0,28,0,0,3,16,5,0,4,0,0,37,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,12,5,0,0,7,3,30,0,0,0,4,0,4,4,0,0,14,0,0,0,0,4,0,3,0,0,5,0,0,0,0,5,3,0,0,0,7,0,10,0,14,12,8,15,12,3,76,18,48,52,115,66,48,58,34,21,456,451,995,866,1769,855,890,843,492,171,7328,0,0,0,0,0,0,0,0,0,0,415,846,706,1491,866,801,725,421,205,6476,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,11
2016,0,0,0,4,5,0,0,0,0,9,0,0,12,13,9,5,0,0,0,46,7,11,7,40,20,10,0,0,0,93,0,0,0,29,0,0,0,0,0,30,0,5,3,13,6,0,0,0,0,25,0,0,4,30,29,26,15,8,0,110,0,4,0,10,0,4,0,0,0,26,0,0,0,11,11,0,0,0,0,30,0,0,0,0,5,0,0,0,0,5,0,0,5,4,3,0,0,0,0,20,11,93,107,253,83,77,51,26,10,723,111,267,246,505,234,246,203,152,70,2038,1765,3752,3303,6667,3184,3039,2570,1591,546,26422,0,22,79,126,56,22,3,0,0,312,1476,2907,2416,4392,2407,2492,2165,1301,622,20175,0,3,0,6,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,9,3,3,0,3,0,3,3,0,0,17
2017,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,3,0,0,19,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,7,0,17,5,38,7,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,3,5,5,14,6,0,3,0,0,43,18,38,38,87,45,50,30,37,17,360,363,683,641,1415,559,653,531,334,153,5324,0,0,5,4,4,0,0,0,0,18,348,605,512,1096,475,563,491,399,228,4717,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,3,0,3,0,0,0,8,0,3,12,14,16,13,9,4,0,64,0,5,5,30,13,5,10,0,0,80,0,0,0,0,0,0,0,0,0,3,0,8,8,4,7,0,0,0,0,27,0,0,0,3,0,3,0,0,0,7,4,3,13,8,6,6,7,4,0,42,0,6,0,14,8,9,4,0,0,36,0,0,0,0,0,3,0,0,0,13,0,0,4,5,0,0,0,0,0,16,4,14,31,60,45,44,50,44,16,308,88,195,163,412,218,222,176,157,71,1703,1258,2755,2451,5236,2524,2619,2367,1335,457,21009,0,0,0,0,0,0,0,0,0,0,1144,2222,2050,4409,2117,2275,1753,946,423,17336,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,28
2019,0,0,0,0,0,0,0,0,0,8,0,0,0,4,11,5,0,0,0,20,0,3,0,11,3,7,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,3,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,4,0,3,0,17,9,14,17,17,6,84,22,72,44,121,50,67,88,65,36,559,503,1249,1076,2154,1102,1153,1115,755,285,9395,0,0,0,0,0,0,0,0,0,0,501,1063,976,1909,1092,1112,1050,734,382,8820,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,20
