SUA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
2001,34,77,73,31,112,94,23,53,4,501,24,40,34,25,96,125,17,61,103,518,624,1622,1230,907,2416,2730,762,1544,260,12099
2002,10,43,41,33,63,61,13,31,4,289,15,30,37,23,56,34,13,32,49,278,334,1014,879,658,1312,1142,340,648,146,6475
2003,117,307,242,142,366,331,91,187,25,1804,97,197,130,88,304,287,85,165,319,1677,2928,8239,6536,4612,10540,10148,3014,5473,691,52182
2004,107,333,235,125,363,339,79,173,5,1760,65,190,148,87,291,293,54,153,295,1582,2641,7443,5838,4412,10296,8947,2581,4955,639,47758
2005,8,26,24,22,21,26,7,12,0,156,7,31,14,19,17,23,8,17,19,160,250,895,721,516,655,803,216,435,55,4557
2006,15,42,18,11,42,43,14,30,7,227,17,27,16,14,40,29,5,21,51,215,337,960,665,470,1229,1116,383,649,113,5923
2007,21,88,70,34,72,71,25,44,11,438,21,48,33,18,57,60,18,29,70,354,653,1550,1262,896,1955,1909,571,1185,184,10162
2008,372,914,708,348,894,864,196,409,47,4759,224,624,446,336,838,1019,206,512,861,5071,7949,22998,17451,11705,26841,28531,7847,14574,2008,139894
2009,24,73,54,26,52,67,20,67,8,391,13,56,42,28,58,84,18,47,52,400,610,1772,1217,897,1827,2390,735,1540,185,11174
2010,15,48,37,22,80,87,23,32,3,360,10,32,19,21,48,41,5,26,53,252,406,1154,886,770,1701,1667,464,806,136,7987
2011,6578,13482,11977,6268,16857,14976,3930,6844,824,81735,4083,12130,10342,6370,24916,23560,4618,9648,19421,115081,116672,336221,278885,183264,517239,535588,135293,253264,39242,2395663
2012,57,132,101,62,207,172,26,85,12,862,68,123,95,64,203,160,47,79,302,1145,1153,3158,2597,1928,5322,4583,1258,2807,633,23438
2013,16,61,45,23,84,88,12,33,3,374,19,36,27,15,64,83,19,44,90,400,510,1354,1087,777,1808,1671,499,834,231,8776
2014,7,30,23,26,31,47,9,14,0,187,14,39,12,4,23,27,3,12,41,172,292,854,570,395,852,997,236,491,87,4769
2015,8,46,46,14,45,50,10,16,7,238,10,21,13,17,34,45,10,16,52,220,336,1029,814,534,1240,1359,391,750,118,6565
2016,53,157,114,71,249,194,60,96,7,1014,40,121,89,46,182,190,52,81,238,1031,1120,3296,2559,2038,5076,4782,1426,2433,475,23209
2017,20,23,23,16,51,44,12,27,0,204,6,26,15,11,55,40,10,16,53,243,246,731,591,422,1099,1149,290,605,96,5241
2018,59,105,90,46,141,139,36,57,8,671,33,74,59,35,125,107,32,77,138,686,1029,2702,2227,1563,3925,3353,1153,1856,329,18132
2019,24,51,33,22,81,85,22,31,0,343,15,37,33,18,76,71,16,33,63,348,479,1362,1076,891,1946,1682,459,900,135,8934
2020,59,144,110,73,179,188,44,113,9,926,39,93,55,36,129,151,49,79,153,786,1092,3040,2309,1702,3725,3759,1089,2624,360,19700
2021,37,113,94,52,126,124,28,58,3,637,26,76,50,24,92,109,24,61,108,563,972,2920,2136,1530,3488,3427,1025,1740,259,17499
3000,713,1748,1162,782,2080,2264,754,1936,174,11611,883,1714,1181,804,2083,2218,618,2217,3507,15228,17693,40681,33270,23777,51577,52393,18521,67607,8608,314121
3001,13,47,46,27,57,54,16,30,0,296,5,39,21,17,47,46,15,35,62,292,369,951,880,697,1840,1413,453,1228,138,7967
3002,7157,6084,4732,2972,9432,8271,2398,4416,449,45917,2550,5382,4448,2919,11306,10751,2478,5450,8813,54092,92566,155806,129330,88581,269043,247268,70036,142643,18316,1213582
3003,27,171,164,92,258,210,65,167,7,1169,44,178,104,74,240,193,49,148,274,1302,1283,4027,3542,2787,6497,4984,1695,4018,578,29407
3004,104,454,390,292,767,665,221,387,27,3318,112,317,255,160,481,399,90,288,553,2662,3649,10169,8798,6807,16766,13145,3935,8828,1191,73295
3005,10,48,31,29,55,75,40,91,4,382,14,21,14,6,46,41,9,59,63,276,315,855,738,482,1182,1215,585,1986,144,7505
3006,24,131,92,84,165,145,57,99,8,806,39,92,66,60,163,153,64,165,172,978,1059,2612,2221,1444,3460,3787,2094,3911,354,20948
3007,2187,2079,1553,957,2405,2287,584,1276,204,13533,897,1996,1648,1019,2934,3097,652,1678,2795,16715,27051,50016,41158,28621,65820,60616,16372,37356,6106,333117
3008,19,87,37,23,106,96,19,50,3,447,14,48,40,28,65,56,18,40,86,399,433,1345,1123,860,1733,1322,464,1156,200,8638
3009,41,135,109,83,190,164,39,63,7,840,38,102,65,65,136,105,23,61,172,769,998,2931,2680,2016,4274,3151,973,2180,392,19593
3010,8,28,12,13,35,34,11,19,0,163,17,11,13,13,37,19,7,17,39,188,214,585,512,421,1067,727,231,602,89,4444
3011,63,217,187,126,523,399,207,360,20,2112,56,155,112,101,314,311,112,253,333,1748,1786,4878,4064,3104,8201,7568,3013,8091,745,41452
3012,17,75,54,31,86,77,25,57,5,423,24,67,38,18,83,70,15,45,88,449,460,1434,1212,824,2201,1407,477,1030,196,9243
3013,6,37,31,25,71,83,42,79,7,371,19,17,14,11,47,53,22,48,100,327,449,709,635,425,1475,1768,1459,2018,236,9178
3014,51,196,165,121,401,367,108,207,19,1623,32,144,80,48,224,204,51,147,288,1219,1788,4423,3867,2915,8638,6468,2124,5372,689,36282
3015,1307,1111,743,512,1212,1190,305,667,70,7127,497,1027,716,504,1263,1258,297,835,1370,7752,15998,28293,22505,15975,31911,30307,8933,21214,2996,178125
3016,101,417,335,227,611,547,201,366,24,2821,90,265,182,121,385,433,144,317,366,2304,2849,8999,7734,5622,14305,12158,4220,9389,851,66126
3017,115,448,374,258,837,742,200,454,18,3449,92,355,240,144,606,514,127,349,617,3052,4090,10911,9009,6916,19501,17588,5837,12628,1368,87845
3018,8,32,24,15,54,69,18,32,4,252,18,34,28,13,45,48,15,34,58,296,298,920,748,605,1332,1098,379,875,116,6376
3019,9,48,46,29,65,60,27,56,3,341,11,50,31,27,49,45,14,45,63,330,522,1259,1033,717,1811,1559,582,1710,166,9365
