SUA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
3005,3487,1793,2069,2064,1621,1277,583,238,78,13209,4,3,5,3,0,5,0,5,0,18,5,4,16,10,8,27,42,10,5,118,7,0,0,3,17,39,53,7,3,132,64,104,144,155,166,225,163,33,4,1061,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,3,11,0,0,9,0,0,0,0,4,9,10,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,82,112,161,172,198,303,288,48,8,1370,86,112,165,175,198,306,288,54,8,1389,3571,1904,2232,2237,1819,1585,875,287,86,14592
3006,9685,5261,5703,5772,5862,5233,3262,1511,512,42801,5,3,7,6,8,12,16,9,0,59,16,16,19,24,26,45,79,18,0,244,10,3,9,10,16,61,111,26,4,244,188,231,310,256,289,303,174,60,15,1815,0,0,0,0,8,8,11,0,0,32,0,4,4,0,4,5,3,0,0,20,0,4,3,0,7,8,16,0,0,46,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,213,260,348,300,358,433,387,104,16,2417,216,258,350,302,360,448,406,110,16,2475,9904,5522,6058,6073,6229,5679,3665,1616,524,45277
3007,119164,78806,89057,89753,88785,78640,68525,41212,15483,669422,80,87,79,77,68,117,101,127,45,781,515,616,740,596,633,1011,1225,495,168,6003,88,142,210,196,207,603,1473,1031,166,4119,1615,2427,2469,1871,1842,1994,1634,882,358,15089,8,24,21,7,24,57,107,78,13,344,20,35,21,23,32,33,54,24,0,245,4,14,17,13,15,82,192,96,29,471,17,9,12,6,15,19,10,0,0,91,51,19,62,31,38,103,142,60,16,507,0,0,0,0,0,0,0,0,0,8,2320,3292,3558,2746,2798,3892,4830,2668,753,26872,2402,3380,3641,2821,2874,4008,4938,2795,801,27653,121567,82180,92701,92577,91651,82652,73463,44006,16276,697078
3008,3938,2514,2337,2334,2554,2638,2632,1696,715,21357,4,4,0,4,7,3,12,6,0,46,0,0,5,0,11,8,7,4,0,37,0,0,0,0,0,9,5,0,0,21,76,128,138,112,121,151,81,39,26,854,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,3,3,0,11,5,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,85,132,147,112,133,169,98,43,21,946,86,138,147,114,141,172,109,47,25,988,4030,2652,2483,2447,2702,2807,2738,1746,738,22353
3009,8717,4923,4630,5250,6201,7700,9384,6116,1909,54826,9,11,5,8,14,30,42,27,9,159,21,6,16,14,29,85,208,93,6,479,31,4,12,27,36,157,565,260,24,1109,193,291,268,254,316,517,478,220,86,2615,0,0,0,0,0,14,47,41,4,114,0,0,0,0,0,11,13,0,0,24,0,4,3,3,4,20,64,34,3,133,5,4,0,8,4,6,0,0,0,33,6,0,8,0,8,25,23,5,0,61,0,0,0,0,0,0,0,0,0,0,247,315,312,312,392,836,1399,648,122,4569,251,323,322,318,405,868,1432,674,129,4729,8968,5246,4951,5568,6608,8564,10815,6788,2040,59557
3010,2054,1246,1351,1101,1074,1103,1104,663,299,10002,13,4,5,5,10,3,10,7,0,48,4,0,0,0,0,0,12,0,0,17,0,0,0,0,0,5,18,0,0,24,34,100,75,67,61,94,58,33,11,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,100,72,62,65,98,89,35,11,562,44,100,83,70,65,104,93,38,11,607,2096,1346,1431,1168,1145,1201,1199,699,313,10605
3011,16664,9620,10593,10595,10072,9412,6603,3659,1473,78686,18,16,19,12,13,21,20,13,3,140,9,18,14,18,31,82,144,51,3,374,12,8,13,10,15,54,136,59,0,310,276,489,514,459,505,649,452,214,79,3642,3,4,3,7,0,7,17,5,0,58,0,9,11,3,7,4,16,6,0,56,0,0,11,0,6,16,39,4,0,76,3,5,3,3,4,0,9,5,0,25,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,313,535,567,503,573,819,816,349,88,4565,330,556,590,513,578,841,837,357,91,4701,16997,10175,11180,11107,10653,10257,7436,4018,1559,83385
3012,4196,2875,2595,2734,3115,3729,3887,2249,775,26153,5,13,9,3,14,17,18,9,0,81,7,0,4,4,0,26,18,12,5,77,6,0,0,0,0,17,40,10,0,73,87,136,100,104,134,132,129,59,37,907,0,0,0,0,3,0,13,0,0,16,0,0,3,0,0,0,5,0,0,12,0,0,0,0,0,5,11,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,94,137,109,103,139,183,207,93,40,1111,102,148,118,108,157,199,222,103,40,1197,4298,3025,2712,2844,3271,3926,4109,2352,816,27348
3013,4203,2326,3086,2478,2083,1746,846,439,101,17311,3,22,0,5,11,0,6,0,0,50,20,20,17,17,20,80,95,18,0,289,23,7,6,25,29,68,103,33,0,290,160,275,269,226,307,368,292,70,9,1978,0,0,0,5,3,23,13,3,0,52,0,0,6,5,7,13,19,3,0,53,0,0,7,0,0,15,5,4,0,38,12,3,5,6,8,4,9,0,0,40,0,0,0,0,5,6,5,6,0,19,0,0,0,0,0,0,0,0,0,0,212,311,318,283,382,579,542,122,10,2752,215,325,322,290,387,579,544,122,16,2801,4420,2652,3407,2770,2467,2326,1390,563,113,20115
3014,15843,9764,10455,9631,8711,8429,6399,3815,1573,74621,22,25,14,20,16,16,18,23,6,166,10,15,21,16,21,50,68,26,3,225,3,0,3,0,20,32,57,27,7,157,422,549,498,379,504,569,442,219,105,3699,0,0,0,0,3,8,15,9,0,35,3,3,0,0,0,3,10,0,0,22,0,0,0,0,0,7,6,3,0,12,3,3,3,4,5,3,0,0,0,18,0,4,3,0,0,11,7,0,0,24,0,0,0,0,0,0,0,0,0,0,441,578,529,402,554,672,606,291,119,4186,455,598,547,432,570,693,628,305,127,4355,16305,10365,10999,10054,9278,9122,7026,4127,1701,78975
3015,64508,39309,38833,44918,49534,48158,43908,26513,9848,365526,42,41,43,38,59,96,120,92,38,561,218,178,207,204,155,321,549,277,41,2140,102,72,174,145,142,645,1692,1107,168,4248,1236,1739,1649,1349,1460,1842,1555,715,315,11848,3,12,16,11,15,45,144,91,17,358,6,8,15,7,18,22,37,12,0,128,11,22,80,19,29,80,268,182,26,705,0,7,5,9,9,11,5,6,0,56,9,9,13,3,10,47,132,70,5,292,0,0,0,0,0,0,0,0,0,9,1588,2036,2147,1745,1827,3009,4391,2460,568,19779,1632,2076,2191,1792,1883,3105,4511,2551,609,20339,66139,41385,41025,46706,51416,51265,48420,29063,10456,385862
