SUA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
2004,0,4,8,51,15,8,0,0,0,87,0,0,0,3,0,4,5,3,0,19,0,3,5,18,3,0,4,0,0,32,6,32,34,130,52,38,50,35,8,393,145,268,282,703,311,325,282,246,146,2701,3074,6351,6293,13856,6367,6563,5887,3449,1728,53577,0,8,17,48,9,7,0,0,0,86,5828,11941,10846,21404,10177,10354,9374,5155,2325,87405,0,7,7,39,6,9,0,0,0,64,0,0,0,0,0,3,0,0,0,3,0,5,0,28,3,0,0,0,0,37,0,3,3,9,4,0,0,0,0,18,4,9,7,36,18,7,7,7,0,96,0,0,0,5,0,0,0,0,0,6,5,10,35,180,53,38,22,6,0,348,0,0,0,4,0,11,9,15,3,48,3,7,9,35,4,11,8,3,0,80,0,44,57,182,231,346,378,279,102,1625,0,0,9,16,7,6,0,0,0,47,0,0,5,20,7,4,14,3,0,46
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,16,13,14,13,7,6,73,4,29,19,53,55,48,62,61,76,414,216,546,379,1095,788,856,967,605,303,5759,0,0,0,0,0,0,0,0,0,3,445,1041,736,1929,1164,1295,1382,782,310,9079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,14,5,0,0,3,0,33,0,0,0,0,0,0,0,0,0,4,0,0,3,13,3,0,0,0,0,20,0,0,0,6,0,0,4,3,0,11,0,0,0,0,3,0,0,3,0,4,4,12,11,51,67,89,101,79,25,436,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,19
2006,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,3,10,4,0,6,49,18,40,17,75,34,41,54,41,22,344,336,706,668,1498,767,819,826,561,327,6503,0,4,3,16,0,0,0,0,0,25,650,1341,1255,2347,1286,1368,1293,865,406,10808,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,14,88,16,6,3,0,0,161,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,0,0,3,11,12,38,47,36,11,170,0,0,0,6,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,7
2007,0,0,0,15,3,4,6,0,0,21,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,0,0,0,0,6,0,3,0,27,4,7,14,13,3,72,19,48,50,134,77,106,111,120,71,742,563,1311,1153,2453,1449,1644,1634,1034,466,11712,0,0,0,0,0,0,0,0,0,0,1109,2418,2161,3813,2418,2636,2591,1519,578,19246,0,0,0,3,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,0,0,14,3,5,4,0,0,28,0,0,0,3,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,16,0,8,9,27,32,78,138,120,34,448,0,0,0,3,0,0,0,0,0,5,0,0,0,9,6,5,0,3,0,17
2008,3,11,41,168,73,50,17,5,3,373,0,5,7,18,21,44,36,28,8,165,0,0,11,52,21,17,7,3,0,104,20,129,181,795,358,433,415,374,179,2868,256,716,726,1709,779,720,846,618,305,6673,8255,17313,16832,39643,18523,17905,16358,9450,4403,148681,0,50,124,302,90,28,16,3,0,611,16122,31824,28888,58510,28083,25700,21800,11111,4494,226534,0,9,15,112,18,7,0,0,0,169,0,0,4,138,62,136,72,57,10,478,0,7,6,118,15,8,0,0,0,165,0,4,4,27,11,19,6,3,0,72,10,43,35,227,103,52,34,12,9,522,0,0,0,33,24,8,14,3,0,90,7,112,198,796,226,174,144,52,7,1715,0,8,12,113,119,259,324,342,136,1304,8,29,17,68,9,24,28,23,6,219,37,342,427,1381,1263,1904,1980,1439,546,9323,0,4,15,82,31,30,18,0,3,186,3,18,16,117,41,31,11,7,9,255
2009,0,0,0,9,3,0,0,0,0,10,0,0,0,0,3,7,3,0,4,21,0,0,0,0,3,4,3,0,0,8,0,6,6,32,25,21,23,17,4,141,6,41,51,93,84,64,69,23,13,444,645,1638,1160,2522,1776,1475,1210,581,192,11198,0,0,0,0,0,0,0,0,0,0,1245,3259,2308,4032,2706,2227,1645,781,222,18425,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,8,12,0,0,45,0,0,0,4,4,0,0,0,0,14,0,4,4,16,7,7,3,3,0,45,0,0,0,0,4,10,15,4,0,34,0,0,0,0,0,0,9,4,0,14,4,19,31,104,164,236,173,137,25,895,0,0,0,0,4,0,0,5,0,9,0,0,0,4,0,6,8,4,0,21
2010,0,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,7,0,18,5,10,8,9,6,56,19,39,74,106,54,53,47,56,26,470,531,1007,933,2144,999,1118,984,700,359,8764,0,0,0,0,0,0,0,0,0,0,967,1978,1715,3457,1660,1869,1614,1030,487,14773,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,0,0,3,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,19,13,40,40,29,10,167,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
2011,129,1004,3643,17950,11242,9126,5468,1601,771,50931,4,33,72,392,275,326,275,199,89,1662,9,67,326,1306,455,251,130,38,3,2594,611,4348,7584,36061,15102,13112,11269,7494,3671,99253,5128,11081,11357,33328,11771,9844,8965,7164,4726,103360,138502,285762,288595,757259,315500,266382,209161,124858,60543,2446560,128,1674,3890,12058,3263,1613,651,191,49,23519,264488,484448,413296,745719,350248,276440,188759,100002,42516,2865912,41,626,853,5931,1259,573,323,50,6,9663,6,35,146,2876,1418,2022,1169,636,174,8480,33,202,352,3789,590,265,121,41,6,5397,59,394,1536,5794,3189,2631,1791,654,197,16253,126,539,551,3762,1563,978,526,207,47,8292,23,125,175,2304,1618,1392,1302,747,118,7806,583,7253,20405,73801,22262,21233,13314,4724,2303,165872,8,30,65,1449,1295,2812,3147,2995,978,12770,53,667,1085,3011,1221,2039,2649,1838,703,13269,594,5224,7557,27690,20582,24561,20996,15687,6115,129002,19,205,633,4335,2409,2086,1140,455,125,11407,45,282,448,3401,1016,726,600,294,167,6985
2012,0,11,14,68,23,33,14,3,0,173,0,0,0,4,0,0,4,6,0,16,0,0,0,9,3,0,5,0,0,15,0,31,25,141,63,46,38,32,18,392,107,277,228,576,276,268,251,159,103,2237,1560,3349,2954,6938,3482,3480,2951,1766,873,27360,0,19,61,96,30,36,10,3,0,263,2907,5958,5052,9369,5171,5319,4481,2447,970,41683,0,0,3,17,3,3,0,0,0,27,0,0,0,5,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,3,7,18,10,9,6,0,0,50,0,0,0,12,8,7,5,0,0,25,0,0,0,14,0,0,0,0,0,11,0,3,22,117,35,19,13,4,0,216,0,0,0,0,6,11,18,25,18,78,0,0,0,10,3,5,0,5,0,24,0,14,9,90,84,165,156,113,38,665,0,4,8,31,11,4,7,0,0,64,0,0,0,9,0,9,4,4,0,22
2013,0,0,0,7,8,0,0,0,0,9,0,0,0,0,0,0,3,4,3,12,0,0,0,0,0,0,0,0,0,3,0,0,4,28,10,18,36,20,15,135,32,96,76,189,109,118,124,71,30,844,565,1246,1155,2602,1426,1574,1457,808,365,11200,0,0,0,0,0,0,0,0,0,0,1062,2323,2160,4289,2225,2489,1940,877,331,17698,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,8,0,0,31,0,0,0,3,0,0,0,0,0,9,0,4,0,4,0,0,0,0,0,12,0,0,0,11,0,14,5,0,0,22,0,0,0,0,0,5,0,0,0,7,0,3,0,19,11,8,3,5,0,53,0,0,0,4,0,9,8,6,9,36,0,0,0,0,0,0,4,0,0,6,0,3,5,24,49,121,207,167,65,635,0,0,0,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8
2014,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,13,11,7,11,9,3,45,10,38,25,86,37,57,41,38,16,355,250,617,541,1208,742,887,803,426,219,5700,0,0,0,0,0,0,0,0,0,0,491,1125,1057,1903,1261,1449,1254,616,274,9423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,6,0,3,10,15,17,55,96,57,14,273,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
