SUA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1010,2169,15365,11132,106718,1343,136723,79,802,481,14653,177,16194,3690,240,354,794,36,5111,669,204,110,453,12,1449,2166,743,468,1652,27,5053,25666,13602,9732,95670,1596,146271,2702,171,616,160,22,3663,963,199,194,913,7,2274,2829,927,644,6816,81,11298,1096,331,161,1019,17,2625,553,149,68,256,10,1045,2859,183,117,199,7,3368,5916,2957,1891,30265,310,41337,3079,1271,523,4697,54,9630,997,14,65,25,3,1095,489,191,82,406,9,1177,110,24,15,48,0,197,1497,495,272,1603,30,3890,1231,541,224,373,19,2390,1329,867,577,550,9,3330,1128,272,191,597,16,2204,893,105,137,281,15,1426,258,200,32,28,0,525,6187,3181,2197,24270,205,36046,376,76,31,125,4,603,1242,225,214,102,9,1795,1165,99,118,375,6,1762,221,65,34,56,0,376,465,29,87,17,4,598,1029,325,226,1101,12,2682,14273,3399,2553,4873,200,25294,801,188,134,1984,16145,19249,69796,27016,19191,207703,19468,343180
1011,441,2561,1847,22728,281,27863,12,166,71,3910,48,4194,536,59,50,157,4,812,70,28,8,62,0,174,452,180,115,373,0,1119,4401,2448,1648,22097,310,30909,383,12,94,34,6,532,194,32,28,212,3,478,652,230,157,2049,21,3109,106,46,14,124,4,289,110,25,10,46,0,188,1020,63,104,77,12,1277,904,526,324,7113,72,8939,464,200,66,902,8,1639,68,5,8,3,0,82,30,18,8,55,0,115,11,4,0,8,0,21,104,46,34,157,0,345,153,59,32,44,0,294,216,128,94,84,4,526,187,47,43,124,4,404,75,18,10,38,3,153,26,5,7,6,0,46,1028,586,409,6011,50,8083,32,3,4,14,0,47,227,27,26,26,0,307,130,18,14,59,0,222,33,12,0,10,0,49,90,6,12,5,0,104,159,49,34,211,5,456,5008,578,537,1075,69,7266,227,24,28,501,3918,4700,14309,4746,3388,47104,4649,74195
1012,195,831,578,14365,106,16081,9,146,43,5980,80,6257,308,14,20,116,0,465,15,5,7,11,0,36,125,53,46,175,0,398,818,721,534,12346,146,14559,353,4,56,23,0,435,36,11,9,90,0,142,121,49,38,1016,8,1237,46,15,12,88,0,160,20,10,0,9,0,37,675,15,8,13,0,717,184,182,104,3848,25,4335,81,61,25,421,0,586,55,0,4,0,0,62,42,14,13,39,0,104,6,0,0,0,0,9,10,15,6,78,0,111,81,15,12,23,0,123,43,40,31,38,0,150,50,17,20,71,0,161,25,3,15,15,0,61,8,0,0,0,0,13,221,186,129,2770,12,3319,9,0,0,0,0,8,67,12,11,8,0,98,23,4,4,28,0,61,87,3,10,3,0,105,51,3,6,0,0,56,22,15,6,72,0,119,2392,150,126,420,15,3111,118,16,15,233,3153,3528,5399,1506,1074,29125,3480,40578
1013,98,698,427,7271,275,8762,4,38,23,1094,35,1190,91,5,4,49,0,146,41,9,0,15,0,63,126,40,11,41,3,219,1154,668,439,7041,189,9486,117,0,23,6,0,145,32,17,11,54,3,116,148,39,31,505,11,731,20,11,0,25,0,61,30,4,0,17,0,48,65,9,6,7,0,77,195,120,70,2025,34,2442,129,57,13,225,5,433,19,0,4,0,0,22,18,7,0,19,0,47,6,0,0,0,0,8,55,24,7,40,4,130,22,18,11,7,3,62,46,17,14,27,5,100,70,11,0,24,0,100,20,4,0,8,0,35,3,0,0,0,0,3,297,176,113,1596,32,2214,11,0,0,0,3,17,35,3,3,0,0,45,33,3,0,16,0,56,5,0,0,0,4,7,21,0,0,0,0,21,37,17,6,40,5,105,532,121,63,224,19,959,24,6,3,153,1015,1206,2858,1242,754,14686,1536,21087
1014,92,650,475,8813,130,10163,4,23,31,1058,5,1122,232,6,14,66,4,323,27,9,3,18,3,55,77,24,22,93,0,222,871,611,450,8043,133,10102,193,6,30,10,0,239,44,11,5,53,0,110,111,64,39,583,15,803,67,29,10,54,4,165,21,13,3,17,0,57,227,6,7,3,0,242,207,166,78,2734,29,3212,104,45,14,195,0,355,51,0,6,0,0,53,25,10,0,23,5,62,11,3,0,0,0,15,25,13,4,74,0,128,47,12,4,5,0,79,47,20,24,23,0,117,45,22,0,37,0,112,19,0,4,20,0,39,17,8,0,0,0,25,237,173,124,1888,11,2426,20,3,5,0,0,27,22,4,10,10,0,49,41,0,11,24,0,73,7,0,0,4,0,16,22,9,0,0,0,29,28,18,9,80,0,136,1027,137,95,214,16,1495,56,10,4,191,1757,2024,3291,1214,842,17155,2067,24565
1015,54,407,314,7787,180,8746,3,31,19,1808,35,1893,70,14,9,23,0,110,3,0,0,13,0,22,75,22,23,61,0,183,440,412,311,6523,170,7852,82,6,38,0,3,129,20,0,3,38,0,57,75,43,23,676,4,825,9,6,0,28,6,43,4,0,4,4,0,17,79,3,4,16,0,104,93,76,54,1860,22,2105,37,25,3,214,0,284,3,0,0,0,0,3,4,0,3,8,0,15,0,0,0,0,0,0,11,3,3,33,0,48,19,19,9,17,0,60,22,27,18,20,4,86,17,10,8,21,0,61,6,0,0,8,0,24,10,0,0,0,0,15,133,126,70,1551,17,1897,3,0,0,3,0,3,20,0,0,6,0,28,15,0,0,3,0,19,4,0,4,3,0,15,15,0,3,0,0,27,13,5,5,23,0,49,287,71,41,235,19,651,21,15,7,190,1174,1403,1339,764,572,15078,1509,19255
1016,320,488,275,4338,73,5499,4,52,25,1003,27,1103,251,3,17,22,0,292,12,0,0,5,0,16,53,16,13,38,0,118,758,343,234,3882,64,5283,366,0,28,4,9,404,22,0,6,22,0,53,83,29,26,358,0,495,12,0,3,20,0,37,0,4,0,3,0,6,1255,18,6,9,11,1289,97,65,41,1218,10,1434,1781,471,158,2168,41,4617,21,0,0,3,0,20,23,6,4,11,0,41,10,0,0,0,0,12,12,6,0,14,0,23,70,14,6,4,0,99,49,23,17,10,0,102,9,10,0,14,0,33,5,0,0,0,0,5,345,22,24,4,4,398,88,91,65,1021,16,1277,9,0,0,7,0,18,73,12,3,3,0,95,82,12,12,34,0,138,16,0,0,0,0,15,16,0,0,0,0,16,13,5,5,36,0,52,2691,172,83,160,38,3136,176,9,5,92,1222,1507,7579,1149,624,9770,1447,20569
1017,47,356,224,5467,113,6205,3,47,21,2276,60,2415,69,3,3,21,0,93,7,4,0,9,0,20,49,19,13,22,0,101,428,317,204,4859,149,5961,93,3,38,3,3,145,18,3,4,32,0,58,89,17,17,324,8,458,24,3,0,25,0,48,6,5,0,5,0,11,55,4,0,3,0,62,73,59,44,1326,18,1519,26,21,3,107,0,157,0,0,0,0,0,5,5,9,0,16,0,26,0,0,0,0,0,4,31,8,5,46,0,92,17,10,5,15,0,48,17,19,12,23,0,79,13,10,0,14,0,46,5,7,0,11,0,17,9,3,0,0,0,10,103,68,45,947,18,1185,4,0,0,0,0,3,4,4,0,4,0,13,13,0,0,12,0,24,0,0,0,4,0,5,0,0,0,0,0,0,19,12,0,35,0,67,256,69,42,230,6,607,21,6,3,107,1889,2014,1156,640,396,11255,2204,15654
1018,143,956,653,9649,91,11490,3,65,44,1828,36,1974,145,7,20,68,3,245,18,8,5,13,0,48,101,49,32,114,0,300,1179,875,589,9083,119,11844,166,5,62,21,0,257,75,16,9,86,0,185,223,87,77,942,7,1337,35,21,7,40,0,105,37,12,0,16,0,64,156,23,12,19,3,207,267,220,112,3407,25,4038,288,155,34,742,6,1230,28,0,5,3,0,38,9,9,4,40,0,65,8,0,0,0,0,10,25,10,10,50,3,96,48,25,17,31,0,128,70,37,50,24,0,188,50,16,18,39,0,117,19,4,5,26,0,52,8,7,0,0,0,19,321,244,154,2635,19,3373,13,0,0,5,0,22,42,19,4,13,0,75,46,7,13,34,0,89,15,3,0,3,0,18,53,0,10,0,0,66,37,20,10,82,0,146,895,258,199,472,23,1850,33,11,4,231,1772,2047,3547,1801,1217,20227,2026,28816
1019,56,387,245,4414,75,5186,0,22,14,763,22,826,96,0,4,26,0,124,24,7,0,15,0,47,53,15,8,33,0,110,488,349,260,3795,109,5001,80,3,39,5,0,132,19,3,0,17,0,38,82,21,20,264,3,388,28,6,3,17,0,60,18,8,0,10,0,37,58,5,0,5,0,73,121,80,44,1171,20,1424,70,12,11,119,0,211,6,0,0,0,0,6,11,3,0,13,0,32,4,0,0,0,0,4,20,9,0,21,0,51,20,7,14,5,0,41,20,22,8,10,0,72,43,22,3,16,0,87,8,0,0,3,0,12,0,0,0,0,0,0,156,125,87,1020,14,1402,15,0,0,0,0,25,8,3,0,0,0,13,18,0,6,4,0,25,3,0,0,0,0,6,28,0,0,0,0,30,27,14,4,62,3,111,374,73,51,143,9,652,22,7,4,84,967,1082,1602,699,473,8433,1180,12385
1020,74,536,477,5947,36,7065,0,34,10,1032,7,1088,53,6,14,22,0,88,19,3,0,16,0,42,119,41,20,91,0,276,789,529,382,4741,58,6504,43,11,33,10,4,98,19,0,7,32,0,58,102,47,32,426,0,611,20,17,0,41,0,72,22,8,6,5,0,38,34,8,0,9,0,46,143,94,57,1191,10,1498,63,44,11,156,3,274,10,0,5,0,0,17,7,4,3,9,0,15,19,0,0,9,0,31,49,26,11,66,0,151,22,12,4,15,0,57,32,26,16,23,0,93,41,6,6,34,0,89,12,6,0,6,0,18,4,6,3,6,0,17,202,117,94,1180,7,1598,15,0,0,6,0,20,49,7,3,6,0,63,19,10,6,15,0,42,9,0,0,6,0,18,12,4,3,7,0,24,39,12,17,55,0,123,306,103,88,244,6,746,18,3,3,101,548,670,1839,980,749,10804,651,15020
1021,166,1094,794,9486,149,11688,10,61,29,1377,19,1495,114,12,20,52,3,198,45,14,0,18,4,84,206,70,35,154,3,475,1707,1071,769,8894,110,12553,134,3,42,4,4,189,47,10,4,65,0,127,257,93,62,743,9,1165,47,19,8,61,0,143,36,11,5,14,0,58,105,11,5,10,0,135,324,174,135,2254,35,2919,157,77,25,359,4,620,39,0,10,0,0,40,46,16,3,22,0,88,9,4,6,15,0,26,77,28,21,106,5,242,85,30,17,22,0,152,129,57,29,46,5,265,78,15,12,48,0,151,31,5,14,21,0,71,77,20,5,4,0,107,487,276,203,2092,23,3078,12,3,4,15,0,33,96,14,18,11,0,143,50,8,10,23,0,92,19,8,3,0,0,31,12,0,6,0,0,16,59,15,19,92,0,183,962,226,172,380,13,1749,42,28,8,253,1100,1429,4394,2022,1431,18562,1408,27828
1022,41,344,268,4790,53,5502,4,19,6,804,9,851,41,4,3,22,0,77,22,4,0,23,0,43,58,42,15,77,0,190,478,303,241,4420,56,5491,66,0,18,6,0,88,16,0,0,19,0,39,73,22,20,420,3,529,22,11,3,27,0,56,16,4,0,10,0,30,48,0,5,3,0,52,77,85,67,1358,14,1599,40,21,18,125,0,200,13,0,3,0,0,19,5,0,0,4,0,16,0,0,0,0,0,0,19,6,6,46,0,74,20,4,9,5,0,37,30,27,10,19,0,88,16,14,3,23,0,53,14,0,4,13,0,27,3,3,8,0,0,15,108,71,64,974,11,1229,0,0,0,3,0,7,17,3,0,0,0,24,17,4,0,21,0,39,0,0,0,0,0,0,18,0,0,0,0,18,17,11,6,32,0,66,305,64,63,165,9,606,12,9,4,135,614,779,1301,627,476,9420,733,12563
1023,39,280,228,4817,57,5429,0,45,12,1378,28,1463,75,4,8,27,0,110,3,5,0,5,0,23,46,16,17,35,0,114,322,250,191,3854,64,4690,117,0,28,8,0,156,8,3,0,16,0,26,31,20,12,367,0,433,13,4,0,18,0,37,10,6,3,6,0,17,89,0,0,7,0,98,89,58,28,920,11,1105,21,23,8,96,3,158,8,0,6,0,0,12,7,0,4,15,0,26,0,0,0,0,0,11,5,0,5,10,0,17,44,22,13,8,0,85,26,13,15,10,0,69,16,9,4,16,0,44,3,0,0,7,0,11,8,3,3,4,0,19,98,63,38,835,12,1049,5,0,0,0,0,12,26,0,0,0,0,34,16,8,0,20,0,43,3,0,0,0,0,3,6,0,3,0,0,7,10,5,6,18,0,39,369,61,47,139,6,627,16,3,5,136,933,1091,1265,524,401,9014,1072,12272
1024,159,1035,764,8456,126,10540,0,32,14,922,10,980,125,19,12,56,0,211,134,21,9,60,10,231,205,60,47,123,0,427,2481,1005,723,8727,130,13067,129,9,32,8,0,176,93,9,9,82,0,191,315,86,56,788,11,1255,116,31,13,67,5,237,34,3,0,10,4,55,73,9,3,9,0,98,535,216,128,2729,25,3629,294,89,19,307,6,714,9,0,0,0,0,13,33,11,0,22,0,67,15,3,3,0,0,19,122,29,22,69,0,237,76,38,17,22,3,151,80,59,21,32,4,190,140,30,17,63,4,255,60,10,0,21,0,94,10,0,4,0,0,14,633,271,163,2394,24,3494,26,3,0,5,0,39,89,6,18,0,0,109,60,3,0,24,0,91,3,4,0,0,0,7,29,0,0,0,0,32,136,32,18,113,0,304,1004,240,167,356,15,1776,54,11,12,158,1275,1505,5720,1951,1332,17832,1580,28418
1025,2363,17313,12965,176906,1699,211241,95,1029,491,27880,267,29758,4978,306,470,1164,36,6954,845,240,83,552,12,1734,2156,1055,622,2738,24,6587,19967,15901,11376,166351,1841,215437,2949,159,1012,252,20,4396,720,220,175,1268,18,2402,3477,1658,1167,14727,129,21160,1292,467,182,1603,23,3578,456,170,69,377,0,1068,4223,248,138,256,8,4877,4445,3164,2251,46499,304,56671,3073,1337,486,6251,68,11213,856,23,86,48,3,1019,289,128,56,416,0,886,1702,288,134,789,8,2923,480,259,168,1003,19,1929,972,504,280,441,17,2215,1094,854,600,599,23,3165,2044,553,386,1949,28,4952,585,128,152,534,17,1409,594,297,96,121,13,1121,5881,4481,3061,44554,275,58246,563,92,66,182,7,912,1088,244,202,150,3,1690,823,153,95,509,6,1586,280,59,61,62,0,472,1037,46,99,36,4,1222,1028,602,377,3052,16,5079,18995,3892,3128,7534,236,33777,909,231,161,3639,21551,26492,72852,32076,23054,354882,25573,508437
1026,215,1375,1193,13047,143,15975,11,123,61,3040,53,3284,251,6,28,71,6,359,58,19,10,31,0,117,220,79,50,162,3,503,2179,1321,1035,10905,180,15627,303,13,84,22,9,425,68,12,16,90,0,185,287,104,61,935,12,1410,84,21,12,107,0,221,60,13,4,33,0,108,384,10,10,7,3,416,388,237,144,3150,39,3956,228,94,44,422,5,795,47,5,0,5,0,53,29,13,7,24,5,71,28,3,0,12,0,45,77,29,13,134,5,255,72,26,21,26,6,149,92,70,46,51,4,262,96,35,15,83,3,233,45,3,6,20,0,78,24,8,0,3,0,39,499,291,226,2505,42,3565,28,3,0,13,0,51,70,11,14,0,0,104,68,14,14,42,0,135,23,5,0,3,0,23,44,6,8,0,0,64,102,35,24,102,0,263,1420,276,227,517,13,2448,71,11,10,207,3103,3393,6136,2473,1921,24631,3516,38678
1027,160,1190,822,15096,135,17395,8,70,45,2980,55,3160,387,12,20,85,8,515,66,20,0,54,0,143,209,89,48,225,0,582,1297,1041,737,13638,173,16877,323,14,47,21,0,407,51,9,14,117,0,194,238,95,87,1131,12,1561,80,21,12,64,4,181,35,13,6,25,0,83,544,13,10,20,0,584,276,240,153,4520,37,5223,248,98,46,572,3,962,80,4,0,4,0,90,29,28,5,49,0,105,18,9,6,6,0,30,17,21,16,66,0,121,77,41,12,34,0,168,97,79,42,76,0,290,102,17,23,124,0,275,79,19,13,35,8,157,27,12,3,0,0,42,364,279,207,3326,24,4191,29,0,3,14,0,52,102,20,7,0,0,140,58,12,0,25,0,99,31,7,0,3,0,45,46,0,4,4,0,50,48,22,21,145,0,241,1790,265,179,550,23,2822,68,4,12,294,2072,2451,5763,2148,1476,30074,2457,41920
1028,275,1880,1384,16385,258,20170,10,95,47,2360,27,2537,330,30,35,98,6,504,68,25,7,35,0,147,358,109,84,200,0,758,3522,1790,1260,15697,253,22516,333,19,61,13,4,429,115,28,27,146,6,328,448,142,89,1354,14,2045,77,27,14,119,0,237,62,26,10,27,0,124,350,22,22,24,0,417,749,424,234,5256,54,6727,291,140,56,610,15,1111,54,0,12,4,0,72,29,20,4,59,0,115,13,0,3,4,0,20,95,30,24,124,0,276,80,34,13,33,0,164,139,80,62,57,5,342,128,37,14,76,0,255,61,14,10,30,0,114,18,0,4,4,0,25,862,410,298,4017,38,5630,37,4,0,17,0,58,152,36,20,8,3,220,99,17,12,57,0,185,42,0,3,3,0,51,89,0,10,5,0,103,128,32,21,166,0,353,1634,384,263,618,19,2914,97,16,23,293,2059,2495,8591,3373,2375,33223,2636,50193
1029,76,442,419,6770,43,7747,4,40,13,1346,3,1416,80,7,10,23,0,116,10,0,3,11,0,21,88,36,25,97,3,243,670,419,358,5658,42,7146,202,0,33,6,0,235,14,9,4,27,0,55,72,56,37,660,0,825,7,3,0,25,0,40,17,5,0,9,0,28,88,0,8,0,0,102,145,74,70,1504,16,1796,26,21,8,188,0,248,11,0,4,0,0,13,7,3,0,4,0,22,3,3,0,3,0,9,19,8,9,47,0,75,89,18,9,19,0,138,92,44,26,21,0,184,17,11,6,41,0,69,23,5,0,14,0,37,8,0,0,6,0,5,198,104,81,1334,8,1721,7,0,0,3,0,12,83,7,11,5,0,100,35,0,0,15,0,57,4,0,0,3,0,12,39,0,4,0,0,48,29,15,9,66,0,118,323,78,66,186,5,659,24,5,7,133,888,1065,1944,810,704,12582,975,17018
1030,125,827,510,6400,68,7928,3,53,31,1177,29,1287,74,17,8,32,0,139,107,14,3,30,0,159,127,31,19,68,4,253,1560,784,502,5754,96,8697,107,3,12,11,0,142,43,12,4,57,0,116,238,59,38,457,9,806,160,18,10,59,3,249,56,9,7,16,0,93,44,10,0,9,3,62,307,142,88,1750,17,2302,200,86,24,223,3,541,6,4,0,0,0,10,12,5,0,18,0,47,23,4,0,6,0,37,112,37,17,81,0,246,39,14,10,21,0,88,59,33,16,23,0,141,104,14,6,30,0,150,40,9,0,10,0,58,9,6,0,0,0,18,374,215,115,1488,18,2205,19,3,0,5,0,35,19,18,6,7,0,49,39,8,9,16,0,67,3,0,0,0,0,3,19,0,0,0,0,24,71,22,14,67,4,173,639,143,100,294,16,1184,46,9,12,114,1021,1201,3859,1487,910,12596,1249,20105
1031,87040,145047,110038,656858,7227,1006209,1421,5186,2614,57611,856,67686,508117,8529,15120,12093,3220,547073,26099,3993,2450,9263,264,42068,20122,6542,4072,11844,176,42762,293260,112061,80547,581267,7923,1075061,111333,3329,9297,2282,437,126671,19858,2771,2112,6912,136,31790,41708,10171,7423,49371,700,109376,66135,12336,6633,35594,647,121345,11314,2236,1260,3583,85,18482,224290,3860,3050,1937,478,233616,76620,29054,19926,225889,1722,353211,101282,25620,12142,71284,1115,211445,64601,675,1989,567,273,68104,105152,24316,10801,28086,727,169089,19908,2567,1547,4396,161,28577,24731,7312,4022,21600,301,57972,18233,3480,2224,1634,211,25778,17613,6291,4522,3139,176,31738,25047,3682,3042,7434,185,39396,20861,1717,1862,3158,160,27754,24217,3126,1355,899,304,29905,61655,25850,19005,166207,1248,273964,22278,2235,1529,2766,139,28951,22414,3255,2362,1007,98,29129,31250,1889,1733,2939,221,38032,15989,981,766,636,58,18430,109597,2063,3548,2078,673,117945,9547,2520,1658,8170,71,21966,854986,57130,46562,58176,5451,1022302,45213,2875,2123,10669,226977,287861,2661098,309940,225850,1376890,256255,4830047
1032,136,850,714,16834,177,18712,13,138,53,5547,61,5814,513,10,21,111,0,658,9,13,4,12,0,39,112,50,28,143,4,341,999,850,634,13932,210,16621,511,9,39,5,9,568,31,15,10,64,0,115,130,83,42,1420,18,1693,25,10,3,57,3,97,16,3,5,18,0,39,404,6,3,8,0,428,193,182,133,4036,26,4570,71,67,23,379,4,543,30,3,5,5,0,40,33,7,0,36,0,75,5,0,0,3,0,12,31,18,3,103,0,159,85,30,19,28,0,161,56,46,32,50,0,186,36,15,4,49,0,108,17,0,5,11,0,37,8,10,0,0,0,18,260,204,158,3286,26,3938,5,3,0,3,0,16,63,9,13,8,0,83,37,8,0,30,0,74,21,0,3,0,0,23,283,0,8,0,3,290,31,17,17,96,4,168,1545,186,127,503,27,2388,129,9,7,333,2932,3409,4978,1641,1210,32638,3396,43874
1033,93,656,430,9986,245,11410,0,55,29,2537,77,2695,133,4,12,40,3,198,18,9,0,20,4,44,146,51,24,92,0,317,910,638,412,8955,206,11126,190,7,25,9,9,234,30,8,11,47,6,98,133,57,20,688,12,911,25,17,5,34,0,84,18,4,0,13,0,37,178,6,3,3,3,192,181,106,72,2098,26,2479,81,40,9,237,4,366,14,0,0,0,0,20,23,5,3,24,0,54,0,0,0,0,0,0,32,11,0,43,0,90,22,20,15,20,0,76,23,32,12,25,0,96,29,7,9,22,0,62,21,5,3,5,0,29,0,5,0,0,0,10,205,177,93,2025,31,2536,8,0,0,9,0,10,13,0,0,0,0,18,23,5,5,26,0,58,10,0,0,0,0,12,29,0,6,0,0,30,30,7,3,43,0,81,568,95,74,291,13,1037,25,13,9,253,1800,2100,2638,1204,747,19591,2337,26519
1034,80,631,486,5469,74,6752,4,19,15,605,8,651,60,5,17,60,0,145,52,7,8,25,0,83,107,29,26,74,0,233,1139,551,420,5439,73,7632,77,6,25,11,0,113,27,11,4,43,0,85,160,52,25,369,9,618,50,20,4,52,0,131,34,5,0,16,0,52,43,3,5,3,0,55,229,113,108,1698,20,2161,201,80,24,348,6,659,16,3,3,0,0,26,12,0,0,9,0,26,10,0,0,4,0,16,64,21,13,43,4,140,28,14,4,15,0,62,50,28,32,25,0,124,42,18,4,29,0,97,22,4,4,10,0,42,4,0,5,0,0,7,323,180,132,1405,14,2050,17,3,0,12,0,36,24,16,5,6,0,45,29,3,0,15,0,49,0,4,8,0,0,15,25,5,9,0,0,36,36,25,12,54,0,132,407,127,143,222,3,902,36,9,0,116,867,1031,2702,1164,877,11230,1043,17026
1035,258,1345,942,19784,177,22514,11,113,36,3608,53,3819,530,14,51,124,9,733,41,7,8,60,5,116,198,101,54,300,0,658,1460,1179,819,18800,192,22452,435,10,55,26,0,526,56,15,16,142,0,236,263,141,113,2324,14,2859,85,30,17,150,0,282,26,6,5,17,0,50,882,17,16,21,0,933,334,274,194,6652,36,7496,201,116,29,752,5,1101,42,4,7,4,0,57,24,17,5,42,0,80,5,3,0,11,0,22,36,16,17,88,0,159,89,30,18,42,0,179,70,86,51,55,3,271,77,16,11,112,0,218,27,6,0,24,0,59,73,12,4,6,4,102,397,304,223,5067,17,6012,35,4,0,7,0,42,88,21,21,12,0,148,49,0,6,57,0,120,56,0,7,5,0,70,80,3,8,3,0,103,50,22,21,129,0,221,3762,341,206,705,21,5040,127,25,16,468,2613,3241,8418,2452,1698,41386,3048,57003
