SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
2014,4636,4833,9468,1714,858,2567,577,1236,1818,172,210,384,144,110,252,2602,2414,5021,1717,2135,3847,5.4,4.6,5,56.2,50,53,53.2,47.7,50.4,57,86,142,46,130,173,282,479,760,232,510,738,1298,741,2037,38,75,109,66,87,155,1400,900,2304,4420,4558,8973,688,733,1419,2970,2984,5955,1909,2098,4009
2015,5879,6615,12493,2419,1321,3734,696,1680,2379,206,252,451,184,169,354,3504,3419,6919,1991,2806,4800,5.3,4.9,5.1,59.6,51.7,55.4,56.4,49.1,52.5,178,228,405,97,194,294,574,900,1468,496,719,1213,1587,904,2486,77,95,172,63,100,167,1724,1102,2821,5559,6142,11701,1206,1272,2479,3521,3861,7380,2861,3169,6031
2016,20902,22300,43207,8660,5059,13715,2500,5399,7899,714,882,1592,713,489,1199,12583,11831,24405,6673,8823,15495,5.7,4.1,4.9,60.2,53,56.5,56.8,50.9,53.7,554,664,1221,286,680,969,1613,2725,4341,1385,2306,3688,4799,2761,7566,201,311,505,230,354,583,5235,3419,8657,20838,21449,42283,3221,3618,6840,13273,13556,26835,9319,10174,19493
2017,4281,4763,9037,2025,1119,3146,517,1238,1752,132,204,338,104,53,161,2784,2617,5402,1194,1847,3037,3.8,2.1,3,65,55,59.8,62.5,53.9,58,55,111,171,52,127,179,309,546,858,309,451,758,1057,640,1701,36,71,106,57,83,139,1148,800,1949,4247,4613,8864,640,758,1399,2789,3080,5874,1804,2007,3814
2018,16991,18460,35452,6572,3715,10283,1941,4555,6499,580,771,1356,753,520,1270,9838,9566,19403,5780,7463,13243,7.6,5.4,6.5,57.9,51.8,54.7,53.5,49,51.2,366,493,866,170,458,629,1281,2038,3320,1045,1753,2796,5001,2711,7716,173,290,464,182,270,446,5353,3270,8628,16413,17335,33752,2613,2881,5496,10958,11371,22321,6991,7777,14769
2019,7646,8806,16453,3104,1886,4986,1026,2303,3328,248,365,615,178,141,316,4559,4688,9254,2645,3591,6237,3.9,3,3.5,59.6,53.3,56.2,57.3,51.7,54.3,167,278,450,132,322,451,678,1157,1839,552,960,1504,2062,1220,3287,66,142,209,97,143,238,2229,1506,3735,7571,8406,15977,1190,1353,2543,5077,5570,10646,3244,3737,6974
2020,16419,18089,34506,7304,3891,11191,2089,4963,7048,608,849,1456,429,376,804,10422,10078,20500,5077,7033,12110,4.1,3.7,3.9,63.5,55.7,59.4,60.9,53.6,57.1,433,604,1034,271,607,880,1496,2477,3975,1253,2148,3393,4958,2719,7678,129,302,436,253,363,619,5344,3390,8727,16263,17341,33599,2929,3321,6249,9473,10116,19592,8583,9408,17991
2021,13915,15570,29490,6233,3441,9674,1975,4615,6588,515,715,1228,294,263,559,9020,9036,18054,4071,5641,9714,3.2,2.9,3.1,64.8,58,61.2,62.7,56.3,59.3,458,562,1017,258,570,825,1443,2436,3875,1033,1683,2712,3559,2187,5746,125,213,340,154,260,416,3837,2660,6502,13897,15021,28914,2070,2290,4361,9170,9901,19070,6003,6664,12669
3000,313688,302494,616182,120407,69684,190091,30932,66794,97731,13180,13125,26303,9565,7649,17215,174088,157248,331341,103554,116498,220051,5.5,4.9,5.2,55.5,52,53.8,52.4,49.5,51,4316,5926,10236,2235,5774,8009,16861,33557,50422,16838,27775,44612,87412,44666,132075,4075,6168,10239,4442,5823,10263,95927,56650,152580,282141,273999,556135,52873,55235,108108,192445,182775,375223,124667,129898,254564
3001,6238,6011,12251,2931,1995,4930,856,1671,2527,250,260,510,189,155,342,4227,4085,8313,1077,1223,2300,4.4,3.8,4.1,67.7,68,67.9,64.8,65.4,65.1,132,168,300,46,107,149,569,969,1535,576,736,1312,1808,912,2720,113,119,234,94,125,217,2019,1159,3174,4577,4296,8871,1734,1953,3691,2420,2130,4544,3580,3811,7392
3002,960160,1016262,1976418,440705,288288,728989,133118,240588,373712,45060,65830,110883,37930,32306,70233,656811,627006,1283818,254872,342188,597053,5.8,5.2,5.5,68.4,61.7,65,64.5,58.5,61.4,62901,64749,127652,18155,34257,52411,157587,206003,363590,82847,112138,194986,210749,122808,333557,11285,15112,26395,13866,20660,34522,235895,158580,394470,925046,962295,1887337,202251,214419,416669,546173,566651,1112830,517109,549499,1066606
3003,29171,32018,61189,10225,6977,17195,3452,6901,10349,857,1001,1860,1232,882,2112,15763,15755,31521,11546,14457,25997,7.8,5.6,6.7,54,49.2,51.5,49.8,46.4,48.1,569,579,1152,270,638,909,2053,3747,5795,1639,2758,4398,8306,4852,13157,475,683,1151,438,647,1090,9216,6185,15405,27535,29396,56936,5515,6119,11634,17670,18722,36393,13781,15291,29075
3004,60613,63679,124294,24794,17878,42674,9043,16731,25776,2296,2546,4839,2512,2009,4524,38645,39172,77812,15803,19167,34972,6.5,5.1,5.8,63.8,61.5,62.6,59.6,58.3,59,1959,2680,4641,862,1873,2735,6429,10724,17149,5168,7222,12391,16005,8968,24972,868,1062,1921,900,1233,2135,17769,11262,29028,54905,56971,111878,12646,13816,26466,33167,33922,67088,30736,33387,64124
3005,5418,5108,10530,3200,1765,4968,583,1493,2076,223,237,460,140,115,257,4152,3611,7761,633,1109,1741,3.4,3.2,3.3,76.6,70.6,73.7,74,68.4,71.3,97,137,227,43,140,185,338,746,1079,296,444,733,1779,817,2596,90,144,238,80,88,167,1949,1057,3009,4977,4912,9889,1379,1414,2796,2755,2597,5351,3148,3286,6431
3006,17650,17646,35298,8673,4579,13253,1795,4482,6276,748,672,1421,931,795,1722,12142,10522,22672,4232,6098,10334,7.6,7.5,7.6,68.8,59.6,64.2,63.6,55.1,59.4,330,357,683,180,355,533,1257,2164,3421,1020,1415,2439,6144,3209,9358,327,494,812,229,351,572,6702,4047,10750,16949,16766,33718,3922,4236,8157,10419,9987,20405,9129,9788,18915
3007,273525,299006,572532,110260,69904,180163,42524,77273,119798,13428,19729,33155,10073,8723,18791,176281,175623,351910,78981,104422,183397,5.7,5,5.3,64.4,58.7,61.5,60.8,55.8,58.2,11918,13586,25502,3643,7712,11354,35001,50646,85647,25528,38545,64073,69913,38265,108176,2751,4082,6833,4667,7550,12217,77324,49903,127223,252687,268502,521190,58963,64711,123676,144039,152337,296374,151227,165536,316762
3008,8581,9798,18388,2980,1695,4682,1059,2265,3324,300,335,635,308,273,574,4641,4577,9217,3403,4728,8129,6.6,5.9,6.3,54.1,46.7,50.1,50.5,43.9,47,111,156,265,70,179,253,489,907,1399,477,927,1402,2516,1710,4228,162,211,379,133,221,354,2818,2142,4963,8192,9068,17262,1742,1972,3707,4898,5332,10231,4462,5183,9654
3009,22799,26027,48828,6121,4455,10576,2524,5107,7630,628,763,1385,953,767,1715,10225,11086,21313,11053,13283,24337,9.3,6.9,8.1,44.9,42.6,43.7,40.7,39.7,40.1,490,583,1077,260,518,779,1553,2950,4503,1651,2591,4246,6659,3925,10585,314,441,758,378,583,964,7351,4953,12302,20679,23029,43701,4611,5267,9876,12241,13254,25491,11966,13933,25898
3010,4029,4409,8440,1658,968,2625,463,1054,1519,156,153,302,124,95,218,2392,2271,4666,1337,1866,3199,5.1,4.2,4.7,59.4,51.5,55.3,56.3,49.4,52.7,65,94,155,37,74,113,259,499,756,250,403,648,1096,727,1824,70,111,178,63,73,141,1234,913,2141,3766,3969,7739,947,1019,1965,2287,2432,4725,2119,2278,4396
3011,33386,33997,67384,16875,9997,26878,3250,8802,12044,1266,1264,2530,970,818,1796,22363,20882,43243,7406,10506,17907,4.4,3.9,4.1,67,61.4,64.2,64.1,59,61.5,681,760,1444,320,726,1047,2437,4643,7082,1828,2980,4807,10961,5248,16208,393,607,997,406,645,1051,11759,6503,18261,30679,31374,62051,6850,7332,14182,19211,19245,38454,16030,17393,33420
3012,11643,11558,23197,3135,1974,5107,1162,2313,3470,307,354,664,589,411,1002,5193,5053,10240,5709,5782,11488,11.4,8.1,9.8,44.6,43.7,44.2,39.5,40.2,39.8,120,132,254,76,175,251,490,954,1440,658,1002,1654,3261,1996,5260,177,286,462,157,238,389,3601,2521,6119,10336,10815,21150,1772,1851,3621,6939,7205,14144,4630,4970,9605
3013,7156,6831,13992,3963,2757,6721,527,1247,1773,361,316,684,233,176,407,5084,4499,9589,1234,1690,2920,4.6,4,4.3,71.1,65.9,68.5,67.8,63.2,65.6,154,205,366,60,153,214,455,1000,1455,288,539,826,2283,972,3253,89,135,219,59,109,167,2432,1217,3645,6553,6267,12819,1719,1722,3433,3992,3645,7640,3572,3736,7310
3014,31206,31837,63041,13675,8923,22604,3500,7703,11204,1141,1334,2476,1173,939,2114,19494,18902,38394,8988,10884,19873,6,5,5.5,62.5,59.4,60.9,58.7,56.4,57.6,767,785,1546,330,671,1003,2329,4226,6552,1606,2651,4260,8475,4848,13331,500,695,1191,411,507,915,9385,6047,15438,29224,30371,59597,5992,6555,12547,19139,19459,38595,13861,15478,29335
3015,150441,166753,317195,57681,34684,92366,22664,44104,66772,7751,11238,18989,4394,3856,8250,92487,93887,186366,49122,63968,113087,4.7,4.1,4.4,61.5,56.3,58.8,58.6,54,56.2,5944,6822,12767,2447,5005,7457,18844,29217,48061,13883,21032,34911,42525,22820,65351,1549,2618,4167,2610,4095,6701,46685,29536,76227,140276,151350,291627,31906,35688,67589,81108,86590,167693,82774,92333,175099
3016,53907,60134,114043,24315,15759,40071,7167,15183,22349,1601,2098,3701,1862,1688,3548,34949,34722,69676,16025,22620,38644,5.3,4.9,5.1,64.8,57.7,61.1,61.4,54.9,58,2477,2507,4986,876,1803,2675,6103,10049,16148,4075,6149,10220,13941,8849,22789,783,1135,1920,743,1167,1912,15472,11147,26617,52375,57079,109453,11586,12720,24310,31218,33841,65057,29094,32357,61457
3017,71089,73250,144347,32942,22608,55547,8414,18422,26836,2479,2989,5461,2615,2103,4718,46449,46113,92559,18281,22486,40765,5.6,4.6,5.1,65.3,63,64.1,61.7,60.1,60.9,2317,2777,5094,785,2073,2850,6780,11855,18635,4909,6970,11881,19176,10756,29928,939,1315,2251,919,1230,2147,21029,13302,34326,64912,66917,131830,14664,16166,30828,39629,40613,80239,35320,38261,73576
3018,6005,6633,12634,2311,1373,3687,744,1540,2276,188,225,411,200,176,377,3438,3310,6747,2101,2854,4954,5.8,5.2,5.5,57.3,49.9,53.4,54,47.3,50.5,77,119,190,61,125,183,372,643,1015,317,538,853,1584,1075,2661,89,126,223,79,148,229,1755,1356,3116,5604,6083,11685,1200,1310,2511,3653,3942,7599,2794,3124,5919
3019,8086,8423,16510,3466,2204,5670,862,2150,3012,325,361,687,253,195,447,4904,4909,9813,2416,3039,5458,5.2,4,4.6,60.6,58.3,59.4,57.5,56,56.7,197,256,452,123,242,363,629,1218,1841,537,802,1339,2563,1258,3821,96,140,239,127,156,283,2791,1551,4346,7353,7655,15004,1739,1906,3642,4334,4501,8839,4287,4637,8928
4000,115330,111605,226935,46194,22644,68827,13685,30134,43810,4223,4474,8699,3154,2344,5494,67246,59593,126841,39341,44372,83709,4.7,3.9,4.3,58.3,53.4,55.9,55.6,51.3,53.5,1608,2237,3842,906,2362,3268,6912,12982,19894,6431,10879,17315,30346,16599,46941,1519,2135,3655,1909,2265,4171,33773,20997,54766,110385,107262,217646,15277,15580,30849,79962,76112,156077,39929,41191,81118
4001,550334,583562,1133898,236634,143107,379737,85999,159115,245110,15850,20152,35993,21514,17158,38674,359993,339527,699519,168093,222744,390836,6,5.1,5.5,65.4,58.2,61.7,61.5,55.2,58.3,34265,36581,70845,9901,18156,28059,85261,110723,195981,45090,57087,102175,118304,69465,187774,6280,8507,14787,8048,11714,19766,132630,89692,222323,549573,574689,1124258,86364,89685,176045,363386,380467,743850,240193,253660,493854
4002,11494,12595,24089,5145,2814,7960,1456,3565,5022,350,472,823,374,272,639,7323,7120,14445,3539,4770,8309,5.1,3.8,4.4,63.7,56.5,60,60.5,54.4,57.3,180,222,403,121,259,384,709,1375,2079,585,1030,1616,3244,2085,5324,144,277,425,155,249,401,3546,2610,6159,11382,12144,23525,1870,1982,3849,7582,7952,15537,4965,5509,10472
4003,7550,7628,15178,2480,1503,3990,878,1745,2624,215,243,459,295,228,521,3865,3723,7588,3222,3478,6703,7.6,6.1,6.9,51.2,48.8,50,47.4,45.8,46.6,89,86,179,43,124,173,302,594,892,341,560,903,1828,1315,3142,104,181,284,98,155,250,2030,1648,3679,6713,7191,13902,1175,1301,2477,4441,4726,9167,3052,3364,6419
4004,5703,5294,10995,1946,1322,3270,592,1174,1763,213,207,421,228,152,379,2977,2848,5830,2264,2048,4318,7.6,5.3,6.5,52.3,53.8,53,48.3,51,49.6,92,103,197,36,101,140,236,476,713,255,370,628,1458,713,2171,69,108,179,84,74,159,1605,899,2505,4954,5120,10074,768,833,1603,3544,3641,7182,1851,1993,3837
4005,6558,6723,13282,2430,1416,3847,943,1959,2898,342,276,617,209,120,329,3922,3769,7690,2151,2550,4704,5.3,3.2,4.3,59.8,56,57.9,56.6,54.2,55.4,84,124,209,48,126,173,400,786,1185,367,596,954,1790,1056,2840,88,165,254,108,140,248,1982,1356,3345,6235,6384,12620,1031,1140,2165,4278,4346,8626,2567,2801,5364
4006,5589,5939,11521,1980,1091,3072,606,1479,2082,163,173,335,278,181,459,3023,2919,5949,2226,2684,4909,9.2,6.2,7.7,54.1,49.2,51.6,49.2,46.2,47.6,68,60,134,28,82,112,210,474,686,221,373,591,1478,894,2375,88,133,214,52,74,129,1613,1102,2721,5527,5710,11245,740,864,1602,4008,4058,8067,1945,2163,4107
4007,11794,13328,25123,2577,1441,4017,1670,2830,4499,322,365,687,326,230,557,4891,4873,9761,6410,7927,14334,6.6,4.8,5.7,41.5,36.5,38.8,38.7,34.8,36.6,324,376,697,187,361,548,1105,1601,2697,1006,1521,2530,3184,1763,4948,128,242,369,256,359,621,3570,2370,5936,11019,12189,23207,1752,1939,3695,7023,7769,14793,5346,5972,11309
4008,8669,8691,17361,3524,1862,5383,892,1965,2854,298,305,604,428,305,729,5140,4432,9577,2944,3684,6630,8.3,6.9,7.7,59.3,51,55.2,54.4,47.5,50.9,124,155,277,46,120,172,461,814,1273,384,603,985,2733,1341,4068,157,237,391,93,153,240,2984,1725,4706,8512,8381,16891,1195,1256,2450,6225,6083,12300,2959,3092,6050
5000,123367,109415,232781,49904,25653,75559,11811,25550,37362,5808,4742,10545,3293,2553,5843,70805,58500,129304,34315,38452,72767,4.6,4.4,4.5,57.4,53.5,55.5,54.7,51.1,53,1705,2191,3897,877,2294,3171,7479,13293,20773,6428,9690,16123,30864,14246,45103,1641,2615,4259,1539,2199,3739,34043,19062,53107,103539,97383,200924,20237,19825,40065,71946,66410,138352,45127,44551,89684
5001,13971,14988,28964,5434,3149,8582,1964,4137,6101,549,518,1068,371,265,638,8317,8078,16392,4866,6156,11018,4.5,3.3,3.9,59.5,53.9,56.6,56.9,52.1,54.4,303,372,671,177,407,581,1101,2045,3154,1016,1655,2670,3857,2259,6117,282,399,676,195,376,567,4336,3025,7365,13279,14318,27599,2350,2564,4916,8776,9348,18127,6051,6799,12854
5002,5349,5887,11236,2581,2239,4817,559,1267,1831,246,282,529,168,130,299,3557,3921,7478,956,1120,2074,4.8,3.3,4,66.5,66.6,66.5,63.3,64.4,63.9,135,292,432,82,238,325,566,1120,1683,398,601,1000,1373,640,2010,74,140,211,81,98,181,1522,881,2406,4631,4831,9454,1248,1583,2828,2564,2608,5170,2879,3390,6273
5003,29714,31553,61269,13828,7297,21123,3287,8830,12109,1233,1172,2402,951,894,1845,19298,18189,37482,8521,11800,20320,4.9,4.9,4.9,64.9,57.6,61.2,61.7,54.8,58.2,631,674,1300,332,761,1092,2368,4151,6520,2024,2996,5019,9197,5598,14793,541,881,1416,392,805,1199,10131,7275,17410,29098,30737,59832,5317,5824,11146,19348,20223,39569,13027,14515,27540
5004,15832,17118,32951,6397,3459,9858,2344,5233,7580,773,703,1475,305,287,592,9824,9686,19509,4914,6515,11430,3.1,3,3,62,56.6,59.2,60.1,54.9,57.4,368,419,785,188,524,721,1587,2705,4297,1327,1955,3286,4659,2439,7091,237,371,602,240,452,689,5132,3256,8388,15222,16248,31468,3000,3255,6248,9797,10248,20048,7556,8366,15923
5005,4811,4895,9700,2167,1130,3298,493,1249,1736,249,218,469,94,64,159,2998,2661,5661,1265,1771,3039,3.2,2.5,2.9,62.4,54.4,58.4,60.4,53.1,56.7,59,67,121,33,110,144,278,563,842,254,425,678,1327,670,1997,67,130,191,46,89,136,1442,885,2327,4384,4489,8873,844,855,1704,3010,3020,6033,1927,2058,3986
5006,15104,15759,30859,6503,3893,10399,1786,4196,5981,629,576,1207,543,411,954,9457,9073,18533,4138,5360,9500,5.7,4.6,5.1,62.6,57.6,60.1,59,55,57,255,299,554,129,392,522,875,1848,2728,932,1499,2432,4389,2367,6751,294,489,783,186,317,507,4867,3170,8042,14274,14859,29133,2512,2776,5282,9557,9806,19365,6267,6875,13136
5007,11910,10682,22592,6876,4012,10889,939,2383,3324,520,431,950,304,231,533,8642,7058,15702,1975,2603,4577,3.5,3.2,3.4,72.5,66.1,69.5,70,63.9,67.1,318,306,625,89,222,304,852,1336,2185,549,850,1400,3676,1500,5176,191,282,472,138,208,345,3999,1994,5992,10562,9867,20428,2696,2459,5153,6465,5831,12292,5849,5599,11453
5008,6644,5868,12514,4062,2285,6348,519,1354,1870,353,293,649,121,130,254,5061,4060,9117,480,972,1451,2.4,3.2,2.8,76.1,69.2,72.9,74.3,67,70.9,158,208,368,77,178,257,512,974,1485,446,563,1010,2280,856,3135,107,166,278,65,109,177,2455,1137,3588,5567,4997,10569,1833,1800,3635,2416,2042,4454,4358,4189,8543
5009,830028,869829,1699854,398822,231086,629908,117800,242893,360690,28826,31117,59946,30422,28184,58604,575869,533278,1109145,206512,297434,503943,5.3,5.3,5.3,69.4,61.3,65.2,65.7,58.1,61.8,50922,50006,100929,14631,28230,42866,134199,174652,308855,73536,92634,166170,186903,100657,287560,10656,15160,25813,10574,19572,30150,208134,135394,343523,827888,859681,1687573,138713,147045,285758,534685,553678,1088362,375999,400215,776205
5010,6121,5397,11520,3479,2085,5563,431,965,1396,362,322,682,145,129,276,4422,3499,7916,633,1090,1721,3.3,3.7,3.5,72.2,64.8,68.8,69.8,62.4,66.4,106,122,229,53,108,163,333,760,1093,390,477,865,2038,743,2786,68,161,234,74,94,161,2187,999,3184,4938,4463,9399,1701,1660,3362,1967,1663,3630,4080,3934,8010
6000,69868,68980,138850,25507,12948,38451,8986,17932,26920,2698,2750,5449,2239,1827,4063,39426,35461,74889,25445,28954,54393,5.7,5.1,5.4,56.4,51.4,53.9,53.2,48.8,51,1888,2207,4093,689,1553,2234,5214,8589,13804,4461,6415,10878,19317,10054,29369,817,1634,2455,938,1488,2428,21077,13173,34250,66895,65539,132443,9444,9687,19131,46937,45065,91997,25908,26931,52837
6001,10814,12090,22902,4118,2403,6520,1299,3006,4308,365,406,768,451,325,770,6227,6138,12368,3975,5328,9302,7.2,5.3,6.2,57.6,50.8,54,53.5,48.1,50.6,254,297,546,117,240,353,782,1246,2030,594,1049,1646,2974,1876,4854,155,319,477,146,259,402,3282,2454,5732,10630,11516,22144,1769,2056,3825,7146,7755,14899,4547,5171,9718
6002,12566,13796,26364,4825,2745,7569,1644,3572,5211,465,443,902,490,387,880,7420,7147,14564,4480,5994,10469,6.6,5.5,6.1,59,51.8,55.2,55.1,49,51.9,314,342,654,116,233,352,866,1460,2326,734,1197,1930,3506,2252,5757,203,388,591,179,315,498,3884,2957,6841,12264,13197,25460,2052,2272,4327,8131,8658,16790,5470,6114,11582
6003,90840,97873,188711,36753,23364,60119,15539,27486,43028,2657,3646,6295,3915,3373,7285,58860,57861,116724,28087,35933,64020,6.6,5.8,6.2,64.8,59.1,61.9,60.5,55.7,58,8194,9362,17553,1970,3663,5630,15206,18909,34110,6729,8701,15432,18706,10973,29676,988,1616,2603,1118,1825,2939,20813,14413,35225,87331,93029,180360,16385,16967,33344,57361,61478,118841,41181,43641,84825
6004,36148,39212,75361,15007,8867,23871,5613,10976,16591,1024,1369,2393,1543,1182,2725,23195,22387,45580,11167,15098,26262,6.7,5.3,6,64.2,57.1,60.5,59.9,54.1,56.9,2050,2024,4071,542,977,1521,4381,6432,10809,2466,3394,5855,8512,5269,13789,473,849,1328,434,821,1254,9419,6946,16367,35189,37501,72691,6227,6680,12907,22845,24192,47035,16499,17903,34407
6005,6007,6733,12746,2144,1177,3317,767,1760,2533,214,249,464,185,155,337,3308,3340,6650,2345,3060,5407,5.5,4.5,5,55.1,49.6,52.2,52,47.3,49.6,131,161,292,73,137,211,450,804,1251,354,602,955,1726,1016,2742,68,146,211,83,170,255,1879,1329,3211,5955,6469,12424,737,909,1646,4200,4436,8629,2207,2640,4853
7000,31432,30196,61635,9555,7520,17071,2238,3591,5833,1161,1107,2271,1600,1357,2957,14556,13577,28134,12497,12984,25475,11,10,10.5,46.3,45,45.6,41.2,40.5,40.8,502,720,1220,202,596,798,1396,2592,3982,1287,1737,3018,5806,2733,8544,576,722,1296,445,501,948,6831,3959,10787,29341,28525,57859,5519,5833,11354,21668,21285,42954,10312,10484,20803
7001,9798,10716,20512,5326,4466,9793,1104,1937,3039,375,520,895,268,229,493,7072,7153,14220,1995,2803,4800,3.8,3.2,3.5,72.2,66.7,69.3,69.5,64.6,66.9,601,871,1475,169,444,618,1312,2182,3490,798,921,1713,2234,1218,3449,94,149,241,131,181,310,2458,1544,4001,9090,9427,18516,2460,2774,5234,5174,5349,10523,5518,6097,11616
7002,51065,50497,101561,26377,20288,46662,6321,10669,16985,2071,2415,4486,1529,1375,2907,36295,34744,71039,10079,11691,21771,4.2,4,4.1,71.1,68.8,69.9,68.1,66.1,67.1,3494,4075,7570,889,1993,2886,6994,10396,17389,4237,4796,9035,11627,5954,17584,646,875,1522,676,798,1465,12945,7629,20573,44292,44510,88801,12329,12598,24926,24191,23831,48023,28694,29806,58503
8000,724,669,1398,283,191,468,93,173,260,29,26,58,41,21,62,437,414,852,159,195,355,8.6,5.6,7.2,60.4,61.6,61,55.2,58.2,56.7,35,52,89,12,34,50,92,147,238,52,84,135,160,57,218,8,10,15,3,10,13,169,76,247,507,480,983,212,239,446,345,319,662,341,371,709
8001,196237,204753,400982,101097,76303,177398,28860,47696,76559,6150,8590,14744,5805,4835,10640,141908,137429,279340,45619,59237,104856,4.1,3.5,3.8,72.3,67.1,69.7,69.4,64.8,67,28853,26462,55316,6772,10878,17646,42500,51948,94447,16566,20727,37288,28389,16397,44782,1627,2246,3877,2202,3968,6175,32226,22611,54835,186365,192703,379063,43079,43479,86561,112779,117905,230682,104382,106689,211068
9000,2073,1891,3965,816,536,1350,245,473,723,87,92,178,27,30,56,1171,1133,2307,598,482,1084,2.2,2.6,2.4,56.4,60,58.1,55.2,58.5,56.7,37,71,101,17,52,72,134,218,351,117,180,299,503,184,687,35,53,84,17,43,63,560,279,832,1595,1593,3182,326,329,660,1132,1132,2267,671,701,1371
