SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1018,11319,12543,23865,4115,2807,6921,1841,3183,5023,328,450,773,442,337,771,6721,6766,13489,3855,4962,8810,6.5,4.9,5.7,59.4,54,56.5,55.5,51.3,53.3,405,465,871,159,389,543,1222,1954,3176,729,1263,2001,2780,1884,4664,150,237,386,178,361,539,3113,2483,5592,10765,11652,22415,2006,2137,4141,6840,7449,14294,5292,5741,11028
1019,5185,5213,10392,1681,951,2632,514,1076,1590,186,240,424,199,119,321,2578,2386,4964,2226,2507,4737,7.7,5,6.4,49.8,45.7,47.8,46,43.4,44.7,89,102,185,42,110,155,292,494,778,288,458,745,1460,751,2212,64,113,178,77,131,206,1595,993,2593,4729,4937,9668,695,732,1428,3323,3472,6792,1833,1939,3768
1020,5951,5920,11876,2622,1351,3972,686,1654,2338,272,305,579,185,137,324,3766,3450,7211,1886,2227,4115,4.9,4,4.5,63.2,58.2,60.7,60.2,55.9,58,113,140,254,49,130,179,387,693,1078,513,670,1181,2091,1148,3240,62,135,199,70,165,237,2228,1448,3674,6079,5974,12052,1042,1078,2117,3833,3765,7599,2893,2917,5813
1021,11126,11958,23078,3910,2266,6172,1471,2650,4120,547,658,1208,369,284,653,6294,5857,12149,4338,5563,9896,5.8,4.8,5.4,56.6,49,52.6,53.3,46.6,49.8,415,396,811,122,264,389,904,1516,2422,833,1339,2172,3581,1893,5471,126,246,370,216,395,611,3922,2534,6456,10774,11364,22139,2031,2178,4205,6721,6966,13690,5394,5871,11260
1022,4777,5114,9889,2410,1212,3626,488,1407,1897,186,244,426,105,110,213,3192,2977,6167,1299,1857,3155,3.4,3.6,3.5,66.9,58.2,62.4,64.6,56.1,60.2,97,168,263,45,107,154,417,722,1139,287,516,799,1575,851,2431,57,93,156,73,140,221,1711,1087,2800,4653,4848,9500,1020,1099,2120,2635,2737,5376,2654,2854,5509
1023,4897,4681,9573,2193,1162,3351,464,1107,1568,181,193,371,191,148,341,3022,2613,5638,1538,1780,3318,6.2,5.8,6,61.8,55.8,58.9,58,52.6,55.3,60,70,128,28,74,99,204,395,603,244,369,607,1546,885,2427,63,98,163,64,112,172,1666,1095,2759,4555,4528,9083,990,981,1971,2800,2749,5547,2387,2440,4823
1024,11779,12823,24604,3482,1927,5406,1592,2915,4509,492,583,1072,299,239,537,5875,5660,11528,5262,6425,11683,5.1,4.2,4.7,49.8,44.1,46.9,47.3,42.3,44.7,405,399,800,162,307,469,1186,1572,2753,1125,1540,2664,3571,1767,5339,112,228,340,231,464,698,3920,2458,6375,10912,11714,22628,1923,2089,4015,6826,7290,14119,5565,6069,11632
1025,201522,213849,415368,85380,52178,137566,28062,57190,85253,7537,10163,17696,7060,5181,12238,128038,124712,252751,63813,79266,143082,5.5,4.2,4.8,63.5,58.3,60.8,60,55.9,57.9,8412,9543,17952,2654,5546,8197,23951,34851,58804,15226,22193,37420,56765,31705,88466,2107,3800,5910,3183,5574,8760,62057,41079,103136,197616,206062,403675,35785,38511,74297,128578,133077,261652,92126,99286,191410
1026,15583,15753,31332,5522,3251,8769,1985,3783,5761,489,605,1093,491,373,870,8482,8011,16496,6096,6732,12825,5.8,4.7,5.3,54.4,50.9,52.6,51.3,48.5,49.9,396,463,859,151,414,570,1159,1818,2978,1140,1625,2758,4285,2625,6914,189,338,524,217,475,690,4696,3433,8134,14285,14910,29198,2671,2853,5522,9194,9554,18742,6763,7282,14054
1027,15589,17251,32841,7393,5049,12446,1907,4149,6055,466,652,1113,394,334,728,10167,10183,20351,4463,6085,10550,3.9,3.3,3.6,65.2,59,62,62.7,57.1,59.7,685,764,1453,217,475,695,1845,2948,4791,1113,1817,2929,3964,2535,6498,173,313,481,223,493,711,4353,3333,7688,15722,16810,32538,3087,3276,6360,9360,10056,19417,8189,8915,17105
1028,19600,22531,42132,6705,4833,11532,2999,5439,8439,568,773,1339,592,476,1071,10859,11515,22378,7708,9864,17572,5.5,4.1,4.8,55.4,51.1,53.1,52.4,49,50.6,795,851,1645,317,565,883,2282,3399,5673,1634,2560,4192,5227,3216,8448,209,444,649,390,709,1096,5825,4368,10191,18527,20687,39217,3768,4214,7982,11199,12400,23600,10048,11580,21633
1029,6976,6477,13458,3696,1616,5316,707,1729,2435,264,325,584,197,162,365,4862,3839,8699,1609,2340,3953,4.1,4.3,4.2,69.7,59.3,64.7,66.8,56.7,62,126,128,251,44,107,145,444,664,1110,404,572,976,2326,1323,3650,102,144,241,76,197,279,2501,1660,4163,6498,6470,12968,1599,1266,2865,4004,3916,7921,3636,3385,7021
