SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1000,86,234,25,15187,2007,311,128,1657,236,635,112,382,127,676,4169,10444,132,17,83,129,34,48,10,19,33,132,378,1005,25019,5227,1347,30381,4656,12076,1805,4905,1444,8076,4870,99792
1001,5,8,3,1399,104,21,6,116,17,50,8,18,5,39,375,757,6,5,7,6,3,0,0,0,4,13,27,69,2565,451,92,3421,517,1313,132,454,95,598,422,10055
1002,0,6,0,350,39,3,0,20,0,9,0,5,0,8,62,147,0,0,0,3,0,0,0,0,0,0,4,13,576,114,22,545,67,269,39,125,27,176,74,2038
1003,10,14,5,790,44,23,5,58,16,27,8,17,0,38,140,367,3,0,9,6,0,0,0,0,0,4,15,44,992,361,51,1472,211,490,93,288,59,353,173,4555
1004,3,6,0,118,8,3,3,15,7,4,3,10,0,15,55,121,0,0,0,6,0,0,0,0,0,0,3,9,262,89,20,350,56,142,28,95,26,172,66,1297
1005,3,8,0,650,42,4,0,61,10,14,3,7,0,13,165,327,0,0,4,4,0,0,3,0,0,0,8,21,1136,129,32,1167,173,458,53,161,35,226,176,3751
1006,10,25,0,1107,45,17,3,48,8,35,6,17,7,23,155,365,3,0,0,3,0,0,0,0,0,0,12,22,1062,278,39,1431,216,631,78,218,74,293,175,4494
1007,0,0,0,209,22,4,3,19,4,3,0,0,0,6,96,157,0,0,0,0,0,0,0,0,0,3,0,13,368,44,18,340,80,206,22,56,22,163,106,1417
1008,0,4,0,198,3,0,0,11,0,7,0,6,0,3,35,76,0,0,0,0,0,0,0,0,0,0,0,9,137,120,11,251,30,86,18,84,15,66,40,849
1009,5,8,0,180,18,7,0,18,4,4,0,8,0,17,54,132,0,0,0,0,0,0,0,0,0,3,0,4,347,77,16,478,60,160,21,90,15,192,61,1515
1010,50,110,9,7254,362,94,41,372,100,191,61,89,44,239,1026,2620,25,7,31,26,14,8,12,8,14,21,106,264,7264,2297,694,10432,2766,5343,1304,2173,814,3149,1195,37431
1011,0,11,0,981,98,25,7,80,8,27,10,29,12,43,236,574,4,0,0,8,0,0,0,0,0,11,23,50,1733,518,68,2186,266,803,111,428,100,679,287,7180
1012,4,8,0,635,84,0,7,43,9,15,3,8,0,15,236,419,4,0,0,4,0,0,0,0,0,0,7,22,1292,165,54,1283,217,493,49,128,39,206,258,4171
1013,0,10,0,150,17,3,4,20,3,9,0,9,0,12,48,127,0,0,0,0,0,0,0,0,0,0,7,13,272,102,20,442,49,130,31,114,16,175,49,1394
1014,0,3,0,332,24,7,0,28,3,5,0,0,0,13,95,184,3,0,0,3,0,0,0,0,0,0,4,14,631,79,22,718,116,325,51,98,35,166,105,2350
