SUA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5005,..,26,33,12,14,14,8,3,0,110,..,25,42,28,66,116,145,173,79,675,13,26,29,7,15,27,22,9,3,159,975,528,612,636,683,701,562,374,124,5194,..,16,376,628,722,795,661,351,67,3614,..,150,338,250,206,159,52,16,0,1176,..,20,62,130,111,64,31,29,22,453,1982,..,..,..,..,..,..,..,..,1982,..,349,..,..,..,..,..,..,..,349,..,298,103,37,49,23,0,0,0,507,..,57,21,13,20,32,37,19,7,204,..,31,24,7,9,6,0,0,0,84,..,63,73,27,29,34,19,9,0,245,..,71,114,95,166,232,245,270,113,1302,25,58,50,25,34,43,47,20,3,310,2012,1113,1151,1210,1341,1385,1103,709,212,10235
5006,..,100,73,37,40,63,33,16,0,357,..,109,185,114,248,391,443,336,188,2014,75,89,46,40,54,75,70,28,9,484,3421,1996,2091,2193,2438,2252,1772,951,313,17416,..,69,1243,2105,2500,2398,2008,974,211,11507,..,506,1121,668,591,492,182,54,15,3623,..,66,290,482,461,259,126,88,38,1810,6854,..,..,..,..,..,..,..,..,6854,..,1243,..,..,..,..,..,..,..,1243,..,1181,389,191,128,58,15,0,0,1954,..,254,100,64,80,97,110,76,30,806,..,105,84,41,25,19,12,8,0,298,..,190,192,84,81,117,74,27,3,761,..,216,406,342,574,823,765,516,262,3897,144,163,102,87,117,122,127,50,11,917,6997,3986,3932,4064,4543,4378,3410,1796,573,33676
5007,..,73,82,31,27,32,16,0,0,262,..,104,168,95,186,214,172,96,42,1083,57,50,43,24,37,47,28,13,4,304,2849,1479,2032,1856,1647,1342,678,268,78,12225,..,52,1207,2036,1794,1611,762,246,30,7742,..,567,1311,708,541,308,80,20,0,3539,..,55,210,292,244,133,61,39,15,1051,5773,..,..,..,..,..,..,..,..,5773,..,758,..,..,..,..,..,..,..,758,..,907,274,91,72,28,4,0,0,1379,..,170,102,66,63,84,76,39,17,618,..,94,76,38,30,16,6,4,0,262,..,199,267,108,93,77,31,6,4,790,..,207,451,361,488,564,412,186,46,2717,105,101,112,67,72,93,59,23,8,647,5875,3116,4012,3767,3396,2923,1499,559,122,25268
5008,..,30,57,15,18,21,4,0,0,149,..,48,133,63,70,59,34,16,4,419,39,25,45,23,40,12,13,0,0,197,1869,687,1342,1311,916,440,138,33,3,6737,..,15,895,1654,1126,593,140,22,0,4446,..,259,866,543,300,124,35,0,0,2125,..,13,73,122,112,37,9,0,0,373,3782,..,..,..,..,..,..,..,..,3782,..,476,..,..,..,..,..,..,..,476,..,365,80,28,8,0,0,0,0,473,..,70,40,16,19,38,18,11,0,221,..,49,61,23,10,14,0,0,0,147,..,70,148,66,64,37,24,3,0,409,..,105,304,211,206,178,79,21,0,1103,74,58,78,42,57,37,20,4,0,376,3854,1478,2544,2706,1908,1052,319,65,8,13928
5009,..,7368,9217,2481,2103,2360,1629,611,127,25893,..,3916,11808,9339,10615,18385,23279,18797,9903,106034,2141,3211,2642,1472,1370,1694,1532,812,382,15251,186489,116737,143772,146534,130764,114726,91700,49377,17799,997899,..,3431,90724,172122,156455,135519,109309,53227,11032,731825,..,17470,68234,38363,25837,16903,7684,2190,333,177017,..,1785,10823,21039,24910,14412,6336,3754,2482,85539,379152,..,..,..,..,..,..,..,..,379152,..,104391,..,..,..,..,..,..,..,104391,..,63290,34610,10270,6347,3335,706,20,0,118581,..,11625,9035,3259,3300,5758,6155,3712,2163,45002,..,6001,7589,2737,1697,1151,557,183,41,19962,..,15440,23170,7088,5341,5221,3561,1310,279,61402,..,7612,25943,23508,24775,34067,37128,26818,13396,193244,4332,5871,5494,3557,2922,2941,2544,1321,531,29507,383481,236915,275619,281934,251578,219311,173981,92543,30251,1945615
5010,..,18,36,20,24,4,7,0,0,116,..,54,106,61,71,87,38,5,0,431,46,33,44,19,17,24,13,0,0,201,1668,642,1277,1090,691,520,174,29,7,6099,..,23,741,1182,731,575,144,18,0,3423,..,224,863,507,287,155,35,5,0,2083,..,28,113,152,105,60,28,6,5,495,3271,..,..,..,..,..,..,..,..,3271,..,299,..,..,..,..,..,..,..,299,..,362,117,43,12,3,0,0,0,539,..,130,65,37,35,60,35,13,6,372,..,36,43,15,23,12,3,0,0,131,..,42,101,56,59,46,22,0,0,325,..,106,286,230,237,265,85,22,7,1242,82,60,91,50,44,56,17,0,0,406,3354,1302,2426,2280,1530,1235,361,78,16,12580
6000,..,148,201,92,185,311,253,87,19,1296,..,165,432,388,938,1960,2418,1800,714,8823,240,392,233,182,205,359,292,105,24,2033,11975,6781,7689,8351,10166,12641,10537,4965,1256,74361,..,264,4537,8113,10528,14430,13412,5842,834,57956,..,1438,4511,3512,3361,3072,1558,355,27,17835,..,196,1006,1518,1683,990,491,386,177,6447,24217,..,..,..,..,..,..,..,..,24217,..,5101,..,..,..,..,..,..,..,5101,..,4905,2163,804,657,319,56,0,0,8892,..,478,232,151,238,464,420,277,146,2401,..,452,372,152,140,107,76,20,10,1331,..,330,578,244,417,613,536,200,43,2959,..,362,1127,1183,2342,4397,4850,2950,1071,18282,467,816,594,453,478,716,570,216,38,4352,24687,14345,15115,16125,19841,25094,21968,10248,2348,149779
6001,..,55,52,28,29,52,35,10,4,250,..,89,158,119,235,446,505,431,234,2210,48,67,40,22,40,47,35,23,15,329,2311,1496,1589,1577,1670,1873,1643,1016,360,13534,..,72,892,1434,1519,1874,1778,1071,180,8816,..,358,840,511,445,335,153,39,3,2674,..,80,275,414,351,192,93,67,43,1513,4585,..,..,..,..,..,..,..,..,4585,..,973,..,..,..,..,..,..,..,973,..,841,334,122,120,61,14,0,0,1491,..,140,65,28,50,79,45,39,15,463,..,87,77,24,18,10,10,0,3,229,..,103,142,43,65,115,76,26,8,576,..,164,343,284,506,805,826,628,315,3874,84,117,91,55,76,69,66,34,15,605,4670,2935,3045,2916,3144,3533,3069,1904,581,25801
6002,..,64,92,34,39,52,48,16,0,340,..,64,164,98,244,462,598,480,247,2346,67,62,60,30,27,42,50,25,4,367,2543,1604,1997,1707,1967,2028,1981,1175,385,15384,..,80,1102,1546,1832,2058,2173,1222,241,10255,..,387,1059,528,520,330,178,52,3,3069,..,63,325,483,483,202,99,91,50,1790,5022,..,..,..,..,..,..,..,..,5022,..,1127,..,..,..,..,..,..,..,1127,..,1026,383,140,143,72,16,0,0,1775,..,125,86,37,54,128,78,60,16,583,..,103,170,38,21,22,14,4,0,376,..,122,276,76,86,106,92,38,6,796,..,121,338,291,530,812,947,680,332,4052,127,114,134,67,71,68,90,47,10,728,5152,3272,3871,3211,3737,3802,3683,2196,655,29582
6003,..,1065,2008,356,262,332,238,94,29,4379,..,344,1129,1048,1391,2677,3447,2892,1450,14377,258,457,364,182,171,235,214,94,48,2023,17677,11785,17551,14238,13355,13228,11665,6749,2371,108627,..,440,10086,14246,13580,13720,12785,6539,1336,72724,..,2015,8305,4799,3573,2537,1257,387,48,22926,..,300,1528,2763,3027,1732,774,504,301,10926,35864,..,..,..,..,..,..,..,..,35864,..,9224,..,..,..,..,..,..,..,9224,..,6269,3333,1179,817,423,78,0,0,12104,..,1058,942,286,347,628,648,387,209,4501,..,1136,2821,543,172,123,79,29,15,4922,..,2148,4776,917,580,659,466,185,49,9784,..,630,2420,2293,2939,4742,5280,3966,1964,24231,497,806,844,431,368,409,384,163,71,3976,36360,24037,35048,27447,25403,24981,21754,12167,3987,211184
