SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1000,2567,3841,6402,93698,102962,196665,18,10,31,5099,5430,10524,515,514,1033,104250,110878,215126,186,242,429,1833,1736,3564,1679,2133,3808,418,520,932,1894,2193,4087,127,114,243,1350,1320,2670,2872,3545,6419,14754,15386,30144,943,1162,2110,1589,1891,3478,16588,19552,36141,9191,10410,19599,400,442,845,257412,280433,537842,1755,1563,3320,1634,1379,3012,495,497,990,207,207,412,715,610,1332,1195,1886,3085,2118,2710,4826,188204,168606,356815,1363,1082,2443,761,1203,1964,190330,170889,361221,56220,48552,104776,512521,509868,1022386
1001,329,464,798,5191,6657,11851,0,0,0,560,637,1200,74,74,149,9740,11168,20910,21,35,59,231,227,459,200,281,482,50,51,97,621,845,1465,17,14,29,124,151,278,471,581,1046,953,1182,2141,62,92,157,135,157,294,1230,1809,3033,1008,1164,2168,17,24,45,20711,25146,45861,931,835,1768,285,209,495,28,28,57,7,8,16,468,396,862,123,172,299,606,571,1174,20803,19770,40578,125,89,216,71,81,151,20996,19947,40944,3496,3204,6704,47384,50407,97793
1002,116,168,291,1752,2111,3858,0,0,0,97,122,221,89,77,162,1817,2186,4004,7,7,18,36,30,62,28,42,68,17,17,33,16,22,43,0,4,6,35,34,68,62,94,160,291,411,698,25,49,72,62,68,127,217,320,538,208,271,477,13,11,24,4773,5869,10647,218,219,440,193,169,365,15,9,26,8,8,17,45,52,93,294,346,637,346,400,751,4357,4310,8662,59,44,103,15,34,48,4426,4385,8811,1262,1391,2651,11358,12607,23967
1003,183,308,491,3105,3816,6921,0,0,0,223,293,514,0,0,6,4246,4864,9107,5,4,16,56,62,118,120,145,266,25,30,55,53,64,117,7,0,8,49,62,107,197,282,479,673,812,1487,27,44,73,94,128,222,628,842,1467,446,535,979,24,32,52,9981,12007,21987,80,78,156,34,34,66,33,31,64,10,13,25,51,47,96,51,89,144,110,149,265,10032,9534,19564,68,52,124,47,100,152,10143,9688,19835,1645,1677,3321,22225,23969,46190
1004,55,90,146,1425,1762,3191,0,0,0,69,86,156,0,0,0,1683,1902,3586,0,0,5,60,50,113,62,81,143,5,3,9,26,39,66,8,7,15,18,21,34,72,86,155,201,202,399,17,21,40,14,12,29,182,287,467,153,172,332,0,3,4,3997,4745,8741,44,30,70,18,19,31,4,3,12,3,0,10,16,18,30,16,32,51,31,54,86,3510,3293,6806,29,28,59,20,33,49,3560,3350,6911,791,736,1531,8492,9027,17524
1005,117,150,269,2586,3091,5681,0,0,0,184,212,397,89,85,172,5025,5723,10747,14,12,27,64,61,131,48,50,99,15,14,28,25,39,63,8,8,13,55,53,113,113,116,227,584,635,1219,31,37,77,36,46,83,483,617,1108,263,295,561,3,8,13,9625,11113,20745,213,211,426,155,119,277,3,4,11,6,15,20,83,72,154,55,63,123,146,157,300,6361,5838,12201,66,44,108,7,29,35,6436,5905,12348,1900,1126,3024,18603,18791,37396
1006,167,247,408,3682,4594,8271,0,0,3,203,205,409,93,85,178,4057,4672,8730,17,24,39,182,175,364,90,104,193,19,26,41,44,47,94,9,8,15,55,49,103,109,172,286,405,571,978,28,24,53,22,26,50,520,717,1237,463,554,1019,24,31,54,10024,12096,22116,364,311,671,120,81,201,65,66,129,0,0,0,60,63,121,46,103,147,103,163,268,7615,7353,14974,64,61,126,22,56,81,7705,7473,15178,1292,1330,2621,19838,21763,41600
1007,36,40,79,722,820,1543,0,0,0,69,81,155,0,0,0,1426,1733,3161,17,22,40,21,28,52,9,14,27,13,11,27,50,61,110,6,5,17,45,54,98,41,59,98,66,66,135,48,72,124,13,22,33,435,632,1067,100,122,224,0,0,0,3085,3814,6903,34,32,67,27,28,55,0,0,3,0,0,0,0,0,6,23,37,58,19,36,57,4436,4147,8585,29,21,51,14,19,26,4479,4184,8663,883,887,1770,8565,9020,17588
1008,99,134,235,363,384,745,0,0,0,16,18,29,0,0,0,597,742,1338,0,3,3,21,30,52,14,11,23,4,0,7,3,12,13,0,3,5,7,11,24,16,26,46,63,74,134,0,0,0,0,3,3,78,94,173,46,58,103,0,8,11,1232,1482,2717,28,20,50,13,9,17,54,53,108,0,4,9,0,0,0,10,34,44,15,39,55,3165,3232,6392,17,16,31,31,58,92,3207,3302,6511,620,604,1228,5267,5648,10914
1009,42,67,115,2042,2373,4417,0,0,0,100,145,245,0,0,3,1642,1921,3569,6,5,14,18,21,34,30,41,70,8,12,20,20,30,49,0,0,0,55,70,122,45,41,84,255,241,492,16,28,45,19,24,45,296,424,724,150,196,342,6,11,13,4704,5581,10282,16,12,30,11,5,17,4,6,15,0,0,4,0,0,3,18,36,50,22,36,55,3573,3238,6810,26,35,58,11,28,40,3605,3295,6906,571,501,1076,8977,9512,18484
