SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
1024,92,85,49,32,46,12,3,315,74,81,59,41,51,18,11,332,81,75,51,38,41,8,5,299,563,687,447,331,392,113,56,2587,0,0,0,4,0,0,0,8,808,928,610,442,528,153,74,3543,3,11,17,14,12,4,0,63,10,29,29,16,15,0,4,100,4,15,15,11,16,3,0,63,117,225,159,139,154,30,13,843,3,8,3,0,4,0,0,19,144,288,213,186,201,37,20,1092,954,1213,825,627,727,187,94,4635
1025,2146,2217,1225,670,868,426,205,7751,1525,1592,900,626,730,262,99,5732,1621,1645,884,555,600,246,106,5668,17928,17699,10358,6784,7927,2842,1331,64870,66,83,47,26,16,0,0,243,23288,23241,13416,8660,10140,3779,1743,84263,128,193,170,123,199,84,54,950,327,486,315,233,303,101,59,1823,139,263,217,159,195,66,25,1062,3937,5725,3770,2741,2989,830,385,20374,109,124,71,63,31,5,3,405,4635,6787,4540,3322,3717,1082,530,24616,27925,30033,17959,11983,13858,4860,2272,108878
1026,161,162,73,46,67,21,8,534,61,75,57,37,40,8,3,284,107,121,60,41,39,6,6,382,1306,1262,717,498,581,114,37,4523,11,9,5,4,0,0,0,32,1645,1633,917,630,733,152,49,5747,4,16,9,12,11,11,0,61,24,32,30,17,34,9,4,144,9,15,20,15,15,5,0,73,439,543,339,237,230,63,9,1862,14,19,3,4,0,0,0,42,488,621,402,281,290,82,18,2181,2132,2256,1318,913,1020,235,67,7931
1027,270,221,99,77,75,18,13,774,108,107,67,51,51,7,7,391,121,112,58,43,38,9,6,382,1755,1732,1013,658,689,146,36,6034,5,11,3,3,0,0,0,26,2259,2188,1238,830,858,183,53,7609,6,17,10,3,7,0,0,53,33,42,39,24,25,4,0,165,14,10,21,12,12,5,3,76,407,560,368,252,280,38,9,1922,10,19,12,10,3,0,0,61,481,653,453,298,329,48,15,2277,2738,2836,1688,1128,1194,235,63,9883
1028,172,205,104,78,109,15,8,692,159,177,134,71,106,24,9,681,159,173,121,73,87,15,8,634,1216,1434,905,626,796,175,67,5228,10,5,6,8,3,0,0,29,1713,1997,1271,853,1098,238,94,7267,15,15,9,17,26,4,6,90,32,49,28,30,35,4,6,187,15,25,19,20,23,8,4,114,353,443,372,283,318,53,20,1839,19,17,10,10,0,0,0,62,436,562,442,354,402,66,26,2287,2149,2565,1711,1209,1498,298,124,9551
1029,48,66,29,38,43,8,0,240,36,43,29,20,9,4,0,146,52,58,41,19,26,7,0,192,733,739,409,285,295,69,22,2559,0,0,0,4,4,0,0,5,873,899,511,360,372,93,29,3145,3,0,4,3,9,4,0,22,10,13,3,3,8,0,0,29,4,13,13,3,4,0,0,41,152,249,150,90,84,21,6,753,4,3,4,5,0,0,0,18,177,277,173,104,100,24,6,861,1054,1181,686,460,476,117,32,4004
1030,27,34,20,13,27,0,0,123,37,45,43,28,18,9,0,184,50,44,26,12,26,4,0,160,574,518,374,220,248,38,13,1980,5,4,0,0,0,0,0,11,687,643,457,270,315,56,19,2453,4,5,9,0,3,0,0,22,9,17,10,5,8,0,0,54,4,16,4,3,11,0,0,43,144,209,157,120,118,26,0,777,12,9,8,4,5,0,0,34,178,257,187,132,143,26,8,922,867,900,644,406,454,86,26,3377
1031,109137,117251,63233,38351,48667,33491,20396,430531,25040,24293,14784,9721,12520,6297,2944,95609,24995,23334,13189,8031,9815,5005,2375,86738,86114,80561,49150,32840,41917,20919,9574,321069,1181,1236,554,335,202,98,61,3667,246474,246675,140911,89279,113121,65816,35341,937612,7111,12731,9622,7317,10838,7632,5179,60428,3873,5765,3853,2981,3703,1754,968,22899,2248,3636,2687,1987,2560,1284,707,15116,13152,17396,11900,8619,10859,4517,2241,68677,1121,1256,665,459,395,156,63,4106,27506,40779,28732,21366,28359,15341,9157,171232,273976,287455,169642,110644,141481,81152,44500,1108841
1032,258,223,104,58,83,11,6,744,56,70,44,23,23,7,0,223,83,85,30,21,41,4,0,271,1480,1545,909,643,671,113,42,5401,7,15,3,12,3,0,0,30,1882,1929,1091,752,827,141,47,6670,8,8,7,0,12,0,0,44,29,43,30,7,11,0,0,123,9,17,7,11,15,6,0,58,627,790,468,322,366,42,7,2618,21,23,12,10,9,4,0,71,700,878,528,348,405,49,7,2912,2580,2810,1617,1100,1230,192,54,9588
1033,60,65,32,20,21,6,0,208,19,31,20,19,15,0,0,106,30,27,14,22,14,0,0,119,738,760,473,326,334,66,10,2709,8,15,6,3,3,0,0,38,855,898,542,398,398,73,10,3181,10,6,8,4,0,0,0,30,20,22,15,7,8,3,0,80,4,12,18,4,10,0,3,52,363,483,305,224,205,32,4,1616,15,21,15,9,4,0,0,67,412,544,365,249,232,47,7,1848,1268,1446,905,647,625,122,21,5022
