SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2007,71,65,34,15,18,3,4,211,35,39,27,7,23,10,0,136,30,49,20,14,20,8,0,143,779,765,495,329,447,124,30,2967,0,0,4,0,0,0,0,14,923,915,583,365,503,145,32,3471,0,7,13,3,7,0,0,28,12,16,7,7,6,0,0,53,9,5,6,9,9,0,0,42,156,233,164,106,139,17,7,828,9,4,3,0,6,0,0,14,187,259,192,133,160,17,7,962,1105,1182,775,497,667,163,46,4433
2008,1916,1790,895,625,725,425,188,6559,1088,1110,626,381,498,232,102,4041,1184,1140,611,321,397,179,81,3913,10074,9880,5525,3621,4437,1775,768,36090,49,45,34,20,16,5,0,159,14306,13961,7691,4968,6077,2620,1145,50775,130,220,161,129,186,108,68,1000,167,307,227,167,190,85,30,1174,71,148,136,91,121,42,36,648,1383,2328,1566,1197,1560,510,223,8772,73,83,46,29,17,10,0,262,1829,3084,2138,1610,2081,765,357,11858,16135,17047,9827,6581,8155,3381,1505,62630
2009,57,73,38,27,33,18,3,244,99,118,80,59,73,32,7,480,97,131,52,52,55,21,21,431,894,1169,699,436,584,261,87,4126,3,0,0,0,0,0,0,11,1155,1491,878,567,749,339,112,5287,3,4,6,10,5,8,0,39,8,19,12,8,13,8,7,80,6,5,13,8,19,8,0,56,63,116,90,83,111,37,15,517,5,3,0,0,0,0,0,7,88,152,116,116,145,60,24,704,1242,1646,992,680,894,396,142,5990
2010,83,70,38,26,25,9,4,253,22,25,10,3,6,0,0,78,29,34,19,12,9,0,0,100,635,649,379,262,304,62,19,2307,4,0,0,0,0,0,0,9,770,776,446,308,345,83,19,2744,5,4,0,0,0,0,0,9,6,4,6,9,9,0,0,33,0,4,0,3,4,0,0,11,184,211,139,104,99,30,3,772,3,3,7,0,0,0,0,11,195,226,156,111,109,27,5,837,966,1001,596,413,459,114,29,3580
2011,103806,108618,55118,32794,41581,27689,16598,386193,21350,20314,11837,7785,10268,5491,2882,79932,22740,21023,10998,6820,8384,4715,2427,77113,96934,93812,56884,38377,50697,26865,13075,376650,1048,1096,538,320,209,79,50,3339,245876,244861,135372,86094,111144,64847,35030,923226,7247,12587,8849,6852,9811,7065,4599,57011,3336,4704,3367,2512,3474,1720,996,20110,1827,3351,2312,1763,2493,1297,715,13758,12018,19123,13659,10352,14058,6555,3359,79128,1031,1205,640,448,337,149,77,3892,25467,40962,28829,21922,30174,16799,9754,173897,271340,285823,164202,108015,141318,81641,44781,1097123
2012,339,326,171,105,142,38,19,1137,113,100,59,33,36,16,0,350,119,89,38,35,35,5,0,323,1743,1784,1081,725,826,212,58,6438,18,9,7,5,3,0,0,51,2335,2311,1361,904,1044,265,79,8300,41,41,39,17,29,15,6,185,37,48,18,18,20,9,3,152,11,27,17,14,15,9,0,89,451,657,420,305,363,77,22,2296,20,22,15,19,3,0,0,81,557,787,515,373,434,105,31,2803,2897,3107,1873,1272,1482,374,105,11102
2013,21,31,11,5,16,5,0,92,30,33,22,20,29,3,0,134,39,33,22,21,24,9,3,154,682,673,426,291,321,83,26,2506,3,4,4,0,3,0,0,13,777,770,484,344,394,111,33,2900,9,12,16,3,8,6,0,48,14,13,16,8,14,0,0,67,4,9,5,0,8,3,0,32,239,315,187,113,131,32,10,1024,12,14,6,3,4,0,0,45,275,365,229,134,163,43,8,1218,1047,1132,713,473,555,155,43,4122
2014,14,15,16,8,7,3,0,69,8,9,17,8,8,3,0,55,14,16,17,12,3,6,0,69,337,355,180,158,175,25,6,1247,0,0,0,0,0,0,0,0,373,401,230,186,198,36,11,1440,0,3,5,0,4,0,0,12,4,22,9,6,7,0,0,45,3,5,5,3,0,0,0,18,86,116,73,73,80,9,0,444,5,10,6,0,0,0,0,27,101,154,93,87,100,15,0,547,475,554,322,272,300,54,9,1985
2015,64,61,39,19,26,6,0,222,28,40,20,20,16,0,0,124,46,49,25,17,18,7,0,155,547,495,315,213,240,65,16,1885,0,8,7,0,0,0,0,19,684,649,399,267,302,82,17,2399,3,5,0,0,4,4,0,25,5,9,15,8,16,0,0,59,6,8,7,0,6,0,0,28,130,208,118,88,105,29,5,678,6,10,3,0,0,0,0,22,150,238,139,107,127,30,9,810,836,890,542,373,426,116,30,3204
2016,912,905,500,297,366,137,59,3169,103,75,39,41,45,16,5,322,126,94,50,43,32,9,7,367,1401,1377,863,598,720,202,54,5216,19,21,3,4,4,0,0,46,2566,2474,1454,979,1160,356,126,9117,56,91,50,32,56,25,15,318,49,53,32,19,23,7,4,184,22,28,18,11,17,0,0,95,440,651,422,294,326,86,23,2231,32,30,19,13,15,4,0,106,581,850,541,365,433,113,38,2931,3151,3325,1993,1352,1586,476,169,12054
2017,91,101,40,23,22,9,0,279,9,12,6,0,4,0,0,27,32,30,10,3,8,0,3,81,433,359,218,138,156,42,16,1361,0,0,3,0,0,0,0,0,565,502,269,160,185,46,20,1753,7,5,10,4,4,4,0,43,12,14,0,3,6,0,0,34,3,3,0,3,0,0,0,17,87,142,85,75,74,22,5,492,5,0,6,0,0,0,0,22,118,166,116,86,84,27,5,604,682,666,385,249,268,81,27,2354
2018,229,236,120,71,73,25,11,753,59,64,43,32,47,14,4,268,92,75,34,21,25,6,3,259,1350,1353,814,539,644,208,55,4965,11,7,5,3,0,0,0,34,1737,1737,1014,673,786,256,73,6283,29,28,27,16,29,9,0,139,30,41,25,20,16,5,8,136,23,25,15,12,21,3,0,93,439,557,361,234,261,75,20,1952,30,32,18,8,7,4,0,100,543,683,445,287,336,95,32,2417,2284,2416,1463,965,1123,349,101,8699
2019,56,53,19,3,14,3,0,158,24,36,28,21,21,0,0,131,40,38,28,15,13,0,0,140,659,636,435,274,378,101,17,2500,7,5,0,0,0,0,0,14,781,775,513,316,428,108,16,2944,0,5,3,10,12,0,3,33,5,6,7,8,14,0,0,42,3,11,3,6,7,0,0,40,168,246,189,124,144,31,14,908,10,8,7,5,0,0,0,31,190,274,212,144,175,39,13,1049,972,1055,729,460,601,145,32,3991
2020,163,200,88,64,82,53,13,660,123,125,71,60,59,23,13,462,136,107,68,45,49,16,7,431,1799,1586,963,638,731,221,99,6046,4,14,8,3,0,0,0,34,2229,2033,1200,812,923,312,131,7630,6,15,18,10,15,10,0,72,39,43,32,26,38,10,3,186,18,20,17,17,22,6,0,106,292,402,272,233,239,71,29,1540,12,23,9,11,4,0,0,56,364,501,352,288,319,96,39,1952,2590,2536,1547,1098,1239,405,164,9583
2021,108,107,58,39,47,20,3,383,77,92,52,35,37,5,0,300,73,89,52,26,42,8,3,291,1189,1200,750,566,663,187,59,4606,0,4,5,8,0,0,0,16,1444,1487,921,671,789,223,63,5603,9,20,9,11,22,6,0,83,22,40,23,12,20,3,0,128,8,14,16,13,15,0,0,78,212,362,271,174,201,55,15,1286,8,17,3,0,5,0,0,30,266,454,322,213,261,64,11,1600,1715,1943,1249,888,1048,284,82,7202
3000,1593,1833,1202,765,987,199,64,6637,1302,1550,999,633,760,102,39,5383,2113,2081,1168,698,849,116,38,7065,23243,26135,16579,10641,11678,1460,402,90143,214,199,143,91,50,8,0,706,28467,31790,20092,12837,14327,1887,542,109933,109,232,202,151,195,40,18,943,352,532,383,254,292,42,10,1861,243,392,292,233,239,26,18,1437,5678,8094,5379,3751,3566,390,95,26953,249,306,212,134,57,9,4,965,6630,9551,6468,4522,4352,498,140,32163,35096,41346,26560,17353,18681,2384,681,142099
3001,60,67,46,27,23,3,0,224,33,47,22,17,17,0,0,141,97,100,48,29,14,0,0,286,343,306,201,108,144,18,3,1118,0,0,0,0,0,0,0,5,538,517,319,180,209,22,3,1778,6,15,12,8,11,0,0,59,10,23,12,11,8,0,0,64,17,26,14,9,7,0,0,70,64,90,63,41,64,8,0,333,0,6,6,0,0,0,0,11,97,155,113,66,98,8,0,533,635,673,426,248,296,23,4,2315
3002,34920,38357,21372,13270,17024,8231,4116,137296,12287,12153,7218,4648,5817,2277,823,45223,12948,12240,6793,4048,5080,2017,780,43907,58104,59397,36695,24131,30112,11673,4358,224471,517,599,298,166,122,24,9,1740,118780,122743,72383,46265,58162,24228,10088,452646,3128,5326,3859,2968,4127,1930,1041,22379,2754,3797,2468,1785,2173,704,302,13971,1444,2521,1933,1310,1640,594,287,9739,12069,17761,12078,8738,10252,2924,1293,65105,807,780,410,289,200,43,12,2545,20198,30177,20756,15092,18384,6199,2929,113731,138976,152923,93138,61350,76544,30425,13016,566380
3003,216,271,137,83,132,29,7,882,139,154,89,88,88,14,0,577,172,183,126,76,78,19,0,661,1975,2199,1387,1003,1129,192,51,7934,18,16,8,5,0,0,0,49,2509,2818,1759,1257,1426,253,69,10093,12,39,16,22,26,10,3,122,37,94,61,41,41,6,3,299,21,54,33,31,30,7,0,172,723,976,693,456,496,46,12,3407,36,20,17,10,9,0,0,92,830,1185,821,561,607,63,26,4090,3342,4000,2579,1827,2033,316,88,14183
3004,1307,1557,847,586,742,184,71,5293,543,578,373,261,305,56,19,2132,819,867,504,345,389,70,19,3012,3396,3589,2274,1567,1790,304,104,13026,25,35,30,13,14,0,0,107,6084,6625,4030,2772,3242,607,208,23572,110,246,206,145,221,68,27,1019,130,220,176,114,147,23,15,830,109,263,219,158,168,25,15,962,1114,1587,1058,804,838,135,49,5579,74,81,42,31,8,0,0,239,1538,2396,1698,1246,1388,256,97,8628,7627,9021,5727,4022,4628,870,309,32199
3005,93,116,73,49,55,11,0,397,66,54,26,10,23,0,0,184,63,65,22,18,20,0,0,190,626,756,436,254,283,21,3,2373,4,4,0,0,0,0,0,9,848,994,565,326,380,32,3,3153,3,17,20,11,4,0,0,55,10,18,13,9,3,0,0,54,5,12,11,0,7,0,0,35,109,138,101,79,64,7,3,492,10,4,6,0,0,0,0,15,141,189,147,95,78,4,3,657,990,1181,713,423,457,39,6,3808
3006,235,328,239,138,197,37,10,1186,130,135,97,80,59,7,0,510,171,179,89,61,81,7,3,596,1670,1703,967,674,848,97,17,5975,13,11,18,3,0,0,0,46,2222,2358,1407,958,1184,147,34,8315,15,22,29,32,21,4,3,122,42,57,42,30,27,4,0,195,22,40,29,23,21,3,4,133,514,651,386,317,304,31,6,2195,23,21,8,5,3,0,0,58,605,791,491,400,371,45,10,2715,2826,3144,1899,1358,1558,194,42,11026
3007,6711,7596,4598,2963,3867,1586,848,28169,3813,3733,2054,1330,1575,551,232,13297,3904,3843,2187,1309,1591,550,214,13600,14999,15577,9440,6219,7672,2666,964,57536,149,146,78,48,33,12,3,464,29576,30898,18361,11868,14735,5362,2263,113059,582,1226,976,799,1074,426,231,5304,767,1202,821,557,689,200,79,4323,482,892,657,405,586,195,85,3299,2816,4392,3140,2402,2897,829,369,16847,175,176,123,60,50,10,4,607,4823,7890,5726,4228,5290,1653,768,30379,34404,38780,24084,16097,20031,7021,3024,143437
3008,41,44,38,19,30,3,3,177,45,51,35,25,32,5,0,200,57,54,40,18,36,11,0,212,662,720,447,282,393,56,15,2573,3,0,0,4,0,0,0,13,809,875,556,349,489,75,15,3164,8,11,3,9,4,0,0,35,12,22,18,17,28,3,0,107,8,17,24,17,15,5,0,88,241,311,254,183,198,30,11,1230,6,12,13,3,4,0,0,33,284,378,315,223,252,36,11,1493,1093,1247,871,574,737,112,24,4657
3009,194,213,149,111,120,17,9,826,128,159,94,61,74,6,5,535,129,171,129,79,94,10,6,613,1137,1367,954,662,718,88,24,4953,20,13,7,8,0,0,0,45,1606,1927,1328,917,1013,125,41,6965,9,31,21,21,21,4,0,114,36,59,44,33,53,0,4,230,24,55,43,32,40,3,0,191,438,742,529,357,404,40,16,2520,28,28,17,13,5,0,0,94,540,919,656,448,518,42,20,3147,2151,2844,1984,1369,1533,174,58,10111
3010,37,27,28,9,14,4,0,120,42,25,11,8,9,0,0,94,26,28,21,9,14,0,0,97,373,351,212,136,160,8,3,1253,3,6,0,6,0,0,0,14,479,440,270,170,197,13,5,1579,0,0,0,0,0,0,0,3,6,9,5,7,10,0,0,40,4,0,0,3,6,0,0,22,132,189,110,87,85,8,0,610,5,5,0,3,4,0,0,15,153,204,122,105,104,6,0,687,629,649,392,272,295,25,9,2267
3011,508,579,365,247,303,64,28,2092,279,245,135,82,101,19,4,870,328,321,160,102,129,11,0,1051,2850,2934,1852,1186,1388,172,46,10433,10,11,7,6,0,0,0,41,3973,4096,2525,1617,1919,262,87,14479,27,54,45,19,27,17,3,194,63,87,53,33,37,0,0,279,39,77,46,41,55,5,0,254,687,980,665,468,502,47,15,3369,19,20,14,7,9,0,0,72,838,1223,820,567,629,73,22,4160,4812,5315,3342,2187,2550,334,104,18642
3012,19,41,30,12,27,5,0,128,30,32,32,21,21,4,0,140,52,53,39,25,29,3,0,200,625,803,460,363,427,61,19,2762,13,6,0,6,0,0,0,26,740,940,563,431,506,67,17,3259,0,3,0,6,7,0,0,16,16,22,12,13,9,0,0,72,6,19,14,9,10,0,0,61,286,379,257,214,208,11,5,1369,9,12,9,8,3,0,0,48,322,436,295,249,238,15,4,1561,1062,1375,852,680,741,80,26,4820
3013,214,180,96,67,87,15,5,657,67,63,28,14,19,0,0,189,95,79,38,17,28,4,0,255,686,677,350,259,261,19,0,2255,9,11,9,0,0,0,0,24,1072,1004,517,353,395,37,9,3382,13,17,13,8,13,0,0,59,11,7,5,0,0,3,0,39,10,18,3,4,7,0,0,40,261,295,173,118,81,5,0,938,13,15,8,8,0,0,0,52,308,360,206,142,106,3,0,1132,1383,1363,727,491,495,44,11,4516
3014,370,428,257,157,218,75,13,1519,134,157,100,82,74,9,3,562,170,170,89,47,71,13,4,561,2830,2930,1767,1159,1282,215,93,10276,10,18,9,4,4,0,0,52,3522,3702,2215,1456,1646,310,117,12968,20,24,19,19,35,7,5,130,63,59,58,31,29,3,4,252,35,41,37,20,35,4,0,176,919,1205,785,520,554,77,23,4086,32,27,19,9,10,4,0,101,1062,1369,922,605,667,90,26,4745,4583,5070,3142,2062,2310,403,140,17717
3015,2142,2671,1761,1172,1482,416,142,9782,1739,1932,1192,760,943,226,90,6883,1892,2012,1123,686,855,224,71,6861,9399,10546,6842,4518,5615,1415,489,38823,56,60,39,28,17,4,0,209,15227,17217,10963,7164,8913,2285,795,62560,151,315,274,196,305,90,32,1360,310,503,373,269,401,95,42,1991,189,380,302,247,291,49,33,1493,1464,2654,2063,1493,1879,381,176,10119,56,99,57,38,26,4,7,280,2164,3951,3068,2243,2904,625,289,15245,17396,21168,14037,9407,11810,2908,1082,77804
3016,1219,1353,764,428,610,218,102,4698,354,379,224,149,202,41,20,1365,377,380,218,127,193,30,12,1338,4689,4676,3072,2054,2474,462,145,17575,25,25,24,5,0,0,0,92,6666,6822,4299,2770,3485,754,279,25072,134,207,151,102,129,75,40,840,89,143,97,72,89,22,12,524,52,83,66,49,64,10,4,325,1069,1512,1053,850,878,129,46,5536,50,42,29,19,3,0,0,148,1389,1991,1397,1093,1166,238,99,7375,8050,8813,5703,3860,4651,992,377,32447
3017,872,1064,610,416,590,223,91,3866,539,537,302,194,269,68,21,1925,613,590,326,195,268,67,22,2088,5799,5962,3617,2292,2738,661,209,21277,21,26,20,15,11,0,0,92,7852,8176,4871,3107,3876,1024,345,29246,105,170,103,103,124,43,38,682,131,217,134,102,111,25,8,733,76,172,128,82,113,20,9,601,1499,2200,1415,1046,1157,225,92,7632,60,75,40,32,17,0,0,226,1869,2832,1827,1358,1519,319,142,9874,9717,11007,6698,4469,5405,1345,488,39119
3018,42,42,19,7,16,8,0,127,28,38,23,12,14,0,0,108,28,40,22,12,8,4,0,115,478,527,307,215,254,32,3,1820,0,3,0,4,0,0,0,7,575,637,367,253,293,40,5,2172,5,0,5,0,3,0,0,11,8,21,8,13,12,0,0,61,6,12,7,3,5,0,0,26,181,228,171,117,109,17,0,821,11,11,5,0,0,0,0,35,212,266,198,134,128,17,4,962,787,903,565,390,424,50,8,3135
3019,44,56,60,24,48,11,3,250,60,62,42,28,28,3,4,224,74,84,47,33,21,3,0,267,649,711,474,288,351,61,18,2549,0,6,0,0,0,0,0,8,828,914,619,375,452,79,26,3299,3,9,7,7,4,0,4,41,17,10,4,7,12,0,0,60,7,11,14,10,15,0,0,59,129,199,130,99,122,22,3,699,3,0,0,0,3,0,0,9,156,238,156,132,159,21,5,863,985,1153,778,507,610,101,34,4167
4000,495,525,349,222,312,85,29,2025,380,489,290,215,274,74,28,1750,633,569,313,204,238,72,40,2063,8944,10012,6294,4110,4511,871,280,35013,70,79,44,29,23,11,0,251,10524,11669,7291,4771,5358,1108,376,41102,29,49,49,33,47,10,3,220,93,133,97,66,76,16,8,504,33,88,73,63,102,15,0,374,1479,2267,1532,1160,1272,219,54,7979,57,87,60,42,33,5,0,281,1686,2630,1808,1361,1535,269,71,9352,12206,14303,9102,6138,6891,1374,444,50459
4001,17769,18981,9849,6043,8140,4905,2945,68626,4274,4426,2699,1840,2480,1302,694,17712,4983,4585,2542,1568,2020,1013,590,17300,33929,33868,20081,13384,16721,7347,3792,129126,199,202,115,84,49,16,9,676,61159,62061,35282,22922,29407,14591,8021,233447,1274,2214,1676,1260,1846,1103,810,10184,936,1445,978,697,1010,429,274,5775,521,924,721,514,685,333,200,3889,6368,9743,6937,5038,5924,2156,1125,37291,329,335,215,171,98,29,16,1185,9423,14654,10529,7681,9558,4046,2431,58329,70587,76715,45812,30605,38973,18638,10455,291777
4002,132,163,81,67,75,14,4,536,28,60,41,14,21,8,0,172,53,50,29,18,27,7,0,186,968,1007,597,452,496,86,23,3622,0,5,7,0,0,0,0,11,1182,1282,757,546,622,108,28,4533,16,14,10,4,6,5,0,55,14,22,16,12,22,0,0,90,8,18,5,5,4,0,0,41,280,337,236,166,202,41,11,1276,20,11,5,3,0,4,0,46,336,398,269,199,243,52,11,1511,1520,1686,1027,742,863,163,39,6040
4003,110,90,51,32,56,9,12,365,20,17,12,12,12,3,0,77,47,33,13,11,10,3,0,124,494,461,302,208,247,45,10,1762,8,0,0,0,0,0,0,12,683,599,380,263,330,57,20,2334,16,11,8,4,10,10,3,53,12,16,11,7,11,0,0,57,9,8,5,9,6,0,3,38,170,277,196,119,136,22,3,920,9,7,6,0,0,0,0,22,209,323,223,139,158,30,6,1084,893,925,603,392,488,86,33,3425
4004,52,42,17,6,12,5,0,128,11,11,3,3,8,0,0,34,16,21,3,7,9,4,0,50,426,392,252,181,211,25,9,1494,4,6,4,4,0,0,0,16,508,470,284,198,239,32,4,1721,0,4,0,0,0,0,0,12,8,9,7,0,0,0,0,22,0,7,8,4,0,0,0,14,188,267,169,121,97,9,4,855,9,10,3,7,0,0,0,21,201,298,186,127,99,9,4,920,706,764,467,327,340,36,8,2641
4005,23,38,16,9,5,5,0,97,28,24,24,12,12,0,0,94,33,43,15,17,12,0,0,122,587,601,383,248,282,32,10,2139,7,0,3,3,0,0,0,17,682,696,442,287,315,34,3,2463,0,0,0,0,4,0,0,9,3,10,14,0,10,0,0,41,4,3,7,0,6,0,0,26,156,213,133,96,103,17,0,717,6,8,6,4,0,0,0,15,173,231,159,102,117,18,0,810,856,927,599,387,437,57,7,3278
4006,47,42,22,13,8,0,0,142,20,17,6,8,4,0,0,57,3,9,3,4,3,0,0,22,425,421,265,171,207,32,7,1539,6,0,0,5,0,0,0,15,500,490,300,202,225,37,7,1770,0,3,4,0,3,0,0,6,5,4,7,6,6,0,0,26,0,9,0,0,3,0,0,21,165,179,144,110,134,14,0,744,8,10,8,4,0,0,0,29,178,202,163,126,146,19,0,836,676,696,458,332,370,56,13,2603
4007,33,57,31,26,17,14,3,174,37,57,39,28,36,4,0,199,65,68,46,27,35,11,0,249,524,597,413,239,295,57,25,2160,10,4,0,6,0,0,0,20,658,781,531,322,396,82,32,2805,0,5,7,4,10,0,6,32,18,25,21,23,19,4,0,110,3,24,14,9,11,0,0,73,120,204,150,105,123,33,9,747,5,9,10,0,4,0,0,28,152,273,195,144,170,39,16,989,814,1051,724,470,563,127,45,3791
4008,67,87,55,30,49,6,6,302,31,28,33,15,33,3,5,140,39,48,18,15,14,0,0,124,628,653,396,270,309,47,4,2307,3,6,0,3,6,0,0,13,770,814,507,329,408,55,10,2893,3,8,7,3,16,6,3,49,13,15,7,7,14,3,0,62,7,8,8,5,12,0,0,50,254,313,191,143,150,22,4,1070,6,11,7,10,3,0,0,37,281,356,227,168,195,28,8,1261,1046,1177,734,495,600,87,18,4158
5000,1113,1153,725,446,590,80,41,4150,776,857,532,348,370,39,22,2949,1217,1187,646,375,376,49,9,3860,7972,8808,5163,2978,2916,317,91,28248,68,87,55,50,25,4,0,284,11144,12097,7119,4205,4273,487,169,39491,57,103,89,47,85,14,4,409,117,244,145,109,117,15,9,757,96,170,136,86,114,9,0,612,1621,2286,1584,1072,1023,82,18,7681,93,124,62,65,24,0,0,371,1983,2924,2012,1384,1369,122,32,9825,13127,15020,9131,5584,5644,611,203,49318
5001,145,170,122,112,133,28,11,717,99,124,66,45,79,8,0,419,140,123,93,76,62,8,0,511,994,987,625,489,516,41,3,3653,7,6,0,4,3,0,0,14,1386,1411,905,716,793,87,13,5313,11,21,21,12,19,3,0,87,12,34,26,16,25,6,0,123,14,40,32,24,35,0,0,145,213,351,231,185,201,18,4,1197,4,16,3,3,0,0,0,35,257,454,314,246,282,27,7,1594,1643,1865,1216,962,1083,114,22,6904
5002,114,99,40,16,31,6,0,307,48,45,16,15,9,0,0,143,62,63,28,20,20,0,0,203,497,562,315,193,148,14,4,1732,4,3,0,0,0,0,0,13,725,783,403,246,209,23,0,2394,3,9,3,9,3,0,0,29,7,5,5,3,4,0,0,28,4,14,10,7,3,0,0,42,136,203,134,101,90,4,0,669,10,17,6,3,0,0,0,39,162,250,164,121,108,6,0,813,885,1032,571,371,318,27,4,3204
5003,599,638,441,288,361,59,21,2423,335,310,171,121,139,22,10,1105,343,363,191,122,162,15,7,1203,2241,2513,1426,996,1206,118,48,8546,10,22,10,6,0,0,0,54,3524,3847,2249,1536,1870,214,86,13332,56,64,53,50,72,9,4,311,72,114,67,54,62,9,0,376,51,90,49,43,67,4,0,320,556,784,573,415,436,42,9,2815,22,16,10,14,0,0,0,71,765,1074,759,576,642,64,15,3885,4290,4921,3006,2115,2511,282,103,17216
5004,193,226,159,99,115,12,6,808,183,217,136,75,123,10,3,740,206,286,136,81,88,13,0,814,1070,1282,872,582,613,63,17,4499,13,15,12,3,3,0,0,39,1665,2014,1311,840,944,94,26,6899,9,19,13,13,21,3,0,85,22,44,54,33,30,0,0,183,15,41,42,33,34,4,0,169,163,321,224,190,220,11,0,1138,3,9,3,3,6,0,0,34,207,437,339,270,315,18,4,1597,1875,2457,1654,1113,1259,116,31,8499
5005,37,50,24,14,24,0,0,151,42,57,20,25,13,0,0,155,55,65,26,8,14,0,0,173,344,390,249,182,170,9,0,1350,4,4,0,0,0,0,0,12,487,562,313,225,223,10,0,1829,11,4,4,0,8,0,0,27,11,11,5,7,7,0,0,50,10,15,5,10,8,0,0,48,81,99,53,56,73,3,3,366,3,12,3,0,3,0,0,17,112,136,78,69,93,7,3,503,601,701,387,303,324,23,7,2330
5006,176,221,149,91,105,14,13,774,96,120,75,43,47,10,5,390,142,122,59,55,67,0,3,450,1245,1279,760,506,569,58,15,4419,10,6,0,0,0,0,0,17,1662,1750,1047,691,789,78,30,6053,12,22,27,9,25,0,0,91,30,49,39,21,24,3,4,164,21,22,27,17,31,5,0,106,318,477,339,227,228,17,4,1621,14,24,7,14,0,0,0,56,381,595,437,281,304,25,8,2040,2047,2344,1485,974,1097,105,43,8090
5007,395,460,227,146,159,22,8,1422,138,133,67,33,37,0,0,407,189,172,82,47,46,0,0,532,988,881,470,320,312,10,7,2984,5,9,0,0,0,0,0,17,1725,1647,850,548,555,35,11,5365,26,50,27,22,29,4,0,159,35,37,16,15,17,0,0,115,22,23,12,7,14,0,0,84,185,213,166,109,81,9,0,753,10,17,8,7,0,0,0,46,276,336,231,158,138,9,0,1161,2004,1983,1084,706,694,46,16,6526
5008,238,205,125,62,86,10,0,722,108,89,40,18,14,0,0,272,143,145,72,31,30,3,0,420,708,780,396,251,250,12,5,2394,10,6,0,0,0,0,0,19,1199,1227,637,360,387,22,5,3831,8,11,7,7,14,0,0,48,4,11,9,3,7,0,0,30,8,7,10,6,8,0,0,42,53,90,61,54,41,0,0,293,0,3,3,0,0,0,0,11,77,122,83,75,63,0,0,425,1275,1354,719,429,454,23,5,4257
