SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
3009,27335,30383,57722,1161,1129,2293,3372,3224,6602,1493,1496,2986,1121,1054,2179,2292,2588,4889,2496,2996,5498,3010,3601,6614,3689,4531,8222,4768,5266,10036,3101,3293,6389,823,1190,2010,25822,29005,54826,1512,1380,2893,1218,1289,2507,51,50,104,64,77,141,1334,1420,2756,20790,22767,43559,4796,5809,10602,24437,27016,51450,1233,1694,2926,24226,26921,51148,319,357,676,3128,3030,6152,935,1055,1990,158,261,420,487,1089,1579,8716,10594,19311,2108,2224,4329,6828,7793,14620,1844,1936,3782,1463,1465,2928,82,79,161,25182,28096,53276,3018,3262,6275
3010,5149,5400,10545,365,326,684,750,670,1419,330,335,661,316,349,663,721,694,1412,557,593,1150,533,609,1135,574,616,1190,551,658,1204,343,357,702,115,204,315,4834,5165,10002,309,229,547,316,303,622,5,0,13,20,9,30,340,320,657,4241,4474,8712,551,576,1127,4532,4779,9314,257,287,543,4526,4818,9345,81,91,173,679,607,1280,169,202,376,30,71,104,100,194,294,1550,1928,3484,348,327,679,1192,1199,2388,294,292,585,291,314,605,21,30,55,4650,4953,9608,518,480,1005
3011,42071,42264,84333,2699,2505,5202,5986,5763,11749,2606,2489,5093,2609,2572,5179,5652,5883,11535,5709,5786,11493,5551,5527,11083,5346,5124,10470,3580,3549,7125,1741,2101,3843,588,961,1552,38394,40293,78686,3677,1966,5647,1747,1774,3517,552,509,1060,517,537,1057,2814,2823,5632,32417,32943,65360,5665,6318,11981,35010,35681,70692,3005,3467,6473,35545,36465,72008,684,641,1325,5504,5297,10797,1659,1717,3373,453,596,1048,826,1819,2642,14440,16791,31230,2917,2753,5676,8741,8226,16972,1843,1728,3574,1523,1522,3042,103,105,200,36698,38519,75217,4248,3921,8170
3012,13843,13647,27489,602,565,1164,1600,1518,3126,854,726,1576,788,633,1423,1486,1232,2716,1467,1385,2847,1612,1674,3279,1920,2053,3975,2054,2126,4181,1141,1224,2369,316,509,825,13161,12991,26153,683,654,1334,856,680,1540,53,35,94,56,39,96,973,761,1731,11743,11344,23091,1128,1386,2516,12035,12440,24471,262,416,677,11995,12452,24450,128,146,275,1474,1425,2895,475,478,954,63,121,180,189,441,629,3790,4133,7927,857,969,1826,4186,3800,7982,885,916,1794,936,826,1760,62,45,112,12008,12605,24609,1775,966,2742
3013,9427,8892,18317,838,681,1517,1435,1379,2811,632,538,1170,659,660,1320,1611,1672,3284,1302,1321,2625,1137,1083,2222,1032,842,1878,485,425,907,243,224,465,50,65,114,8850,8464,17311,575,431,1006,1755,1895,3650,46,40,88,84,99,180,1882,2036,3919,7009,6565,13569,1459,1559,3019,7599,7139,14735,832,965,1797,7576,7245,14813,169,148,316,1285,1242,2529,341,301,640,53,106,165,222,409,630,3124,3602,6722,630,550,1180,1681,1359,3039,420,321,740,356,240,594,53,37,92,8381,8172,16549,2083,1485,3564
3014,39522,39772,79293,2583,2344,4925,5730,5586,11321,2729,2515,5248,2622,2570,5190,5623,5536,11158,5248,5091,10341,4667,4784,9457,4517,4651,9174,3378,3401,6774,1772,2257,4028,654,1033,1683,36545,38069,74621,2971,1702,4674,3013,3000,6011,186,184,372,281,247,527,3475,3431,6906,32614,33403,66020,3968,4073,8037,33138,34775,67914,2595,2678,5271,33926,35633,69562,627,632,1264,5290,5155,10446,1694,1726,3420,463,694,1163,857,1674,2537,13494,15575,29068,2377,2361,4735,8363,7984,16346,1884,1621,3509,1863,1829,3691,182,153,340,34449,36479,70929,4509,3537,8045
3015,184225,198685,382903,9520,8892,18415,24263,23026,47297,11351,11017,22369,9242,9539,18780,19559,21357,40917,22098,24733,46836,24729,27306,52035,23858,27537,51398,22345,24665,47013,13089,14530,27618,4165,6065,10225,174603,190914,365526,9618,7767,17383,4100,4134,8238,187,191,379,179,187,367,4469,4513,8982,136692,146215,282902,37692,42965,80659,163620,176080,339695,10634,12950,23579,159555,172603,332162,2904,2714,5617,22723,21582,44308,7952,8481,16429,2469,3497,5966,4476,9117,13590,80015,92687,172700,13379,13612,26992,34691,37873,72557,7538,7314,14846,4656,4898,9557,391,351,744,169557,184935,354492,15056,16325,31371
3016,68213,73944,142163,4290,4221,8511,10021,9584,19608,4880,4706,9586,4484,4580,9068,9149,9732,18880,8205,8974,17178,7987,8841,16826,7470,8488,15961,6507,7619,14126,3918,4943,8861,1298,2261,3564,64786,71129,135922,3427,2822,6243,3112,3373,6490,79,117,193,100,127,231,3295,3620,6913,54606,59483,114088,10260,11240,21495,57719,63056,120775,7016,7556,14569,59667,65274,124946,1136,1115,2257,9455,9068,18525,3434,3556,6997,1178,1600,2781,2392,3954,6348,27324,31839,59165,3962,4105,8074,12972,14177,27151,2976,2917,5891,2997,3182,6178,437,716,1149,62465,68753,131221,5309,5352,10666
3017,89017,89995,179011,5542,5000,10542,12380,11747,24122,6027,6178,12203,7683,6848,14528,13490,13068,26559,11439,12157,23596,11162,11683,22846,9836,10233,20069,7135,7407,14540,3436,4059,7493,894,1611,2506,83363,86507,169873,5651,3490,9138,5635,5772,11403,998,1013,2017,1122,1136,2258,7752,7921,15677,69905,71170,141075,11903,13404,25304,73721,76051,149769,6835,7954,14785,76074,78782,154859,1548,1398,2946,11379,10859,22236,3900,4505,8405,1630,2528,4158,2535,4659,7201,36046,40276,76324,6018,5585,11606,15762,15928,31684,3524,3369,6894,2602,2664,5265,351,352,704,78021,82630,160651,10266,8350,18618
3018,7455,8067,15525,445,409,848,1016,1029,2047,490,441,931,452,405,854,858,872,1729,660,774,1436,802,959,1765,959,1088,2051,975,1050,2027,631,733,1366,176,294,465,7098,7752,14846,361,317,680,521,575,1099,16,16,32,16,16,38,554,611,1165,6272,6758,13034,629,705,1340,6670,7180,13854,267,333,595,6685,7261,13942,107,77,184,919,946,1864,272,310,586,44,91,139,116,285,403,2281,2664,4953,478,498,987,1758,2015,3778,474,453,930,435,389,824,44,32,69,6832,7366,14202,664,676,1339
3019,10037,10206,20244,544,505,1044,1412,1283,2689,709,576,1289,470,491,965,1070,1116,2190,1176,1242,2410,1304,1342,2646,1419,1508,2926,1144,1151,2302,620,689,1310,178,298,480,8942,9596,18538,1095,610,1704,454,440,889,40,18,51,42,28,71,532,482,1016,8083,8346,16428,1136,1326,2461,8888,9287,18173,331,390,725,8748,9151,17899,160,135,291,1345,1211,2549,464,429,888,78,139,223,169,410,583,3527,4190,7720,701,674,1380,2153,2164,4319,505,460,965,382,391,774,13,22,35,8620,9415,18034,1263,1147,2413
4000,138635,133752,272390,6748,6565,13311,16557,15585,32139,7530,6794,14322,6467,5540,12004,13743,13424,27167,14586,14628,29212,17834,17628,35468,21863,20978,42841,20453,18687,39144,10035,9928,19968,2817,3995,6809,127817,124966,252783,10817,8788,19605,5229,5334,10561,96,74,165,94,93,185,5422,5490,10906,113264,108619,221886,14456,15412,29870,121128,118143,239270,6796,6954,13747,123128,120173,243298,1512,1474,2989,15249,14394,29648,4918,4848,9765,992,1471,2464,1655,3995,5647,39340,48282,87627,24969,22123,47095,24468,19835,44299,8807,6415,15226,6879,5568,12449,565,380,944,121699,119669,241368,19480,13961,33445
4001,670670,697543,1368209,38001,35849,73854,82332,78130,160461,39600,37476,77073,46030,43992,90022,95811,96288,192093,89907,92653,182556,84773,87317,172090,79557,85517,165080,64840,73529,138364,36205,44388,80593,13606,22406,36015,644939,675689,1320628,25728,21860,47585,10988,11292,22276,337,349,682,327,304,631,11649,11940,23587,462081,475904,937984,182884,197074,379952,500922,519319,1020234,142688,152828,295516,577572,602668,1180235,10509,9802,20313,78510,74594,153104,30948,31110,62061,18960,21161,40118,25155,37439,62596,309173,337780,646956,89799,84207,174008,74502,77778,152282,24427,25462,49886,20742,25030,45772,5580,7310,12886,631226,658879,1290108,32583,35273,67852
4002,14233,15210,29446,805,817,1622,1933,1796,3733,940,928,1868,805,798,1600,1751,1844,3586,1583,1760,3341,1762,1936,3699,1838,1996,3837,1621,1727,3342,887,1101,1988,310,512,824,13488,14482,27973,744,728,1471,375,391,767,12,7,17,15,5,18,394,407,809,11913,12587,24495,1517,1735,3248,12585,13335,25919,864,1001,1869,12848,13748,26596,210,230,434,1801,1662,3467,612,645,1258,92,190,277,278,664,943,3944,5323,9266,2728,2616,5341,2361,2180,4542,879,788,1667,726,712,1442,83,93,178,13105,13957,27057,1050,1066,2115
4003,9058,9184,18243,487,479,964,1028,1073,2106,527,490,1012,540,517,1056,1203,1110,2315,1104,941,2040,1101,1085,2191,1133,1258,2389,1029,1108,2132,702,775,1475,219,348,570,8616,8815,17436,442,367,813,557,520,1077,4,10,15,5,4,10,566,534,1101,7278,7340,14617,1172,1287,2460,7264,7793,15059,786,860,1653,7584,8115,15699,123,112,228,933,995,1928,345,341,682,72,99,174,165,315,479,2346,2919,5263,1395,1415,2810,1918,1510,3432,621,594,1211,598,599,1191,58,48,105,7926,8525,16455,1024,594,1624
4004,6966,6548,13515,405,386,794,856,873,1730,413,349,764,408,339,752,1154,934,2087,866,766,1628,801,836,1645,911,863,1772,669,651,1324,381,392,771,92,158,248,6440,6195,12638,520,355,873,1443,1287,2725,16,17,33,26,31,58,1475,1335,2812,5785,5477,11267,605,554,1160,5381,5532,10913,447,505,954,5566,5753,11316,98,106,202,765,776,1545,247,219,472,34,52,91,108,229,332,1508,1936,3448,1306,1163,2460,1448,992,2438,386,335,716,393,339,733,48,40,92,5591,5915,11502,1653,820,2474
4005,8136,8166,16307,479,454,928,1100,997,2094,482,465,945,419,429,846,983,986,1967,969,980,1949,1059,1035,2095,1074,1094,2170,904,952,1851,495,531,1022,178,265,434,7449,7638,15085,685,531,1218,485,480,965,18,6,25,5,6,8,506,492,996,6869,6873,13744,636,758,1388,7058,7332,14388,318,340,658,7160,7440,14606,111,96,204,1003,900,1905,300,322,625,52,79,133,116,276,390,2295,3007,5305,1464,1361,2825,1408,1140,2549,427,389,811,349,325,671,12,9,23,7068,7361,14432,931,715,1643
4006,6807,7087,13896,377,367,743,846,788,1627,426,418,847,438,432,875,808,807,1616,669,717,1387,871,912,1778,930,919,1849,761,868,1627,503,601,1106,178,259,439,6404,6739,13141,402,350,752,342,365,703,3,11,13,3,7,8,347,375,721,5865,6071,11940,512,575,1078,6099,6312,12411,296,363,654,6270,6508,12774,71,81,149,776,719,1492,265,274,544,40,95,135,93,188,282,1664,2059,3720,1387,1296,2681,1152,1157,2305,469,481,957,467,486,950,21,30,55,6276,6536,12812,583,541,1127
4007,13471,14898,28363,454,410,861,1217,1158,2380,561,543,1100,407,392,796,846,893,1744,1038,1152,2186,1332,1412,2743,1921,2325,4250,2928,3522,6451,2125,2188,4318,637,902,1540,12476,14002,26472,995,895,1892,228,204,428,8,12,17,7,5,11,236,219,458,10255,11227,21475,2590,2963,5556,12531,13811,26344,392,487,887,12407,13701,26107,113,113,227,1152,1098,2250,394,416,805,85,107,194,206,421,623,4706,5439,10147,2537,2748,5290,2523,2901,5430,802,874,1681,560,556,1108,29,33,61,12270,13590,25864,847,1130,1971
4008,10617,10531,21154,599,545,1149,1349,1299,2648,636,585,1219,637,582,1219,1374,1339,2710,1164,1188,2350,1492,1444,2936,1529,1427,2957,1052,1046,2099,601,816,1423,195,260,449,10061,10047,20112,554,480,1040,508,585,1091,14,11,24,20,26,44,542,619,1162,8081,7863,15951,1810,1975,3782,9247,9165,18412,654,706,1361,9263,9185,18454,154,158,312,1231,1187,2421,419,397,819,84,129,215,152,403,555,3115,3410,6523,2223,1888,4114,1616,1670,3285,539,517,1052,430,416,844,39,44,80,9751,9703,19452,1121,830,1947
5000,149382,133713,283092,8008,7463,15469,18007,16837,34842,7675,6931,14606,7326,6036,13364,18334,16031,34362,19542,17415,36962,21290,18455,39751,21931,19866,41796,17536,15145,32681,7829,7115,14942,1899,2421,4317,132265,121056,253319,17114,12656,29769,14236,13455,27686,173,132,304,207,175,381,14614,13757,28368,105063,95156,200216,23982,23671,47656,113840,106778,220613,11793,11975,23768,117146,110169,227321,1690,1678,3367,15611,14548,30155,4275,4168,8444,726,896,1624,1638,4046,5684,43330,48306,91636,13119,12464,25587,33949,25798,59750,7270,5287,12556,4655,3260,7923,778,527,1308,111457,110731,222184,72196,34906,107098
5001,17081,17975,35053,899,844,1741,2208,2142,4351,1133,1035,2170,842,766,1611,1961,1816,3773,1856,1985,3839,2067,2357,4425,2247,2543,4793,2155,2360,4515,1229,1475,2701,481,654,1133,15627,16782,32411,1460,1188,2643,762,626,1382,9,8,22,16,7,18,782,638,1425,13037,13460,26494,3118,3679,6791,14830,15932,30757,1047,1202,2249,14935,16098,31028,244,207,450,2058,1998,4058,761,744,1503,114,141,254,302,684,986,5592,7088,12683,1622,1808,3425,4274,3816,8098,871,780,1651,587,480,1068,79,69,149,14994,16338,31337,1637,1332,2969
5002,7108,7553,14660,552,508,1060,1211,1154,2368,375,435,804,367,374,748,1081,1424,2504,1106,1310,2413,1048,1024,2075,783,791,1573,438,380,819,118,123,237,33,31,63,6460,7001,13466,643,552,1193,1570,1642,3208,19,27,41,86,97,182,1675,1760,3436,5111,5241,10351,982,1275,2257,5297,5565,10859,677,914,1590,5622,5922,11544,111,96,210,996,977,1972,203,261,458,40,65,109,157,377,533,2350,3218,5571,584,577,1163,1126,870,1999,238,193,430,123,98,221,33,27,65,6003,6544,12555,3838,4101,7942
5003,37589,38869,76452,2369,2203,4567,5513,5107,10620,2365,2382,4749,1976,1907,3887,4599,4800,9396,4952,5117,10065,4853,5149,10003,4657,4947,9605,3798,4065,7859,1919,2244,4162,588,957,1539,34445,36768,71213,3144,2100,5245,1285,1338,2625,16,13,27,30,35,64,1332,1391,2720,28179,29031,57211,7267,8058,15327,31966,33581,65546,2922,3478,6399,32295,34089,66387,678,589,1269,5172,4814,9984,1600,1678,3279,314,454,767,632,1507,2138,11910,14745,26652,3694,3902,7591,9086,8482,17571,1847,1623,3470,887,908,1795,117,90,206,33301,35996,69300,2709,2029,4740
5004,19696,20852,40544,1005,1030,2030,2860,2707,5567,1183,1078,2264,737,651,1390,1851,1957,3811,2401,2746,5149,2639,2849,5485,2512,2833,5341,2666,2834,5494,1448,1509,2956,404,645,1045,17508,19295,36803,2187,1559,3740,404,372,765,3,5,15,9,3,16,418,383,797,14750,15526,30279,3653,4198,7848,17511,18593,36102,933,1161,2090,17352,18443,35797,272,276,548,2693,2527,5223,829,778,1601,137,156,290,290,803,1094,7290,8719,16015,1835,1887,3721,4108,4184,8289,846,729,1577,457,448,909,69,45,114,17107,18738,35844,1939,2178,4120
5005,5987,6019,12003,349,331,677,830,794,1624,406,333,737,297,277,578,636,692,1333,668,728,1398,803,777,1582,822,803,1627,652,670,1322,414,447,858,103,168,275,5434,5584,11019,551,431,988,275,271,540,5,3,9,3,0,5,286,273,558,4583,4499,9080,696,874,1567,5097,5143,10242,226,291,517,5034,5079,10117,79,94,171,715,686,1398,227,215,439,40,58,93,68,169,241,1700,2160,3860,600,671,1271,1401,1090,2494,305,272,572,185,159,346,10,14,24,5000,5157,10152,1028,885,1911
5006,19039,19561,38595,1155,1150,2306,2781,2654,5436,1269,1188,2454,1006,1027,2033,2270,2340,4610,2309,2456,4767,2540,2710,5253,2516,2485,4994,1860,1980,3839,992,1088,2078,349,477,828,17359,18402,35758,1680,1157,2839,1780,1875,3658,12,12,26,33,19,52,1821,1906,3736,14668,14923,29588,2565,2985,5545,15694,16231,31927,1346,1584,2929,16171,16865,33037,272,281,549,2477,2357,4835,752,785,1536,135,207,348,350,824,1172,5417,6846,12259,1977,2106,4082,4409,3865,8277,965,859,1822,639,526,1163,92,104,196,16287,17454,33734,2373,2170,4545
5007,15265,13805,29072,1154,1073,2227,2195,2051,4245,849,772,1616,1048,912,1961,2434,2308,4745,2255,2085,4344,2059,1829,3889,1866,1526,3399,980,785,1770,354,322,669,60,138,202,14309,13094,27404,957,708,1668,1134,984,2121,25,17,43,36,34,67,1196,1031,2231,10196,9159,19353,3535,3437,6974,11579,10579,22162,1854,1871,3727,11356,10490,21846,273,288,561,1927,1822,3750,495,449,940,146,138,283,387,609,1000,4673,5163,9835,1488,1225,2706,3327,2394,5724,638,460,1099,300,267,562,72,46,113,13023,12190,25214,2909,1731,4646
5008,8976,8036,17013,815,697,1508,1517,1478,2990,506,417,924,485,408,890,1557,1633,3195,1780,1571,3353,1266,1092,2357,787,544,1328,222,164,384,41,37,75,5,8,11,8472,7587,16056,505,451,956,667,700,1365,37,32,65,56,41,96,755,773,1530,5818,5221,11038,1729,1704,3434,6511,5786,12300,1012,1081,2097,6697,5992,12691,213,179,400,1274,1233,2508,310,265,572,45,69,113,185,376,555,2956,3254,6216,809,584,1394,1380,895,2278,255,178,430,83,71,148,22,12,35,7274,6800,14071,3620,1697,5313
5009,1034714,1063528,2098239,66247,62540,128789,138442,131156,269599,62498,59635,122135,66618,64924,131537,147770,153847,301619,150366,154065,304430,134098,137390,271487,115557,121867,237421,89720,98515,188232,47690,54641,102330,15710,24953,40664,973148,1023524,1996676,61559,40003,101565,19454,19721,39175,511,436,952,515,504,1015,20472,20661,41139,617641,627711,1245356,364492,392544,757036,767950,783669,1551617,209006,232470,441469,857243,885336,1742585,19172,17818,36991,131153,124246,255404,47892,48094,95985,25639,28535,54172,32861,52836,85704,484742,531510,1016256,77505,75970,153468,155163,153355,308522,34202,32819,67019,19909,23621,43526,5524,6947,12470,948946,998395,1947337,53320,52826,106150
5010,8028,7271,15298,705,677,1385,1196,1199,2392,420,377,793,417,413,825,1471,1531,3009,1483,1299,2783,1087,868,1956,933,633,1568,242,215,455,57,44,103,10,12,25,7520,6799,14317,505,476,976,1202,1273,2468,75,54,128,77,83,160,1361,1402,2759,5100,4724,9828,1657,1540,3195,5577,5078,10654,1097,1116,2215,5855,5366,11223,149,151,297,1015,1016,2028,215,197,408,51,46,96,191,340,534,2461,2701,5165,820,572,1395,1329,953,2287,278,180,459,108,110,223,32,28,60,6482,6111,12593,3927,1681,5605
6000,83513,81820,165335,4092,3812,7902,9551,9025,18577,4480,3994,8473,3844,3446,7288,8351,8493,16845,8654,9142,17797,10696,11073,21768,13826,13940,27767,12818,11634,24451,5825,5523,11346,1364,1733,3095,77635,76769,154406,5876,5047,10927,4801,4927,9728,200,213,412,207,213,422,5205,5353,10561,67480,66134,133610,9338,9486,18824,75181,73905,149087,2478,2652,5131,74687,73663,148347,889,873,1761,8707,8273,16977,2936,2868,5809,604,796,1400,1568,2800,4359,22941,27731,50671,6147,6723,12868,24872,21479,46355,6534,5313,11840,3242,2184,5423,202,130,333,74733,73879,148606,7465,6691,14154
6001,13293,14534,27826,775,737,1513,1710,1702,3409,780,786,1572,771,803,1572,1572,1692,3264,1456,1678,3129,1629,1786,3415,1802,1987,3786,1561,1767,3328,959,1131,2087,285,465,744,12579,13852,26431,714,677,1395,1098,1228,2322,28,30,58,47,38,84,1172,1294,2465,11218,12227,23442,1309,1495,2799,12060,13197,25251,522,608,1132,12108,13231,25340,189,170,358,1591,1566,3160,521,584,1109,138,191,329,290,530,814,3479,4375,7850,1014,1244,2258,3874,4007,7882,1020,1025,2045,597,584,1177,67,49,116,12286,13490,25778,862,929,1796
6002,15277,16446,31721,821,792,1615,1891,1853,3746,899,838,1741,858,855,1714,2011,2131,4142,1626,1791,3419,1894,2056,3950,1920,2172,4095,1882,2117,4001,1137,1284,2419,336,551,888,14408,15665,30074,871,774,1650,1058,1149,2208,55,55,109,39,51,89,1152,1251,2403,12789,13851,26644,1661,1758,3423,13723,14819,28542,823,911,1735,13763,14920,28678,220,190,407,1772,1735,3512,639,628,1269,134,203,341,361,600,959,3998,4892,8893,1174,1353,2519,4728,4745,9469,1213,1297,2506,568,607,1177,53,51,108,14177,15339,29516,856,908,1766
6003,110339,116314,226653,6073,5700,11766,13430,12746,26180,6278,5918,12194,6970,6865,13835,18810,18603,37415,14140,14979,29118,12932,14046,26977,12637,14038,26680,11020,12581,23599,6057,7488,13544,2003,3346,5344,105517,111608,217126,4824,4702,9527,4550,4616,9170,232,230,457,226,244,468,5006,5086,10096,83510,88434,171943,22049,22883,44931,89623,95666,185290,15468,15745,31209,92382,99024,191405,1641,1583,3223,12699,12055,24758,4808,4681,9488,2648,2795,5440,5932,7466,13389,50601,55085,105691,6871,7358,14227,20366,21585,41952,4914,5320,10232,2832,3036,5871,463,516,982,102758,108731,211489,7093,7109,14202
6004,44118,46833,90953,2436,2383,4816,5538,5240,10774,2652,2589,5242,3019,2879,5898,6880,6604,13481,5287,5670,10956,5332,5913,11245,5103,5649,10748,4352,5111,9461,2659,3259,5911,874,1548,2417,42081,44902,86977,2042,1929,3973,1530,1629,3157,61,83,146,52,64,116,1636,1781,3411,34896,37538,72431,7087,7220,14308,37453,40351,77805,4606,4475,9079,38230,41280,79506,627,650,1276,5230,4926,10152,1950,1980,3924,875,976,1851,1823,2408,4234,16128,18232,34361,2936,3462,6398,10683,10884,21560,2482,2525,5001,1425,1526,2951,329,347,676,40821,43554,84373,3207,3225,6437
6005,7214,7869,15086,335,333,660,880,795,1679,438,407,846,347,370,711,739,772,1508,727,804,1536,850,994,1843,1074,1235,2307,1020,1128,2154,604,737,1340,205,293,496,6749,7472,14225,467,390,861,546,614,1153,17,23,38,24,21,51,588,660,1245,6082,6652,12742,649,741,1390,6624,7269,13899,181,225,408,6584,7286,13875,77,79,155,815,746,1564,311,307,621,65,75,146,137,273,401,1835,2303,4137,520,634,1150,2204,2363,4568,646,663,1311,353,335,692,13,9,23,6612,7293,13906,406,429,840
7000,40773,38703,79475,2944,2600,5542,6396,5906,12301,3038,2769,5803,3113,2932,6038,6682,6831,13513,5765,5779,11541,5248,5149,10393,4308,4048,8355,2464,2039,4509,724,544,1270,99,105,208,36575,34846,71417,4195,3858,8059,20715,20923,41633,118,107,223,222,231,454,21052,21260,42315,32975,31573,64546,3239,3442,6683,17196,15693,32890,17904,18838,36737,34029,33288,67316,651,643,1291,5453,5028,10475,1080,1079,2158,158,233,394,592,1167,1759,8710,10472,19187,4038,3943,7985,7375,6045,13416,2903,2384,5282,2789,2524,5319,649,649,1290,32998,33097,66099,15303,11215,26516
7001,12598,13309,25912,986,880,1868,1815,1713,3529,776,713,1490,621,661,1283,2229,2639,4872,1961,2065,4023,1548,1768,3313,1482,1564,3048,855,846,1701,273,333,604,56,124,176,11728,12430,24156,872,882,1753,2422,2800,5223,14,14,27,45,46,96,2488,2859,5343,8422,8962,17380,3338,3456,6793,8688,8972,17658,2987,3345,6333,9831,10465,20299,258,211,472,1667,1570,3238,463,435,895,84,120,203,510,938,1447,4921,6057,10982,1219,1161,2384,1720,1427,3142,512,535,1046,469,474,942,119,156,271,11259,11854,23119,2811,3009,5820
7002,64159,63059,127215,4520,4294,8810,8574,8268,16842,3512,3375,6890,4589,3880,8469,12022,12488,24509,9936,10319,20253,8255,8006,16262,6508,6319,12824,4251,4040,8287,1645,1639,3287,349,430,779,60006,60039,120049,4149,3018,7166,5873,5836,11707,238,202,443,660,647,1308,6768,6684,13458,40920,38723,79645,17746,19513,37259,41906,40806,82705,15344,16923,32268,49256,48704,97959,1189,1149,2341,7732,7459,15194,2257,2376,4627,1040,1301,2335,3031,5111,8144,27824,30764,58592,5818,5051,10865,8465,6643,15110,2000,1786,3788,1517,1460,2974,366,435,803,55958,57873,113835,14216,11708,25926
8000,869,794,1666,52,31,88,91,86,178,66,68,133,62,69,136,115,110,230,132,106,243,135,108,241,105,112,215,82,59,145,25,24,50,5,3,9,515,498,1017,357,288,648,37,37,74,5,3,9,0,0,0,39,34,78,646,603,1245,109,125,233,683,657,1340,55,62,119,702,669,1375,15,12,26,89,84,165,46,54,92,19,26,40,25,38,64,355,430,782,42,36,81,144,102,248,35,23,59,22,11,30,0,0,0,487,480,968,62,59,121
8001,242424,248096,490517,14881,14065,28944,31306,29280,60588,14415,13838,28249,18208,18211,36425,41679,42040,83719,36872,37608,74476,30379,30955,61337,24194,25638,49833,17998,20419,38421,9408,11359,20774,3084,4674,7756,233792,239832,473627,8632,8261,16893,4953,4853,9810,134,122,252,159,179,340,5244,5154,10398,165968,167663,333632,66927,71461,138385,174485,177367,351851,57243,60782,118018,207918,213586,421507,4333,4132,8467,29946,27955,57901,11631,11498,23132,8644,9381,18025,13282,16832,30114,143611,149837,293443,9480,8862,18342,22709,24813,47523,6002,6457,12458,4107,4816,8919,896,1112,2008,226272,232604,458873,15251,14585,29830
