SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
2021,17199,18547,35743,983,878,1855,2298,2099,4397,1073,1055,2129,918,931,1851,2255,2292,4543,2056,2228,4287,2105,2383,4493,2133,2497,4622,1942,2179,4121,1046,1329,2376,386,681,1073,16452,17831,34286,746,718,1461,359,328,689,7,0,11,6,0,13,373,332,705,14543,15786,30331,1646,1769,3416,15259,16576,31835,941,967,1911,15294,16720,32011,256,279,537,2116,1971,4083,751,800,1555,204,310,514,475,760,1227,5917,7672,13593,2351,2497,4851,2590,2368,4958,1234,1100,2331,801,813,1613,79,54,130,15818,17135,32958,1312,1357,2663
3000,384027,367847,751871,20316,19125,39438,50025,46223,96251,21977,20122,42095,18496,16913,35413,41337,41370,82708,42255,43166,85421,50245,49692,99933,57737,56267,114001,51158,45399,96555,24659,22238,46900,5816,7334,13151,351115,342856,693964,32912,24992,57902,27336,27503,54837,4404,4280,8687,4205,4108,8313,35944,35887,71836,300101,288291,588389,41221,44561,85780,317956,310002,627965,22433,24484,46921,325297,317771,643066,4364,4115,8472,44229,41141,85372,12436,12813,25250,2066,3320,5386,4862,11761,16617,109476,131154,240627,25447,24288,49724,93458,81130,174588,22946,17316,40265,21159,15866,37027,1585,1156,2738,324371,323015,647383,83273,56794,140067
3001,7432,7093,14523,386,338,728,800,743,1542,329,366,697,512,589,1103,1390,1437,2826,1100,1090,2190,1058,930,1991,924,856,1778,678,528,1199,236,171,405,23,29,51,6467,6427,12895,961,667,1629,182,142,325,11,19,26,12,12,22,206,174,375,4873,4571,9447,1539,1746,3291,5836,5594,11428,577,721,1300,5590,5313,10900,83,89,174,730,667,1396,186,222,408,47,92,142,173,310,488,2991,3400,6392,595,499,1097,1320,1088,2409,260,207,470,109,72,180,15,14,32,5404,5410,10818,3434,3302,6737
3002,1202144,1245137,2447280,75518,71263,146775,166469,157615,324087,78078,74582,152657,85994,85130,171126,179667,186392,366059,171666,179745,351411,155235,163125,318363,126609,135039,261654,96316,106703,203018,51096,59526,110618,15503,26016,41514,1159595,1209048,2368643,42546,36088,78636,31641,33026,64659,1915,1894,3805,2121,2178,4293,35672,37088,72762,822023,841864,1663891,325230,350995,676222,929013,954404,1883418,210546,234173,444723,1002907,1040783,2043689,21502,20255,41759,156257,148397,304660,58205,59697,117907,30395,36253,66647,43252,69148,112401,590392,637653,1228039,67469,63453,130924,170354,179921,350276,41313,39102,80410,30339,35260,65597,6344,7570,13914,1123263,1174201,2297468,69342,67321,136663
3003,35669,38076,73747,1841,1724,3569,4658,4330,8993,2197,1988,4186,1851,1932,3779,3919,4197,8114,3653,4094,7748,4119,4513,8631,4582,5152,9736,4722,5210,9930,3186,3532,6723,940,1396,2337,33556,36427,69989,2114,1645,3761,1704,1770,3477,104,76,184,123,129,252,1932,1976,3908,29007,30873,59887,4507,5147,9654,31637,33741,65377,1948,2341,4292,31727,34018,65745,468,465,934,4304,4043,8348,1364,1349,2716,267,410,676,688,1359,2043,11248,13232,24479,2388,2462,4850,8642,9525,18169,2304,2175,4475,2239,2301,4538,206,188,393,32765,35397,68160,3232,3157,6388
3004,75504,77922,153425,4299,4184,8486,10595,10055,20645,4815,4610,9428,4283,4254,8537,9790,10689,20478,9926,11219,21147,10686,11352,22038,9565,9627,19190,7301,7132,14428,3335,3463,6799,908,1337,2244,71327,74589,145917,4175,3332,7511,3575,4075,7645,1806,2098,3901,1592,1657,3251,6975,7828,14800,52343,52276,104624,16160,19542,35705,58010,58732,116743,10044,12556,22603,62396,63659,126062,1118,1084,2203,9590,9107,18696,3173,3301,6476,906,1322,2230,2327,4537,6859,30848,35599,66447,5530,5183,10711,12530,11900,24431,2940,2745,5686,1889,1978,3864,416,548,961,66151,70116,136273,11383,10418,21800
3005,7183,6906,14089,540,543,1084,1222,1250,2473,517,429,944,481,465,947,1122,1117,2239,1103,1121,2217,927,840,1763,769,670,1437,349,301,646,125,126,254,34,47,79,6608,6596,13209,573,311,880,301,351,649,17,21,40,25,22,41,341,388,727,5426,5404,10829,1042,1031,2079,5880,5821,11700,569,585,1158,5835,5797,11633,134,143,280,1135,1161,2296,330,280,613,56,97,155,145,307,450,2497,2927,5427,529,393,919,1275,1067,2337,295,202,497,145,114,260,27,15,44,6246,6361,12605,1208,779,1986
3006,22649,22531,45185,1551,1473,3023,3453,3411,6863,1519,1483,3003,1291,1260,2553,2958,3113,6074,2996,3083,6080,3137,3161,6301,2991,2678,5672,1825,1695,3516,738,851,1585,205,314,520,21233,21565,42801,1419,965,2381,1298,1317,2611,56,57,108,144,171,315,1498,1545,3042,17950,17879,35823,3210,3419,6625,19715,19609,39318,1440,1680,3121,19784,19708,39495,420,381,797,3218,3156,6366,987,1062,2047,170,248,423,416,1054,1471,7709,8604,16316,1896,1690,3584,4785,4533,9317,1102,989,2095,712,684,1402,67,35,107,20692,20976,41671,2028,1577,3602
3007,335854,357741,693596,18956,17764,36727,43377,40966,84337,20201,19631,39832,20617,21596,42213,44513,48171,92682,44442,48221,92660,44239,47737,91977,38957,43486,82452,34031,38005,72033,20220,22476,42694,6316,9674,15985,322871,346545,669422,12983,11194,24180,7543,7789,15328,388,382,774,406,472,879,8336,8645,16984,225135,235500,460640,90661,101966,192619,274225,288392,562617,40735,48326,89054,273448,291011,564459,5896,5510,11408,40278,38231,78506,14713,15289,30006,6812,8770,15582,10988,19108,30096,150513,170187,320696,23382,22978,46355,57533,61798,119336,13928,13844,27780,7413,8161,15573,960,1083,2042,309601,331919,641523,26975,28576,55552
3008,10678,11749,22424,617,568,1186,1474,1379,2855,765,714,1484,600,589,1184,1249,1239,2489,1101,1339,2434,1240,1450,2688,1301,1500,2806,1280,1504,2783,765,992,1759,280,477,754,10105,11249,21357,569,498,1063,487,521,1007,34,29,65,29,40,71,552,588,1141,8995,9843,18833,1045,1304,2352,9765,10732,20496,302,438,741,9679,10746,20424,156,140,297,1371,1275,2646,465,515,980,77,126,208,144,455,601,3307,4012,7318,761,801,1561,2591,2918,5510,663,690,1358,603,704,1304,28,36,75,9852,10950,20801,811,731,1547
