SUA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
1000,5729,11421,29240,32268,36948,32661,10153,1868,196,160487,6875,3904,5941,5823,7540,11143,7384,1904,255,50767,813,698,1365,1457,1903,2552,1089,211,42,10119,484,513,1010,933,974,960,432,269,74,5643,13904,16530,37553,40480,47365,47315,19054,4254,566,227019,640,972,1417,1149,1363,1450,230,8,0,7232,795,427,464,343,425,718,309,27,3,3509,1440,1398,1873,1495,1784,2164,541,32,6,10742,15347,17926,39429,41971,49152,49484,19597,4288,575,237759,11799,3305,5890,6297,9334,21936,48072,29608,8349,144596,2474,2217,4735,5036,5715,6349,5693,3465,1354,37034,29618,23450,50050,53303,64200,77761,73355,37359,10281,419389,2315,6878,16028,18697,25315,18652,4215,594,44,92736,9563,6452,15373,19082,20393,21942,7797,1161,110,101884,1069,908,3488,2269,2011,2658,874,138,21,13437,462,353,748,649,748,664,342,190,45,4208,13413,14595,35637,40702,48472,43915,13231,2086,220,212258,398,504,742,649,761,666,77,0,0,3800,964,478,738,678,747,884,179,17,5,4678,1362,977,1478,1324,1508,1551,260,20,3,8478
1001,627,1598,4215,3958,3613,2686,582,33,3,17316,853,627,822,604,585,713,518,106,10,4837,87,58,109,115,132,186,80,8,0,777,40,41,110,72,58,46,13,10,0,387,1611,2321,5255,4747,4391,3630,1193,156,16,23314,82,136,183,147,124,118,10,0,0,794,146,68,64,30,23,54,29,3,0,422,230,204,247,176,146,163,44,3,0,1218,1841,2526,5501,4924,4538,3792,1239,161,13,24531,1078,328,539,542,764,1444,3463,2252,733,11143,170,177,397,347,313,269,244,162,76,2148,3086,3029,6437,5815,5607,5510,4950,2565,831,37822,269,962,2390,2261,2473,1596,229,10,0,10197,1242,1037,2114,2245,1952,1801,608,49,0,11056,110,106,426,210,169,195,64,9,0,1284,35,48,91,52,44,42,15,12,0,337,1655,2157,5018,4769,4637,3639,917,73,4,22873,39,70,85,84,76,50,8,0,0,419,150,74,96,87,70,76,17,0,0,565,198,141,180,175,148,133,25,0,0,993
1002,110,290,804,751,722,624,138,15,0,3455,214,236,283,193,117,180,157,34,0,1418,15,21,38,20,26,49,16,8,0,191,9,12,26,14,8,12,4,3,0,82,355,561,1142,974,873,865,312,54,6,5147,12,28,64,32,30,15,3,0,0,194,44,44,24,12,10,8,4,0,0,145,56,69,94,45,41,25,9,0,0,336,411,630,1235,1025,913,892,326,54,6,5487,361,222,178,176,180,347,685,557,180,2886,138,167,158,83,76,81,60,72,34,866,907,1025,1567,1278,1163,1324,1069,683,226,9238,50,188,579,540,593,425,73,6,0,2452,304,327,471,377,357,391,147,29,0,2405,48,36,77,41,39,51,24,3,0,313,15,11,15,8,12,10,0,3,0,78,410,561,1144,973,1001,880,242,32,3,5250,14,25,26,21,17,14,0,0,0,115,50,42,27,20,20,13,5,0,0,171,65,67,54,37,32,28,5,0,0,291
1003,188,433,1088,1542,1585,1284,299,34,0,6460,473,266,410,443,510,584,416,78,10,3188,38,27,68,91,93,116,34,5,5,468,13,22,37,32,37,27,16,8,0,190,714,752,1603,2100,2220,2010,769,128,15,10306,19,33,45,33,38,37,8,0,0,223,57,13,19,9,27,34,15,5,0,179,77,45,67,49,68,73,21,5,0,397,789,802,1667,2145,2288,2083,786,131,15,10704,412,115,187,215,345,849,2246,1590,597,6554,68,65,135,151,131,151,149,106,79,1037,1269,977,1989,2509,2768,3078,3185,1824,691,18295,71,282,694,851,1226,849,137,13,0,4116,574,364,817,1093,1070,1148,399,48,0,5516,52,37,157,128,97,107,44,4,0,625,15,7,27,38,31,28,7,4,0,165,712,696,1696,2102,2418,2136,590,68,6,10423,14,18,24,17,26,19,0,0,0,122,50,15,32,29,41,39,4,0,0,223,67,34,58,42,72,57,6,0,0,340
1004,61,121,367,397,473,386,89,12,0,1903,131,85,119,111,148,218,154,19,0,986,15,11,13,23,45,46,14,5,0,171,10,9,21,20,24,13,0,0,0,85,211,220,515,550,689,666,258,34,3,3146,15,20,33,21,37,17,4,0,0,136,12,0,10,3,8,15,11,0,0,69,25,25,44,25,41,31,8,0,0,197,237,245,559,573,731,690,267,34,3,3342,177,53,87,113,207,484,1218,765,236,3337,29,38,58,54,90,79,83,61,19,513,447,329,699,739,1034,1255,1570,855,258,7192,27,78,223,264,357,272,50,3,0,1284,148,102,225,289,318,408,136,10,0,1646,23,14,37,34,39,49,16,3,0,214,9,0,13,15,12,9,3,0,0,61,208,197,494,608,723,749,206,16,0,3206,8,8,7,5,20,9,0,0,0,60,14,6,10,11,9,20,0,0,0,68,19,17,15,15,28,28,0,0,0,128
1005,183,566,1540,1443,1403,1002,200,18,0,6355,381,315,332,197,204,255,194,43,0,1929,44,32,61,43,47,77,24,4,0,326,13,30,33,21,20,11,3,3,0,135,615,947,1968,1699,1676,1346,424,59,7,8740,34,57,71,45,49,33,3,0,0,287,53,29,18,13,12,10,4,4,0,144,85,80,93,55,60,47,6,4,0,432,705,1029,2059,1757,1735,1391,433,61,9,9173,550,277,471,398,338,571,1241,871,300,5015,65,79,120,119,100,101,82,63,29,767,1323,1382,2653,2277,2171,2062,1751,999,335,14952,103,428,992,925,1066,660,102,0,0,4277,499,455,727,691,645,589,197,21,6,3823,40,56,145,73,59,87,29,0,0,487,8,13,30,18,7,14,5,3,0,93,646,953,1898,1705,1771,1343,332,23,4,8677,20,25,31,24,26,19,0,0,0,139,54,41,36,36,22,29,7,0,0,214,71,65,66,57,47,43,8,0,0,352
1006,231,442,1225,1416,1580,1232,364,54,3,6553,319,230,319,289,343,453,367,118,10,2447,44,23,70,71,83,104,46,12,0,466,11,11,29,36,35,26,11,8,0,165,609,707,1649,1815,2045,1815,786,186,16,9631,18,22,39,37,40,32,8,0,0,200,36,10,16,11,11,19,8,3,0,114,55,33,53,53,48,48,14,3,0,318,667,742,1700,1864,2100,1865,801,192,15,9948,469,100,159,146,252,578,1674,1579,519,5480,40,56,65,106,115,95,120,122,98,819,1169,897,1929,2117,2465,2536,2593,1893,634,16248,77,264,727,793,1095,757,171,18,0,3905,407,333,620,841,941,864,440,72,0,4528,68,52,148,79,84,107,47,5,0,601,18,14,25,19,20,15,15,3,0,128,565,661,1528,1737,2133,1752,671,100,9,9164,6,9,29,12,21,23,3,0,0,108,42,14,27,33,34,22,10,4,0,177,49,23,52,42,56,42,8,4,0,290
1007,91,222,581,528,519,516,117,3,0,2589,118,78,136,83,98,137,81,7,3,748,13,9,39,30,39,35,19,0,0,179,10,21,16,10,6,22,10,0,0,90,232,321,772,653,662,715,224,14,6,3605,14,24,42,27,42,37,4,0,0,196,16,10,7,10,8,13,11,0,0,75,33,30,55,36,46,52,12,0,0,267,261,357,825,698,712,766,238,14,6,3870,198,71,140,141,217,409,794,479,168,2618,59,46,87,93,84,66,64,48,32,585,519,475,1050,921,1015,1244,1101,542,205,7073,42,149,433,329,426,367,76,3,0,1832,181,108,280,251,221,298,83,9,0,1433,14,17,77,33,18,54,11,0,0,223,6,0,18,21,16,15,3,0,0,78,247,281,801,634,679,738,166,17,0,3570,11,0,10,23,14,9,0,0,0,68,12,12,14,17,12,16,6,0,0,81,21,16,22,38,23,30,6,0,0,153
1008,9,37,314,357,313,198,60,8,0,1288,74,81,349,210,170,158,112,18,0,1165,9,14,52,26,15,15,17,0,0,150,0,3,27,18,8,3,0,0,0,72,97,134,740,616,503,376,184,19,0,2677,0,10,31,18,20,12,0,0,0,95,8,11,14,15,6,3,3,0,0,63,18,19,45,33,28,19,3,0,0,154,113,151,782,648,532,397,186,19,0,2837,82,44,93,101,92,228,390,197,46,1275,17,31,106,89,65,48,40,19,3,416,208,221,983,843,688,675,620,237,50,4520,6,56,285,225,177,130,27,0,0,900,84,147,468,357,256,226,94,9,0,1641,25,9,49,42,26,26,6,3,0,177,0,3,34,9,8,6,5,0,0,65,111,217,838,630,471,379,126,11,0,2792,0,12,29,15,11,12,0,0,0,72,9,16,23,10,15,4,4,0,0,74,9,25,43,25,26,19,4,0,0,142
1009,106,162,299,412,581,459,79,0,0,2101,140,66,73,89,142,236,114,18,3,875,4,7,14,17,26,45,14,0,0,130,7,0,12,7,18,14,0,4,4,67,255,237,399,526,770,753,212,22,7,3177,6,17,22,20,25,28,6,0,0,124,24,3,9,3,13,19,9,0,0,71,30,20,25,24,31,48,9,0,0,200,287,260,422,544,799,802,221,29,7,3376,173,49,65,65,177,508,1572,1125,312,4045,20,17,30,37,33,54,83,52,31,354,488,316,513,649,1013,1361,1876,1201,348,7767,41,70,152,267,411,303,40,3,0,1288,186,99,198,322,386,473,110,12,0,1790,24,9,38,42,34,55,16,0,0,219,0,4,5,5,11,6,6,0,3,48,251,178,395,633,845,838,173,22,3,3339,3,4,14,5,14,9,0,0,0,53,22,6,11,8,15,28,7,0,0,98,26,11,27,13,29,39,7,0,4,149
