SUA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1000,77030,70021,63729,51701,47895,32682,34105,53369,8752,439281
1001,5164,8689,7005,6568,5543,4281,3318,4843,775,46191
1002,1301,2781,1207,1381,1179,885,397,1111,147,10396
1003,2883,4677,2854,2791,2284,1996,857,2083,316,20730
1004,759,926,980,945,779,762,316,752,131,6347
1005,1857,3365,2438,2769,2062,1583,1168,1893,287,17428
1006,2751,4056,2990,2082,2073,1686,1065,1787,294,18791
1007,677,1181,1115,1173,750,637,737,735,155,7172
1008,967,1376,748,753,401,455,125,499,136,5465
1009,718,1192,1053,1026,757,578,382,708,95,6514
1010,18247,30404,21775,19418,19526,13723,8919,14518,2523,149052
1011,3895,6369,4170,4615,3901,3141,1470,3888,522,31976
1012,2019,3785,2726,3038,2456,1889,1144,1988,355,19401
1013,708,1243,987,1191,812,832,284,799,133,6986
1014,1134,1656,1560,1757,1253,1014,908,1369,220,10874
1015,665,1115,883,1305,881,760,505,957,124,7194
1016,1320,1451,1374,1007,1112,924,702,2155,271,10301
1017,489,726,637,990,533,534,377,699,105,5082
1018,1158,2563,1642,1946,1520,1285,682,1731,184,12716
1019,428,636,741,666,617,406,520,536,86,4647
1020,752,1010,1282,930,913,601,560,707,138,6890
1021,1274,2093,1942,1481,1407,919,934,1217,236,11500
1022,628,937,1069,738,576,517,757,641,91,5949
1023,352,559,1057,572,492,456,978,727,106,5299
1024,1413,1883,1821,1584,1322,1098,546,1114,210,10996
1025,25683,54052,35275,32434,29673,20894,16628,22301,3566,240511
1026,1670,2597,2499,2640,1648,1611,922,1789,260,15631
1027,2131,4453,2845,2581,2444,1599,1342,1927,299,19618
1028,2393,4997,2763,3320,2641,2132,820,1892,356,21307
1029,722,1002,1473,1249,887,687,1368,805,148,8338
1030,864,1346,1271,1201,830,654,340,792,131,7427
1031,346657,676683,227805,202793,311246,172736,124812,147249,43982,2253956
1032,1966,3608,2682,2622,2218,1841,1296,3002,284,19521
1033,853,1390,1235,1614,944,1083,629,1328,169,9250
1034,828,1151,1127,906,679,739,246,735,100,6508
1035,2987,5876,3975,4004,3214,2620,1483,2908,461,27525
1036,15663,32151,20454,18323,17559,11346,9198,12062,2205,138956
2000,59567,50552,47213,36759,32097,23900,21170,40123,6416,317796
2001,1310,2040,2084,1507,1760,1004,1091,1073,218,12099
2002,677,1056,929,918,725,678,415,940,131,6475
2003,5841,11915,7193,7213,6437,4962,2706,5140,780,52182
2004,4956,10576,6415,6590,5622,4383,2827,5641,758,47758
2005,574,1392,582,564,448,306,166,447,72,4557
2006,574,677,849,798,521,537,493,1350,119,5923
2007,1337,1711,1621,1421,1074,1038,621,1189,164,10162
2008,16864,32821,20021,18728,15775,12346,7981,13007,2357,139894
2009,1770,2784,1748,1234,1474,787,482,736,162,11174
2010,1066,1502,1158,1056,900,795,511,869,137,7987
2011,330528,646799,287349,250732,308136,198343,139187,187051,47538,2395663
2012,3129,4025,3195,2911,2554,2253,1541,3271,568,23438
2013,755,1102,1660,1266,1139,799,714,1146,200,8776
2014,449,735,702,689,441,400,568,664,118,4769
2015,798,1426,931,1008,677,615,307,690,114,6565
2016,2829,4286,3097,2826,2625,2212,1489,3400,449,23209
2017,718,899,715,673,586,502,263,782,100,5241
2018,1669,3255,2802,2321,2584,1795,1263,2077,368,18132
2019,943,1698,1238,1307,960,886,612,1133,145,8934
2020,2479,3580,3121,2466,2279,1594,1324,2514,337,19700
2021,1926,3489,2438,2300,1882,1799,953,2406,309,17499
3000,48935,39646,48027,34368,33168,22725,32887,46990,7372,314121
3001,1075,970,1396,1247,745,728,608,1063,137,7967
3002,152431,303498,148190,140741,164821,99787,75836,106531,21752,1213582
3003,2967,4919,4015,4324,3405,2863,2094,4338,486,29407
3004,7993,15309,10791,11091,8730,7027,3973,7157,1218,73295
3005,764,1047,1387,627,816,731,1119,860,141,7505
3006,1716,3282,4265,2349,2151,1747,2445,2528,454,20948
3007,42968,67905,47538,43398,41809,34765,16920,31063,6756,333117
3008,712,1151,1332,1243,1000,970,761,1301,169,8638
3009,1824,3732,2684,3536,2123,2092,1066,2174,368,19593
3010,447,663,646,617,449,435,292,818,84,4444
3011,3719,6929,8110,4630,4793,3673,4591,4190,810,41452
3012,762,1213,1369,1541,1246,974,731,1233,186,9243
3013,697,1588,1925,938,1012,597,1405,813,207,9178
3014,3038,6254,5731,5197,4551,3309,3231,4320,647,36282
3015,22401,37359,26957,23957,21272,17249,8486,17334,3096,178125
3016,6826,14198,9497,9314,8485,5868,3866,7036,1036,66126
3017,8736,17600,12628,14456,10825,7627,6389,8126,1464,87845
3018,664,819,835,845,697,675,595,1127,120,6376
3019,954,1741,1618,1258,1082,760,948,829,176,9365
4000,24035,15819,16988,13562,12062,8873,9130,18438,2437,121338
4001,79638,156330,84856,87211,87022,56241,36453,61748,11352,660848
4002,1479,2035,2027,1990,1496,1524,1256,1784,211,13803
4003,699,688,961,1102,688,755,498,1525,149,7070
4004,454,812,765,965,603,508,506,715,117,5450
4005,807,1231,1116,1070,804,788,416,1008,121,7358
4006,472,763,790,886,559,598,614,706,100,5486
4007,1070,1529,1414,1560,930,955,468,1125,144,9205
4008,749,1244,1537,1179,800,754,1342,1029,202,8843
5000,22499,15481,20522,12229,11812,7076,14432,16878,2528,123469
5001,1715,2717,2500,2287,1691,1537,1088,2003,220,15751
5002,977,1675,918,1031,916,519,353,630,158,7176
5003,3091,5826,6573,4281,4052,3176,3602,4477,559,35640
5004,2483,3153,3380,2319,1871,1800,1274,2320,310,18915
5005,685,755,920,529,644,494,689,665,127,5501
5006,1732,2992,2989,2387,2007,1616,1614,1968,276,17580
5007,1376,2233,3366,1416,1681,990,2499,1341,267,15164
5008,977,1348,2203,833,1020,530,875,879,198,8866
5009,124436,249833,154090,126386,131055,83498,72836,91039,17373,1050544
5010,705,999,1915,644,851,421,1133,763,202,7643
6000,10882,10142,11127,8617,7256,5251,6037,10038,1474,70824
6001,1073,1896,1678,1714,1313,1202,1037,1482,198,11597
6002,1429,1882,2126,2067,1413,1405,1051,2056,253,13688
6003,13515,27013,13973,15264,14163,9192,4730,9640,1951,109439
6004,4793,8939,5627,6106,4977,4213,2849,4640,717,42858
6005,712,1043,944,907,657,568,529,822,135,6317
7000,3459,4793,3569,4055,2801,1250,1613,2921,704,25174
7001,1682,3486,1736,2412,1739,847,489,971,358,13726
7002,8692,15300,9456,10336,9560,4843,3451,5199,1300,68133
8000,160,197,107,77,104,47,21,67,12,792
8001,47502,82313,26558,29367,39595,16701,7080,13881,5696,268700
9000,364,299,391,335,279,135,135,271,43,2251
