POA_CODE_2021,SA2_CODE_2021,mb_count,poa_total,ratio
2335,106011107,84,88,0.9545454545454546
2336,106041129,67,70,0.9571428571428572
2337,106041128,96,181,0.5303867403314917
2338,106041129,31,35,0.8857142857142857
2339,110041201,16,16,1.0
2340,110041202,273,715,0.38181818181818183
2341,110041201,26,26,1.0
2342,110041201,9,10,0.9
2343,110041201,89,92,0.967391304347826
2344,110041205,8,8,1.0
2345,110041205,13,13,1.0
2346,110041205,103,103,1.0
2347,110041205,62,73,0.8493150684931506
2350,110011186,426,518,0.8223938223938224
2352,110041205,34,34,1.0
2353,110041205,16,16,1.0
2354,110011189,120,126,0.9523809523809523
2355,110041205,20,20,1.0
2356,110031198,7,7,1.0
2357,105031099,80,80,1.0
2358,110011188,64,64,1.0
2359,110021192,11,18,0.6111111111111112
2360,110021191,171,236,0.7245762711864406
2361,110021192,29,29,1.0
2365,110011187,78,108,0.7222222222222222
2369,110021192,20,20,1.0
2370,110021190,161,171,0.9415204678362573
2371,110021190,30,43,0.6976744186046512
2372,110021194,143,143,1.0
2379,110041200,6,9,0.6666666666666666
2380,110041199,195,221,0.8823529411764706
2381,110041200,29,38,0.7631578947368421
2382,110041200,32,36,0.8888888888888888
2386,105011096,8,10,0.8
2387,105011096,2,4,0.5
2388,110031198,52,59,0.8813559322033898
2390,110031197,112,159,0.7044025157232704
2395,105031099,19,19,1.0
2396,105031099,31,31,1.0
2397,110031198,7,9,0.7777777777777778
2398,110031196,1,1,1.0
2399,110031196,9,9,1.0
2400,110031195,171,204,0.8382352941176471
2401,110021193,6,7,0.8571428571428571
2402,110021193,36,36,1.0
2403,110021193,19,19,1.0
2404,110021193,73,73,1.0
2405,110031196,16,16,1.0
2406,110031196,23,26,0.8846153846153846
2408,110031196,4,6,0.6666666666666666
2409,110031196,16,16,1.0
2410,110021192,8,8,1.0
2411,110031196,5,5,1.0
2415,108011151,9,9,1.0
2420,106011110,106,106,1.0
2421,106011110,36,37,0.972972972972973
2422,108051167,185,192,0.9635416666666666
2423,108011151,102,149,0.6845637583892618
2424,108051170,25,26,0.9615384615384616
2425,108011151,37,37,1.0
2426,108051170,10,10,1.0
2427,108051170,69,69,1.0
2428,108011152,322,634,0.5078864353312302
2429,108051171,89,174,0.5114942528735632
2430,108051169,370,654,0.5657492354740061
2431,108021160,119,119,1.0
2439,108041162,96,96,1.0
2440,108021155,235,472,0.4978813559322034
2441,108021156,60,113,0.5309734513274337
2443,108041162,213,246,0.8658536585365854
2444,108041164,367,895,0.4100558659217877
2445,108041162,119,120,0.9916666666666667
2446,108041166,172,267,0.6441947565543071
2447,108021157,245,291,0.8419243986254296
2448,108021158,169,220,0.7681818181818182
2449,108021159,73,75,0.9733333333333334
2450,104021084,314,869,0.3613348676639816
2452,104021089,255,255,1.0
2453,104021087,116,132,0.8787878787878788
2454,104021083,196,269,0.7286245353159851
2455,104021090,78,78,1.0
2456,104021091,284,316,0.8987341772151899
2460,104011080,321,625,0.5136
2462,104011081,104,104,1.0
2463,104011082,136,165,0.8242424242424242
2464,104011082,169,169,1.0
2465,104011082,9,9,1.0
2466,104011082,55,55,1.0
2469,112021245,143,236,0.6059322033898306
2470,112021244,179,248,0.7217741935483871
2471,112021245,44,58,0.7586206896551724
2472,112011241,56,61,0.9180327868852459
2473,112011241,75,75,1.0
2474,112021247,143,143,1.0
2475,110021194,15,18,0.8333333333333334
2476,110021194,21,41,0.5121951219512195
2477,112011237,169,170,0.9941176470588236
2478,112011236,354,541,0.6543438077634011
2479,112011238,53,66,0.803030303030303
2480,112021248,267,624,0.42788461538461536
2481,112011240,220,252,0.873015873015873
2482,112011243,107,107,1.0
2483,112011239,186,234,0.7948717948717948
2484,112031251,193,362,0.5331491712707183
2485,112031254,254,254,1.0
2486,112031550,211,442,0.47737556561085975
2487,112031250,239,246,0.9715447154471545
2488,112031253,63,63,1.0
2489,112031253,143,143,1.0
2490,112031252,9,13,0.6923076923076923
2500,107041548,270,655,0.4122137404580153
2502,107011546,90,204,0.4411764705882353
2505,107011546,85,97,0.8762886597938144
2506,107011545,125,125,1.0
2508,107041147,139,151,0.9205298013245033
2515,107041148,187,187,1.0
2516,107041150,95,96,0.9895833333333334
2517,107041150,184,184,1.0
2518,107041145,227,290,0.7827586206896552
2519,107041144,239,239,1.0
2525,107041146,154,154,1.0
2526,107011134,259,282,0.9184397163120568
2527,107031136,231,352,0.65625
2528,107031143,286,336,0.8511904761904762
2529,107031141,221,385,0.574025974025974
2530,107011131,351,462,0.7597402597402597
2533,107031138,136,263,0.5171102661596958
2534,107031140,102,102,1.0
2535,114011272,115,118,0.9745762711864406
2536,101041018,256,581,0.4406196213425129
2537,101041026,206,324,0.6358024691358025
2538,114011283,32,60,0.5333333333333333
2539,114011282,348,525,0.6628571428571428
2540,114011279,263,978,0.2689161554192229
2541,114011278,253,474,0.5337552742616034
2545,101041024,57,73,0.7808219178082192
2546,101041027,373,396,0.9419191919191919
2548,101041025,191,196,0.9744897959183674
2549,101041025,67,95,0.7052631578947368
2550,101041020,205,424,0.4834905660377358
2551,101041023,82,138,0.5942028985507246
2555,127011505,4,8,0.5
2556,127011505,19,24,0.7916666666666666
2557,127011727,120,164,0.7317073170731707
2558,123021438,127,127,1.0
2559,123021438,43,43,1.0
2560,123021437,270,946,0.2854122621564482
2563,123021444,6,6,1.0
2564,123021706,171,171,1.0
2565,123021705,218,345,0.6318840579710145
2566,123021443,222,296,0.75
2567,123011701,184,429,0.4289044289044289
2568,123031446,10,10,1.0
2569,123031446,17,17,1.0
2570,123011433,151,617,0.24473257698541329
2571,123031447,97,154,0.6298701298701299
2572,123031447,54,54,1.0
2573,123031447,64,64,1.0
2574,123031445,57,65,0.8769230769230769
2575,114021286,171,288,0.59375
2576,114021284,224,239,0.9372384937238494
2577,114021287,172,347,0.4956772334293948
2578,114021289,49,49,1.0
2579,101051540,57,90,0.6333333333333333
2580,101051539,431,639,0.6744913928012519
2581,101061542,41,73,0.5616438356164384
2582,101061541,109,210,0.5190476190476191
2583,101051540,103,108,0.9537037037037037
2584,101061542,12,12,1.0
2585,101061544,6,7,0.8571428571428571
2586,101061544,56,61,0.9180327868852459
2587,101061544,72,73,0.9863013698630136
2588,113031263,10,10,1.0
2590,113031263,119,126,0.9444444444444444
2594,101061543,208,243,0.8559670781893004
2611,113021262,9,14,0.6428571428571429
2618,101061542,8,8,1.0
2619,101021012,106,107,0.9906542056074766
2620,101021009,173,613,0.2822185970636215
2621,101021611,79,80,0.9875
2622,101021007,165,200,0.825
2623,101021611,20,20,1.0
2624,101031016,4,4,1.0
2625,101031016,2,2,1.0
2626,101031015,9,9,1.0
2627,101031016,116,118,0.9830508474576272
2628,101031016,41,44,0.9318181818181818
2629,101031015,33,38,0.868421052631579
2630,101031014,128,194,0.6597938144329897
2631,101031015,22,33,0.6666666666666666
2632,101031013,74,79,0.9367088607594937
2633,101031013,11,11,1.0
2640,109011172,239,685,0.34890510948905107
2641,109011176,214,223,0.9596412556053812
2642,109011175,64,114,0.5614035087719298
2643,109031181,43,43,1.0
2644,109011175,103,104,0.9903846153846154
2645,109031181,31,35,0.8857142857142857
2646,109031180,116,211,0.5497630331753555
2647,109031181,51,52,0.9807692307692307
2648,109021179,40,89,0.449438202247191
2649,113021260,4,6,0.6666666666666666
2650,113031269,300,984,0.3048780487804878
2651,113031271,29,29,1.0
2652,113031271,69,151,0.45695364238410596
2653,113021260,85,85,1.0
2655,113031271,27,27,1.0
2656,113031271,36,36,1.0
2658,109011175,25,30,0.8333333333333334
2659,109011175,20,20,1.0
2660,109011175,34,34,1.0
2661,113031270,1,1,1.0
2663,113031265,72,72,1.0
2665,113031266,38,74,0.5135135135135135
2666,113031266,179,187,0.9572192513368984
2668,103021069,16,17,0.9411764705882353
2669,103021069,35,64,0.546875
2671,103021069,86,93,0.9247311827956989
2672,103021062,32,33,0.9696969696969697
2675,113011257,56,56,1.0
2678,113031268,2,2,1.0
2680,113011256,288,397,0.72544080604534
2681,113011257,36,36,1.0
2700,113011259,128,128,1.0
2701,113031271,41,41,1.0
2702,113031271,21,21,1.0
2703,113011258,12,12,1.0
2705,113011258,168,205,0.8195121951219512
2706,113011257,28,28,1.0
2707,113011257,38,39,0.9743589743589743
2710,109031182,132,229,0.5764192139737991
2711,109021177,76,113,0.672566371681416
2712,109031185,50,50,1.0
2713,109031185,58,62,0.9354838709677419
2714,109031185,62,66,0.9393939393939394
2715,109021179,52,52,1.0
2716,109031185,41,46,0.8913043478260869
2717,109021178,27,27,1.0
2720,113021261,123,200,0.615
2721,103021066,6,12,0.5
2722,113031264,71,86,0.8255813953488372
2725,113031263,11,11,1.0
2726,101061542,6,6,1.0
2727,113031264,14,14,1.0
2729,113021262,48,54,0.8888888888888888
2730,113021262,32,33,0.9696969696969697
2731,109031184,99,119,0.8319327731092437
2732,109031183,73,73,1.0
2733,109031183,17,17,1.0
2734,109031183,27,32,0.84375
2735,109031183,9,9,1.0
2736,109021179,8,8,1.0
2737,109021179,23,23,1.0
2738,109021178,27,34,0.7941176470588235
2739,109021178,23,23,1.0
2745,124031460,201,334,0.6017964071856288
2747,124031462,318,621,0.5120772946859904
2748,124031463,27,27,1.0
2749,124031707,214,214,1.0
2750,124031464,257,642,0.40031152647975077
2752,124031465,62,63,0.9841269841269841
2753,124041466,124,226,0.5486725663716814
2754,124041466,80,86,0.9302325581395349
2756,124041467,222,456,0.4868421052631579
2757,115031300,10,10,1.0
2758,115031300,78,106,0.7358490566037735
2759,124051470,201,275,0.730909090909091
2760,124051581,262,451,0.5809312638580931
2761,116031315,187,300,0.6233333333333333
2762,116021632,102,151,0.6754966887417219
2763,116021563,211,313,0.6741214057507987
2765,116021630,155,438,0.3538812785388128
2766,116031319,160,163,0.9815950920245399
2767,116011306,238,239,0.99581589958159
2768,116021309,139,247,0.562753036437247
2769,116021628,85,129,0.6589147286821705
2770,116031317,222,622,0.35691318327974275
2773,124011450,84,84,1.0
2774,124011450,165,165,1.0
2775,115031299,42,77,0.5454545454545454
2776,124011454,49,49,1.0
2777,124011454,224,224,1.0
2778,124011453,35,35,1.0
2779,124011453,63,63,1.0
2780,124011452,292,293,0.9965870307167235
2782,124011455,114,114,1.0
2783,124011453,51,51,1.0
2784,124011453,21,21,1.0
2785,124011449,105,106,0.9905660377358491
2786,124011449,32,43,0.7441860465116279
2787,103011061,149,191,0.7801047120418848
2790,103031070,231,325,0.7107692307692308
2791,103041076,11,11,1.0
2792,103041076,9,10,0.9
2793,103021064,30,30,1.0
2794,103021063,171,203,0.8423645320197044
2795,103011612,184,701,0.2624821683309558
2797,103041076,6,6,1.0
2798,103041076,24,32,0.75
2799,103041076,70,77,0.9090909090909091
2800,103041077,349,710,0.4915492957746479
2803,101061544,11,11,1.0
2804,103021064,53,53,1.0
2805,103021064,12,12,1.0
2806,103021065,19,19,1.0
2807,101061544,12,16,0.75
2808,101061544,6,12,0.5
2809,103021066,5,5,1.0
2810,103021066,79,79,1.0
2817,105031104,10,10,1.0
2818,105031106,14,18,0.7777777777777778
2820,105031106,137,139,0.9856115107913669
2821,105031105,70,70,1.0
2822,105031103,7,8,0.875
2823,105031105,28,28,1.0
2824,105011095,44,50,0.88
2825,105011095,83,83,1.0
2826,105011095,7,7,1.0
2827,105031104,67,67,1.0
2828,105011094,18,24,0.75
2829,105011094,72,72,1.0
2830,105031101,277,694,0.39913544668587897
2831,105011095,16,65,0.24615384615384617
2832,105011096,57,57,1.0
2833,105011096,19,20,0.95
2834,105011096,50,50,1.0
2835,105011093,114,114,1.0
2836,105021098,51,51,1.0
2838,105011096,8,8,1.0
2839,105011092,30,30,1.0
2840,105011092,89,107,0.8317757009345794
2842,105031099,14,17,0.8235294117647058
2843,105031099,26,26,1.0
2844,103031074,39,39,1.0
2845,103031071,39,39,1.0
2846,103031071,16,18,0.8888888888888888
2847,103031071,40,40,1.0
2848,103031073,46,46,1.0
2849,103031073,75,85,0.8823529411764706
2850,103031074,271,484,0.5599173553719008
2852,103031074,91,93,0.978494623655914
2864,103041079,19,21,0.9047619047619048
2865,103041079,26,26,1.0
2866,103041079,42,45,0.9333333333333333
2867,103041079,15,17,0.8823529411764706
2868,105031106,12,16,0.75
2869,103021068,26,33,0.7878787878787878
2870,103021067,196,222,0.8828828828828829
2871,103021065,210,213,0.9859154929577465
2873,103021062,19,23,0.8260869565217391
2874,103021062,12,12,1.0
2875,103021068,22,31,0.7096774193548387
2876,103021068,17,22,0.7727272727272727
2877,103021062,70,97,0.7216494845360825
2878,105021098,37,43,0.8604651162790697
2879,105021098,82,82,1.0
2880,105021097,316,383,0.825065274151436
2898,108031161,16,16,1.0
3000,206041503,119,312,0.3814102564102564
3002,206041119,88,88,1.0
3003,206041510,62,83,0.7469879518072289
3004,206051128,54,100,0.54
3006,206041509,67,118,0.5677966101694916
3008,206041118,67,73,0.9178082191780822
3011,213031348,265,333,0.7957957957957958
3012,213031351,153,339,0.45132743362831856
3013,213031352,206,209,0.9856459330143541
3015,213021344,262,263,0.9961977186311787
3016,213021346,264,266,0.9924812030075187
3018,213021341,210,210,1.0
3019,213031347,128,128,1.0
3020,213011338,201,581,0.3459552495697074
3021,213011334,220,586,0.37542662116040953
3022,213011328,41,43,0.9534883720930233
3023,213011569,198,647,0.30602782071097373
3024,213051590,128,335,0.382089552238806
3025,213021343,148,150,0.9866666666666667
3026,213011570,86,122,0.7049180327868853
3027,213051363,60,85,0.7058823529411765
3028,213021342,225,347,0.6484149855907781
3029,213051583,229,1319,0.17361637604245642
3030,213051468,240,1255,0.19123505976095617
3031,206041121,160,258,0.6201550387596899
3032,206031113,182,357,0.5098039215686274
3033,210011534,170,189,0.8994708994708994
3034,210011533,146,146,1.0
3036,210011228,75,82,0.9146341463414634
3037,213041575,154,487,0.3162217659137577
3038,213011340,174,287,0.6062717770034843
3039,206031116,204,204,1.0
3040,206031502,179,353,0.5070821529745042
3041,210011231,123,166,0.7409638554216867
3042,210011226,126,233,0.5407725321888412
3043,210051250,93,232,0.40086206896551724
3044,210031538,186,334,0.5568862275449101
3045,210051248,4,5,0.8
3046,210031535,155,400,0.3875
3047,210051242,141,218,0.6467889908256881
3048,210051247,135,173,0.7803468208092486
3049,210051245,116,116,1.0
3051,206041506,176,176,1.0
3052,206041124,91,92,0.9891304347826086
3053,206041117,198,198,1.0
3054,206071140,113,113,1.0
3055,206011107,211,221,0.9547511312217195
3056,206011496,179,345,0.518840579710145
3057,206011106,160,176,0.9090909090909091
3058,206011497,186,477,0.389937106918239
3059,210051246,195,195,1.0
3060,210031237,150,153,0.9803921568627451
3061,210051243,126,126,1.0
3062,210051544,13,13,1.0
3063,210041240,3,6,0.5
3064,210051445,303,1089,0.27823691460055094
3065,206071142,178,183,0.9726775956284153
3066,206071141,134,138,0.9710144927536232
3067,206071139,114,117,0.9743589743589743
3068,206071143,178,272,0.6544117647058824
3070,206021499,190,347,0.547550432276657
3071,206021112,263,269,0.9776951672862454
3072,209021428,290,449,0.6458797327394209
3073,209021526,187,637,0.29356357927786497
3074,209041223,278,282,0.9858156028368794
3075,209041530,132,248,0.532258064516129
3076,209041432,133,384,0.3463541666666667
3078,206021110,132,183,0.7213114754098361
3079,209011200,177,241,0.7344398340248963
3081,209011199,193,193,1.0
3082,209041220,187,316,0.5917721518987342
3083,209011196,104,338,0.3076923076923077
3084,209011198,206,335,0.6149253731343284
3085,209011203,137,161,0.8509316770186336
3087,209011204,106,106,1.0
3088,209011197,223,329,0.6778115501519757
3089,209031215,132,132,1.0
3090,209031213,30,30,1.0
3091,209031213,23,23,1.0
3093,209011202,51,51,1.0
3094,209011202,112,112,1.0
3095,209031209,264,329,0.8024316109422492
3096,209031215,20,20,1.0
3097,209031214,11,15,0.7333333333333333
3099,209031210,42,60,0.7
3101,207011522,180,343,0.5247813411078717
3102,207011154,96,98,0.9795918367346939
3103,207011147,206,206,1.0
3104,207011148,228,238,0.957983193277311
3105,207021156,138,138,1.0
3106,207021159,188,188,1.0
3107,207021160,149,151,0.9867549668874173
3108,207021157,272,278,0.9784172661870504
3109,207021425,177,344,0.5145348837209303
3111,211021261,132,138,0.9565217391304348
3113,211021262,84,121,0.6942148760330579
3114,211021261,56,57,0.9824561403508771
3115,211021262,42,47,0.8936170212765957
3116,211051275,107,107,1.0
3121,206071517,379,564,0.6719858156028369
3122,207011520,180,348,0.5172413793103449
3123,207011152,184,184,1.0
3124,207011149,272,307,0.8859934853420195
3125,207031165,142,175,0.8114285714285714
3126,207011155,105,114,0.9210526315789473
3127,207031167,119,233,0.5107296137339056
3128,207031163,299,299,1.0
3129,207031164,198,199,0.9949748743718593
3130,207031161,284,399,0.7117794486215538
3131,211041271,149,267,0.5580524344569289
3132,211041270,214,214,1.0
3133,211041273,123,240,0.5125
3134,211031266,267,439,0.6082004555808656
3135,211031267,239,241,0.991701244813278
3136,211031450,183,532,0.34398496240601506
3137,211051277,105,159,0.660377358490566
3138,211051281,239,239,1.0
3139,211051286,86,153,0.5620915032679739
3140,211051278,195,196,0.9948979591836735
3141,206061516,180,395,0.45569620253164556
3142,206061138,206,206,1.0
3143,206061135,147,152,0.9671052631578947
3144,208041194,171,184,0.9293478260869565
3145,208041195,296,327,0.9051987767584098
3146,207011150,197,344,0.5726744186046512
3147,207011146,103,190,0.5421052631578948
3148,212051319,110,110,1.0
3149,212051324,256,436,0.5871559633027523
3150,212051322,241,658,0.3662613981762918
3151,207031166,116,116,1.0
3152,211011260,177,344,0.5145348837209303
3153,211011251,160,285,0.5614035087719298
3154,211011449,47,49,0.9591836734693877
3155,211011446,281,287,0.9790940766550522
3156,211011448,186,446,0.4170403587443946
3158,211051284,71,71,1.0
3159,211051274,32,33,0.9696969696969697
3160,211051274,88,113,0.7787610619469026
3161,208021177,189,189,1.0
3162,208021178,215,215,1.0
3163,208021176,229,410,0.5585365853658537
3165,208021426,153,286,0.534965034965035
3166,212051326,240,333,0.7207207207207207
3167,212051326,75,123,0.6097560975609756
3168,212051568,145,237,0.6118143459915611
3169,212041310,160,241,0.6639004149377593
3170,212051325,225,225,1.0
3171,212041317,250,250,1.0
3172,212041318,124,249,0.4979919678714859
3173,212041565,179,311,0.5755627009646302
3174,212041460,203,440,0.46136363636363636
3175,212041563,311,768,0.4049479166666667
3177,212021295,142,142,1.0
