RA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
RA63,0,73,15,46,6,171,16,9,50,29,57,13,177,3,0,14,6,16,0,45,9,0,7,3,36,3,63,0,0,3,4,28,20,58,191,50,442,292,991,122,2087
RA64,0,34,5,11,4,71,9,9,30,24,28,4,96,3,0,0,0,6,4,13,0,0,0,5,19,0,23,0,0,6,0,9,3,21,41,32,159,122,387,39,787
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,9
RA69,0,3,0,4,0,9,6,3,10,6,5,4,30,0,0,0,0,0,0,7,0,0,0,0,4,0,7,0,0,3,0,4,0,9,17,5,42,21,87,15,181
RA72,594,2014,566,1012,98,5375,1566,707,3569,1146,1490,254,8734,109,31,276,127,315,40,904,176,48,389,261,1225,64,2158,157,45,384,256,844,286,1975,6750,2719,15412,8130,18833,1811,53651
RA73,189,658,176,367,56,1713,596,248,1346,520,647,101,3462,25,20,114,48,134,13,352,51,27,136,82,368,25,687,28,5,97,47,197,122,494,1721,739,4187,2250,5448,656,14993
RA74,112,400,116,239,46,1065,114,64,302,133,357,74,1045,25,5,55,33,98,30,243,12,9,31,18,116,12,194,4,5,20,7,84,68,184,496,287,1413,871,2974,450,6486
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,6,6,30,0,40
RA79,3,11,4,0,0,23,4,5,21,3,3,3,44,0,0,6,0,4,0,12,0,0,0,0,0,0,5,4,0,0,0,8,13,23,38,22,118,55,120,31,378
RA80,1931,7800,1613,2001,213,20013,5176,1769,9984,3381,3469,515,24293,533,217,1154,380,635,55,2976,656,175,1199,829,2258,122,5234,673,80,929,387,648,544,3272,42921,12803,70248,24930,35489,4005,190402
RA81,3,10,9,14,0,39,0,0,13,6,6,5,31,0,0,9,3,3,0,14,0,0,0,0,12,0,12,0,0,0,0,3,0,3,23,18,88,60,100,8,300
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,3,0,6,0,13,3,0,8,5,0,0,22,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,3,24,4,49,15,42,0,138
RA91,0,9,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,24,10,20,5,61
RA94,17,52,12,27,3,127,8,7,40,17,29,10,112,7,0,3,3,15,0,36,0,0,8,3,32,0,42,0,0,3,10,32,11,62,77,53,267,210,643,109,1372
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3
