RA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
RA43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,7,0,0,0,7,3,9,35,8,4,74,0,7,18,51,34,49,24,11,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,4,5,3,3,0,0,13,0,17,10,93,27,37,30,9,0,220,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,19,17,14,10,72,0,4,0,3,0,0,0,0,0,7,5,15,14,30,13,7,5,7,0,97,0,0,0,8,3,0,0,0,0,15,0,0,0,14,0,0,0,0,0,19,0,4,0,25,17,4,5,0,0,59,0,0,0,0,0,0,0,0,0,0,0,3,4,15,5,7,12,3,0,54
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,5,3,0,0,11,0,0,0,18,12,18,11,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,7,3,0,0,0,0,9,0,0,0,22,10,9,7,0,0,57,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,22,0,0,0,0,0,31,0,0,0,4,0,0,0,0,0,5,0,0,0,3,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,16
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,7,6,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RA50,0,4,8,29,28,73,134,71,28,364,3,82,254,1101,276,334,287,133,62,2542,5,73,292,1478,760,828,780,306,193,4719,8,58,376,1474,77,47,16,4,0,2052,17,55,115,460,333,365,966,796,419,3538,177,1745,2784,9556,5075,4969,2764,895,200,28159,3,12,43,429,265,346,327,187,87,1699,41,400,276,1581,209,130,98,29,3,2764,0,31,107,211,249,128,43,13,0,788,69,1392,2776,7183,3247,1853,1042,240,36,17835,4,39,52,805,409,550,694,211,234,2998,0,6,20,52,44,41,26,15,0,204,22,346,688,2313,1905,2433,2075,1280,508,11572,34,425,896,2596,1270,1424,1203,414,124,8392,79,1069,2555,6412,4373,2729,1560,723,256,19755,23,237,426,1697,637,469,401,210,64,4167,25,65,55,1697,169,111,97,11,4,2240,49,424,731,2638,1271,624,298,54,15,6103,6,34,25,284,139,81,41,16,9,645,97,475,508,1639,575,528,425,156,48,4446
RA51,0,0,0,0,0,11,11,5,4,32,0,0,3,18,9,9,11,0,0,51,0,0,3,22,3,11,11,4,3,62,0,3,4,40,0,0,0,0,0,46,0,8,4,59,54,66,141,87,33,453,20,140,202,869,572,681,394,97,34,3005,0,0,0,0,0,0,0,0,0,5,4,10,10,38,4,5,0,0,0,67,0,3,5,9,23,15,10,0,0,66,13,117,153,562,228,148,74,8,0,1299,0,0,5,33,18,20,29,9,18,129,0,0,0,3,0,0,3,0,0,11,0,11,24,112,124,206,202,100,29,810,0,4,16,56,37,37,23,3,0,186,0,87,160,455,389,210,148,62,20,1535,0,8,7,40,18,9,3,5,0,89,6,0,5,190,3,3,0,0,0,208,4,22,18,133,104,46,23,5,3,356,0,0,0,3,0,0,0,0,0,6,0,15,19,106,55,72,65,26,3,374
RA52,0,0,0,0,5,3,4,4,0,11,0,0,9,8,4,5,4,0,0,23,0,0,6,64,40,21,13,3,0,144,0,0,0,25,0,0,0,0,0,29,0,4,0,43,34,24,117,89,18,331,17,118,214,780,468,583,299,97,21,2587,0,0,0,6,0,5,6,3,3,20,0,14,4,27,5,10,4,0,0,64,0,17,17,28,31,9,3,0,0,113,11,135,163,596,263,186,101,27,0,1484,0,0,0,19,16,6,19,9,9,69,0,0,0,7,3,7,0,0,0,21,0,12,12,63,58,133,101,88,32,506,0,0,4,30,21,20,16,8,0,95,11,86,120,353,237,154,77,35,8,1083,0,5,11,29,15,10,6,4,0,68,0,0,0,100,6,0,0,0,0,107,4,64,45,162,116,64,17,0,0,484,0,0,0,3,0,0,0,0,0,6,0,15,18,74,38,54,54,18,3,268
RA53,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,23,0,3,0,11,5,0,0,0,0,25,0,0,4,17,0,0,0,0,0,24,0,0,9,23,13,15,25,11,5,91,10,65,89,489,276,248,114,19,3,1315,0,0,0,3,5,4,3,0,0,12,0,3,0,16,3,0,0,0,0,23,0,0,5,7,7,0,0,0,0,24,3,71,87,380,143,87,32,4,0,808,0,0,0,10,5,0,0,0,0,23,0,0,0,4,0,0,0,0,0,8,0,0,0,59,23,48,24,18,0,187,0,0,5,21,11,9,14,0,0,69,4,24,45,169,99,59,20,8,0,429,0,7,0,37,4,4,4,0,0,64,0,0,0,43,0,0,0,0,0,45,0,18,16,164,65,30,4,0,0,303,0,0,0,0,0,0,0,0,0,5,0,3,4,68,9,17,11,0,0,111
RA54,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,4,0,0,0,17,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,0,0,0,5,0,0,3,19,4,5,13,5,0,54,8,38,91,304,153,161,72,10,4,842,0,0,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,3,12,3,5,5,0,0,26,3,21,17,144,56,34,10,4,0,300,0,0,0,7,0,3,6,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,4,24,12,24,8,5,4,74,0,3,0,15,7,7,0,0,0,29,0,18,14,74,44,20,9,3,0,178,0,0,4,12,0,0,0,0,0,20,0,3,0,44,0,0,0,0,0,44,0,12,11,80,50,26,0,0,0,175,0,0,0,0,0,0,0,0,0,4,3,3,0,32,17,8,8,0,0,77
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
