RA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA10,32163,29785,61954,14028,17472,31497,691,335,1024,700,615,1313,1892,1893,3783,619273,433178,1052454,30115,47503,77615,15677,284,15961,10170,1288,11460,8381,2586,10970,7506,5188,12700,29607,33312,62912,770207,573434,1343645,10117,12166,22286,109,86,190,425,466,884,3934,2189,6122,779,1438,2214,1019,550,1570,16372,16900,33272,118,85,204,250,272,528,784,640,1416,570,1285,1853,464,530,991,2187,2812,4996,6650,3678,10327,25208,23383,48598,3234,3333,6568,337,366,702,254,105,357,3816,3807,7627,478485,542065,1020547,172123,218660,390785,6576,4993,11572,1456427,1366340,2822769
RA11,280,154,438,1061,907,1966,88,45,134,23,11,32,362,469,831,225564,199207,424772,14668,16158,30825,7797,227,8024,2301,280,2578,2169,752,2925,2011,987,2995,10451,9779,20231,266761,228977,495741,21,28,48,8,0,10,0,0,0,146,99,241,18,20,42,23,12,35,210,163,374,6,3,11,0,3,7,114,81,196,108,140,244,38,46,83,261,277,536,2498,1325,3825,2976,1762,4730,47,30,79,32,39,69,123,40,167,198,113,311,40719,55093,95817,32146,48639,80785,2432,2096,4529,345236,336677,681916
RA12,19,12,26,524,269,795,19,15,27,4,7,11,79,75,148,54010,47779,101788,3847,4059,7907,2101,73,2179,658,133,788,338,112,450,918,371,1292,4149,3669,7824,66667,56574,123242,4,0,4,0,0,0,0,0,0,27,17,42,0,3,7,4,4,10,36,28,68,0,0,0,0,0,0,62,20,82,21,22,38,8,6,8,96,39,136,691,280,976,824,346,1170,4,6,8,7,6,8,72,12,82,82,19,95,11034,11330,22361,5852,8791,14639,921,747,1668,85374,77802,163180
RA13,0,0,0,76,34,112,0,0,9,0,0,0,7,5,4,3540,2921,6462,245,259,499,161,10,167,32,11,47,31,14,43,102,46,146,439,409,849,4634,3704,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,8,3,10,65,28,99,73,31,107,0,0,0,0,0,0,16,0,19,13,5,23,946,840,1784,331,488,821,58,66,115,6055,5142,11196
RA14,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,635,548,1180,48,86,135,29,4,38,20,10,26,38,26,58,26,17,41,191,193,381,987,879,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,5,32,23,9,34,0,0,0,0,0,0,3,0,9,3,0,9,236,213,443,73,122,193,28,17,44,1351,1240,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,27,11,35,21,16,34,0,0,0,0,0,0,0,6,5,580,380,961,75,87,164,23,3,24,10,4,16,9,5,18,29,27,54,89,76,166,872,616,1485,16,9,24,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,25,16,41,10,0,6,0,0,0,0,0,0,6,5,11,233,279,514,213,213,428,35,6,39,1388,1128,2511
RA20,26343,24381,50730,6706,9223,15931,317,130,449,8984,11421,20407,2966,2738,5703,685795,480758,1166553,33827,46860,80693,11025,243,11263,5282,611,5893,13048,5672,18718,6615,3993,10604,22961,26362,49322,823871,612393,1436262,4851,6008,10861,7,5,10,2658,3302,5965,4700,2972,7671,649,1349,2003,1215,682,1902,14085,14318,28405,24,0,28,637,817,1454,530,448,983,548,1120,1669,277,351,625,2024,2743,4759,7714,5086,12802,23815,22141,45964,4152,5109,9260,312,409,719,429,250,676,4897,5761,10659,333049,378822,711866,104388,174417,278809,5763,4355,10116,1295783,1197891,2493667
RA21,719,427,1149,761,853,1612,102,26,131,37,27,69,320,315,631,185224,154698,339924,11459,12223,23677,4117,115,4234,1154,175,1330,2126,770,2895,1467,786,2255,8815,7997,16814,216309,178415,394723,69,58,137,0,0,0,41,28,71,304,154,454,63,41,101,79,16,95,556,301,861,6,0,6,0,0,4,87,60,145,77,141,217,38,49,91,210,254,457,1849,923,2777,2617,1480,4091,149,95,244,31,35,70,118,30,142,292,164,457,37887,48901,86793,23111,40059,63173,2148,1875,4028,282367,270894,553266
RA22,8,10,17,259,130,386,24,3,29,5,6,9,59,59,117,38037,32222,70259,2664,2967,5638,860,25,885,332,78,415,452,179,636,582,251,836,3190,2774,5968,46475,38707,85183,7,4,10,0,0,0,0,0,0,4,9,13,0,0,3,5,0,5,12,10,24,4,0,4,0,0,0,19,12,32,8,23,30,9,7,15,41,41,79,500,228,725,552,277,828,3,4,11,8,6,15,43,7,53,54,18,72,7005,7849,14849,3960,6695,10656,645,556,1203,58696,54105,112800
RA23,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,430,305,736,14,24,37,11,0,11,0,0,6,3,0,4,18,3,23,75,60,135,555,393,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,121,131,258,45,72,114,13,8,18,743,608,1350
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
RA29,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
RA30,13181,13648,26832,14464,19347,33803,816,720,1538,677,1049,1720,2284,2430,4715,506239,430318,936556,27326,39110,66435,10598,257,10851,9966,1183,11146,9011,3153,12169,5993,2724,8720,17025,18325,35352,617574,532264,1149841,2111,2529,4642,10,5,19,79,78,156,2969,2923,5890,509,767,1277,711,306,1018,6388,6617,13008,180,174,357,182,301,484,998,1274,2278,495,1212,1707,476,466,941,2331,3440,5767,6219,3760,9976,14934,13810,28751,1213,1457,2669,404,458,870,299,136,436,1920,2059,3982,124952,148851,273804,69585,111151,180730,3525,3073,6606,832494,811208,1643704
RA31,237,186,419,1727,789,2514,144,46,189,5,3,13,416,532,946,148943,138497,287441,10474,12296,22777,4462,135,4600,2150,192,2346,1463,428,1893,1571,662,2239,5313,4851,10157,176899,158635,335543,24,36,62,0,0,0,0,0,0,171,182,352,17,20,43,24,3,30,243,242,484,82,32,116,0,0,0,237,70,308,54,86,139,48,33,80,417,221,637,1995,1103,3096,2654,1571,4226,45,35,85,242,66,313,103,38,139,395,146,536,15181,20935,36120,20193,26536,46729,1397,1251,2647,216718,209079,425797
RA32,22,15,39,2630,1430,4059,134,75,212,12,4,13,315,346,658,104136,97597,201736,7880,9473,17351,2574,95,2664,1830,273,2101,1865,749,2616,2117,756,2870,5607,5127,10732,129107,115942,245050,5,5,11,0,0,0,0,0,0,23,20,47,3,0,3,8,3,10,38,24,64,24,22,51,0,0,0,224,69,298,79,146,227,103,52,155,432,297,728,1624,970,2591,2093,1290,3381,13,13,20,94,69,166,149,57,203,253,136,386,11836,15825,27662,17002,20884,37889,1215,936,2158,161511,155022,316533
RA33,5,3,3,410,182,592,21,13,31,3,0,3,26,41,75,9762,8237,17997,884,919,1800,307,23,328,193,31,227,115,61,174,409,247,659,1563,1493,3063,13698,11246,24943,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,6,4,11,0,0,0,0,0,0,25,7,36,9,10,19,13,3,14,46,22,71,213,120,338,274,149,419,7,0,10,10,5,13,24,8,32,42,15,56,1953,1955,3905,1455,1462,2920,241,186,436,17659,15016,32678
RA34,4,0,3,174,57,229,49,35,84,3,0,3,9,16,25,5312,4697,10008,645,745,1386,198,9,214,87,21,108,148,95,242,422,185,609,1835,2143,3985,8876,8020,16898,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,3,4,24,14,39,0,0,0,4,8,7,3,3,12,17,3,22,51,23,75,157,80,234,214,108,318,0,0,0,47,19,70,27,13,40,76,37,107,1449,1376,2827,719,854,1576,233,182,412,11557,10565,22125
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29
RA39,13,7,23,35,42,78,8,0,8,0,3,3,5,0,13,808,551,1367,98,154,252,35,4,34,20,0,21,16,12,31,28,30,57,125,155,281,1206,962,2169,9,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,3,3,6,0,0,0,0,5,6,5,6,10,18,13,28,39,20,54,0,0,5,3,5,6,0,0,0,6,8,16,173,208,386,246,305,552,31,15,50,1705,1512,3219
RA40,2599,2709,5308,10645,14401,25045,61,28,90,969,1315,2294,954,993,1942,224776,185532,410309,10757,16970,27726,2479,61,2543,2450,282,2725,4863,1737,6598,2628,831,3459,6083,6271,12349,269253,231135,500396,491,479,970,0,0,0,59,102,156,504,534,1033,61,122,184,84,45,130,1198,1283,2478,5,3,13,182,255,438,940,1207,2147,367,874,1239,278,302,577,1775,2637,4414,2557,2105,4659,5527,6022,11548,294,424,718,249,335,580,112,56,168,654,818,1470,29408,33230,62646,25976,44100,70074,1317,1154,2471,332140,316466,648608
RA41,20,15,37,245,172,419,10,0,15,0,0,0,26,27,49,27501,23956,51462,1378,1657,3040,702,32,733,209,23,232,167,51,219,426,112,537,1337,1115,2453,32031,27163,59192,3,9,4,0,0,0,0,0,0,27,34,68,3,3,9,0,0,0,34,46,81,0,0,0,0,0,0,83,115,193,11,33,42,12,7,16,108,148,253,317,176,488,455,365,824,12,5,14,13,6,18,11,0,11,31,13,42,3888,4616,8508,3316,5306,8625,342,262,604,40065,37733,77793
RA42,8,6,15,468,133,597,14,4,19,4,8,13,81,85,168,30970,27747,58714,2096,2139,4237,615,22,638,287,41,325,316,70,389,520,133,657,2071,1615,3682,37447,32001,69448,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,11,0,11,0,0,0,0,0,0,87,16,107,12,4,15,12,0,14,111,25,137,350,180,528,465,204,674,0,3,5,7,0,10,30,14,41,31,17,52,3265,3446,6718,3702,5252,8954,417,351,765,45339,41274,86611
RA43,3,0,8,128,21,149,6,0,6,0,0,0,8,16,28,6829,5965,12794,459,416,872,118,4,128,67,10,78,58,21,78,154,48,199,631,535,1169,8470,7034,15505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,18,3,0,3,0,0,0,15,6,18,63,33,104,84,42,126,0,0,0,3,0,3,7,3,12,11,3,12,980,1005,1980,1037,1249,2286,108,69,175,10691,9405,20087
RA44,0,0,0,67,16,79,4,0,4,0,0,0,0,0,0,1573,1329,2905,133,167,300,28,0,32,13,0,16,24,0,33,101,23,123,400,479,877,2341,2021,4366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,6,0,6,3,0,8,34,10,47,41,18,58,0,0,0,0,0,0,5,3,7,6,3,5,302,289,591,182,243,424,81,53,136,2955,2630,5579
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
RA49,0,5,6,16,11,30,0,0,0,0,0,0,0,3,4,221,115,333,29,30,53,6,0,6,0,0,0,0,0,0,13,3,18,23,21,43,308,184,492,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,7,5,5,0,5,3,4,8,0,4,0,0,0,0,0,0,0,0,4,0,29,38,70,63,80,134,10,3,11,419,311,724
RA50,11457,11441,22896,17824,13816,31641,139,76,215,31,15,48,2029,1688,3717,345808,303119,648923,20264,25939,46207,5259,178,5434,2530,253,2778,5289,1508,6798,11722,2881,14606,8370,7939,16311,430714,368855,799572,6774,6559,13337,12,7,24,0,4,5,4649,4236,8882,662,919,1588,500,189,688,12593,11919,24517,23,6,32,8,8,15,769,779,1548,490,888,1376,696,400,1102,1988,2083,4070,4453,2206,6658,19033,16214,35245,2157,2551,4706,527,263,787,265,103,363,2940,2916,5858,34702,44628,79327,53002,68689,121690,2429,1668,4091,542823,502963,1045782
RA51,51,52,104,1232,309,1547,7,4,14,0,6,6,72,69,141,34716,33219,67928,2787,2602,5384,865,41,906,179,21,202,429,167,601,1330,341,1666,1417,1247,2658,43083,38073,81159,19,12,29,0,0,0,0,0,0,71,85,159,8,8,15,0,0,0,99,107,203,0,0,0,0,0,0,234,65,302,26,29,49,73,15,89,335,106,435,597,231,824,1022,440,1464,33,26,60,74,14,88,27,9,32,134,47,181,3194,4699,7893,7045,7410,14454,417,297,709,54896,50968,105860
RA52,12,7,18,859,266,1120,15,4,22,5,0,5,82,89,173,29010,26366,55372,2286,2361,4653,728,34,760,249,44,290,351,129,479,745,243,989,1745,1469,3217,36096,31002,67101,9,4,8,0,0,0,0,0,0,13,7,19,0,3,3,0,0,0,19,14,31,0,0,0,0,0,0,92,25,124,26,14,39,23,10,37,143,52,191,375,209,583,534,277,807,6,3,6,39,3,40,34,6,40,72,14,84,3055,3554,6612,4555,4930,9481,354,260,608,44661,40035,84694
RA53,9,8,20,508,152,662,9,0,14,0,5,8,44,42,86,14942,12317,27256,1137,1119,2258,353,13,361,224,66,290,289,199,493,443,155,594,1131,1151,2285,19103,15223,34327,5,0,7,0,0,0,0,0,0,7,6,12,0,0,0,0,0,0,10,10,23,0,0,0,0,0,0,29,13,43,5,10,18,20,0,26,52,32,83,224,99,321,289,135,429,3,0,7,6,0,6,20,5,21,35,8,40,1342,1726,3075,2246,2275,4513,219,137,361,23224,19509,42735
RA54,15,7,26,1948,441,2390,11,4,10,0,0,0,37,15,54,6088,4841,10929,987,712,1704,221,20,237,79,30,106,182,178,360,1148,308,1455,1533,1876,3411,12244,8428,20666,3,0,5,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,46,30,74,10,5,17,85,14,98,146,50,193,242,102,346,391,153,549,0,3,5,47,8,58,22,4,22,72,19,90,585,697,1277,1263,1048,2312,234,160,392,14786,10502,25289
