RA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,7,17,24,7,12,0,0,0,74,69,169,518,272,232,210,41,3,0,1512,0,48,173,19,19,32,8,0,0,300,0,5,22,30,21,10,0,0,0,89,3,14,39,41,31,21,0,0,0,147,0,0,18,9,6,5,0,0,0,44,9,29,89,79,52,54,13,0,0,319,0,0,19,3,9,4,0,0,0,48,25,41,50,48,21,29,0,0,0,216,54,64,175,51,44,36,7,0,0,434,3,9,35,37,42,43,8,3,0,181,4,5,10,9,8,5,0,0,0,37,0,3,12,11,6,6,0,0,0,41,0,4,11,6,9,9,8,0,0,43,0,5,45,47,25,36,16,0,0,171,7,8,68,36,32,28,7,0,0,194,5,12,35,37,24,21,7,0,0,134,4,7,38,38,27,27,8,0,0,149,4,33,93,68,62,66,13,0,0,340,4,6,12,16,12,10,4,0,0,54
RA40,377,886,1864,1685,1458,1094,377,126,41,7897,17633,31387,70998,69182,65003,49611,11567,991,86,316466,167,463,1269,1389,1530,1186,525,112,24,6668,38,313,1669,1624,1368,843,171,9,0,6032,1315,2986,8528,9885,10558,8130,1819,208,10,43437,105,368,1910,2247,2155,1500,261,12,0,8549,1920,5704,14220,11796,10372,7690,1926,203,10,53841,365,1017,2857,3433,3963,2990,783,96,0,15511,10115,11128,13304,9800,9249,7420,1950,234,22,63229,11924,8762,9122,5510,4007,2902,694,101,5,43037,363,1814,5760,6043,5920,5468,1394,130,4,26889,188,653,1889,2149,1560,933,229,41,0,7628,130,1307,4937,5818,4892,2957,640,97,3,20791,119,592,1762,1789,1756,1577,631,170,22,8398,362,3397,11852,12473,9371,6109,2367,321,21,46281,519,2388,5971,5157,5227,4364,1191,104,6,24932,271,2564,9503,12324,11756,8471,1454,70,0,46414,1222,4246,12211,13995,13419,10603,2787,216,8,58703,1303,8863,27530,25608,23358,19922,4744,341,10,111683,1170,1545,2407,1769,1444,1030,369,67,6,9817
RA41,84,65,153,196,228,207,82,42,8,1064,2529,2836,5887,7177,8831,8013,2121,310,22,37733,264,387,882,1046,1366,1499,1115,373,47,6977,16,51,282,287,327,244,23,4,0,1229,378,611,1278,1595,1915,1667,416,45,0,7907,13,43,179,213,267,237,35,4,0,993,327,705,1439,1573,1572,1407,370,24,0,7407,62,111,246,330,441,440,112,17,0,1752,1238,913,1104,1110,1352,1163,347,34,0,7273,1492,667,709,639,652,567,161,24,0,4913,54,127,377,487,732,896,287,37,0,3001,24,40,91,115,91,98,33,3,0,501,9,42,171,277,322,215,61,12,0,1113,10,54,123,153,206,188,98,16,0,841,34,191,517,685,712,668,289,54,0,3143,80,207,516,548,765,782,177,19,3,3093,42,159,566,891,1214,1013,171,11,0,4065,117,338,946,1339,1557,1364,427,36,0,6131,179,659,1619,1863,2675,2883,654,41,0,10575,113,105,168,192,200,205,89,8,0,1082
RA42,84,91,181,214,219,207,119,54,9,1176,2689,3096,7427,7791,9182,8409,2315,320,31,41274,371,769,1879,2142,2527,2852,1804,533,60,12933,24,104,469,490,431,363,48,8,0,1933,388,709,1616,1624,1975,1663,323,28,5,8324,16,65,219,200,237,224,48,6,0,1011,408,622,1353,1206,1221,1174,334,30,6,6354,82,135,308,348,467,419,137,15,0,1928,1490,861,1469,1290,1511,1408,374,33,3,8432,1545,682,925,672,807,814,191,27,0,5658,49,160,466,574,854,964,341,42,6,3446,18,36,99,76,68,62,20,0,0,377,22,59,178,219,251,166,29,7,0,950,16,37,113,132,155,161,46,14,0,673,57,125,378,409,402,376,177,20,0,1950,58,198,501,486,666,678,202,19,3,2810,55,196,749,859,1122,934,201,13,0,4139,130,421,1403,1577,1658,1272,387,16,0,6862,215,874,2385,2242,2680,2941,596,31,0,11977,64,54,104,95,88,115,38,6,0,568
RA43,13,16,55,56,54,53,25,13,3,287,531,638,1818,1918,2068,1836,495,79,8,9405,127,224,667,716,800,793,444,136,14,3932,11,98,396,418,300,173,20,3,0,1418,49,43,118,133,136,129,40,7,0,663,3,5,38,46,53,39,18,0,0,207,78,157,369,319,338,289,77,7,0,1633,25,25,102,110,110,97,26,3,0,504,343,128,317,298,339,283,57,0,0,1765,273,157,272,207,209,206,66,3,0,1389,14,57,96,130,204,264,81,13,0,860,4,4,18,18,8,17,6,0,0,77,10,12,44,54,53,42,10,7,0,232,0,8,27,29,27,48,9,4,0,161,21,27,110,140,110,96,35,5,0,536,12,38,97,100,145,149,55,13,0,603,11,35,148,207,201,187,27,3,0,821,21,72,334,395,350,284,93,7,0,1558,48,146,432,393,517,581,106,4,0,2230,15,19,26,30,34,27,6,0,0,155
RA44,9,9,18,9,13,24,4,3,0,90,109,188,552,498,571,513,164,28,4,2630,50,83,166,217,198,214,124,34,0,1095,9,24,97,64,69,52,15,0,0,329,0,9,17,12,18,9,9,0,0,74,0,0,11,12,12,13,7,0,0,58,7,23,74,56,86,76,20,0,0,337,3,3,16,13,9,18,4,0,0,69,57,31,74,77,72,74,35,5,0,432,35,45,83,60,73,92,27,4,0,419,10,14,43,33,46,60,20,0,0,226,0,0,0,0,0,3,3,0,0,9,0,0,0,11,8,4,0,0,0,23,0,0,4,5,10,3,0,0,0,25,3,4,15,20,25,17,5,0,0,82,3,7,15,35,37,28,24,0,0,150,4,22,83,68,89,74,17,0,0,365,11,48,174,127,153,98,23,5,0,646,17,43,147,122,146,168,42,0,0,684,4,3,18,22,33,19,9,6,0,112
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,6,0,0,0,7,0,0,0,11,18,31,97,63,45,47,14,0,0,311,0,4,15,4,9,3,0,0,0,30,0,0,8,5,4,4,0,0,0,19,0,6,7,11,5,3,0,0,0,37,0,0,3,0,3,0,0,0,0,11,3,4,13,17,14,8,8,0,0,69,0,0,0,4,0,0,0,0,0,8,4,3,21,7,3,8,0,0,0,54,18,6,14,4,13,5,0,0,0,62,0,5,10,16,12,12,3,0,0,51,0,0,5,3,0,0,0,0,0,4,0,0,7,0,4,4,0,0,0,11,0,0,3,0,0,0,0,0,0,12,0,0,12,19,3,7,3,0,0,46,9,4,16,10,13,11,3,0,0,62,0,4,9,9,9,6,0,0,0,36,0,0,8,11,7,8,0,0,0,28,0,7,35,16,13,18,5,0,0,99,0,0,4,0,0,0,0,0,0,7
RA50,897,1741,4317,4253,3525,2294,715,183,39,17960,29387,48297,113282,113659,104051,74304,18293,1582,103,502963,257,487,1291,1310,1395,1229,622,190,23,6809,446,3554,17555,20266,16147,9161,1596,103,5,68823,2135,3995,10699,12905,12962,9808,2328,269,13,55117,155,522,2449,3221,2834,2000,382,19,0,11589,3183,7918,22908,23022,18588,13409,3170,248,13,92469,721,1850,5456,6466,6254,4525,1154,146,15,26569,14603,16830,18896,14788,13700,10860,3201,337,23,93236,20097,13045,13722,9056,6192,4314,1159,111,9,67700,883,3084,9818,10891,10396,9151,2751,244,9,47227,428,911,2179,2185,1730,1141,316,61,0,8951,169,1304,5856,7359,6218,3707,1011,165,12,25793,233,1003,3105,3487,3437,2694,1252,276,27,15514,675,5777,20219,23239,17295,10554,3768,521,30,82084,930,3077,7752,7431,6558,5206,1596,178,10,32735,552,3352,12859,15397,15251,11897,2711,231,10,62264,2340,5800,17152,20912,23050,17813,4864,404,15,92354,2157,12129,35429,34331,31548,25161,6832,521,15,148121,2352,2871,4267,3477,2646,1928,750,130,8,18428
RA51,124,133,265,383,381,286,98,47,4,1730,3595,3442,8268,11048,12301,9591,2444,267,17,50968,214,287,781,797,926,1075,814,276,39,5209,116,500,1691,2357,2485,1619,244,11,0,9022,453,659,1587,1990,1941,1385,356,38,0,8400,33,98,268,404,475,422,78,8,0,1787,542,942,2125,2480,2467,2063,514,40,4,11170,96,141,311,413,526,399,123,20,0,2035,1659,997,1523,1654,1826,1622,410,46,0,9736,2294,791,1195,1199,1073,807,272,24,6,7658,74,170,453,618,1007,1094,426,34,3,3883,56,52,108,99,93,63,33,3,0,508,7,52,205,278,332,242,73,11,0,1206,31,86,224,241,325,273,137,19,3,1340,57,177,632,925,944,704,320,42,3,3813,101,205,524,703,825,676,207,26,0,3268,111,431,865,1140,1513,1294,286,21,0,5652,156,255,1110,1988,2525,2011,505,32,4,8583,287,738,2137,2827,3182,2930,676,40,0,12822,157,107,233,235,240,191,72,14,0,1248
RA52,102,99,199,235,279,254,116,40,0,1344,2557,2847,6866,7987,9075,7933,2397,355,18,40035,320,567,1435,1645,1974,2088,1522,506,72,10132,162,570,1810,1892,1813,1306,207,10,0,7766,238,330,784,745,734,671,196,31,0,3730,22,42,142,203,194,220,43,3,0,880,353,569,1292,1250,1210,1278,379,31,0,6358,83,226,452,445,503,420,99,15,0,2240,1338,798,1149,1148,1365,1190,396,52,0,7432,1452,554,839,773,720,685,246,44,0,5315,72,164,504,638,1021,1125,433,55,0,4006,26,37,79,80,54,65,22,0,0,370,14,71,162,206,221,161,37,4,0,871,21,67,174,164,198,195,81,21,0,919,81,179,521,600,568,525,228,23,4,2727,64,125,336,387,476,446,135,22,0,1990,73,176,764,1005,1345,1205,300,28,0,4897,98,326,1112,1671,2013,1738,419,36,0,7408,203,642,1873,2051,2424,2326,650,51,0,10228,74,57,115,124,146,152,47,14,0,731
RA53,46,62,153,164,125,81,40,12,0,692,973,1301,4608,4744,3984,2942,832,115,4,19509,116,289,832,1002,1106,1172,607,198,18,5345,72,302,1490,1812,1184,681,96,3,0,5631,71,85,300,277,217,142,37,9,0,1136,18,27,118,169,155,104,19,0,0,619,131,234,816,738,585,502,135,3,0,3146,62,78,259,256,204,176,48,6,0,1082,495,243,519,506,484,425,103,15,0,2786,465,255,616,423,365,340,112,13,0,2593,65,136,582,682,660,545,182,13,0,2873,16,15,41,37,36,24,12,0,0,178,8,21,82,74,48,32,8,4,0,277,16,54,136,121,133,82,22,8,0,574,29,53,224,252,164,133,39,3,0,885,48,99,285,301,288,202,60,6,0,1282,53,132,542,690,660,497,125,14,0,2709,44,171,821,1004,897,603,151,5,0,3700,111,277,1009,996,848,716,186,8,0,4157,36,19,74,83,75,40,23,3,0,356
RA54,22,43,88,67,63,54,27,4,0,372,404,846,2798,2340,2014,1634,410,51,4,10502,87,176,417,342,404,346,165,52,7,2007,65,434,1833,1817,1381,855,132,5,0,6529,11,32,72,79,73,42,16,0,0,334,0,15,48,65,47,60,15,0,0,242,52,148,437,384,333,304,72,0,0,1737,18,15,76,62,52,45,8,3,0,276,163,120,288,232,237,217,63,10,0,1336,132,176,522,304,250,249,89,7,0,1735,21,82,207,190,196,212,87,10,0,1000,6,0,16,22,9,18,7,0,0,65,0,5,24,22,20,10,0,0,0,81,10,20,73,54,61,41,10,8,0,271,8,29,145,120,102,88,21,4,0,514,24,70,251,208,196,150,37,0,0,945,33,91,424,424,419,343,81,5,0,1829,34,177,603,527,493,362,93,9,0,2294,51,109,534,464,402,415,112,5,0,2084,20,35,89,67,63,56,8,0,0,341
RA55,0,0,0,0,0,0,0,0,0,5,0,5,8,9,5,0,0,0,0,29,3,4,12,9,3,0,0,0,0,41,0,0,9,34,19,12,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,13,16,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,5,10,12,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,14,6,4,7,0,0,0,30,33,84,234,138,91,102,18,0,0,715,0,16,43,9,8,14,0,0,0,101,0,14,56,41,48,30,0,0,0,188,3,0,27,18,7,7,0,0,0,67,0,0,6,0,5,0,0,0,0,12,4,7,47,43,39,16,3,0,0,168,0,5,6,3,7,0,0,0,0,22,3,17,28,10,9,10,6,0,0,88,22,42,91,23,27,25,0,0,0,231,6,13,21,15,14,15,0,0,0,88,0,6,8,0,0,0,0,0,0,17,0,0,6,7,5,0,0,0,0,16,0,0,0,0,3,5,0,0,0,9,0,9,28,38,9,7,0,0,0,92,0,14,26,19,3,7,3,0,0,62,5,3,17,23,14,14,5,0,0,66,0,7,15,13,11,10,3,0,0,69,4,16,38,38,25,31,3,0,0,157,3,3,9,3,0,3,0,0,0,25
RA61,96,161,474,292,296,235,82,23,14,1673,4371,7242,19806,17073,16890,13110,3165,260,22,81948,95,309,1013,770,660,508,219,61,3,3637,3,30,114,135,149,95,23,0,0,554,432,708,2117,1900,1921,1535,364,34,4,9018,14,112,748,929,845,532,92,3,0,3287,677,1621,3811,2891,2337,2005,508,51,0,13909,81,270,778,700,787,616,171,27,0,3439,2136,2467,4131,2546,2313,1940,583,65,0,16187,2798,2021,4111,1736,1155,797,244,36,3,12904,92,342,1462,1161,1262,1284,370,44,4,6027,51,142,486,490,419,329,92,7,0,2013,32,205,957,1054,845,539,121,19,0,3770,38,180,430,342,415,345,164,41,3,1960,123,608,2556,2349,1990,1417,588,73,7,9708,115,367,1171,990,1019,806,240,26,0,4729,105,605,2677,3446,3982,2725,486,23,0,14057,298,890,3325,4016,4253,3184,842,45,0,16858,274,2180,7814,6057,5949,5382,1251,94,3,28998,366,364,776,590,617,513,184,25,4,3432
RA62,63,72,143,167,224,189,80,50,8,996,2364,3143,7335,7903,9406,8539,1923,249,16,40880,314,641,1878,1515,1699,1719,923,293,32,9015,12,81,358,413,411,356,76,4,0,1719,274,553,1387,1339,1574,1497,281,25,4,6939,11,34,194,236,288,274,54,7,0,1104,501,850,1629,1362,1447,1402,367,31,0,7589,99,160,362,438,568,470,127,11,0,2242,1191,928,1390,1267,1520,1221,330,34,4,7884,1301,778,1002,763,848,817,252,25,0,5791,55,171,545,735,1019,1202,326,40,0,4099,20,34,101,108,115,115,37,4,0,527,15,59,189,221,226,184,45,7,0,948,15,58,158,136,165,179,79,18,6,808,66,179,562,660,668,618,262,55,0,3070,58,164,418,502,608,582,132,17,3,2478,27,168,633,970,1219,1043,187,13,0,4268,95,304,1061,1604,1785,1630,379,28,4,6889,147,781,2314,2312,2956,3162,636,29,6,12330,112,80,166,193,216,237,89,8,0,1101
RA63,3,5,12,10,11,6,6,0,0,42,54,90,363,268,293,348,115,11,0,1552,15,34,100,70,66,87,40,10,0,432,11,17,85,82,88,65,11,0,0,364,5,4,25,21,22,32,7,0,0,119,0,4,11,3,8,11,0,0,0,43,7,11,27,31,44,48,15,3,0,192,0,0,4,10,10,13,0,0,0,26,32,18,27,38,45,68,14,3,0,245,27,36,232,116,88,114,48,4,0,675,0,13,23,13,37,43,17,0,0,147,0,0,0,3,3,0,0,0,0,18,0,3,0,9,3,7,5,0,0,27,0,0,3,0,7,11,5,3,0,29,4,4,14,7,17,30,11,0,0,81,0,12,29,26,33,42,9,0,0,146,0,4,16,24,33,26,13,5,0,125,0,12,55,49,37,49,17,0,0,214,3,17,39,38,53,72,19,0,0,232,0,5,7,16,14,17,3,0,0,57
RA64,0,0,0,5,0,0,0,0,0,21,20,30,93,121,110,141,66,5,0,585,9,13,40,58,48,62,63,23,0,317,0,0,6,0,0,0,0,0,0,5,3,7,27,19,15,19,9,0,0,103,0,3,6,11,7,0,0,0,0,30,7,0,20,17,16,23,14,0,0,98,0,0,3,5,5,3,5,0,0,20,10,6,10,13,20,18,14,4,0,89,6,4,18,13,12,17,3,0,0,73,0,4,12,0,10,37,14,0,0,67,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,15,0,0,5,7,8,3,6,0,0,31,0,0,9,11,0,8,3,0,0,30,0,3,11,15,12,27,12,0,0,81,0,5,13,25,28,14,0,0,0,88,0,5,15,21,31,32,11,0,0,124,0,0,0,6,0,3,0,0,0,17
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,3,8,18,33,36,22,20,5,0,0,133,0,3,3,7,0,0,0,0,0,20,0,0,0,0,6,0,0,0,0,5,0,5,5,5,5,0,0,0,0,19,0,0,4,0,0,0,0,0,0,5,0,4,13,9,4,3,0,0,0,35,0,0,0,0,0,3,0,0,0,3,0,4,6,7,0,0,0,0,0,34,4,5,6,6,8,0,5,0,0,28,0,0,0,4,6,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,7,7,9,0,0,0,0,13,0,0,4,3,3,0,0,0,0,15,0,0,7,3,0,0,0,0,0,18,0,0,0,10,3,0,0,0,0,12,0,0,15,8,12,7,0,0,0,37,0,0,5,0,0,0,0,0,0,10
RA72,77,136,338,247,202,132,51,12,0,1201,1801,3029,9952,8665,7057,4692,1175,102,0,36467,27,68,171,151,190,163,75,19,0,863,12,68,371,487,470,229,30,3,0,1670,109,163,410,456,426,277,66,5,0,1921,12,44,279,342,299,250,44,5,0,1273,234,482,1649,1691,1364,904,205,19,0,6556,31,87,286,299,301,195,50,9,0,1251,759,740,1439,931,806,560,199,14,0,5449,1171,737,1790,945,553,382,117,14,0,5714,71,216,842,691,696,608,163,16,0,3310,23,47,163,141,105,88,23,0,0,586,9,47,252,213,194,89,29,0,0,835,16,60,222,222,205,144,77,20,3,979,77,288,1199,1022,745,546,209,21,6,4116,56,175,582,537,497,351,88,11,0,2295,179,1384,3591,3424,3059,1857,421,21,0,13939,142,370,1307,1613,1455,1051,267,20,0,6218,158,751,3379,2568,1699,1218,360,26,3,10171,154,200,432,260,218,143,54,3,0,1459
RA73,22,29,107,72,75,51,17,6,0,380,485,725,2940,2250,2077,1598,427,35,0,10523,21,48,129,113,89,64,27,6,0,514,4,6,53,63,76,55,10,0,0,269,31,40,98,81,66,46,12,0,0,381,3,10,48,44,63,63,16,0,0,247,67,133,408,329,279,251,77,10,0,1547,6,32,63,80,51,56,14,5,0,298,251,152,397,223,183,188,69,5,0,1471,172,114,426,228,164,166,48,4,0,1317,15,57,156,122,160,147,43,4,0,710,5,17,48,27,22,21,9,3,0,157,3,7,32,33,14,18,5,0,0,112,3,14,33,35,31,33,16,0,0,174,16,37,267,204,187,163,45,7,0,920,13,34,129,119,120,109,34,7,0,569,41,259,1016,942,853,601,122,9,0,3848,90,119,512,442,471,408,107,10,0,2154,63,250,1248,1046,794,586,179,10,0,4179,45,38,144,96,90,63,41,3,0,535
RA74,23,26,45,54,35,27,4,3,0,212,237,511,1344,1219,998,738,186,20,0,5255,97,221,262,154,114,103,39,8,0,1004,6,32,132,205,163,101,8,0,0,651,9,9,30,22,12,14,0,0,0,100,0,4,12,14,19,17,0,0,0,74,16,31,117,111,80,60,21,6,0,448,0,3,15,8,3,11,0,0,0,49,61,73,214,171,136,93,32,6,0,778,55,111,265,131,109,91,27,0,0,798,14,15,64,60,46,39,12,9,0,251,0,0,8,0,0,4,0,0,0,27,0,0,17,10,0,6,0,0,0,40,0,4,9,8,14,7,0,0,0,39,0,4,31,31,16,19,3,5,0,116,11,26,63,55,49,36,20,0,0,268,28,116,385,404,375,237,78,3,0,1622,36,115,413,405,348,245,67,8,0,1635,27,96,381,378,318,290,62,7,0,1546,13,51,110,100,83,62,16,4,0,439
