RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA10,2999688,3080740,6080428,185652,175304,360961,387584,366339,753924,176894,166458,343353,204734,194165,398901,457790,468223,926013,437893,446850,884749,377132,393317,770453,331485,349400,680882,250755,276985,527733,140144,163766,303911,49627,79928,129555,2916158,2999715,5915878,83527,81029,164554,64266,65784,130047,1504,1443,2951,1419,1509,2919,67186,68734,135921,1818229,1838215,3656444,1042085,1106256,2148339,1853796,1868614,3722411,984354,1055174,2039528,2458314,2534381,4992694,56023,52759,108777,363903,344619,708525,141303,139216,280520,91762,94794,186548,115828,165942,281774,1496446,1590487,3086926,135627,123158,258781,420949,424849,845796,114193,120923,235117,81989,94270,176263,28950,38236,67186,2815414,2900431,5715849,171027,167389,338416
RA11,771183,798556,1569737,43269,40919,84183,100031,95127,195156,47353,44035,91384,39801,37943,77742,83388,86487,169880,84041,89437,173480,93780,100169,193954,104933,112156,217090,101208,104463,205673,56209,61289,117502,17163,26529,43690,736144,767685,1503828,35044,30870,65911,48257,48325,96576,898,801,1697,1107,1064,2172,50262,50187,100448,630638,651816,1282451,87890,94635,182526,674679,704114,1378794,41459,45169,86627,685234,716164,1401401,13043,12498,25539,91930,87472,179407,31658,31537,63190,9141,12388,21526,16546,33042,49582,247889,298122,546015,49376,48197,97570,190486,186801,377291,53834,51783,105618,30269,26035,56298,2578,2466,5040,702192,736535,1438731,72867,65978,138841
RA12,190095,187593,377693,10407,9862,20270,24609,23076,47682,10749,10109,20853,9039,8043,17083,19797,19923,39722,19355,20101,39460,23173,23554,46727,28776,28570,57348,26378,24282,50662,13810,14104,27916,4001,5970,9969,179740,179083,358815,10355,8513,18875,16373,16495,32876,229,206,436,321,335,654,16932,17040,33964,155008,152580,307587,15610,16516,32127,162534,161560,324095,8503,9005,17506,164897,164121,329023,2869,2812,5684,21776,20438,42213,6656,6817,13469,1412,1889,3305,2611,6312,8924,49858,62202,112061,11868,12012,23880,49311,43599,92910,14735,12513,27248,10294,7462,17755,775,587,1365,167496,167533,335030,27123,23566,50692
RA13,13413,12807,26219,889,870,1755,1798,1691,3489,705,695,1397,655,623,1280,1651,1691,3344,1423,1450,2872,1641,1639,3277,2023,1814,3834,1599,1256,2856,798,783,1577,226,307,532,12528,12070,24597,887,733,1619,2039,2240,4285,10,10,20,12,23,35,2062,2275,4339,10264,9737,20003,849,846,1695,10658,10199,20853,533,527,1058,10716,10219,20934,194,208,407,1428,1380,2816,353,411,763,73,126,196,123,412,535,3048,4008,7052,785,751,1539,3141,2418,5560,957,775,1726,782,427,1214,70,52,119,10891,10428,21322,3487,2728,6216
RA14,3413,3293,6708,235,187,419,469,426,895,197,177,375,173,177,349,392,492,880,362,392,757,424,443,862,516,464,980,427,317,743,182,160,345,43,57,96,3157,3069,6221,261,230,491,1007,1095,2105,3,0,5,15,8,28,1026,1103,2137,2654,2528,5184,176,182,354,2754,2653,5408,116,97,213,2769,2653,5422,63,38,103,356,324,680,87,73,162,14,19,39,27,110,136,737,939,1672,200,217,416,719,601,1319,276,268,540,248,140,391,23,12,41,2815,2694,5508,1039,853,1895
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
RA19,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
RA20,2468475,2549938,5018415,152724,144500,297219,313687,297380,611067,143327,136403,279732,173076,164738,337815,401730,408756,810489,370910,378513,749421,310828,327678,638502,259787,277565,537352,193133,219311,412451,109567,131316,240882,39708,63780,103485,2402450,2482613,4885061,66029,67325,133354,16348,16081,32427,632,534,1171,476,481,958,17459,17096,34553,1494255,1525321,3019577,864275,917345,1781625,1521678,1553815,3075499,824229,878240,1702471,1999257,2072207,4071464,45830,43202,89027,295128,280086,575216,118798,117733,236524,82124,85271,167400,99208,141233,240436,1263991,1376279,2640277,200913,189760,390676,225809,202365,428174,94481,91044,185526,80319,102389,182709,26167,34693,60862,2320563,2400282,4720838,135009,134511,269519
RA21,597176,617778,1214965,33197,32076,65279,78469,73131,151601,35816,33511,69327,30968,29195,60154,66600,68845,135443,67502,72772,140280,75083,79943,155025,80773,87260,168040,76286,78929,155222,40249,43175,83421,12227,18943,31168,570090,593011,1163104,27089,24774,51862,10745,10879,21625,373,355,719,281,256,538,11397,11486,22884,488963,505957,994921,67983,72010,139989,522816,543700,1066514,34118,36832,70953,531953,553950,1085895,9564,9187,18752,72417,67705,140120,25604,25626,51227,7806,9978,17791,11764,23920,35679,196920,249410,446332,78840,77143,155980,100523,84170,184698,42551,36101,78646,26392,25014,51404,2589,2352,4939,543946,567735,1111673,47633,45741,93376
RA22,128377,129306,257682,6476,6392,12865,15272,14525,29799,7067,6494,13564,6091,5514,11605,13592,13888,27484,13103,13842,26949,15335,16286,31621,19679,19735,39414,18886,17819,36710,9866,10169,20029,3012,4639,7657,121441,123413,244847,6936,5895,12828,3538,3780,7317,102,81,190,85,107,190,3731,3964,7694,103119,104021,207141,13913,14674,28593,109458,110903,220363,8568,8715,17284,111708,113106,224813,1763,1791,3548,13717,13187,26906,4667,4669,9336,1016,1407,2419,1827,4367,6190,35980,45927,81903,18185,17430,35619,23354,19264,42615,10551,8512,19061,7218,6383,13603,813,733,1544,114725,116400,231122,15014,14580,29591
