RA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
RA63,113,5,0,0,0,0,0,13,134,100,13,12,3,0,0,0,20,153,151,29,32,10,3,0,0,42,271,95,48,45,25,7,7,4,33,259,59,23,60,37,12,3,0,29,228,43,24,60,30,17,11,8,19,203,39,25,59,38,8,3,6,18,193,46,38,81,53,20,9,5,33,287,63,51,100,74,35,12,4,35,381,71,43,110,78,42,9,5,38,390,39,36,117,81,35,4,0,30,355,20,22,85,85,17,9,3,28,267,8,12,47,36,26,4,4,15,160,5,0,21,28,15,12,7,14,101,0,3,17,23,13,0,6,20,85,864,382,843,598,247,90,56,394,3467
RA64,27,0,0,0,0,0,0,0,31,27,0,0,0,0,0,0,0,35,31,10,12,0,0,0,0,3,54,26,14,19,0,4,0,0,8,64,13,17,25,15,8,0,0,13,84,15,13,20,12,5,0,0,11,76,14,4,12,13,5,0,0,0,54,12,10,25,18,5,0,0,11,81,20,7,46,16,14,3,0,12,119,11,3,36,20,6,3,0,11,85,14,18,33,21,13,0,0,7,114,7,5,36,24,6,3,0,15,97,0,5,14,18,10,0,0,6,55,7,0,5,14,7,0,3,4,49,4,5,9,6,4,3,4,5,35,219,114,279,185,81,18,16,111,1031
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,44,3,0,0,0,0,0,10,48,36,4,0,0,0,0,0,7,53,24,11,4,0,0,0,0,8,45,19,5,6,5,3,0,0,8,43,13,5,8,7,0,0,0,10,42,10,11,9,9,4,0,0,15,56,12,4,4,3,3,0,0,6,26,13,11,4,9,0,0,3,7,47,9,3,12,3,8,0,0,11,57,7,4,12,0,3,0,0,10,42,8,0,5,10,0,0,0,14,34,3,5,6,3,0,0,0,14,36,0,0,6,3,0,0,0,5,8,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,199,62,74,53,24,13,5,125,561
RA72,3239,34,5,0,0,0,0,458,3735,3199,312,93,19,10,0,0,512,4144,4074,871,532,161,51,6,6,683,6377,2911,1455,1185,473,131,45,29,593,6821,1504,1117,1773,740,248,69,57,535,6052,962,806,1701,812,306,97,65,484,5230,783,696,1489,759,313,90,92,404,4615,707,590,1417,820,335,107,74,378,4428,645,461,1172,782,297,106,57,319,3842,427,399,1020,710,310,93,59,280,3301,284,263,798,568,251,94,53,218,2525,187,205,588,445,226,90,56,196,1993,112,83,328,243,139,38,50,102,1086,60,48,153,146,93,47,53,98,692,28,30,80,80,63,47,55,78,465,19112,7370,12327,6744,2773,928,702,5341,55301
RA73,978,48,4,0,0,0,0,287,1316,847,194,60,13,5,0,0,220,1332,1179,272,243,102,33,9,6,299,2135,930,408,408,201,78,35,19,270,2342,464,328,494,244,127,43,32,229,1958,285,207,371,238,129,53,55,219,1553,284,183,362,242,123,55,48,183,1474,276,219,427,302,121,66,52,216,1667,243,156,375,256,129,46,53,195,1455,172,140,346,237,107,65,48,158,1271,119,88,242,182,85,47,28,139,919,70,50,147,105,57,31,22,93,577,35,21,71,65,32,16,26,39,313,14,11,45,31,32,14,20,28,201,26,7,14,18,22,10,21,32,161,5911,2331,3603,2241,1081,480,426,2594,18672
RA74,1103,106,10,0,0,0,0,519,1739,884,417,134,34,4,0,3,414,1894,681,403,326,168,35,5,9,346,1977,444,332,404,253,113,50,11,343,1947,293,218,352,290,173,81,51,281,1736,188,147,252,222,162,92,68,224,1354,197,121,204,208,159,77,72,206,1235,154,128,221,199,169,88,68,184,1217,121,98,170,166,111,64,65,181,973,86,59,153,146,112,62,63,135,813,68,45,71,72,78,42,38,107,522,24,21,33,51,34,26,36,46,278,8,6,24,15,14,16,24,24,130,12,5,8,8,5,13,14,11,78,6,0,5,9,0,0,9,11,41,4270,2106,2370,1840,1172,624,528,3040,15942
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
RA79,31,4,0,0,0,0,0,30,64,39,13,9,0,0,0,0,36,99,94,10,13,0,0,0,0,70,185,58,15,10,12,4,0,0,72,175,26,7,30,12,8,6,0,62,145,14,6,27,15,6,0,3,45,122,18,8,4,12,5,3,0,84,139,21,5,27,10,8,5,0,67,142,18,9,23,18,8,3,3,61,138,7,14,25,17,11,6,0,54,139,6,5,28,10,4,3,3,24,89,0,0,7,0,0,3,0,8,25,0,0,8,4,0,0,0,4,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,325,103,211,110,63,25,15,629,1486
RA80,11830,36,3,3,0,0,0,1005,12876,15124,439,134,18,7,0,0,1393,17117,15081,1964,898,253,64,16,8,1200,19484,9516,4277,3472,920,231,63,35,941,19462,4982,3854,6534,2090,498,117,74,741,18883,3166,2642,6334,2493,612,171,100,559,16078,2579,2237,5893,2512,731,190,113,495,14763,2332,2028,5292,2397,736,172,118,458,13536,2003,1704,4646,2408,795,196,99,382,12233,1606,1530,4157,2369,822,203,127,376,11179,1171,1180,3673,2265,849,215,100,396,9856,976,990,3440,2188,826,214,132,374,9149,542,559,2252,1581,661,228,129,323,6283,288,323,1196,1169,608,220,170,292,4267,285,311,1063,1000,662,276,291,428,4316,71478,24077,49005,23662,8109,2288,1494,9365,189472
