RA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,105570,135511,48297,4428,293803,81554,12132,387490,13205,8303,7105,873,29479,31471,2624,63575,6151,4637,2845,408,14038,7895,1793,23734,19360,12941,9943,1279,43520,39366,4421,87309,5876,3133,2179,421,11610,16637,1559,29801,1008,297,221,78,1603,2402,339,4352,1600,394,263,104,2353,2770,478,5604,1047,203,116,69,1436,1746,500,3677,68,58,25,4,156,105,15,284,9599,4080,2808,675,17159,23660,2890,43710,145,23,26,0,192,335,10,545,60,9,10,0,75,244,7,330,0,0,0,0,6,3,0,4,98,79,46,5,225,176,45,441,298,106,79,9,491,766,70,1322,239,195,102,12,548,589,86,1223,135059,152831,61234,6409,355525,145932,19600,521065
RA41,22397,17835,6021,449,46699,15587,1334,63623,631,135,259,20,1035,1899,59,2998,84,30,21,0,137,84,10,235,711,163,274,20,1174,1986,68,3232,40,19,27,0,84,316,5,409,14,0,4,0,22,44,0,70,3,0,0,0,8,5,0,18,0,0,0,0,4,0,0,3,0,0,3,0,3,0,0,6,64,25,41,0,125,372,10,504,51,9,4,0,69,140,27,234,64,5,16,0,87,120,4,210,3,3,0,0,4,5,0,12,16,16,4,0,42,27,0,67,138,34,28,6,197,287,31,526,69,36,6,0,113,84,12,214,23373,18095,6371,476,48317,18316,1458,68092
RA42,23189,17074,6882,592,47745,19152,1526,68420,1532,864,1276,102,3765,4821,284,8870,74,22,15,0,116,62,4,183,1601,889,1290,98,3878,4881,288,9056,251,84,133,35,501,1597,71,2169,10,0,0,0,10,29,0,39,7,0,0,0,7,11,0,18,0,0,0,0,0,0,0,0,7,8,5,0,19,5,0,21,266,90,140,34,532,1643,75,2247,101,18,5,0,125,159,7,287,41,11,4,6,59,67,9,133,9,8,5,0,23,17,0,44,41,37,6,0,90,45,4,142,186,72,20,9,291,294,24,611,85,35,16,0,135,145,6,284,25337,18160,8351,732,52579,26114,1918,80613
RA43,5159,3943,1263,107,10476,4299,381,15155,138,67,97,8,319,466,24,807,37,20,11,3,71,38,4,109,177,89,106,10,381,503,27,909,59,11,24,3,94,353,8,458,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,3,0,19,61,18,22,3,109,356,12,473,22,10,0,0,31,45,10,83,18,3,6,0,26,28,7,64,7,6,0,0,9,5,0,12,4,5,0,0,15,25,0,38,51,27,6,0,83,94,19,199,19,7,5,0,30,36,4,70,5468,4079,1405,130,11080,5287,448,16814
RA44,1240,1109,436,78,2854,1358,102,4314,19,11,3,3,39,87,8,129,0,0,0,0,0,6,0,6,19,11,3,3,39,91,8,134,9,10,0,0,23,47,7,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,11,13,12,0,0,30,52,7,85,12,4,0,0,20,49,0,69,6,6,4,0,8,14,0,18,0,0,3,0,0,7,0,5,6,0,0,0,9,4,5,17,25,6,4,0,35,72,4,111,31,10,3,0,38,46,0,83,1325,1140,446,81,2998,1615,120,4730
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,160408,233408,68305,6710,468831,110420,17627,596877,17401,11605,8253,1063,38319,37349,3605,79280,8462,5333,2959,520,17276,11481,2224,30978,25860,16940,11216,1578,55594,48827,5835,110254,3919,1678,1229,262,7090,10785,1024,18896,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,197,150,70,11,426,345,17,792,15352,4968,3208,796,24316,31432,3726,59476,213,26,39,4,280,625,22,924,264,17,38,7,320,644,16,974,18,14,5,0,37,41,0,80,124,66,25,8,218,145,39,401,613,122,99,17,850,1459,75,2383,164,122,64,10,355,392,23,779,202401,255562,82889,9108,549956,192528,27279,769764
