RA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA51,24764,23798,8245,572,57381,16304,1916,75597,988,320,458,31,1799,2935,137,4875,229,119,70,4,421,310,41,772,1219,442,527,34,2221,3249,176,5649,131,49,41,10,230,412,22,665,10,8,13,5,35,65,5,104,18,0,0,0,18,13,0,30,18,4,0,0,22,12,0,32,20,13,5,0,35,27,4,64,197,75,56,13,341,530,33,904,116,20,16,4,159,270,11,443,146,17,11,0,176,249,16,439,19,11,6,0,37,37,0,75,23,15,9,0,44,29,3,75,302,67,42,7,410,581,29,1030,64,45,11,0,120,114,14,248,26548,24424,8875,627,60471,20777,2166,83418
RA52,19710,17093,6201,544,43556,15614,1550,60728,798,451,407,56,1707,2858,157,4725,213,124,53,8,398,278,29,707,1012,574,465,65,2111,3141,186,5432,82,36,34,3,157,360,14,534,0,0,0,0,6,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,18,24,3,39,99,42,36,3,180,393,20,595,110,10,11,0,127,219,3,356,86,12,12,0,113,219,9,340,23,11,0,0,34,36,5,71,25,11,0,0,38,39,3,79,245,35,29,0,312,513,12,842,69,33,17,4,124,148,5,276,21129,17775,6749,621,46275,19805,1783,67865
RA53,6855,8389,2064,204,17520,5164,667,23350,485,410,267,42,1205,1172,88,2463,188,130,52,3,375,277,43,696,676,539,318,46,1579,1453,132,3163,120,51,30,4,207,348,31,585,57,14,7,4,76,90,6,170,32,17,4,0,53,58,6,114,30,10,5,0,41,85,6,139,0,0,0,0,4,5,0,11,237,90,47,5,381,586,48,1016,146,29,11,0,187,180,13,383,18,5,4,0,24,36,0,62,15,0,0,0,11,29,0,42,22,16,6,0,44,20,10,74,196,54,23,3,276,260,18,555,80,58,16,0,155,126,13,297,8051,9133,2469,263,19909,7590,882,28374
RA54,3124,3969,1729,265,9083,3044,356,12482,160,92,96,20,362,446,34,844,22,12,7,0,41,57,12,110,183,98,101,20,402,502,48,959,60,30,30,0,126,218,20,361,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,9,60,35,30,0,129,222,20,372,281,62,32,5,382,414,31,828,17,4,3,0,20,27,3,49,15,12,4,3,36,25,3,72,37,27,6,6,74,29,9,107,353,105,45,15,507,504,48,1054,113,60,18,7,202,211,14,430,3829,4269,1925,312,10330,4489,481,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,32616,33516,14569,1221,81928,26862,4085,112874,992,442,555,60,2058,3326,293,5673,988,482,333,43,1849,1317,306,3471,1975,928,894,107,3901,4642,595,9143,1840,731,820,86,3478,4910,532,8920,271,81,48,15,411,632,97,1146,162,40,43,11,257,295,63,622,14,0,0,0,18,18,0,37,69,31,26,0,129,121,15,262,2364,882,937,117,4296,5985,709,10989,28,9,6,0,45,82,0,125,29,11,9,0,52,61,9,115,0,3,0,0,3,3,0,5,76,38,26,7,149,112,42,298,134,64,44,7,249,260,47,554,67,45,16,0,124,140,9,271,37162,35433,16460,1449,90501,37889,5440,133834
RA62,25325,18517,8157,592,52596,20045,1711,74352,571,148,332,27,1071,2552,74,3702,83,37,50,4,180,248,21,443,654,184,379,39,1257,2798,95,4148,71,32,33,4,136,272,14,422,0,0,0,0,4,42,0,43,8,0,3,0,16,30,0,46,0,0,0,0,0,0,0,0,4,6,3,0,11,15,0,27,82,38,39,4,169,350,13,537,82,12,13,0,117,258,14,387,75,9,14,3,104,109,8,222,11,7,4,0,18,22,4,40,39,26,14,0,80,53,11,141,213,61,45,7,317,444,30,792,42,36,3,0,79,76,5,164,26315,18834,8623,639,54415,23723,1852,79992
RA63,1132,556,266,23,1974,1250,92,3310,11,4,9,0,27,38,3,66,3,0,0,0,6,5,0,14,24,5,9,0,33,42,3,81,6,0,0,0,10,29,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,29,7,45,12,6,0,0,12,9,0,17,0,4,0,0,4,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,11,8,0,0,21,18,0,40,13,4,0,0,22,23,4,46,1185,572,271,28,2054,1357,101,3519
RA64,355,201,69,9,630,361,26,1019,9,0,3,0,5,18,0,29,0,0,0,0,4,0,0,4,10,0,3,0,9,18,0,31,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,6,0,0,5,367,200,71,9,651,394,29,1071
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,7628,12546,3803,317,24294,4369,1278,29937,569,446,351,51,1417,1216,123,2755,554,419,294,35,1301,704,184,2187,1128,863,643,91,2718,1922,304,4950,918,702,414,67,2093,1668,273,4037,469,403,131,25,1034,727,162,1919,887,584,271,44,1799,1110,351,3253,881,352,106,24,1374,949,271,2592,5,3,3,0,11,15,0,27,3165,2048,925,168,6308,4466,1055,11824,110,28,7,0,147,142,7,294,24,6,0,0,34,43,0,81,8,3,0,0,13,19,3,40,10,4,0,0,17,3,4,22,152,42,14,5,211,212,11,429,30,13,14,0,59,87,3,151,12102,15507,5403,574,33581,11060,2654,47297
RA73,2655,3578,1414,184,7832,1908,551,10282,468,436,236,36,1174,911,103,2183,229,179,116,12,534,366,68,969,692,616,347,53,1710,1277,172,3154,101,42,33,5,191,270,24,487,3,0,6,0,11,13,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,7,5,0,12,112,49,37,11,208,290,24,527,90,20,14,0,121,153,3,274,9,8,7,0,24,48,4,72,20,3,0,0,23,29,4,54,3,0,0,0,11,15,0,23,116,31,20,0,178,237,8,426,88,38,28,0,154,169,11,333,3666,4307,1848,248,10072,3881,762,14718
RA74,1190,2968,1335,258,5742,1103,140,6986,121,205,116,21,457,343,19,817,9,8,0,0,19,28,3,53,127,211,116,21,478,370,24,862,64,35,28,9,125,146,4,271,0,0,0,0,0,0,0,0,4,5,4,0,11,4,0,12,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,64,36,31,9,133,152,4,288,64,15,6,4,86,79,7,181,6,5,0,0,12,22,0,42,25,10,12,0,44,40,7,86,10,5,0,0,12,3,0,20,105,33,17,3,157,150,14,318,32,25,3,4,72,101,4,182,1519,3275,1506,287,6587,1873,185,8644
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,28240,44738,11258,978,85223,17659,3364,106240,3065,2265,1618,148,7105,6103,546,13757,4074,3449,1672,240,9435,4431,1301,15164,7138,5716,3294,387,16540,10536,1845,28921,1330,666,432,46,2473,2745,409,5628,2147,882,428,112,3571,3476,697,7745,4037,1181,569,143,5928,5810,904,12642,2047,538,258,88,2929,2697,578,6206,115,62,28,3,214,198,26,442,9675,3330,1726,391,15117,14932,2612,32669,5,3,5,0,10,29,0,45,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,3,5,0,0,8,3,4,7,25,15,14,6,57,92,11,168,46,38,18,0,107,85,15,204,45130,53831,16315,1766,117044,43313,7845,168200
RA81,65,83,20,0,164,27,5,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,63,83,20,4,168,27,5,201
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,11,20,26,9,62,15,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,16,21,26,9,68,20,4,89
RA94,374,318,88,10,786,361,20,1174,23,31,6,0,57,33,0,95,3,4,3,0,5,3,0,14,21,36,15,0,68,40,0,106,22,10,3,0,35,38,6,78,10,22,9,3,36,8,0,51,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,7,0,12,33,33,7,3,74,62,6,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,10,13,0,21,443,384,107,12,945,476,25,1444
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
