RA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
RA72,2235,1586,1038,406,98,18,8607,401,1515,1428,1120,822,392,94,7,5783,81,326,265,166,97,60,13,5,1012,258,654,522,334,184,75,18,6,2054,12,13,13,9,3,0,0,0,41,32,139,116,105,61,38,10,0,496,800,1317,1110,876,685,465,240,98,5590,3048,10607,9076,6550,4610,2398,803,184,37272,107,427,462,359,239,157,35,9,1785,273,789,615,305,171,70,5,0,2228,832,2680,2316,2087,1679,988,353,71,11017,228,762,694,556,482,271,124,22,3138,162,348,404,343,233,121,32,3,1639,516,2652,1956,1260,974,517,183,40,8097,215,1133,1276,1112,937,629,235,25,5566,930,4464,3541,2568,1642,738,192,24,14098,659,2282,2217,1731,1231,653,175,23,8975,140,483,427,273,177,100,31,3,1638,434,1079,916,578,329,148,36,6,3516,19,15,22,17,5,3,4,0,88,66,285,281,272,158,89,25,3,1190,1788,2842,2369,2036,1552,1035,473,167,12259,6366,20239,17483,13493
RA73,431,415,263,117,18,6,1909,96,512,440,327,259,107,24,0,1759,25,94,57,47,39,23,12,0,292,106,171,124,94,62,29,3,0,583,0,5,0,6,6,0,0,0,15,8,35,25,23,14,9,0,0,119,329,546,427,414,366,224,78,30,2415,886,3134,2394,2079,1669,828,227,65,11279,15,95,109,72,64,42,14,0,403,20,126,102,40,35,8,0,0,330,166,644,516,473,453,263,75,9,2605,56,245,210,163,156,79,24,4,937,66,138,141,143,94,36,14,0,629,132,887,636,453,418,185,45,20,2775,65,358,327,364,355,205,71,11,1743,148,879,685,612,419,201,32,6,2980,153,769,706,547,412,185,43,4,2812,44,157,118,75,79,45,18,0,527,164,311,241,165,118,50,12,0,1063,4,7,6,3,12,5,0,0,39,19,73,84,41,39,21,4,0,287,726,1108,879,856,764,464,178,57,5029,1779,5791,4746,4003
RA74,190,168,92,20,0,0,734,45,234,186,166,128,42,5,0,798,18,52,22,21,16,0,0,0,134,52,89,70,41,20,6,0,0,271,0,4,3,4,0,0,0,0,11,7,16,14,0,6,0,0,0,50,534,555,407,326,271,117,22,6,2228,879,1625,1308,1088,858,296,46,7,6110,3,34,18,20,18,3,8,0,106,8,24,17,6,5,0,0,0,58,100,290,259,239,197,83,23,0,1195,52,129,134,102,71,32,0,0,528,148,158,146,102,59,16,6,0,625,46,225,219,181,199,52,9,0,930,53,240,245,246,225,91,13,0,1118,84,314,291,233,144,57,4,0,1122,73,349,288,236,194,71,8,0,1224,20,75,50,36,22,3,3,0,212,71,145,105,74,48,11,0,0,460,4,5,3,7,3,0,0,0,18,12,33,34,30,15,6,0,0,134,1118,1208,856,704,607,262,57,4,4825,1802,3224,2663,2216
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,6,7,0,0,0,26,9,19,16,10
RA79,26,17,24,7,0,0,113,6,35,21,13,20,8,0,0,103,3,16,3,0,3,5,0,0,25,0,8,3,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,75,147,117,155,127,39,6,0,662,101,307,214,229,210,76,9,0,1144,6,13,8,3,5,7,0,0,35,0,0,8,4,4,0,0,0,19,4,41,29,17,33,39,10,0,171,0,19,15,8,15,8,0,0,70,3,11,6,7,5,0,0,0,30,8,49,20,14,28,9,0,0,123,0,11,13,17,18,13,4,0,78,9,47,46,25,33,19,0,0,179,6,43,29,19,20,16,0,0,141,0,21,6,10,3,8,0,0,43,0,7,8,11,14,5,0,0,43,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,0,0,19,149,269,265,327,266,101,22,0,1396,183,547,451,471
RA80,7717,5954,4049,2412,879,264,30437,2479,7987,7346,5484,4133,2879,1145,249,31701,653,1923,1726,1135,654,377,167,60,6696,825,1393,1132,849,464,282,146,45,5127,33,22,16,17,19,20,10,6,141,157,486,601,457,345,214,125,53,2440,1651,2091,1538,1162,883,957,814,561,9650,10566,33638,30842,23109,17092,12236,5791,1998,135263,1065,3393,2965,2567,2122,1721,851,232,14915,1608,5711,5856,3437,2288,921,156,11,19983,942,5083,4666,3799,3282,2592,1386,527,22266,889,2741,2078,1682,1295,897,553,173,10309,261,955,903,870,633,401,215,62,4295,1534,6242,4899,3536,3039,2206,1109,405,22972,652,3402,3700,3133,2742,2749,1577,392,18349,2738,13203,13345,10383,7064,4299,1609,430,53066,3895,12895,11785,9229,6987,5403,2361,553,53101,1156,3225,2917,1859,1076,653,268,78,11232,1218,2484,2052,1505,827,445,235,60,8827,75,48,25,28,24,34,15,7,254,312,948,1117,876,640,455,273,118,4743,3465,4591,3483,2552,1971,1782,1457,885,20188,19813,64910,59791,45463
RA81,11,9,13,0,0,0,49,4,4,16,3,9,0,0,0,42,0,4,0,5,0,0,0,0,10,0,5,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,4,4,0,0,27,10,42,51,43,42,11,0,0,205,3,0,0,4,0,4,0,0,12,0,0,7,0,0,0,0,0,9,0,5,14,9,9,0,0,0,31,6,12,7,9,7,4,0,0,40,4,3,5,4,0,0,0,0,14,5,4,4,8,4,6,3,0,33,0,3,3,9,5,4,0,0,19,0,9,17,17,19,0,0,0,69,4,9,19,14,11,5,0,0,60,0,6,5,6,0,0,0,0,14,0,10,3,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,8,5,9,17,10,0,0,48,23,72,96,83
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,13,0,0,0,3,0,24,0,13,6,6,10,5,0,0,34,3,0,3,0,0,0,0,0,10,4,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,7,3,6,4,0,0,35,20,43,36,21,36,7,3,0,166,0,5,0,8,0,0,0,0,16,0,0,0,0,6,0,0,0,15,0,11,0,4,5,0,0,0,22,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,4,5,7,4,7,0,0,0,21,0,0,0,0,5,0,0,0,11,7,4,11,0,3,0,3,0,40,0,19,10,8,10,6,0,0,56,3,0,3,0,0,0,0,0,12,6,3,10,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,16,17,40,25,21,14,5,0,136,50,80,77,58
RA91,0,4,0,0,0,0,5,3,0,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,5,8,7,6,0,44,15,13,13,16,10,7,10,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,4,0,0,0,0,6,4,0,0,0,5,0,0,0,11,0,0,6,0,0,5,0,0,13,0,3,0,3,5,0,0,0,9,4,5,0,4,5,0,0,0,14,7,0,3,4,0,0,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,13,12,12,18,8,19,9,0,87,22,27,30,38
RA94,47,30,35,26,7,0,194,10,18,32,26,25,12,4,0,122,0,3,5,4,13,3,0,0,36,23,20,19,23,10,3,3,5,92,0,0,0,0,0,0,0,0,0,0,5,4,4,6,0,0,0,12,33,44,52,36,59,31,23,4,289,90,177,228,179,209,124,63,18,1085,0,8,15,11,9,7,6,0,54,0,4,7,4,6,3,0,0,28,12,47,43,60,81,60,15,4,327,16,15,18,30,33,15,9,5,139,0,5,11,10,9,0,4,0,49,5,22,20,30,23,33,9,0,148,6,22,40,32,36,26,7,6,178,16,46,64,44,49,41,12,0,276,14,29,53,30,31,18,5,0,185,0,5,9,6,15,8,6,0,51,20,22,28,32,26,9,4,5,142,0,0,0,0,0,0,0,0,0,0,3,9,7,7,7,0,0,34,87,204,159,131,113,79,53,9,822,178,440,471,424
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0
