RA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
RA23,397,307,117,19,171,157,16,99,313,47,234,1498,107,2758,7,3,8,0,5,4,0,3,8,0,8,14,0,39,30,8,3,0,6,11,0,7,14,0,11,36,3,79,11,0,0,0,4,3,0,4,5,0,5,17,0,27,3,0,0,0,3,3,0,0,0,0,0,9,0,20,0,0,0,0,0,0,0,0,3,0,0,3,0,10,3,3,0,0,0,0,0,0,0,0,0,16,6,29,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,13,3,17,3,0,0,0,0,4,0,0,6,0,4,5,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,8,54,21,16,0,23,25,0,13,28,3,26,119,9,241,15,7,3,0,3,4,0,8,4,0,4,27,246,305,463,336,143,20,202,188,18,116,344,52,265,1641,364,3305,131,124,41,4
RA25,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,0,0,0,0
RA29,390,581,108,17,161,170,56,117,1246,49,608,1841,388,4283,12,21,7,3,10,11,0,9,29,4,19,101,13,179,23,25,5,0,13,17,0,6,33,0,22,109,16,206,7,5,4,0,5,0,0,3,16,0,12,75,4,111,23,5,6,0,10,3,3,6,20,3,16,52,5,104,9,11,0,0,10,9,0,9,17,0,17,70,4,108,6,6,0,0,5,0,0,0,17,0,21,154,12,207,0,4,3,0,4,0,0,3,9,0,10,64,7,94,6,7,0,0,8,0,0,0,21,0,13,120,8,165,7,7,0,0,3,0,0,0,21,0,10,70,4,110,0,3,0,0,5,3,0,0,16,0,12,61,7,96,93,88,31,4,63,53,10,31,202,16,144,878,68,1379,12,15,10,3,6,7,6,9,26,5,10,45,3334,3431,490,684,148,23,229,234,70,154,1470,68,769,2768,3785,9089,87,155,26,3
RA30,191825,227624,70017,15200,86515,87749,19051,44402,262268,19923,211277,1373638,88826,2257441,17890,18088,6650,1264,11747,8745,2060,3961,15467,2187,15557,125507,7844,202203,25024,13677,9158,2620,10694,11918,2326,6094,16161,2799,17720,88668,5707,166388,6303,2820,2610,953,2872,3732,653,1521,3620,906,4958,28534,1404,48701,6905,2040,2349,1313,4173,4007,877,1176,3862,971,5270,29612,1651,50450,1424,1246,427,156,1431,904,257,224,1498,184,2215,19549,861,26941,4796,5065,1816,451,5829,2452,776,612,3836,684,8039,73699,2785,101012,2003,2091,1475,314,3202,1711,467,335,2296,405,5879,88827,1675,106211,2412,2715,694,210,5070,1896,409,357,1872,324,3972,77067,1966,93670,3107,3236,1233,263,1678,1324,300,482,4270,318,4241,41328,1321,56848,3621,3509,1575,246,2450,1898,366,568,4115,329,4822,45908,1766,64646,73484,54480,27988,7791,49158,38580,8479,15325,56998,9107,72672,618696,26978,917071,3470,1726,1091,660,1714,1902,510,1050,2065,563,1919,9236,138530,156619,268783,283830,99094,23648,137382,128236,28041,60771,321328,29588,285870,2001565,254330,3331137,84684,148637,31815,432
RA31,96972,83118,30214,6591,44691,43074,9598,23693,95434,9971,76401,445559,36427,796269,3964,2663,1373,201,1870,1915,416,1108,2854,438,2636,15845,1261,29001,8218,3206,2761,672,3509,3778,838,2277,4113,970,4673,15645,1215,36349,2161,676,744,279,953,1184,204,605,989,314,1257,5536,384,11261,956,250,308,140,623,613,144,213,423,139,609,2499,220,5119,154,119,63,19,203,146,39,42,161,31,329,3634,120,4647,857,706,254,56,820,311,116,128,489,108,943,11855,669,15889,126,87,72,13,128,78,17,12,127,16,222,4807,127,5605,214,240,67,20,433,169,40,42,188,23,358,7861,202,9355,633,449,237,42,306,271,68,162,575,50,594,4143,190,6500,823,586,285,54,446,451,63,165,764,80,847,7325,317,10786,18110,8980,6172,1499,9294,8905,1931,4753,10679,2179,12471,79156,4702,134501,2653,1170,720,383,1203,1349,312,757,1326,364,1023,4789,56264,67036,117737,93256,37106,8478,55190,53332,11844,29207,107436,12513,89893,529504,97400,997806,30956,40545,9468,206
RA32,48983,45532,16401,3669,25306,23098,5149,11813,52163,5143,42736,319078,23072,519402,2302,1712,883,127,1403,1125,268,571,1739,277,1717,14398,904,23131,3729,1612,1385,340,1592,1819,409,1065,2186,423,2446,11167,690,21918,1236,416,485,156,545,637,130,298,622,202,882,5361,294,9063,1241,268,378,259,755,608,163,204,479,153,659,3445,229,6583,76,40,31,9,53,41,9,16,77,9,95,864,46,1209,640,560,220,42,741,276,88,77,412,74,833,10079,476,13416,119,122,91,16,153,77,21,20,148,17,277,5578,101,6508,203,207,81,20,442,149,39,35,161,28,370,6574,226,8080,435,335,166,14,211,176,43,103,429,49,483,4104,142,5882,374,321,147,25,214,185,32,67,418,33,483,5167,188,7060,10367,5590,3876,1019,6119,5092,1200,2456,6668,1274,8246,66729,3303,102850,1328,696,398,199,703,703,200,374,723,210,613,3911,58864,66254,60673,51821,20676,4877,32122,28897,6551,14641,59553,6630,51600,389717,85244,688508,20007,25627,6859,156
RA33,4024,4437,1437,283,2939,2289,568,1053,3694,443,3306,36336,2428,54722,147,158,58,8,105,84,13,40,109,26,116,1548,94,2238,195,93,71,9,93,96,23,59,125,25,131,634,39,1216,94,25,22,12,44,35,7,22,31,8,57,380,18,600,56,20,20,22,39,34,9,8,19,8,30,218,12,383,5,0,0,0,0,0,0,4,0,0,3,49,0,63,36,49,12,0,54,18,3,3,16,3,53,922,46,1168,0,4,0,0,5,0,0,0,0,0,4,211,4,229,10,4,0,0,12,5,3,0,4,4,7,358,10,410,20,21,7,0,17,6,4,6,24,0,24,432,6,533,24,41,9,4,16,14,0,11,29,0,37,534,7,688,581,413,200,50,383,291,69,155,365,81,457,5302,236,7531,138,75,41,13,84,72,18,50,82,17,61,625,8104,9100,4741,4920,1676,346,3411,2657,652,1263,4138,544,3826,42261,10761,71351,1833,2647,657,17
RA34,2572,3064,854,254,2708,1832,492,664,2097,308,2277,29454,2206,43138,97,65,24,7,72,46,17,16,58,19,62,739,42,1098,63,41,23,5,44,31,7,19,50,10,39,324,20,544,21,16,8,3,13,15,0,7,11,0,18,149,12,237,12,3,3,4,8,5,4,0,3,0,4,73,7,107,0,0,0,0,0,0,0,0,0,0,5,14,0,21,12,8,3,0,20,5,0,0,10,0,12,382,13,456,0,4,0,0,10,0,0,0,0,0,0,92,4,114,3,4,0,0,4,0,0,0,4,0,6,143,4,165,12,4,4,0,8,6,0,0,13,0,14,133,3,173,8,18,5,0,8,0,0,0,9,0,14,136,3,186,226,161,67,13,179,100,37,46,166,29,175,2182,107,3097,61,43,24,12,70,29,6,21,34,9,40,492,5511,6241,2860,3273,941,275,2955,1963,535,735,2288,347,2488,32120,7825,52481,1215,1756,431,12
RA35,0,0,0,0,0,0,0,0,0,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,4,0,0,42,133,183,0,0,0,0
RA39,1068,904,296,34,456,463,87,301,1631,112,1052,4227,1043,9019,74,49,31,0,40,44,3,24,81,5,60,341,76,681,106,60,32,5,43,41,5,30,77,9,77,416,37,764,29,7,3,0,16,10,5,0,14,0,25,275,25,367,12,4,0,0,6,4,8,5,14,0,11,119,12,167,0,0,0,0,0,0,0,0,0,0,5,33,9,48,9,0,3,0,7,6,0,0,12,4,5,137,11,181,3,4,0,0,0,0,0,0,4,0,0,165,9,183,0,0,0,0,3,0,0,0,8,0,0,71,6,82,12,12,7,0,3,5,3,4,22,0,15,206,10,269,11,17,3,0,5,3,0,3,11,4,11,88,5,142,252,155,84,7,119,120,25,69,247,25,209,1853,203,2883,19,14,6,3,9,10,0,11,31,5,14,92,2614,2770,1341,1078,390,44,579,591,115,376,1912,143,1281,6171,3862,14670,187,273,46,0
RA40,84556,96145,27736,7230,43404,36917,7406,16539,107374,8361,87022,549932,33224,918661,1345,1183,501,100,888,625,129,284,1261,148,1243,7141,423,12363,18345,8404,5828,2009,8772,8602,1481,4243,9723,1877,10706,40383,2780,89159,3764,1316,1366,616,1953,2151,373,836,1658,534,2263,9142,549,19158,10109,2404,2868,2156,6834,5731,1077,1428,4202,1468,5794,20674,1422,46151,1153,636,259,107,1099,591,181,152,955,136,1332,12104,496,16850,2436,2572,856,244,3443,1227,373,313,1782,357,4142,37763,1355,51684,649,634,370,79,1121,457,121,96,667,131,1686,30710,474,35884,1471,1535,358,142,3368,928,253,191,1407,189,2841,62157,1415,73081,959,904,360,71,593,360,66,138,1126,90,1117,9981,322,14216,702,765,285,62,718,344,94,120,826,87,1162,13258,494,17461,40927,20355,13053,5583,28793,21017,4148,7806,23615,4998,32287,243307,9735,376011,2059,992,559,350,1158,1038,197,503,1163,295,996,4617,39872,49527,127546,117493,41349,13163,73356,58975,11753,24849,132149,13652,120307,797855,82837,1344200,34646,58008,11655,188
RA41,16663,14366,5277,1176,8040,7295,1284,3185,15871,1538,12937,80866,4944,140750,212,158,66,14,102,94,17,48,161,30,169,983,65,1732,3189,1247,960,239,1429,1421,222,672,1441,311,1694,5573,395,13268,573,199,212,84,298,318,43,153,255,67,327,1205,85,2720,307,82,99,47,214,180,33,53,116,48,147,624,64,1412,22,6,7,4,19,14,5,0,13,0,23,127,12,208,108,83,36,11,115,43,15,12,61,15,105,1548,77,2040,20,15,6,0,11,3,6,0,21,0,26,472,23,588,33,26,20,6,45,23,5,14,20,4,24,455,13,588,101,58,34,5,42,43,6,11,69,6,103,506,17,853,85,51,31,4,39,42,4,17,81,12,68,555,22,849,4644,1922,1464,413,2312,2181,353,976,2238,487,2690,12050,775,24263,563,273,138,79,240,262,37,142,289,70,245,1202,7755,10293,21877,16557,6884,1669,10593,9734,1679,4300,18396,2098,15880,94121,13474,175307,5983,7555,1890,41
RA42,20262,18272,5749,1606,11439,8790,1827,4518,17788,1942,14203,92852,7287,164712,223,174,67,12,120,86,20,65,173,18,164,1184,76,1962,2154,863,583,192,1133,1012,190,614,953,236,1001,2791,305,7837,506,150,181,78,346,301,42,132,190,55,249,813,67,2088,510,128,128,96,366,275,65,90,175,55,213,691,109,1907,17,7,8,4,25,7,0,0,11,0,16,207,20,288,98,105,42,5,155,39,17,15,65,14,132,2369,108,2982,19,22,8,0,17,6,0,0,12,4,29,574,11,669,56,46,4,5,120,29,4,3,48,8,66,1834,62,2187,71,41,31,0,43,25,8,12,66,4,64,304,13,537,54,69,23,5,55,38,7,15,56,3,73,863,43,1171,3701,1594,1077,403,2386,1814,358,946,1749,405,2011,11635,810,21640,745,372,180,67,471,366,62,191,385,96,252,1438,11708,14907,24708,20240,7007,2073,14303,10974,2250,5656,19925,2439,16461,105923,19811,201259,6621,8724,1825,56
RA43,3550,3409,1173,271,1905,1611,276,762,3081,350,2557,22275,1327,35845,45,29,18,5,35,34,6,15,39,5,41,305,22,496,350,145,93,26,188,152,25,87,151,33,159,648,36,1484,78,26,25,11,50,35,4,21,28,15,41,223,19,438,42,17,22,9,30,34,6,4,20,5,18,127,13,258,0,0,5,0,3,4,0,0,0,0,3,25,0,37,17,18,8,0,44,10,3,5,11,3,24,421,17,542,4,0,0,0,3,0,0,0,0,0,7,83,4,103,5,4,0,0,4,0,0,3,3,0,7,186,3,214,23,17,3,0,3,8,0,3,17,0,14,143,6,199,15,13,8,0,5,0,0,0,15,0,17,189,8,266,579,267,188,51,383,272,44,142,283,62,341,2353,128,4046,112,63,30,12,77,58,16,27,49,26,39,377,3021,3706,4242,3735,1385,336,2369,1940,335,927,3412,430,2941,25009,4473,43592,1340,1864,404,8
RA44,813,837,256,56,733,505,108,190,655,81,642,7163,660,11128,11,10,0,0,13,7,0,5,4,4,9,95,9,154,59,27,15,3,17,24,0,15,28,5,25,136,13,284,13,6,9,6,14,7,0,0,4,7,9,60,0,122,41,9,12,8,24,20,4,11,6,6,12,98,14,196,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,6,3,0,4,0,0,0,3,0,5,96,0,117,0,0,0,0,4,0,0,0,0,0,0,31,0,38,0,0,0,0,7,0,0,0,4,0,3,145,3,161,3,4,0,0,4,6,0,0,7,0,0,23,4,41,8,3,0,0,3,3,0,0,3,0,9,36,0,56,136,68,45,13,90,73,8,39,66,23,68,724,51,1167,27,20,10,5,19,24,6,5,21,7,21,188,1183,1478,980,920,315,77,841,602,117,237,740,104,729,8076,1897,13768,351,471,92,5
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0
RA49,213,300,48,8,109,74,18,54,502,23,274,1007,291,2262,4,6,0,0,9,0,0,0,9,0,9,37,5,60,29,22,6,0,24,18,0,12,31,4,23,81,14,176,6,0,0,0,5,0,0,0,9,0,0,39,0,57,0,5,3,0,0,3,0,0,5,0,6,17,4,39,0,5,0,0,0,0,0,0,0,0,0,12,3,25,0,0,0,0,0,0,0,0,5,0,0,22,5,29,4,3,0,0,0,0,0,0,0,0,5,30,3,37,0,0,4,0,0,0,0,0,0,0,0,24,0,42,0,0,0,0,0,0,0,0,5,0,0,25,0,31,0,0,0,0,0,0,0,0,6,0,0,18,3,28,45,48,15,5,36,25,0,16,66,9,49,307,36,522,4,0,0,0,5,0,0,0,7,0,3,27,551,594,263,345,70,8,149,100,22,74,580,35,328,1338,882,3377,33,97,8,0
RA50,88485,111590,32575,6861,44013,39467,8592,18663,128597,8970,100225,794034,49570,1238174,4872,5374,1859,247,2961,2445,442,1123,4849,521,4302,40192,2427,62527,29723,15348,10439,2750,13565,13656,2515,6823,19207,3061,19901,108881,7111,201480,4533,2266,1839,610,2135,2518,426,1051,2806,547,3577,26729,1185,42114,8143,2067,2650,1405,5398,4381,937,1279,3733,1125,5193,29180,1780,52242,1332,1002,403,128,1463,720,209,169,1146,172,1729,18263,857,24899,5580,5532,2209,631,8233,3402,905,742,3927,834,8995,94516,3286,127514,910,772,582,118,1606,623,185,139,946,167,2344,40259,764,47671,3167,2340,931,353,5586,2299,481,515,1828,382,3874,74145,1997,91452,1773,1683,764,125,1000,729,143,290,2180,173,2162,20029,681,28365,4000,4030,1759,297,3357,2040,418,622,4390,394,5193,53757,2034,75101,64035,40419,23436,6664,45296,32815,6659,12755,45013,7382,57274,505948,22118,753361,2017,920,646,547,1145,1045,286,528,1169,339,1032,6194,84410,96134,154535,152933,56656,14069,90455,73329,15543,31944,174779,16687,158528,1306171,156093,2087667,49822,81475,18869,249
RA51,16498,15166,5435,1011,7736,6518,1416,3121,17419,1552,13237,102461,9054,169798,687,571,248,35,336,282,65,162,550,68,474,4137,435,6855,3621,1525,1152,298,1543,1424,262,829,1904,383,1942,9057,758,18671,514,196,205,64,254,277,34,126,274,67,339,2258,143,3853,366,91,106,56,252,215,47,63,149,54,187,983,132,1997,28,15,17,3,28,13,5,8,22,5,20,312,135,546,150,152,51,11,215,96,23,26,97,17,214,3333,230,4329,21,27,14,0,24,9,0,3,17,0,48,1064,73,1257,79,39,32,5,106,39,12,16,31,7,94,1296,137,1722,139,115,38,10,72,67,8,33,142,21,137,1116,70,1706,345,322,149,31,184,166,16,57,340,37,361,3114,212,4724,5956,3042,1999,509,3015,2592,480,1313,3514,658,3805,26668,2314,45662,475,199,149,73,213,204,45,117,259,66,185,1347,13503,15985,22925,18402,7583,1590,10952,9322,1949,4551,21195,2280,17229,130482,24869,231450,7397,8771,2385,39
RA52,13389,12549,4497,1015,7151,5771,1322,2787,13617,1322,10475,80888,6462,134571,539,525,202,29,326,255,58,140,414,59,376,3889,289,6108,2304,856,699,211,1022,991,177,512,1139,238,1295,4715,373,10552,394,139,128,54,187,193,32,95,190,44,222,1387,86,2502,214,46,71,41,159,152,32,42,88,28,143,688,49,1309,11,9,8,0,12,8,0,0,15,0,14,241,22,318,164,158,45,9,235,69,27,15,93,12,235,3623,170,4576,16,12,11,0,9,11,0,0,16,0,15,673,32,775,51,48,20,4,110,47,7,11,35,4,62,1253,55,1586,117,68,42,11,63,55,7,25,96,17,127,686,35,1134,231,200,99,15,158,109,12,24,247,24,233,2396,99,3468,4048,2065,1317,378,2289,1879,353,869,2329,435,2728,19550,1201,32341,421,188,134,84,228,203,47,109,222,60,192,1248,14986,17319,17855,14804,5952,1479,9667,7858,1721,3764,16167,1814,13391,101683,22652,184237,6075,7317,2017,42
RA53,3799,4931,1374,217,2501,1724,477,836,4414,366,3553,41679,2871,61278,207,245,79,6,130,98,11,56,164,16,147,2166,118,3151,387,227,116,24,211,196,40,93,271,47,238,1808,108,3099,90,40,31,4,53,32,8,21,56,10,53,783,35,1090,33,14,11,7,26,28,5,10,19,7,18,363,18,491,6,3,6,0,3,3,0,0,6,0,4,123,7,157,64,54,21,3,108,35,20,5,32,8,90,2107,90,2534,8,10,3,0,8,0,0,0,10,0,21,406,10,469,21,22,5,0,49,13,0,3,9,5,28,818,12,952,26,28,14,0,19,8,0,3,44,4,38,461,13,601,68,57,26,6,61,37,6,3,97,7,68,1074,39,1447,914,702,311,47,660,444,101,201,707,100,704,10109,455,13990,106,95,36,11,83,60,24,38,69,22,50,582,11204,12159,4827,5731,1719,279,3239,2231,602,1078,5185,491,4306,52373,14533,87426,2300,3383,804,14
RA54,1766,2582,605,148,2209,1311,432,499,2162,195,2072,28110,2373,40056,108,137,42,4,100,66,17,31,100,7,67,1751,75,2339,179,128,75,9,106,74,15,55,126,20,144,1166,60,1837,47,25,9,5,28,24,4,12,26,3,29,586,21,760,46,10,17,0,29,24,7,12,13,5,29,351,13,476,4,3,0,0,0,4,0,0,0,0,8,124,0,140,25,44,15,0,50,9,8,0,22,8,54,1185,61,1431,3,3,4,0,8,0,0,0,4,0,9,306,9,345,10,12,4,0,19,5,0,4,3,4,7,348,8,407,17,23,3,0,13,10,0,4,20,0,22,365,12,462,20,29,16,0,32,13,3,9,35,0,52,697,27,896,458,419,177,34,385,235,57,127,350,54,424,6884,290,9086,57,46,28,9,69,50,13,15,39,11,38,505,10800,11532,2288,3049,813,183,2660,1593,499,641,2547,259,2534,35494,13466,60672,1125,1771,390,19
