RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA10,489,5071,120,82385,385,103,232,218,257,406,149,288,270,1482,14531,18325,283,76,274,150,118,150,52,147,157,2731,3239,7373,122129,24770,7210,62678,19725,54749,9934,38814,12243,198336,20426,571016
RA11,141,1190,36,12305,122,55,45,112,69,157,44,156,65,631,6113,7571,155,73,116,99,43,77,11,69,48,1564,1223,3486,28976,9670,1502,23300,2952,14431,2039,14981,2800,79829,8603,189081
RA12,18,210,12,2459,59,11,12,43,16,78,8,41,27,167,1755,2216,108,32,39,49,10,37,9,23,26,442,403,1174,9012,2346,464,6604,712,3721,448,3346,621,16464,2540,46270
RA13,0,13,0,207,0,3,0,10,0,3,0,4,0,8,113,142,17,0,3,4,0,3,0,0,0,24,34,81,781,114,31,417,45,267,25,148,30,605,156,2614
RA14,0,0,0,49,0,0,0,0,0,5,0,4,0,0,43,46,3,0,3,0,0,4,0,0,0,0,10,26,176,38,13,71,10,52,3,24,10,158,54,604
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,267,3277,98,57296,415,90,177,263,241,414,128,291,181,1164,11616,14979,358,101,219,240,100,173,42,169,126,2623,2737,6893,115400,23080,3047,64921,9108,45084,4639,32638,5646,148281,16627,468475
RA21,97,851,26,9175,125,33,31,122,47,156,29,130,61,560,4288,5589,153,59,102,116,34,76,24,73,56,1282,1013,3001,23329,7593,1317,19962,2551,11573,1773,11360,2330,55381,6291,143444
RA22,17,153,3,1531,30,16,13,33,8,38,11,37,16,111,1083,1388,52,22,30,50,10,21,5,20,16,342,339,913,5443,1812,403,4607,518,2451,391,2609,515,12649,1700,33111
RA23,0,10,0,22,0,0,0,0,0,0,0,0,0,4,25,25,4,0,0,0,0,0,0,0,0,7,3,19,80,24,5,87,11,42,4,43,15,181,28,515
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,281,2405,58,34462,267,71,133,215,192,260,86,153,125,770,11602,13869,202,54,170,118,70,92,25,75,97,1456,1618,3971,74754,16592,3574,46612,10299,31523,5441,21989,5761,111040,14533,342127
RA31,78,506,28,6669,93,18,35,71,43,110,26,83,55,419,5726,6682,120,36,93,80,23,61,21,40,43,1010,868,2400,19836,4657,1088,14386,2074,10535,1292,8180,1931,50748,7383,122101
RA32,68,268,8,5148,75,26,27,57,33,95,23,54,36,236,4497,5170,113,28,89,67,19,43,16,31,30,520,545,1484,16690,3360,823,10785,1417,6826,777,5129,1190,23041,5534,75582
RA33,6,22,4,749,18,4,6,10,9,9,0,10,5,26,447,534,32,3,25,9,5,5,8,11,4,52,67,222,2071,263,127,910,144,687,65,353,109,1687,560,6971
RA34,0,10,0,341,7,0,0,4,0,8,0,12,4,18,296,362,32,4,16,12,0,8,0,8,0,42,73,194,1451,175,83,490,81,389,25,204,56,926,398,4297
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,92,954,23,10384,82,26,24,76,36,98,18,70,27,404,4412,5265,63,18,39,47,27,35,8,29,19,663,607,1559,26882,7056,721,19837,1972,12148,1197,10517,1426,52398,5711,139862
RA41,21,114,3,1058,15,5,3,15,9,18,3,20,10,75,922,1089,15,10,12,10,5,7,4,9,0,170,122,367,3103,1335,185,3035,338,1816,226,1911,354,10529,1203,24037
RA42,14,112,9,1117,15,7,3,19,6,29,9,32,11,102,1108,1347,27,11,27,29,6,10,3,17,6,243,222,597,4095,1188,205,3760,356,1934,291,1893,350,10152,1558,25778
RA43,4,34,0,340,3,0,0,3,0,9,0,3,0,11,329,372,3,4,4,3,0,6,6,0,6,45,31,103,917,340,59,809,75,401,76,380,80,1982,405,5533
RA44,0,3,0,72,3,0,0,0,0,0,0,7,0,5,95,114,0,0,3,3,0,3,0,0,3,8,15,44,275,66,23,189,30,114,18,110,22,438,118,1409
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,227,1442,29,24817,142,41,70,124,120,184,63,107,75,532,13279,14738,128,28,99,89,32,61,11,62,46,955,1010,2518,45672,9785,1446,30458,3622,20315,1835,14983,2363,65387,15115,210984
RA51,42,142,9,2013,24,9,0,19,13,31,4,17,8,81,1994,2197,34,11,15,22,5,18,0,7,0,160,179,449,4279,1368,277,3833,472,2436,315,2013,421,9723,2339,27480
RA52,14,92,0,1753,21,5,3,23,9,21,3,22,8,65,1529,1706,32,16,16,23,4,8,3,12,9,143,158,419,4298,1163,261,3162,396,1919,259,1516,315,6531,1840,21650
RA53,16,29,5,1404,11,0,6,13,7,10,3,0,3,20,729,803,19,8,6,10,0,3,0,0,0,41,65,150,2776,344,108,1290,213,733,75,391,94,1413,839,8279
RA54,5,4,0,522,9,4,6,3,0,3,3,0,4,14,340,389,3,0,11,3,6,0,0,5,0,32,51,118,1324,150,89,462,108,377,40,152,54,911,425,4094
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,21,200,7,2596,21,8,0,17,8,29,6,19,9,104,1257,1473,13,9,12,9,3,4,3,9,3,190,165,421,6971,2411,263,5802,551,3126,372,3257,459,13605,1648,38468
RA62,14,96,8,986,18,6,5,23,5,30,5,19,3,111,1049,1280,15,7,16,13,8,6,5,9,5,194,199,479,3562,1398,270,3430,372,2138,316,2372,407,11211,1493,26972
RA63,0,5,0,46,0,4,3,0,0,0,0,0,0,7,85,99,0,0,0,4,0,0,0,0,0,4,12,20,168,71,18,144,19,65,14,105,20,470,106,1202
RA64,0,0,0,23,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,0,0,0,0,0,0,0,4,4,59,40,4,75,5,26,8,19,4,100,26,370
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,5,58,7,1789,21,4,12,12,6,17,3,7,11,20,1131,1232,10,0,8,0,0,0,0,0,4,38,67,143,4362,559,153,1947,336,1319,131,602,142,2038,1256,12828
RA73,5,17,0,507,4,0,0,0,0,4,0,0,0,17,297,330,7,0,4,0,0,0,0,0,3,13,32,61,1411,144,52,477,60,372,35,161,51,821,361,3946
RA74,0,4,0,142,6,0,0,0,7,5,0,10,3,21,73,118,6,0,0,0,0,0,0,3,0,31,60,96,531,64,30,134,38,190,4,100,31,893,155,2173
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,81,597,3,8997,26,4,0,25,9,24,11,4,13,81,1375,1577,15,0,12,6,4,5,0,10,4,95,114,266,14259,1988,289,6178,857,4364,360,2957,480,13616,1630,46982
RA81,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,10,5,8,0,5,0,7,0,77
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,0,5,5,24
RA94,0,0,0,38,0,0,0,0,0,0,0,0,0,4,24,27,0,0,0,0,0,0,0,0,0,0,0,4,91,28,9,86,4,48,5,58,7,87,29,473
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
