RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA10,478052,297203,356336,331707,260240,189969,105263,41754,10886,2071405,49792,48488,55557,61487,68520,81037,75877,43705,14435,498897,2474,4832,7398,9551,14806,25284,33669,25123,9638,132776,128,357,878,1864,4670,11504,19807,19080,8728,67015,52393,53678,63831,72900,87995,117828,129349,87913,32806,698688,42796,30748,37620,33281,28900,23688,16137,10483,5934,229592,573243,381631,457790,437893,377132,331485,250755,140144,49627,2999688,464862,264481,346839,327837,261837,195706,117269,46949,14897,2040691,34800,59750,71859,70161,76285,85453,84054,52975,23905,559235,1871,9280,13993,14686,20840,30216,36867,29733,16111,173610,90,581,1746,3645,8161,15499,21550,21442,14384,87095,36759,69603,87603,88502,105292,131167,142476,104152,54394,819942,40019,26534,33778,30507,26189,22523,17238,12664,10637,220110,541648,360626,468223,446850,393317,349400,276985,163766,79928,3080740,942918,561689,703176,659550,522077,385670,222535,88699,25783,4112097,84586,108242,127418,131649,144805,166492,159926,96677,38342,1058135,4345,14115,21393,24238,35648,55502,70536,54860,25748,306387,221,932,2624,5508,12828,27001,41360,40523,23111,154117,89150,123283,151434,161400,193283,248993,271821,192062,87204,1518634,82819,57283,71400,63795,55088,46216,33375,23147,16573,449700
RA11,111098,61441,56989,54888,57089,52656,37869,15191,3485,450708,16334,13668,13674,15535,19642,27356,30670,17377,4881,159132,1202,1806,2334,3152,5177,10197,15172,10452,3536,53031,59,146,360,802,2028,5314,9856,8602,3408,30574,17590,15617,16367,19488,26846,42863,55699,36440,11817,242734,14612,10093,10027,9666,9849,9415,7638,4577,1863,77744,143301,87153,83388,84041,93780,104933,101208,56209,17163,771183,108969,52866,54666,55009,57375,55081,39835,16199,4609,444614,12280,17247,18662,19424,22952,29241,31501,19508,7844,178665,919,3365,4723,5347,7744,12137,15576,11526,5614,66968,39,278,719,1584,3675,7170,9909,8805,5357,37536,13241,20899,24107,26359,34370,48542,56992,39843,18816,283171,13837,8215,7716,8063,8416,8529,7642,5247,3103,70774,136047,81979,86487,89437,100169,112156,104463,61289,26529,798556,220071,114309,111655,109901,114470,107735,77704,31390,8089,895321,28613,30915,32336,34957,42594,56596,62170,36886,12718,337799,2118,5170,7067,8501,12924,22336,30749,21979,9152,119998,96,425,1076,2394,5702,12479,19762,17412,8763,68112,30828,36513,40472,45851,61213,91410,112689,76285,30635,525899,28449,18309,17749,17726,18266,17942,15280,9828,4968,148514
RA12,26290,13683,13452,12404,13755,13989,9512,3873,842,107797,3944,2941,2921,3281,4534,7154,7610,4030,1130,37535,248,350,444,636,1255,2722,3866,2419,732,12667,13,27,81,176,552,1500,2557,1951,712,7565,4198,3322,3439,4094,6335,11373,14033,8402,2577,57775,4529,2788,2908,2855,3078,3412,2833,1540,584,24531,35019,19786,19797,19355,23173,28776,26378,13810,4001,190095,25572,11734,12655,12192,13131,13476,8891,3823,1113,102587,2881,3370,3861,4012,5060,7043,7080,4365,1843,39516,191,696,953,1140,1763,3077,3524,2471,1161,14974,8,56,158,339,918,1943,2367,1912,1029,8721,3080,4119,4969,5494,7741,12063,12971,8751,4030,63214,4281,2299,2298,2422,2680,3036,2426,1532,830,21795,32932,18152,19923,20101,23554,28570,24282,14104,5970,187593,51867,25415,26110,24590,26888,27461,18402,7692,1957,210383,6822,6313,6776,7298,9588,14195,14687,8393,2978,77054,436,1047,1398,1774,3020,5804,7392,4892,1887,27644,23,90,228,518,1466,3439,4919,3865,1735,16288,7283,7443,8405,9588,14078,23435,26997,17155,6605,120987,8811,5086,5200,5275,5766,6450,5261,3066,1412,46323
RA13,1821,900,1102,860,900,897,552,201,43,7287,291,143,191,211,309,458,432,201,77,2309,16,34,26,43,83,174,202,120,39,731,0,0,4,10,27,116,141,117,34,452,302,185,220,266,412,746,768,439,146,3490,561,277,330,296,326,380,282,161,35,2636,2684,1360,1651,1423,1641,2023,1599,798,226,13413,1823,785,1032,821,853,799,420,202,58,6793,208,204,284,250,314,386,304,217,89,2253,19,51,81,74,108,195,154,112,59,851,0,3,5,27,67,121,143,106,50,509,222,258,374,346,490,702,602,431,198,3616,513,268,285,291,299,311,231,148,44,2397,2555,1317,1691,1450,1639,1814,1256,783,307,12807,3645,1688,2134,1678,1751,1697,976,400,104,14080,493,350,473,458,624,845,738,410,171,4565,27,88,104,122,189,366,356,238,96,1587,0,4,14,37,88,236,281,226,79,962,523,443,590,615,901,1446,1373,868,346,7112,1072,546,616,581,625,695,510,306,82,5030
RA14,502,245,268,241,242,245,150,53,11,1961,50,35,44,48,68,107,109,53,12,529,10,3,4,5,28,34,50,21,10,165,0,0,0,0,14,36,37,25,9,112,53,37,48,61,112,178,198,95,21,802,143,86,77,62,67,95,79,32,3,652,701,370,392,362,424,516,427,182,43,3413,449,232,307,227,229,220,114,43,22,1849,41,40,75,64,93,89,81,41,14,539,0,4,16,15,24,38,29,21,7,151,0,0,4,7,16,36,41,25,9,132,41,39,94,86,127,157,156,88,28,822,131,85,91,78,78,83,51,29,11,625,619,352,492,392,443,464,317,160,57,3293,945,481,575,465,471,466,263,97,32,3802,84,69,120,112,163,193,195,97,29,1067,10,6,16,22,49,68,79,43,12,308,0,0,4,7,29,71,83,48,10,245,94,78,141,143,241,334,356,183,52,1620,281,164,167,141,150,176,131,60,12,1279
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,332,298,549,403,317,286,211,47,3,2443,36,100,168,154,165,184,159,43,9,1008,7,18,17,43,53,86,89,30,3,343,0,0,5,9,29,74,52,17,3,203,44,123,191,206,244,348,303,88,12,1552,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,276,284,470,269,247,261,144,31,7,1986,50,143,154,127,122,155,96,21,4,870,5,47,53,43,56,79,50,19,8,347,0,5,15,19,36,55,44,12,4,196,57,192,223,186,204,284,190,56,16,1408,285,220,335,292,212,157,68,19,7,1605,616,703,1022,749,666,698,404,104,32,4997,610,587,1016,670,557,546,356,76,7,4427,89,244,317,279,285,344,254,66,12,1883,9,67,72,88,99,159,139,48,5,690,0,4,21,33,68,124,102,33,10,394,97,311,408,394,453,632,494,148,27,2966,555,462,763,794,661,469,210,54,14,3980
RA20,390882,246341,306859,276458,212019,149129,81920,33017,8922,1705538,40294,41476,54620,57219,59255,64191,58552,34391,11700,421696,2065,4226,7689,9098,12691,19668,25635,19682,7918,108672,111,289,828,1651,3933,8797,14982,14819,7529,52947,42469,45988,63139,67968,75885,92660,99171,68892,27140,583315,33055,24081,31728,26491,22926,17996,12047,7658,3641,179620,466408,316413,401730,370910,310828,259787,193133,109567,39708,2468475,381146,218066,293129,271767,214107,153677,91570,37279,11853,1672593,27779,52647,71115,65294,66970,69844,67052,43048,19188,482944,1532,8774,14874,14258,18614,24856,30038,24409,13732,151084,77,486,1638,3011,6676,11866,17164,17473,12830,71216,29392,61905,87626,82565,92259,106562,114261,84928,45753,705243,31347,21170,28005,24177,21306,17323,13485,9115,6176,172111,441877,301141,408756,378513,327678,277565,219311,131316,63780,2549938,772025,464402,599985,548220,426125,302806,173490,70294,20777,3378131,68077,94119,125736,122515,126227,134041,125603,77437,30886,904637,3595,13002,22564,23359,31309,44524,55673,44091,21651,259757,190,775,2465,4665,10614,20657,32152,32291,20355,124162,71859,107896,150767,150532,168142,199222,213428,153813,72893,1288556,64399,45248,59734,50668,44235,35321,25533,16771,9817,351726
RA21,87440,47771,45705,44144,45973,41517,28945,10791,2558,354843,12670,10760,11888,13182,15806,20564,23170,12222,3389,123650,904,1438,1967,2691,4223,7509,10963,7321,2413,39422,38,110,302,649,1566,3915,6982,6251,2374,22202,13620,12305,14156,16520,21591,31987,41113,25797,8178,185271,10614,6703,6736,6843,7516,7273,6233,3656,1488,57064,111670,66780,66600,67502,75083,80773,76286,40249,12227,597176,85147,40627,42413,44223,45508,42602,29623,11224,3370,344734,9281,13432,15993,16467,18510,22729,23834,13778,5630,139665,715,2672,4234,4662,6546,9592,11879,8043,3916,52275,29,211,630,1319,2861,5600,7588,6181,3632,28051,10027,16315,20855,22457,27923,37923,43311,27997,13180,219988,10034,5763,5578,6096,6517,6734,5995,3946,2390,53058,105205,62701,68845,72772,79943,87260,78929,43175,18943,617778,172587,88403,88113,88365,91478,84120,58572,22019,5928,699579,21957,24187,27883,29655,34315,43294,47004,26000,9021,263316,1622,4110,6194,7352,10771,17097,22842,15370,6333,91700,70,321,935,1965,4427,9513,14572,12436,6004,50250,23648,28620,35017,38974,49516,69908,84419,53803,21359,405260,20642,12461,12316,12939,14031,14014,12230,7608,3877,110120
RA22,16860,9385,9571,8703,9278,9973,7219,2733,658,74375,2270,1986,2135,2297,3135,4882,5510,3006,903,26113,161,238,378,473,898,1828,2642,1760,544,8921,8,26,67,135,350,992,1770,1359,494,5190,2433,2249,2574,2903,4386,7700,9913,6129,1942,40227,2450,1530,1446,1490,1676,2009,1752,998,416,13776,21749,13159,13592,13103,15335,19679,18886,9866,3012,128377,16817,7911,8848,8482,9230,9675,6745,2707,942,71347,1705,2268,2875,2889,3541,4929,5278,3347,1397,28230,113,477,690,830,1319,2085,2515,1775,845,10654,6,36,143,241,646,1330,1691,1309,760,6164,1818,2780,3710,3952,5503,8346,9493,6427,3003,45044,2288,1318,1330,1407,1552,1718,1585,1030,691,12919,20917,12008,13888,13842,16286,19735,17819,10169,4639,129306,33677,17294,18418,17186,18508,19645,13959,5442,1601,145723,3973,4255,5012,5182,6679,9811,10785,6350,2298,54343,272,712,1067,1304,2218,3914,5157,3537,1394,19573,7,59,206,373,990,2322,3465,2664,1255,11352,4255,5028,6287,6859,9886,16050,19408,12553,4940,85269,4732,2842,2782,2898,3227,3726,3335,2032,1110,26690
