RA_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
RA23,10,0,21,0,0,0,0,4,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,3,0,9,0,0,0,7,0,0,8,0,0,0,9,5,0,20,8,9,36,6,9,0,68,7,6,36,21,45,3,121,0,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,4,10,0,7,18,17,114,91,146,11,397,0,0,32,37,156,11,243,0,0,0,0,3,0,3,0,0,0,0,18,0,19,0,0,0,0,3,0,6,0,0,0,4,24,0,29,0,0,0,0,3,0,3,0,0,7,4,16,0,34,0,0,3,9,15,6,31,0,0,0,0,8,0,16,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,8,7,6,0,21,0,0,0,7,8,0,11,0,0,10,13,22,0,46,11
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,20,4,61,0,0,8,5,4,0,13,0,0,6,0,0,0,9,4,7,3,0,3,0,15,0,0,0,0,0,0,11,5,0,12,6,4,0,36,4,0,6,3,4,3,24,4,3,14,3,10,0,33,20,6,18,3,7,0,53,20,13,37,20,29,6,123,3,0,9,4,8,0,19,0,0,7,5,4,0,17,4,0,5,3,6,7,24,75,35,204,76,136,22,546,6,0,13,5,22,0,54,0,0,5,0,0,0,4,5,0,23,3,37,3,78,0,0,3,0,8,0,18,0,0,18,11,101,3,130,5,0,4,0,14,0,27,0,5,19,9,31,3,67,7,4,46,15,34,9,115,3,0,22,10,24,0,59,4,0,10,4,0,0,18,7,4,20,0,4,5,44,0,0,7,4,6,0,16,22,4,35,17,11,0,84,3,0,18,11,9,5,52,12,3,32,8,30,0,83,22
RA30,12223,1155,30300,857,399,3351,2715,4216,469,12007,613,353,2550,936,1056,124,5629,1961,1041,7130,4847,4829,572,20384,897,323,3345,2575,4080,500,11719,7881,3461,23822,6803,7288,916,50168,1308,643,6107,4570,6672,711,20018,4384,3217,14001,7300,7258,714,36873,16592,10019,38712,12179,14910,1278,93687,19407,10979,64308,31716,37347,3948,167700,753,422,3595,2026,2833,247,9862,1228,676,4715,5970,10873,638,24091,1720,462,5264,3492,4606,2885,18426,65490,34788,211693,111712,150659,17270,591610,483,142,1678,948,2088,304,5635,2136,544,4837,1654,5117,269,14550,3693,963,12249,8837,31012,1585,58333,1640,500,3919,2210,4803,249,13327,3087,1081,14603,13216,75159,2501,109648,2099,556,6758,4521,10467,724,25121,4420,1300,20388,15360,33774,2666,77912,3240,744,14282,12877,24059,2102,57305,3514,1088,11100,9749,20110,1885,47441,1509,558,5963,2554,3442,331,14369,4982,2233,15694,8911,7799,1035,40650,1968,634,7234,4458,8166,901,23365,20480,6662,56222,14619,14415,2122,114526,2485,1027,10580,7590,14330,1295,37307,9230,5601,26412,16420,19385,1599,78649,26124
RA31,4258,373,6886,68,60,397,536,1344,86,2488,45,22,211,111,202,16,606,92,93,568,756,1106,102,2720,31,40,308,442,1121,129,2071,532,386,2785,1078,2029,166,6968,83,85,631,748,1868,218,3638,470,448,2388,1892,2465,150,7811,2672,2526,10599,3567,5770,403,25537,2914,2394,14124,8873,14911,1222,44443,63,48,330,298,600,57,1390,109,109,648,1273,3570,159,5875,123,90,695,711,1568,765,3943,8003,6811,39269,26209,53917,5013,139220,399,155,2237,1731,4871,674,10068,172,125,815,1066,7733,264,10174,432,217,2194,1997,12601,629,18082,181,93,655,828,2947,108,4813,219,154,1502,2360,21931,710,26880,119,69,663,771,3832,166,5615,412,199,2335,2574,11268,741,17532,297,86,1407,1885,7303,581,11565,263,149,1106,1581,6733,461,10291,86,48,414,265,636,29,1476,242,194,1113,1213,1549,130,4436,82,69,578,676,2151,195,3752,1257,676,5628,2103,3684,327,13676,169,120,966,1135,4025,361,6780,1013,828,4379,4447,6806,427,17890,4041
RA32,3250,413,6632,78,46,438,488,1102,93,2250,24,12,143,67,155,19,421,65,65,378,436,569,41,1550,42,34,274,304,802,75,1534,488,341,2135,733,1300,99,5100,93,58,544,608,1438,174,2911,484,391,2346,1795,2385,151,7553,2000,1718,7533,2422,3965,320,17962,2174,1888,10280,5751,8682,834,29604,62,24,285,194,424,38,1035,182,115,704,917,2257,117,4292,106,45,485,490,1018,596,2745,6555,5186,30631,19022,36365,3910,101665,275,150,2018,1599,5037,699,9782,250,147,1154,1059,8133,319,11068,217,96,1010,1052,6427,290,9085,91,58,465,524,2031,57,3231,148,84,1111,1505,14000,480,17331,44,37,418,456,2461,119,3531,284,145,1842,1811,7317,606,12004,399,124,2165,2227,6036,693,11637,224,111,1143,1586,5047,355,8466,49,33,297,178,510,47,1108,139,105,648,691,774,62,2412,72,39,474,495,1509,118,2704,1038,531,4180,1379,2323,221,9677,148,80,855,954,3105,295,5443,1041,670,4244,4164,7230,433,17789,2987
RA33,330,40,836,0,0,28,35,105,11,182,0,0,17,3,7,0,29,0,0,25,22,38,0,83,0,0,25,18,69,10,127,12,7,100,41,79,9,245,3,3,44,45,115,20,228,42,24,173,158,263,25,680,125,132,796,204,371,29,1655,138,130,661,385,551,66,1934,0,0,11,15,29,3,64,3,11,34,81,178,11,311,10,5,38,32,120,77,281,452,395,2841,1749,3408,436,9274,33,34,493,502,1451,161,2674,129,56,497,293,2337,100,3408,9,9,63,51,426,23,572,5,0,28,25,191,12,258,21,10,62,90,889,44,1114,5,9,24,37,193,14,277,23,9,124,103,457,42,756,59,15,373,314,711,70,1543,6,0,45,75,351,40,528,4,0,20,7,16,0,51,3,0,30,27,48,4,110,0,0,29,30,142,10,202,32,15,154,59,155,19,432,7,5,71,61,242,31,419,74,37,264,299,576,60,1310,155
RA34,189,23,418,0,0,13,25,45,4,94,0,0,7,3,5,0,25,0,0,23,6,12,0,44,0,0,9,3,23,3,34,7,5,60,29,43,6,160,0,5,16,34,82,13,157,24,39,137,206,365,41,810,99,118,592,151,323,37,1312,86,119,454,307,470,77,1508,5,5,19,16,45,6,82,3,4,20,22,81,5,139,0,5,25,25,76,65,196,281,338,1822,1215,2598,396,6646,22,29,342,345,1156,107,2006,23,10,132,94,739,37,1036,6,0,17,23,234,8,293,0,0,3,10,121,11,143,6,0,33,48,674,53,821,0,0,16,21,86,14,135,13,4,76,73,364,60,597,30,11,150,151,389,41,765,4,3,34,67,239,37,395,4,0,18,4,18,0,41,0,0,21,13,21,0,57,0,0,6,5,40,5,68,14,9,97,43,78,7,248,9,3,22,48,159,23,263,52,61,255,382,1010,124,1885,141
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,60,9,180,0,0,3,0,16,0,20,0,4,5,0,0,0,8,3,0,6,5,7,0,14,0,0,5,8,9,0,16,10,5,31,7,10,0,64,4,5,26,14,23,7,79,4,4,9,9,6,0,38,16,6,35,10,12,4,91,21,12,78,48,59,7,230,0,0,6,4,11,0,26,0,0,4,5,16,3,35,5,4,17,5,6,13,46,95,52,390,207,323,54,1118,6,5,87,25,52,12,193,4,0,9,11,44,6,62,4,4,16,15,48,0,88,0,0,4,3,15,0,30,3,0,15,17,155,8,194,0,0,8,7,14,0,27,14,0,27,22,57,5,123,21,5,99,49,107,16,292,7,4,8,17,59,3,96,0,8,8,6,5,0,28,6,0,9,3,12,0,30,0,0,7,5,10,0,28,23,9,61,22,30,3,150,9,3,43,24,50,6,135,12,10,15,16,34,3,83,18
RA40,3879,362,9620,238,82,795,570,1123,98,2904,259,116,877,302,397,55,2005,817,365,2610,1879,2258,213,8143,178,81,794,689,1098,131,2964,2953,1125,7607,2260,2635,325,16910,709,236,2354,1594,3019,291,8208,2319,1433,6430,2997,3816,292,17272,7128,3668,15669,4434,5090,420,36404,9200,4714,28050,12243,16310,1647,72166,332,142,1252,536,827,76,3172,526,279,1929,1672,4609,251,9263,541,122,1412,773,1233,723,4805,28524,13342,82904,37195,58406,6017,226386,336,95,1008,517,1132,177,3264,540,150,1432,458,2021,95,4698,2294,593,6904,4114,12854,745,27498,709,252,1868,945,2457,141,6376,1185,318,5027,3514,24244,871,35161,698,228,2240,1431,4020,253,8862,1945,494,8170,4345,12604,1009,28572,1541,235,5407,3462,7803,700,19141,1399,283,3480,2936,6570,607,15270,671,222,2200,953,1415,137,5596,1867,808,5465,3570,3489,352,15546,416,165,1775,1382,2272,227,6233,7348,2316,19226,5080,5357,768,40092,1370,371,4152,2745,6207,516,15360,4985,2459,12632,6907,9934,704,37619,11637
RA41,739,74,1197,7,4,44,71,189,28,336,9,15,55,22,50,0,154,17,24,83,135,186,19,457,11,9,36,98,177,22,345,136,79,467,234,379,33,1330,23,26,145,174,467,44,872,117,94,413,375,455,27,1482,467,425,1668,662,763,69,4041,419,418,2074,1621,2660,205,7398,30,15,91,71,144,14,365,18,18,117,147,598,28,930,29,18,119,127,205,111,605,1500,1279,6641,4969,9585,897,24872,121,64,664,561,1729,162,3303,21,11,116,92,579,23,836,155,91,832,628,2827,154,4694,26,15,70,91,439,13,648,42,27,268,389,3767,166,4656,22,10,118,169,608,40,967,68,36,476,437,1995,141,3154,47,17,268,292,1259,113,2000,22,16,139,179,953,91,1398,16,18,102,52,150,8,352,39,44,173,233,263,30,780,18,17,81,171,308,36,624,302,124,993,461,664,74,2617,43,32,226,269,992,74,1641,229,160,733,833,1197,66,3218,659
RA42,855,88,1299,3,3,34,57,193,21,314,6,4,38,17,54,3,125,5,6,64,110,188,21,403,0,0,36,69,176,18,301,49,48,255,139,322,27,837,11,13,96,150,428,63,752,80,64,340,391,611,31,1513,293,424,2106,621,1107,80,4631,372,392,2232,1686,3128,272,8081,5,0,34,20,96,17,172,22,15,76,169,734,25,1049,15,10,72,87,238,135,554,1018,1114,6561,4655,10904,1133,25380,101,106,999,982,3348,398,5938,21,16,96,101,966,42,1244,138,42,616,480,3199,164,4637,3,5,35,70,520,28,662,32,20,159,209,3263,129,3814,13,8,101,134,663,66,979,65,31,364,344,2147,187,3143,41,22,189,286,1389,134,2061,13,11,92,175,1069,100,1463,13,7,61,31,114,7,236,24,14,99,192,261,22,615,0,3,55,111,273,23,465,92,64,491,240,549,46,1473,24,15,142,204,791,91,1263,144,115,557,710,1435,74,3029,440
RA43,231,19,388,5,4,13,24,49,11,99,0,3,16,7,4,0,31,3,4,16,25,52,16,117,0,0,8,17,49,0,76,25,15,70,55,80,12,253,3,0,36,39,84,11,181,13,4,91,67,106,7,302,78,99,515,132,239,16,1081,71,83,463,334,529,45,1533,0,0,19,7,26,0,51,0,0,15,33,138,3,199,9,0,28,31,58,29,159,280,263,1651,1114,2391,225,5931,38,36,324,302,1071,154,1926,42,13,108,78,639,23,898,12,3,38,40,259,18,370,3,0,16,11,119,5,151,3,0,49,65,939,28,1079,3,0,40,35,181,14,266,14,6,87,94,468,37,707,15,8,88,97,383,29,627,8,3,19,78,255,31,394,0,4,23,9,13,0,51,3,4,27,48,68,11,152,0,0,13,30,67,4,113,43,27,127,75,122,11,402,7,3,50,57,159,19,293,28,13,154,144,266,15,619,108
RA44,61,5,115,0,0,0,5,12,0,22,0,0,0,0,0,0,0,0,0,0,7,4,0,11,0,0,4,4,6,0,13,4,5,14,10,10,0,39,0,0,3,6,20,0,36,9,3,29,34,38,7,121,31,29,184,46,75,14,383,17,26,114,101,114,21,394,0,0,8,4,7,5,26,5,0,11,10,45,6,70,0,0,7,3,15,16,49,88,81,463,326,538,112,1611,10,5,74,67,261,45,465,0,0,17,16,139,12,184,0,0,0,5,24,0,38,0,0,0,0,26,0,28,0,0,15,17,175,8,216,0,0,0,5,23,3,35,4,4,36,27,89,20,184,8,4,22,41,119,12,218,3,0,4,14,75,4,101,0,0,3,4,0,0,7,0,0,3,7,4,0,15,0,0,4,4,4,0,14,6,0,23,10,16,0,56,0,0,10,13,41,0,59,11,4,45,56,112,19,253,41
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,8,0,17,0,0,5,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,6,0,17,0,0,5,7,7,0,23,0,5,4,4,0,0,18,5,3,6,0,4,0,18,3,5,18,20,17,3,65,0,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,4,0,3,3,19,8,75,46,69,8,228,0,0,9,0,6,0,17,0,0,5,3,10,0,19,0,0,7,4,12,0,25,0,0,6,0,5,0,11,0,0,6,7,26,0,41,0,0,0,0,0,0,3,0,0,0,3,15,3,28,3,0,9,3,17,0,33,0,0,3,0,22,8,28,0,0,3,0,3,0,4,0,0,0,0,5,0,6,0,0,4,5,3,0,11,8,3,14,7,8,0,40,0,0,15,5,22,3,41,3,5,6,6,8,0,27,8
RA50,6413,753,16810,499,183,1766,1338,2375,277,6446,280,166,1103,370,423,67,2409,962,423,3679,2313,2356,360,10096,300,140,1591,1505,1907,346,5793,5117,1770,14114,3850,4250,647,29751,851,352,3227,2304,3641,497,10866,3188,1873,9090,3950,4714,620,23435,8523,7750,24450,7464,10779,1226,60191,11272,6191,39635,17443,21162,2844,98543,523,264,2277,1086,1765,176,6081,709,408,3068,3383,7253,515,15334,1038,326,3402,1938,2816,1773,11292,39842,22148,133330,62403,91301,12654,361672,326,107,1089,599,1293,202,3609,6525,1644,15881,6268,22339,1270,53932,2462,681,8028,5485,18429,1150,36241,1110,323,2662,1214,3168,195,8668,2463,772,10309,8518,39368,1919,63340,1309,358,4397,2600,7351,530,16541,3198,784,12813,7886,18646,1885,45202,1787,400,8737,7059,12745,1359,32090,2313,617,6904,5936,11131,1203,28107,717,282,2651,1180,1598,175,6599,2339,1009,8126,4403,3514,593,19985,717,273,3424,2695,3739,521,11370,13281,3538,35053,9194,9146,1586,71789,1639,560,5724,3914,7717,863,20425,6224,3329,16647,9189,12613,1323,49323,13752
RA51,1149,105,2153,5,11,83,115,272,44,528,3,11,56,30,54,9,149,8,9,96,153,188,34,498,11,9,87,127,271,44,545,107,75,582,294,511,57,1625,23,35,201,204,504,51,1012,130,111,547,417,724,60,1987,387,736,2296,795,1614,130,5958,540,528,2865,1670,2915,289,8801,16,10,119,88,210,29,471,34,36,193,295,912,55,1518,34,19,202,163,346,207,977,1558,1790,9311,6147,13583,1521,33902,83,51,550,433,1209,191,2513,144,77,652,754,4439,185,6257,150,96,969,688,3314,178,5401,35,16,135,163,903,33,1292,77,50,488,798,5584,248,7234,18,20,144,173,749,40,1147,80,45,655,678,2688,211,4363,87,45,621,623,1912,175,3466,36,30,199,318,1288,113,1993,12,12,102,62,149,12,352,32,26,203,268,251,43,825,21,14,147,228,457,59,927,255,135,1186,571,912,100,3164,28,44,309,293,1044,91,1803,235,181,972,857,1710,116,4074,547
RA52,758,90,1420,12,10,78,95,256,22,476,6,12,28,20,51,0,116,11,15,64,100,154,14,360,5,3,28,81,171,35,328,97,58,407,205,327,28,1133,9,11,77,125,277,32,527,88,81,440,362,565,57,1592,335,550,1973,625,1292,119,4885,442,390,2271,1403,2024,228,6760,16,9,70,66,127,15,303,22,14,97,216,586,36,969,29,20,111,129,253,134,671,1289,1338,7157,4764,9688,1171,25414,107,88,1122,798,2418,343,4882,240,61,671,483,3384,154,4996,46,21,286,251,1416,133,2152,10,4,40,74,445,19,592,24,18,209,442,3245,105,4040,14,14,156,140,889,32,1242,69,39,374,422,1989,173,3067,58,33,380,392,1285,140,2282,41,22,204,293,1287,87,1933,13,12,63,38,111,7,250,20,25,116,157,215,26,556,11,10,52,138,349,45,598,200,87,804,380,609,55,2140,19,13,115,195,590,49,981,184,146,768,782,1455,127,3465,504
RA53,320,62,792,16,10,78,121,207,20,454,4,6,26,9,15,0,65,5,0,36,33,50,12,135,7,7,29,54,112,20,221,36,27,154,61,104,8,380,14,7,86,72,159,37,368,55,58,283,233,310,30,970,187,281,1093,309,564,55,2493,233,223,1031,491,670,95,2746,17,9,40,34,53,11,161,9,10,65,103,248,17,452,23,10,94,43,129,91,386,726,741,4066,2318,4347,635,12834,41,46,631,365,1208,145,2431,111,60,460,466,2917,115,4122,25,6,107,76,502,35,756,19,6,59,60,250,9,398,19,8,125,209,1626,94,2078,8,3,73,70,444,21,630,50,16,243,193,640,88,1229,51,14,313,272,620,93,1358,48,29,230,319,964,70,1657,6,3,41,22,40,4,127,11,9,58,43,65,12,191,9,8,47,76,205,22,370,61,41,279,120,206,16,720,14,14,118,115,378,44,678,101,95,484,459,693,67,1901,254
RA54,211,47,565,3,3,54,39,68,14,170,0,0,3,0,6,0,14,0,0,7,7,16,3,43,0,0,23,21,38,5,87,21,8,56,33,50,3,173,12,4,64,60,130,20,295,38,29,153,123,235,10,579,108,127,584,136,295,64,1317,98,102,426,220,302,54,1193,17,0,32,18,44,12,108,8,10,31,44,85,10,188,9,9,34,23,68,65,204,429,328,2061,1152,2289,389,6652,33,21,215,160,478,68,968,155,54,558,471,2888,149,4282,4,0,35,34,132,7,210,5,0,13,17,114,13,153,29,7,91,111,854,43,1135,3,0,23,18,135,3,191,25,6,136,95,309,54,621,44,8,275,170,486,68,1049,19,9,101,108,287,21,545,7,0,9,5,22,0,46,5,0,12,13,21,3,49,0,0,34,43,80,11,173,45,13,110,65,171,7,409,19,13,103,93,296,26,542,77,49,264,262,503,39,1185,151
RA55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,9,9,0,23,0,0,7,0,14,5,27,4,0,8,11,36,3,57,0,0,0,0,3,0,4,0,0,0,0,8,0,5,0,0,0,0,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,12,3,9,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0
RA59,33,0,84,0,0,12,5,6,3,26,0,0,4,0,0,0,7,0,0,4,0,3,0,10,0,0,0,4,0,0,4,6,3,16,8,0,0,39,3,0,6,8,17,0,23,0,0,13,0,8,0,25,13,4,14,5,4,0,46,0,14,39,15,27,7,101,0,0,3,0,0,0,9,0,0,0,0,11,0,15,0,0,6,0,7,7,22,48,26,182,95,159,25,532,5,0,21,16,22,0,66,11,0,19,19,80,9,136,0,0,10,7,24,0,41,0,0,3,0,8,0,13,0,0,9,6,77,0,94,3,0,4,7,0,0,16,4,0,7,14,24,0,51,13,0,40,31,60,0,148,0,0,10,8,30,3,60,0,0,3,0,3,0,9,4,0,3,3,11,0,17,0,0,0,0,0,0,6,10,7,46,9,12,0,78,3,0,16,5,27,3,49,5,4,23,8,15,6,49,11
RA61,1192,118,3352,59,13,133,127,303,14,654,88,61,234,94,125,14,617,130,51,323,330,496,57,1380,56,18,134,164,295,33,692,758,270,1392,423,637,58,3539,152,44,380,252,580,71,1474,825,594,2118,949,1297,128,5912,2351,851,4218,986,1667,133,10211,2511,1329,6521,2835,4800,500,18496,175,61,419,139,277,36,1110,216,77,434,374,1261,48,2401,147,15,252,115,288,213,1026,9007,3638,19677,8451,16335,1740,58846,367,56,672,323,745,105,2259,36,6,85,50,203,8,391,563,81,1109,617,3084,207,5661,321,89,811,424,936,29,2614,277,68,852,768,7543,197,9705,166,30,349,263,955,63,1825,999,132,1945,885,3277,302,7543,1261,109,1967,968,2354,218,6879,445,63,715,511,1492,150,3382,180,77,547,250,384,39,1473,292,126,781,621,723,90,2633,110,39,315,298,528,52,1340,1731,574,3674,962,1264,143,8355,340,81,686,433,1187,116,2837,1525,979,3790,1826,2757,243,11117,3749
