RA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA33,186,929,2791,9528,4972,1042,427,539,20402,8,282,689,200,35,4,5,36,1260,0,27,108,104,32,0,0,14,292,11,317,791,306,65,4,4,48,1549,6,164,393,81,19,5,3,27,694,0,0,12,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,11,6,169,415,83,19,5,3,29,728,116,237,89,86,30,6,8,202,774,28,97,65,79,40,10,19,22,357,349,1741,4146,10082,5131,1065,462,838,23812
RA34,67,590,2259,5800,3016,769,463,346,13307,3,118,415,228,86,17,6,26,901,0,45,219,82,18,8,0,15,386,4,170,637,312,105,21,10,38,1293,0,81,230,57,9,0,0,26,413,0,0,13,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,18,0,84,243,66,10,3,0,32,443,106,203,78,86,61,16,8,69,619,12,68,83,119,69,42,33,46,473,198,1111,3291,6378,3258,845,519,524,16134
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,260,2527,31535,225869,103654,17075,2999,3570,387490,172,5228,30536,23809,2365,250,79,1135,63575,28,902,7240,13095,1962,234,36,241,23734,201,6125,37778,36906,4330,483,113,1368,87309,171,5374,20277,3291,169,31,27,458,29801,58,605,3095,512,22,0,5,55,4352,74,1096,3596,732,38,0,0,63,5604,65,1149,1940,471,10,4,0,37,3677,5,70,82,66,29,11,5,7,284,373,8290,28993,5074,271,53,38,616,43710,134,468,360,211,60,13,9,66,1322,53,227,294,377,146,22,27,79,1223,1025,17646,98962,268435,108464,17646,3182,5701,521065
RA41,146,1000,7592,31764,18833,2867,648,760,63623,10,444,1480,931,43,5,3,74,2998,0,17,50,125,31,8,0,0,235,10,464,1537,1051,72,15,9,79,3232,3,118,223,49,3,0,0,12,409,0,22,28,14,6,0,0,0,70,0,0,7,3,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,6,5,138,264,69,8,4,0,15,504,51,227,101,78,16,6,0,34,526,14,35,48,67,32,3,3,8,214,226,1870,9545,33028,18966,2901,669,897,68092
RA42,133,1041,8287,38124,16932,2379,432,1093,68420,27,636,2872,4580,361,71,53,263,8870,0,5,42,82,40,7,0,4,183,27,645,2915,4662,402,81,60,266,9056,13,445,1262,348,30,0,0,65,2169,0,6,30,0,0,0,0,0,39,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,21,13,462,1307,365,27,0,0,65,2247,66,193,100,132,59,14,5,33,611,17,47,48,84,39,6,4,39,284,258,2385,12658,43369,17457,2490,503,1495,80613
RA43,60,411,2102,8055,3694,516,90,230,15155,5,115,261,360,29,6,0,32,807,0,0,7,72,26,0,0,0,109,5,115,266,435,57,6,0,36,909,3,80,302,51,3,3,0,14,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,19,3,82,309,60,7,3,0,15,473,19,58,29,33,20,6,4,31,199,6,10,14,22,7,0,3,16,70,85,672,2720,8600,3781,535,97,317,16814
RA44,30,235,730,2213,805,136,38,127,4314,0,23,75,27,5,0,0,7,129,0,0,0,0,0,0,0,0,6,0,23,78,29,5,0,0,7,134,0,9,41,14,4,0,0,9,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,11,0,13,42,20,7,0,0,8,85,19,40,23,18,4,0,0,4,111,4,17,23,22,12,0,3,5,83,47,328,892,2298,835,137,41,155,4730
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,407,3478,28274,216927,293354,41245,7043,6149,596877,119,5573,26399,41355,3919,337,142,1422,79280,79,2165,9097,15571,3247,335,108,377,30978,199,7748,35493,56933,7164,669,254,1799,110254,120,4091,10885,3125,243,24,35,370,18896,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,18,202,261,110,107,44,36,19,792,681,15496,32625,9031,573,85,90,896,59476,192,859,852,210,103,20,14,131,2383,19,108,156,191,126,19,17,141,779,1491,27691,97394,283299,301320,42042,7417,9115,769764
RA51,178,1011,5658,27847,34457,4409,970,1071,75597,9,590,1994,1855,227,18,16,166,4875,0,62,164,408,111,16,0,15,772,9,652,2162,2266,337,34,13,180,5649,7,146,318,152,20,0,0,19,665,0,10,64,26,0,0,0,0,104,0,4,26,6,0,0,0,0,30,0,0,10,22,3,0,0,0,32,3,19,13,12,9,0,0,4,64,8,174,436,213,37,7,0,26,904,88,355,325,121,56,9,4,73,1030,13,25,41,51,57,8,8,38,248,299,2221,8613,30495,34933,4469,1004,1394,83418
RA52,166,1121,6316,26702,21585,3127,740,972,60728,17,781,2165,1406,177,12,11,157,4725,4,41,202,254,164,29,0,15,707,19,821,2363,1662,341,43,11,168,5432,4,174,215,93,12,0,3,30,534,0,5,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,6,3,0,4,0,39,6,190,240,100,15,3,11,30,595,118,344,170,104,42,11,5,50,842,4,58,60,67,46,9,17,23,276,317,2532,9149,28639,22029,3186,780,1235,67865
RA53,56,531,1959,10377,8585,1155,283,412,23350,28,348,1021,808,148,11,4,89,2463,9,84,226,280,71,6,4,16,696,42,434,1253,1088,216,21,5,98,3163,8,190,273,85,4,0,5,13,585,0,52,95,23,0,0,0,3,170,0,37,55,25,0,0,0,3,114,0,64,65,5,0,0,0,0,139,0,0,0,6,0,0,0,0,11,10,342,491,140,8,0,6,21,1016,83,234,84,65,37,15,8,24,555,15,61,57,62,42,16,10,30,297,206,1601,3846,11737,8885,1205,310,591,28374
RA54,49,411,1705,6629,2914,339,100,333,12482,7,179,381,214,29,3,7,32,844,0,13,30,50,11,0,0,4,110,7,192,412,261,42,3,7,35,959,6,110,141,80,9,0,5,19,361,0,7,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,6,116,145,80,9,0,5,22,372,162,385,120,114,100,21,22,137,1054,22,89,67,71,61,19,34,69,430,247,1199,2451,7154,3112,382,164,592,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,169,1670,17493,61004,24849,5306,1125,1259,112874,37,1333,3180,712,106,20,9,278,5673,13,349,1681,1049,261,67,15,39,3471,54,1687,4859,1760,368,86,22,317,9143,106,2409,4926,1041,173,39,13,213,8920,49,348,584,113,20,7,3,22,1146,16,137,383,63,5,0,0,11,622,0,0,21,14,0,0,0,0,37,0,109,80,43,27,4,0,0,262,176,3007,5987,1276,224,55,24,243,10989,53,173,153,103,35,8,3,22,554,14,49,80,58,34,9,12,24,271,464,6584,28569,64201,25512,5459,1186,1857,133834
