RA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA52,66,68,175,226,323,608,1218,1602,863,5142,14,26,88,119,135,124,127,122,83,829,898,875,2115,2260,2426,2474,2172,1562,729,15515,5182,8762,20723,21897,24366,26329,21913,11402,3952,144526
RA53,26,16,61,97,163,232,411,404,194,1618,6,10,21,46,44,47,33,33,20,261,611,701,2067,1971,1795,1511,904,452,162,10172,2288,4280,13393,13695,11911,10503,6235,2719,815,65830
RA54,112,62,160,173,286,359,381,249,46,1830,16,10,45,38,86,73,89,84,38,476,491,898,2584,2198,1905,1505,666,255,60,10557,2002,3946,11328,9703,8481,7157,3574,1284,258,47737
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
RA59,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
RA61,107,121,420,415,496,901,1666,2169,1797,8098,12,48,277,277,345,287,225,168,88,1720,754,1040,2659,1945,1765,1888,2192,2071,1165,15479,7832,21120,53980,43321,41898,41613,36477,21132,8233,275600
RA62,62,60,146,186,344,844,1732,1750,1342,6461,13,19,61,47,65,85,88,54,37,466,610,542,1373,1375,1637,2069,2298,1730,779,12423,4862,9334,21098,21206,25719,31582,28507,14653,4537,161505
RA63,6,0,5,10,15,45,89,64,46,277,6,0,0,3,6,0,5,7,4,30,33,52,138,92,108,153,146,80,37,824,164,332,1055,876,1052,1563,1378,581,160,7156
RA64,0,0,0,5,6,11,14,24,12,76,0,0,0,0,0,0,0,5,3,5,6,3,21,45,25,35,37,35,6,220,38,73,255,312,293,406,436,226,54,2095
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
RA69,6,4,5,9,3,8,8,7,0,48,0,0,0,0,3,0,0,0,0,8,19,16,49,50,48,60,72,8,3,325,74,119,228,197,203,199,163,31,3,1227
RA72,60,33,184,277,401,554,774,567,196,3044,5,28,92,110,139,157,174,109,47,864,606,892,2495,2002,1755,1355,950,438,163,10663,3467,9023,25931,22089,18387,14623,9361,3607,831,107319
RA73,118,111,226,269,282,282,354,167,49,1853,24,26,76,84,90,98,94,36,21,559,269,276,898,751,718,656,443,183,57,4251,1543,2749,8587,7058,6096,5450,3165,1062,245,35956
RA74,373,344,689,628,637,524,361,101,11,3665,40,55,81,107,138,162,193,105,37,920,334,452,1003,732,623,509,240,65,3,3954,2550,3777,7649,6051,4848,3536,1634,433,76,30563
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,3,0,0,0,23,4,6,23,22,19,17,0,0,0,94
RA79,4,8,20,28,27,27,14,3,0,132,0,3,0,0,4,3,4,0,0,28,37,79,223,220,278,226,100,14,0,1181,73,183,661,573,591,575,318,49,7,3031
RA80,69,73,295,393,475,844,1548,1689,990,6386,18,50,274,234,261,289,271,286,155,1837,1135,1879,3710,2584,1943,1572,1668,1333,812,16632,11722,34098,77496,69146,56007,45212,35572,19319,7177,355741
RA81,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,5,4,4,10,11,10,0,0,51,19,40,92,105,95,94,52,12,4,506
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
RA91,0,0,0,0,3,0,5,3,0,14,0,0,0,0,0,0,0,0,0,0,4,3,12,12,11,8,14,9,0,80,15,21,32,35,47,37,27,16,0,236
RA94,0,0,3,5,13,29,62,20,3,132,0,0,0,0,9,30,43,26,9,119,19,54,200,147,123,116,71,42,7,777,71,190,539,601,608,728,556,239,67,3604
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
