RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14
RA29,0,0,0,6,7,10,5,3,0,32,0,6,3,10,12,18,15,3,3,69,21,145,182,162,145,84,25,5,0,772,0,0,0,6,9,9,5,0,0,30,26,37,64,77,69,64,37,10,3,386,243,199,318,153,95,122,52,15,3,1197,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,0,15,38,51,107,123,109,37,12,490,76,93,133,123,117,85,44,20,3,684,0,0,6,17,26,42,40,15,0,148,0,0,0,4,7,0,4,7,0,23,0,0,8,27,70,56,54,17,0,229,0,4,6,19,39,58,66,27,9,234,0,4,3,12,22,15,14,6,5,70,0,4,10,13,42,38,34,7,0,154,44,240,305,321,317,167,60,17,6,1470,0,0,0,5,19,13,12,10,0,68,71,64,124,139,152,126,71,15,5,769,483,423,679,408,297,283,150,36,9,2768
RA30,208,311,668,982,1364,1944,2787,3367,2288,13898,533,307,545,1049,2868,6458,9717,7922,3098,32495,7521,34168,39351,33081,30901,23839,14528,7459,4698,195539,79,108,245,575,1255,2148,3361,3641,2340,13755,11509,13609,19565,22230,25182,25921,22231,13527,8142,161919,247679,139445,157867,151269,126614,88962,53825,20786,5221,991670,23500,16695,18575,16862,15188,12417,9483,6392,4601,123709,303815,212547,246916,241334,224915,191204,155397,88507,38383,1703021,565,2295,7212,15428,33607,57415,75553,54562,22149,268783,38304,36579,44621,44533,39382,32234,27991,15348,4836,283830,590,936,2297,5309,11674,20127,28785,21737,7634,99094,50,47,95,134,338,897,3431,8785,9874,23648,996,2300,4565,9643,19736,31028,37619,24478,7020,137382,1115,1252,1934,3623,9910,22391,37628,34024,16356,128236,525,599,1149,1778,2792,4141,6255,6857,3952,28041,1195,668,1092,2112,5211,11708,18035,15280,5462,60771,16495,52056,61475,54512,51541,40071,25686,12836,6659,321328,194,221,464,1053,2535,4892,7844,8205,4174,29588,29328,24521,31312,36913,43150,45562,39529,23450,12107,285870,499288,295305,322645,304011,254258,174992,102443,39394,9222,2001565
RA31,66,107,157,268,456,869,1411,1564,883,5780,154,96,161,432,1296,3403,4702,3293,1016,14547,2766,8948,10000,9939,10710,10578,6444,2863,1426,63666,32,30,88,225,515,1024,1529,1583,850,5881,3550,3205,4606,5970,7530,9597,8037,4544,2280,49338,68878,33873,33220,33268,33384,29640,19571,7644,1900,261365,8666,5293,5091,5205,5658,5456,4528,2973,1503,44376,88547,53934,56068,59020,65562,70886,62347,34973,13324,504663,197,705,2142,5206,12885,26903,36589,24493,8614,117737,13265,10046,11284,12171,12511,13558,12294,6469,1659,93256,179,234,599,1375,3465,7657,12233,8745,2633,37106,19,16,28,56,132,490,1355,3175,3205,8478,375,718,1360,2836,6802,12801,16867,10728,2707,55190,370,377,619,1171,3626,9641,17060,14438,6030,53332,164,195,306,501,928,1848,3098,3260,1536,11844,353,190,328,846,2440,6481,9614,6957,1997,29207,5939,14277,15582,16021,17905,18060,12226,5324,2100,107436,66,72,166,401,980,2141,3622,3532,1534,12513,9068,6328,7420,9781,13054,17386,15126,8233,3502,89893,138283,72752,68273,66719,66873,58752,39012,15410,3434,529504
RA32,47,57,89,176,331,520,734,740,409,3102,77,55,76,217,676,1795,2241,1456,434,7036,1280,5005,6073,6030,6154,5546,3066,1338,678,35163,17,24,55,104,300,567,743,707,401,2935,1926,2016,2755,3586,4630,5438,4050,2255,1179,27835,49486,25602,27346,26557,24803,20113,11725,4385,1046,191068,7276,4844,5521,4982,5008,4391,3171,1821,835,37855,62631,39333,44196,44603,46347,45335,34606,17979,6600,341633,96,404,1302,3091,7377,14974,18006,11430,4006,60673,7153,5937,7035,7256,7374,7484,6047,2830,697,51821,126,153,360,968,2293,4667,6770,4131,1206,20676,12,12,16,34,70,300,880,1815,1729,4877,182,438,828,1961,4541,7972,9415,5444,1333,32122,280,280,398,830,2386,5986,9068,6912,2760,28897,107,116,183,308,636,1156,1762,1545,734,6551,193,124,170,446,1309,3529,4766,3249,862,14641,2862,7695,9367,9825,10605,9836,5905,2442,1013,59553,46,55,99,219,564,1312,1953,1665,719,6630,5011,3839,4613,6030,8286,10060,7797,4158,1813,51600,100206,54531,55983,52600,50335,41009,24316,8840,1912,389717
RA33,0,5,6,23,32,61,79,71,29,303,7,0,0,13,59,151,182,107,23,551,63,334,488,403,410,428,179,67,28,2393,0,0,9,11,20,52,61,57,23,227,148,125,228,262,320,386,245,149,83,1943,5595,2630,3457,2615,2373,1946,1055,369,82,20116,866,557,712,611,598,596,369,200,64,4555,6941,3878,5195,4322,4345,4346,2952,1414,459,33851,14,28,102,231,583,1234,1434,870,238,4741,713,536,750,675,697,728,537,232,55,4920,10,20,30,60,181,422,561,319,65,1676,0,5,0,0,6,23,73,117,131,346,18,51,121,259,562,895,968,446,92,3411,40,45,50,91,275,621,810,556,174,2657,10,11,22,43,70,128,183,142,53,652,19,10,10,30,127,332,410,256,56,1263,143,505,742,631,719,796,415,148,40,4138,3,6,10,19,50,123,152,132,48,544,388,237,386,442,611,788,547,294,130,3826,11358,5591,7021,5513,5072,4401,2369,795,144,42261
RA34,3,3,13,9,30,68,49,63,33,271,14,4,8,18,23,79,98,49,23,318,33,174,258,242,252,219,103,43,16,1351,0,0,5,7,12,35,35,36,23,149,100,102,138,189,235,266,156,99,43,1324,4482,2420,2711,2020,1703,1357,620,224,58,15597,812,444,510,433,446,455,237,119,55,3522,5663,3357,3915,3253,3229,3192,1885,893,333,25733,9,22,67,142,385,810,795,466,164,2860,494,363,456,454,455,474,378,171,40,3273,4,10,32,46,133,240,259,170,48,941,0,0,0,0,4,27,65,97,82,275,15,42,118,274,550,853,700,326,74,2955,49,67,79,109,227,495,488,333,114,1963,5,10,17,25,63,129,115,112,56,535,29,9,10,28,47,194,235,136,43,735,80,257,405,380,412,414,221,82,35,2288,0,0,5,14,24,84,103,74,40,347,267,179,217,309,417,514,324,179,77,2488,9039,5025,5449,4039,3620,2905,1443,499,105,32120
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,10,0,0,0,0,42
RA39,0,0,3,0,8,14,16,0,7,52,0,0,7,6,23,63,61,8,5,173,25,165,216,170,181,179,104,6,6,1047,0,0,0,5,10,17,14,8,3,61,21,59,86,87,109,176,115,11,0,670,490,364,652,343,312,422,304,47,0,2934,124,199,380,267,232,217,127,28,5,1578,680,777,1345,885,887,1170,870,160,25,6807,3,7,33,80,160,444,484,117,13,1341,87,109,187,160,137,194,172,25,5,1078,0,6,4,19,45,106,163,45,3,390,0,0,0,0,0,8,11,8,6,44,0,0,20,32,74,163,204,70,6,579,0,5,9,24,49,165,249,80,13,591,0,0,7,7,13,21,40,10,3,115,0,3,11,17,45,116,139,31,3,376,68,248,363,339,327,333,202,25,6,1912,0,0,0,10,18,38,44,18,8,143,65,107,137,162,204,318,253,33,3,1281,990,705,1300,787,642,893,711,136,10,6171
RA40,120,142,239,343,489,762,1220,1281,1040,5630,147,96,163,398,1109,2602,3872,3204,1584,13171,2263,12223,15306,12832,12298,11156,7277,3993,3064,80412,36,42,96,181,465,891,1412,1750,1443,6321,4175,4994,7735,8658,10130,11754,10397,6332,4524,68700,93149,54435,62574,57796,47796,38477,24621,10120,3020,391991,7058,5011,5241,5117,5010,4624,3709,2634,1670,40069,111827,80095,95017,91148,85549,83803,72241,43752,22172,685593,195,812,2823,5959,13648,26337,35818,27688,14270,127546,14590,14160,17649,17257,15332,14731,13265,7558,2946,117493,232,307,734,1780,3998,8164,12595,9421,4113,41349,15,29,38,63,145,458,1649,4441,6337,13163,401,947,2078,4787,9500,16256,20316,13741,5341,73356,396,420,712,1288,4002,9904,16874,15726,9648,58975,297,308,445,651,1029,1740,2697,2745,1842,11753,373,233,380,748,1975,4815,7298,6162,2876,24849,4545,18618,24198,21437,21173,18965,12529,6451,4221,132149,77,75,173,350,1016,2130,3516,3779,2540,13652,10705,9074,12152,14332,17473,20783,18398,10737,6653,120307,187206,117208,131187,118055,97720,75882,46427,18828,5343,797855
RA41,15,24,19,40,70,99,182,190,125,770,24,15,19,58,193,451,674,521,178,2124,351,1368,1614,1593,1933,1943,1279,637,340,11051,3,4,8,29,81,132,228,271,162,918,535,524,712,953,1392,1788,1667,834,458,8864,11117,5586,4828,5522,6104,6099,4588,1811,426,46084,1096,658,581,616,860,930,854,503,238,6329,13860,8599,8164,9408,11646,13633,13027,7190,2813,88342,37,116,313,845,2161,4781,6795,4936,1895,21877,2089,1652,1753,2054,2271,2596,2449,1319,370,16557,32,39,75,217,604,1356,2300,1722,539,6884,0,0,0,8,17,59,237,614,737,1669,58,122,181,413,1088,2278,3408,2281,775,10593,50,52,69,149,560,1684,3126,2779,1268,9734,28,39,35,77,145,261,440,432,212,1679,46,30,42,90,353,881,1377,1107,384,4300,709,2127,2488,2567,3174,3320,2415,1127,461,18396,4,8,18,45,154,336,584,635,305,2098,1330,965,1135,1531,2342,3265,3043,1567,713,15880,22419,12005,10196,11163,12570,12274,9056,3651,787,94121
RA42,22,11,22,50,84,178,270,249,153,1043,21,16,22,81,279,642,847,643,227,2776,294,1508,1951,1770,1973,2058,1251,639,389,11835,0,9,22,34,83,192,245,311,175,1076,559,540,827,1021,1374,1747,1359,859,561,8847,13025,5968,6331,6062,6660,6237,4576,1975,557,51376,1634,876,898,929,1077,1189,1037,773,407,8823,16525,9548,10675,10754,12654,14754,13313,8055,3364,99636,45,126,436,1000,2586,5688,7436,5257,2133,24708,2699,2214,2486,2431,2606,3029,2762,1564,460,20240,28,38,87,217,548,1387,2355,1775,561,7007,0,0,3,9,25,103,313,806,817,2073,78,140,297,640,1593,3319,4484,2885,865,14303,55,63,101,215,703,2047,3414,2999,1367,10974,42,34,53,99,170,418,599,561,272,2250,58,39,56,158,514,1254,1823,1323,446,5656,649,2392,3007,2894,3366,3597,2402,1065,544,19925,8,12,38,52,183,436,685,691,345,2439,1436,1083,1368,1707,2502,3336,2702,1507,832,16461,26027,13384,13553,12486,13614,12947,9223,3703,974,105923
RA43,0,0,4,16,19,25,35,39,23,167,7,0,12,12,39,103,130,83,43,435,50,265,341,312,334,383,211,84,28,2012,0,0,6,11,17,30,40,43,30,181,93,100,170,204,215,351,274,113,70,1582,3152,1245,1610,1490,1539,1487,1037,400,117,12067,369,184,218,201,249,263,243,136,85,1952,3846,1896,2490,2449,2699,3119,2686,1429,622,21242,3,29,84,169,407,1041,1322,864,330,4242,487,417,483,511,461,566,493,241,77,3735,4,5,18,47,113,288,457,327,115,1385,0,0,0,0,4,17,56,119,144,336,11,15,53,90,234,559,713,511,167,2369,15,16,20,25,111,320,622,528,278,1940,3,3,5,22,28,48,85,93,46,335,7,8,20,20,60,226,303,199,87,927,98,412,536,506,560,667,409,166,55,3412,0,0,6,20,28,100,115,108,60,430,252,202,267,319,408,634,529,220,111,2941,6391,2695,3346,3178,3200,3084,2099,820,189,25009
RA44,0,5,0,0,12,18,12,10,0,58,0,5,3,4,12,24,31,19,3,107,16,47,86,75,80,76,37,11,6,431,0,0,0,0,0,7,4,8,3,29,27,26,40,48,67,58,59,23,8,354,1018,500,636,465,476,392,263,78,18,3843,182,94,134,89,111,121,82,39,23,878,1316,714,972,783,881,874,669,277,120,6607,6,5,27,43,104,260,287,187,65,980,106,78,133,127,131,157,122,44,16,920,0,3,8,8,25,74,102,70,22,315,0,0,0,0,4,7,16,23,26,77,10,20,48,69,137,228,211,105,26,841,14,13,18,35,64,150,152,108,54,602,0,3,3,3,22,31,24,22,8,117,3,0,7,9,23,66,74,39,12,237,28,68,147,115,132,149,71,18,13,740,0,0,0,3,5,18,38,26,15,104,66,44,76,75,138,165,102,53,15,729,2000,1075,1292,1019,1003,860,590,199,33,8076
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
RA49,0,0,0,0,0,0,4,0,0,11,0,7,3,5,7,13,14,0,0,41,17,65,77,59,39,34,20,6,0,317,0,0,0,3,8,3,0,0,0,17,5,23,34,17,20,33,21,4,0,161,125,83,123,75,60,79,39,6,5,593,42,37,73,79,46,37,22,3,0,345,197,214,305,245,178,197,141,26,10,1506,0,5,17,21,40,74,81,19,5,263,41,69,65,51,48,31,31,9,0,345,0,0,0,4,7,19,29,4,3,70,0,0,0,0,0,0,0,4,0,8,0,0,8,4,31,37,49,8,0,149,5,0,6,0,9,28,36,9,4,100,0,0,0,0,5,7,8,0,0,22,0,7,3,7,7,24,24,6,0,74,28,104,132,103,92,75,38,6,0,580,0,0,3,4,9,7,11,0,0,35,15,43,48,31,63,76,42,8,0,328,248,170,265,197,167,172,97,21,4,1338
RA50,139,170,287,474,689,1040,1574,1730,1201,7311,205,145,260,493,1358,3252,5051,4217,1797,16785,3690,18458,22556,19047,16350,13353,7930,3977,2496,107857,56,47,115,309,644,1101,1762,2070,1542,7649,6400,7418,10520,12407,13458,14925,12772,7590,4594,90083,161592,84325,102763,101588,81126,59882,36725,13343,3658,645002,13179,9006,10892,9834,9097,7599,5897,4122,2897,72515,192769,123943,153281,153391,136666,121194,98001,54408,24896,1058569,359,1307,3879,8326,17933,32610,43651,32215,14257,154535,21856,19426,23714,23874,20655,17791,14883,7997,2744,152933,374,488,1223,2996,6325,11533,16878,12315,4532,56656,15,39,37,72,153,558,1857,5155,6189,14069,620,1307,2633,6370,12519,20148,25362,16110,5387,90455,490,490,806,1859,5525,13208,21964,19353,9639,73329,350,329,538,975,1417,2304,3522,3848,2267,15543,477,311,525,967,2513,5983,9682,8204,3283,31944,7830,27809,34916,31043,27216,22092,13704,6676,3493,174779,95,109,220,610,1308,2541,4295,4761,2753,16687,16050,13447,16723,20131,23195,26040,22875,13065,7012,158528,326317,179695,208489,205827,164502,119257,69921,25716,6450,1306171
RA51,16,9,23,63,92,141,221,209,137,911,29,16,19,59,188,484,757,487,184,2224,475,1792,2145,2275,2324,2032,1206,457,257,12966,4,8,18,46,88,146,280,284,177,1057,701,628,879,1223,1590,1918,1443,822,429,9646,16607,7325,7500,9065,8907,7604,4969,1779,406,64161,1903,1132,1090,1202,1338,1322,1073,674,301,10035,20729,11377,12248,14876,16134,16363,13762,6973,2676,115138,54,159,437,1135,2745,5345,7014,4370,1670,22925,2978,1942,2130,2610,2591,2486,2258,1086,333,18402,51,38,119,325,755,1675,2510,1640,473,7583,0,0,6,5,13,88,262,592,624,1590,75,149,277,570,1378,2465,3470,1965,611,10952,56,63,87,185,612,1683,3095,2442,1097,9322,49,24,51,104,189,311,497,485,235,1949,62,38,56,98,345,939,1565,1105,342,4551,1062,2749,3240,3547,3751,3402,2207,868,367,21195,11,10,36,62,175,362,700,623,304,2280,1758,1265,1359,1931,2608,3339,2800,1519,654,17229,33663,16046,15317,17883,18024,15201,10013,3605,741,130482
RA52,13,13,27,34,88,136,197,198,114,810,18,24,15,57,169,418,593,401,156,1841,306,1379,1655,1627,1709,1561,910,449,242,9828,4,4,16,36,68,123,224,232,143,852,521,483,687,901,1175,1384,1184,695,396,7425,13043,5776,6132,6519,6445,5860,3710,1387,362,49252,2045,1151,1181,1285,1358,1330,1083,608,278,10311,16667,9228,10247,11148,12213,13017,10676,5725,2272,91191,42,107,339,797,2040,4182,5380,3593,1378,17855,2167,1731,1853,1903,2067,2144,1780,889,265,14804,27,33,96,201,583,1257,1917,1387,454,5952,0,6,5,10,29,70,188,558,611,1479,66,100,267,510,1231,2394,2838,1774,483,9667,39,39,77,142,567,1528,2463,2055,949,7858,33,20,54,60,167,298,431,429,234,1721,45,32,24,85,297,831,1266,882,298,3764,648,2122,2504,2520,2793,2757,1713,760,350,16167,9,10,22,50,125,272,518,541,265,1814,1320,929,1087,1439,1987,2546,2204,1278,608,13391,26184,12642,12989,13190,13334,12143,7736,2757,709,101683
RA53,6,4,10,25,49,56,60,51,24,276,12,0,8,16,57,136,159,94,19,501,117,395,720,666,538,406,182,74,25,3115,3,0,3,11,36,46,45,28,28,204,247,149,310,369,400,401,241,121,72,2306,7324,2607,4382,4055,2973,2237,996,341,68,24981,1428,711,1077,1035,869,683,399,190,80,6474,9471,4050,6881,6663,5574,4755,2853,1313,447,42002,11,31,149,328,694,1324,1330,720,245,4827,859,561,955,1006,825,769,493,209,47,5731,14,7,41,133,256,435,448,306,81,1719,0,0,3,0,5,22,52,91,102,279,34,48,142,248,580,863,812,405,111,3239,40,28,41,78,237,546,660,424,175,2231,18,9,36,49,86,119,141,106,42,602,33,9,17,36,107,275,354,204,51,1078,233,625,1053,1051,926,759,376,128,37,5185,3,0,8,23,59,100,154,87,44,491,556,288,493,602,727,770,517,240,112,4306,14820,5693,8680,8593,6586,4940,2222,698,142,52373
RA54,0,3,13,28,48,67,59,34,12,258,12,4,8,11,40,91,79,34,13,286,45,189,388,295,243,180,79,19,7,1448,0,0,6,3,21,27,26,30,8,114,116,75,178,218,256,257,137,65,19,1325,4287,2231,3243,2401,1749,1331,504,124,22,15899,1153,622,971,764,646,555,256,103,37,5105,5761,3261,5020,4069,3442,3019,1496,577,147,26800,5,20,75,176,387,641,640,278,50,2288,371,303,541,541,498,438,264,76,12,3049,0,11,23,47,117,262,211,113,26,813,0,0,3,9,12,21,34,75,39,183,13,53,117,318,597,754,547,223,41,2660,43,46,59,118,264,453,371,195,38,1593,11,8,24,51,90,119,112,76,18,499,23,10,21,31,75,177,199,99,11,641,106,300,597,507,445,371,176,41,10,2547,0,0,5,14,46,62,65,59,14,259,285,153,293,400,464,495,303,105,31,2534,8771,4690,7138,5689,4417,3164,1241,332,54,35494
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,4,5,5,4,0,0,30,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,14,0,0,0,8,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,22,60,84,56,24,8,0,0,248
RA59,0,0,0,0,0,3,7,0,3,11,0,0,4,3,10,7,12,3,0,46,4,62,79,88,61,35,20,0,0,348,0,0,0,0,3,0,8,0,0,18,9,25,32,40,33,40,27,3,0,210,269,136,307,193,131,168,91,13,0,1296,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,0,10,6,35,61,122,136,24,3,399,28,50,72,68,56,40,35,10,0,371,0,0,4,9,16,33,53,10,0,130,0,0,0,0,0,0,0,0,3,11,0,4,9,14,31,54,65,8,3,198,0,0,6,12,22,44,68,24,4,185,0,0,0,7,7,7,13,3,3,33,3,4,3,9,17,20,35,10,0,103,14,104,149,157,133,86,36,9,6,688,0,0,0,0,10,8,19,0,0,40,21,49,59,72,71,89,70,6,0,430,528,305,612,469,315,334,212,26,4,2794
RA61,16,37,59,109,169,297,445,489,275,1910,37,21,48,122,366,818,1222,1016,327,3978,847,4087,4813,4150,3952,3141,2063,963,595,24608,7,3,23,90,173,284,495,531,387,1991,1078,1407,2014,2272,2704,2890,2597,1596,1001,17552,22914,11935,17434,12794,11136,9497,6319,2514,719,95264,2184,1536,1642,1453,1387,1317,1158,833,441,11947,28479,19718,26840,22310,21859,21817,19414,11632,5148,177214,69,290,915,2042,4506,8239,11249,8079,3488,38874,4293,3948,4563,4453,4061,3816,3637,2029,663,31472,46,99,195,510,1094,2214,3489,2546,982,11184,5,3,13,19,43,123,472,1054,1213,2938,124,253,582,1016,2006,3524,4592,3070,997,16173,113,114,157,323,954,2379,4191,3960,2030,14220,42,72,106,192,316,555,906,923,458,3584,70,53,109,242,672,1481,2245,1873,619,7367,1783,6296,7529,6678,6535,5286,3490,1586,857,40039,8,19,39,137,318,620,1082,1104,658,3991,2793,2528,3184,3649,4566,5085,4545,2683,1515,30544,45962,26129,37198,26430,22452,18629,12011,4804,1235,194848
