RA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
RA34,0,0,..,26,7,31,0,31,..,12,0,12,0,12,..,8,0,10,0,10,..,0,4,7,0,7,..,9,0,9,0,9,..,0,0,0,0,0,..,12,0,18,0,18,..,0,0,0,0,0,..,10,0,10,0,10,..,9,0,9,0,9,..,4,4,10,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,29,0,28,0,28,..,16,3,16,0,16,..,40,0,41,0,41,..,3,5,11,0,11,..,91,4,93,0,93,..,27,0,32,0,32,..,3,0,3,0,3,..,24,6,27,0,29,..,0,0,0,0,0,..,19,48,70,0,71,..,4342,632,4969,131,5105,..,4802,729,5533,148,5673,..,166,35,194,2630,2826,17228,4965,761,5727,2774,25733,35146,..,..,..,..,35146,..,70,0,65,0,65,..,13,0,10,0,10,..,7737,1343,9080,281,9366,..,10,10,16,0,16,..,55,12,67,0,67
RA35,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,24,24,0,3,0,3,24,28,32,..,..,..,..,32,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
RA39,0,0,..,21,6,27,0,27,..,31,0,31,0,31,..,8,0,8,0,8,..,0,0,0,0,0,..,6,4,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,14,0,14,0,14,..,7,0,7,0,7,..,4,3,4,0,4,..,0,0,0,0,0,..,7,0,6,0,6,..,8,3,13,0,13,..,6,0,6,0,6,..,10,0,10,0,8,..,33,0,34,0,37,..,82,0,82,0,82,..,0,0,0,0,0,..,8,3,14,0,14,..,0,0,0,0,0,..,12,3,20,0,20,..,125,20,143,4,145,..,548,78,623,7,630,..,27,0,29,1383,1411,4768,571,74,653,1392,6807,9972,..,..,..,..,9972,..,11,0,16,0,16,..,24,0,27,0,23,..,40,0,47,0,47,..,15,3,19,0,19,..,82,38,119,0,119
RA40,13,846,..,24468,2834,27300,248,27550,..,10150,1876,12028,104,12127,..,1121,88,1210,9,1212,..,1504,841,2343,14,2352,..,1535,362,1899,9,1911,..,256,38,294,5,295,..,2166,129,2297,18,2318,..,2025,565,2597,17,2612,..,2360,347,2709,21,2725,..,1209,99,1309,14,1313,..,1612,284,1898,14,1902,..,87,6,86,0,91,..,1702,418,2119,10,2126,..,2267,58,2325,14,2341,..,851,71,919,3,920,..,3152,104,3259,19,3271,..,989,55,1040,12,1053,..,7259,281,7540,53,7589,..,3200,363,3561,25,3587,..,1412,78,1485,13,1495,..,1151,257,1406,5,1412,..,328,40,370,0,374,..,7559,3781,11337,60,11393,..,17491,4677,22167,395,22557,..,125955,24843,150795,1364,152158,..,2690,538,3227,21579,24806,508626,128641,25381,154023,22943,685593,998854,..,..,..,..,998854,..,2148,31,2181,13,2197,..,9169,1493,10664,92,10753,..,956,44,998,12,1011,..,7967,1906,9869,74,9940,..,24544,6162,30705,282,30984
RA41,0,5,..,151,12,164,3,167,..,239,19,258,4,263,..,65,4,66,0,68,..,34,17,45,0,45,..,22,3,24,0,24,..,5,5,8,0,8,..,11,3,15,0,14,..,8,0,11,0,11,..,67,8,74,0,75,..,24,4,28,0,28,..,58,3,61,0,61,..,6,0,6,0,6,..,20,0,24,0,24,..,178,11,190,0,194,..,22,5,27,0,27,..,244,16,260,0,260,..,68,4,72,0,72,..,523,35,550,0,556,..,81,5,80,0,80,..,13,0,13,0,13,..,91,11,102,0,110,..,19,10,23,0,23,..,129,79,205,0,205,..,629,74,707,20,730,..,3144,440,3588,40,3630,..,195,0,198,4146,4347,80364,3338,445,3785,4193,88342,159066,..,..,..,..,159066,..,187,3,196,3,196,..,79,9,85,0,86,..,177,6,182,5,185,..,58,15,77,0,77,..,298,180,479,8,485
RA42,0,19,..,655,109,768,9,780,..,333,50,381,5,388,..,31,4,28,0,35,..,21,18,39,0,39,..,22,3,28,0,29,..,8,4,12,0,12,..,44,0,44,0,44,..,19,0,19,0,19,..,39,4,47,4,48,..,20,7,21,0,21,..,23,0,27,0,29,..,0,0,0,0,0,..,16,0,18,0,18,..,259,13,275,0,275,..,47,7,59,0,59,..,230,5,236,5,240,..,178,40,211,4,217,..,713,64,774,3,783,..,89,14,106,0,108,..,56,0,56,0,59,..,107,23,128,0,132,..,28,11,43,0,43,..,122,41,163,0,163,..,1029,288,1321,35,1360,..,4618,890,5508,89,5592,..,297,31,329,6248,6573,87470,4916,919,5836,6335,99636,175168,..,..,..,..,175168,..,369,8,379,3,382,..,132,12,142,8,147,..,490,20,509,11,523,..,84,23,100,3,104,..,382,154,536,15,548
RA43,0,0,..,76,3,77,0,76,..,32,4,42,0,42,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,15,5,17,0,19,..,6,0,6,0,6,..,0,0,0,0,0,..,7,0,7,0,7,..,43,0,43,0,42,..,16,0,19,0,19,..,79,0,79,0,79,..,14,0,17,0,17,..,158,0,159,0,163,..,24,3,29,0,29,..,0,0,0,0,0,..,31,13,38,0,38,..,0,0,0,0,0,..,16,0,18,0,18,..,127,15,144,8,148,..,759,63,822,12,836,..,55,3,63,1439,1497,18910,813,69,877,1449,21242,38434,..,..,..,..,38434,..,114,3,120,0,116,..,27,0,27,0,27,..,95,5,94,0,100,..,15,3,19,0,22,..,56,13,75,0,79
RA44,0,0,..,51,5,58,0,62,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0,0,0,..,7,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,5,0,5,..,14,0,14,0,14,..,5,0,3,0,3,..,12,0,12,0,12,..,4,0,4,0,4,..,37,0,37,0,37,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,1185,128,1313,78,1396,..,1430,145,1570,96,1668,..,57,10,59,551,611,4326,1485,151,1637,643,6607,9163,..,..,..,..,9163,..,7,0,7,0,7,..,0,0,0,0,0,..,2176,249,2429,166,2592,..,5,0,5,0,5,..,20,0,22,0,24
RA45,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
RA49,0,0,..,10,0,10,0,10,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,43,6,50,6,53,..,142,13,153,6,167,..,11,0,8,297,306,1034,155,11,167,301,1506,2261,..,..,..,..,2261,..,4,0,4,0,4,..,15,10,23,0,21,..,28,0,26,10,39,..,18,4,19,0,19,..,19,4,23,0,23
RA50,6,1298,..,28271,2687,30953,318,31274,..,10795,1367,12165,97,12261,..,2901,449,3347,21,3372,..,609,263,872,6,880,..,2570,887,3455,23,3477,..,2486,425,2905,18,2923,..,4118,265,4379,44,4421,..,3082,545,3627,24,3653,..,2666,277,2944,19,2965,..,3686,424,4108,39,4149,..,1931,226,2155,11,2166,..,341,17,358,0,361,..,2356,404,2762,10,2771,..,5393,162,5552,41,5592,..,5959,618,6576,59,6636,..,7730,294,8024,41,8063,..,4083,307,4390,35,4421,..,23167,1376,24538,174,24712,..,5714,565,6277,64,6338,..,3825,319,4147,36,4181,..,3830,704,4537,25,4560,..,718,213,936,7,942,..,7848,3844,11690,78,11770,..,32556,5408,37965,671,38636,..,198867,31134,230010,2242,232246,..,5198,783,5977,41046,47024,779296,204065,31916,235983,43285,1058569,1542535,..,..,..,..,1542535,..,11498,166,11665,67,11733,..,13318,2054,15371,110,15482,..,1863,48,1912,26,1938,..,15262,3750,19009,151,19158,..,38495,10583,49075,486,49562
RA51,0,14,..,402,46,449,3,455,..,621,60,687,17,699,..,124,14,136,0,133,..,18,4,16,0,16,..,87,28,115,0,115,..,21,0,21,0,21,..,119,17,132,0,137,..,20,7,26,0,26,..,124,7,131,0,131,..,106,8,110,0,117,..,76,11,92,0,92,..,4,0,6,0,6,..,24,6,26,0,31,..,373,18,394,8,399,..,157,10,168,4,173,..,458,18,480,3,486,..,213,10,228,3,230,..,1209,59,1266,16,1288,..,217,3,224,3,223,..,48,5,46,0,46,..,248,48,291,4,297,..,3,0,3,0,3,..,128,76,204,5,207,..,1210,133,1344,35,1378,..,6875,723,7596,112,7709,..,336,28,362,6429,6794,100641,7209,750,7957,6540,115138,198858,..,..,..,..,198858,..,1250,17,1261,6,1272,..,214,27,243,3,244,..,300,7,307,6,313,..,158,46,203,5,203,..,655,250,902,8,911
RA52,0,23,..,369,44,414,4,416,..,285,23,313,9,318,..,44,3,47,0,47,..,13,0,17,0,17,..,24,7,36,0,37,..,40,9,39,0,39,..,139,6,147,3,150,..,31,4,38,0,38,..,62,9,68,0,67,..,60,8,66,3,67,..,39,6,40,0,40,..,37,0,39,0,39,..,14,0,14,0,14,..,462,17,484,6,491,..,154,9,167,0,169,..,533,18,556,6,560,..,328,78,404,10,414,..,1483,125,1605,18,1627,..,98,4,108,0,108,..,44,0,44,0,44,..,266,57,324,0,327,..,10,0,10,0,10,..,141,60,199,0,204,..,1402,232,1630,28,1660,..,6078,742,6824,82,6899,..,345,46,392,7588,7978,76310,6421,791,7214,7672,91191,153328,..,..,..,..,153328,..,1079,22,1096,7,1098,..,105,13,123,0,125,..,473,17,490,10,497,..,101,36,135,0,137,..,473,156,631,3,637
RA53,0,18,..,296,30,326,3,331,..,82,5,89,0,89,..,34,7,38,0,38,..,7,3,9,0,9,..,28,5,32,0,32,..,16,0,12,0,12,..,33,6,37,0,37,..,9,0,11,0,11,..,20,0,20,0,24,..,42,0,48,0,48,..,20,0,19,0,19,..,13,0,13,0,13,..,13,0,12,0,12,..,271,7,284,0,284,..,88,3,96,0,92,..,318,11,332,9,338,..,174,15,195,0,195,..,856,45,901,6,906,..,131,6,143,0,145,..,28,4,30,0,30,..,231,35,265,0,269,..,4,3,15,0,15,..,70,7,79,0,79,..,1121,54,1172,22,1195,..,3871,273,4144,51,4198,..,278,24,301,5280,5587,32220,4151,306,4455,5333,42002,66881,..,..,..,..,66881,..,428,7,434,0,438,..,68,0,65,3,68,..,1213,41,1249,18,1267,..,112,15,126,0,131,..,282,52,335,6,337
RA54,0,3,..,82,7,89,3,86,..,63,3,64,0,64,..,15,7,25,0,25,..,6,3,5,0,5,..,17,3,16,0,16,..,3,0,5,0,5,..,29,0,29,0,29,..,11,0,8,0,8,..,14,0,13,0,13,..,54,8,59,0,57,..,9,0,8,0,8,..,8,0,8,0,8,..,6,0,6,0,6,..,91,0,95,4,96,..,49,3,56,0,56,..,106,4,110,5,107,..,42,11,48,0,48,..,285,15,304,3,312,..,105,5,109,0,113,..,11,0,11,0,11,..,109,30,139,4,141,..,5,0,5,0,5,..,65,43,115,0,115,..,3834,278,4109,100,4209,..,5253,448,5699,129,5827,..,197,89,287,4137,4419,16555,5446,536,5983,4265,26800,36859,..,..,..,..,36859,..,159,0,166,0,162,..,53,7,60,3,64,..,6696,558,7250,194,7446,..,37,6,51,0,51,..,229,38,268,4,269
RA55,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,19,25,29,7,0,7,19,58,232,..,..,..,..,232,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
RA59,0,0,..,8,0,9,0,3,..,13,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,20,0,20,..,29,0,29,0,29,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,48,10,53,3,59,..,215,26,236,7,244,..,30,0,25,1247,1280,1896,241,28,263,1253,3416,4079,..,..,..,..,4079,..,23,0,23,0,23,..,15,4,21,0,21,..,21,3,23,0,24,..,8,0,8,0,8,..,19,8,29,0,29
RA61,0,69,..,5211,674,5881,60,5942,..,379,35,415,3,414,..,238,16,255,0,254,..,34,0,34,0,34,..,255,53,307,0,307,..,11,0,16,0,16,..,255,17,271,0,275,..,172,53,222,7,224,..,250,32,284,0,286,..,214,7,220,0,220,..,144,5,150,3,156,..,8,0,8,0,8,..,55,3,62,6,63,..,274,5,283,3,290,..,168,8,174,5,181,..,375,13,389,4,391,..,138,5,137,0,137,..,953,28,986,14,996,..,593,44,637,8,643,..,172,12,182,0,182,..,267,39,310,3,314,..,32,3,38,0,38,..,628,95,724,6,732,..,1974,473,2446,80,2528,..,18046,2276,20327,253,20580,..,548,87,636,6969,7604,149032,18598,2365,20963,7222,177214,288897,..,..,..,..,288897,..,434,9,439,0,440,..,725,102,822,10,840,..,131,4,130,0,130,..,1183,182,1364,11,1375,..,6512,833,7346,60,7408
RA62,0,10,..,563,38,609,6,610,..,44,0,44,0,48,..,72,3,78,5,79,..,10,0,10,0,10,..,38,5,42,0,42,..,0,0,0,0,0,..,36,7,39,0,41,..,11,0,11,0,11,..,56,0,57,0,57,..,23,0,28,0,28,..,48,8,58,0,58,..,10,0,10,0,12,..,8,0,7,0,7,..,109,0,109,3,109,..,45,5,46,0,45,..,146,4,152,0,148,..,88,5,95,0,97,..,386,13,394,5,398,..,149,13,158,0,161,..,28,0,28,0,28,..,99,27,121,0,121,..,6,3,7,0,7,..,63,22,83,0,83,..,675,69,743,17,763,..,3318,317,3624,52,3681,..,214,11,221,5513,5734,91313,3522,320,3850,5566,100727,180745,..,..,..,..,180745,..,173,4,175,0,175,..,109,23,129,0,133,..,46,0,44,0,44,..,119,25,150,0,148,..,556,111,667,5,674
RA63,0,0,..,71,0,72,0,72,..,0,0,0,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,3,3,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,7,0,7,0,7,..,6,0,6,0,6,..,8,0,8,0,8,..,3,0,4,0,4,..,22,0,22,0,22,..,12,0,12,0,12,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,9,..,33,0,32,0,32,..,239,7,248,7,256,..,10,0,10,389,398,3376,250,7,256,394,4026,7061,..,..,..,..,7061,..,13,0,13,0,13,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,40,4,44,0,41
RA64,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,60,4,64,0,64,..,4,0,4,112,118,1035,68,4,65,112,1219,2181,..,..,..,..,2181,..,14,0,19,0,19,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0
RA65,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,11,..,..,..,..,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
RA69,0,0,..,4,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,10,0,15,..,37,3,37,0,41,..,0,0,0,115,122,459,35,3,44,118,616,978,..,..,..,..,978,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,3,0,3,0,3
RA72,0,67,..,3068,188,3255,29,3289,..,241,11,262,8,267,..,92,6,93,0,94,..,85,36,122,0,122,..,126,31,159,0,159,..,8,0,8,0,8,..,481,37,516,0,516,..,25,5,28,0,31,..,46,0,50,0,53,..,265,33,294,3,299,..,65,0,71,0,71,..,23,0,22,0,22,..,20,0,20,0,20,..,970,44,1010,3,1021,..,604,92,689,7,700,..,1388,46,1436,17,1451,..,473,49,524,0,523,..,3436,231,3660,35,3694,..,268,15,282,0,286,..,210,22,233,0,241,..,495,129,618,5,622,..,13,0,13,0,13,..,556,191,745,0,744,..,2235,285,2523,66,2591,..,15294,1859,17149,189,17339,..,426,74,503,5467,5967,45853,15716,1935,17655,5660,69161,93277,..,..,..,..,93277,..,205,3,211,5,212,..,242,20,265,4,265,..,1244,102,1350,41,1391,..,551,149,695,4,705,..,1719,364,2082,14,2095
RA73,0,10,..,565,49,618,9,629,..,46,5,51,4,56,..,29,0,29,0,29,..,12,8,17,0,17,..,27,0,34,0,34,..,0,0,0,0,0,..,221,21,242,4,244,..,10,0,10,0,10,..,4,0,4,0,4,..,26,4,30,0,30,..,14,0,14,0,14,..,41,8,44,0,45,..,0,0,0,0,0,..,138,12,140,0,140,..,39,0,40,0,39,..,225,6,235,0,235,..,54,0,60,0,60,..,457,19,478,3,476,..,78,0,78,0,78,..,14,0,13,0,13,..,65,10,75,0,75,..,9,0,9,0,9,..,75,41,111,0,111,..,4054,503,4551,104,4664,..,6326,730,7054,135,7190,..,213,37,244,2030,2276,13888,6534,763,7297,2170,23355,28042,..,..,..,..,28042,..,82,0,84,0,84,..,126,6,132,3,134,..,6742,886,7627,180,7811,..,62,17,80,0,80,..,294,51,342,0,345
