RA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA34,..,116,115,28,34,59,30,10,0,404,..,152,236,182,263,463,413,281,147,2133,150,192,121,79,94,107,81,35,5,873,5045,2702,3266,2765,2707,2674,1614,748,240,21770,..,80,1352,2035,2262,2610,1687,668,113,10798,..,902,2141,1420,1147,667,258,48,4,6588,..,193,569,577,502,302,165,96,37,2434,10042,..,..,..,..,..,..,..,..,10042,..,877,..,..,..,..,..,..,..,877,..,1620,660,236,149,58,7,0,0,2732,..,621,310,138,217,308,203,96,34,1927,..,205,150,49,52,39,24,5,3,529,..,241,242,65,90,140,90,23,4,898,..,298,540,466,703,1055,949,553,199,4764,322,387,272,182,202,219,161,67,7,1812,10365,5427,6228,5162,5332,5399,3541,1562,400,43416
RA35,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,3,0,3,0,0,0,0,8
RA39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,279,336,400,232,260,279,208,47,11,2061,279,336,400,232,260,279,208,47,11,2061,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,577,622,862,586,530,573,490,131,21,4393,577,622,862,586,530,573,490,131,21,4393
RA40,..,5993,6532,1593,1501,1841,1322,409,105,19289,..,2333,7011,6182,8031,14823,18644,16031,9198,82251,1350,2206,1887,1019,909,1059,912,461,248,10062,108149,75624,90606,87618,82341,79990,68025,39724,15233,647304,..,2370,57658,99955,91733,88051,77533,41073,8941,467309,..,10597,40326,22647,17158,12369,6078,1677,243,111099,..,1196,7010,14675,18304,11212,4869,3120,2179,62570,219577,..,..,..,..,..,..,..,..,219577,..,66875,..,..,..,..,..,..,..,66875,..,40119,26269,7778,5298,3015,511,17,0,83011,..,7384,6047,2042,2218,4053,3911,2287,1404,29346,..,5007,5751,1732,1041,803,393,80,25,14838,..,12801,16699,4683,3841,4081,2808,881,192,45988,..,4599,15501,15015,19062,27569,29523,22232,12434,145937,2783,4168,4077,2435,2071,1962,1550,749,346,20138,222358,155133,179336,170958,160721,153115,127183,72123,25760,1266691
RA41,..,176,238,118,193,325,227,103,8,1396,..,183,398,378,832,1964,2564,2197,1060,9578,219,375,170,92,169,264,215,104,27,1638,13183,7969,7662,8918,10911,12621,11941,6518,1933,81664,..,250,5078,9762,12335,14781,15470,8095,1436,67213,..,1223,3858,2822,2978,2685,1486,391,55,15495,..,136,849,1542,1894,1055,486,326,254,6545,26747,..,..,..,..,..,..,..,..,26747,..,6887,..,..,..,..,..,..,..,6887,..,5474,2455,832,594,324,79,4,0,9762,..,542,285,130,223,426,447,362,184,2594,..,396,320,172,139,139,79,18,7,1275,..,368,587,320,407,647,465,222,31,3050,..,383,1035,1153,2210,4068,4573,3357,1536,18321,415,687,438,301,362,490,417,181,50,3345,27163,16345,14914,17032,21150,24617,23492,12957,3554,161226
RA42,..,344,401,126,229,322,216,78,15,1723,..,513,854,586,1325,2432,2911,2879,1439,12938,264,398,251,177,221,339,301,166,56,2172,15440,8736,9832,9930,11648,13449,12047,7078,2265,90421,..,333,5751,10022,12066,15354,15256,7696,1382,67858,..,2182,5530,3128,2966,2597,1283,359,37,18085,..,328,1464,2075,2288,1122,571,421,256,8516,31149,..,..,..,..,..,..,..,..,31149,..,6064,..,..,..,..,..,..,..,6064,..,5809,2132,878,710,393,72,3,0,9994,..,817,422,206,287,501,454,276,151,3115,..,425,386,153,147,114,57,17,4,1294,..,785,1002,418,559,675,509,149,42,4140,..,1042,2232,1827,3399,5558,5697,4297,2060,26111,543,790,582,466,482,631,622,293,85,4490,31687,18567,19493,19168,22910,26945,24516,13501,4028,180813
RA43,..,94,101,40,40,66,42,14,5,396,..,121,174,124,247,494,581,458,267,2463,59,86,60,34,71,93,97,40,8,558,3548,1652,2231,2220,2410,2739,2356,1281,425,18867,..,59,1481,2438,2601,3087,2939,1554,295,14450,..,482,1292,782,674,590,314,58,5,4200,..,49,240,336,390,204,95,69,45,1425,7181,..,..,..,..,..,..,..,..,7181,..,1126,..,..,..,..,..,..,..,1126,..,912,324,156,103,62,8,0,0,1570,..,160,91,34,36,60,71,43,24,514,..,101,76,28,32,23,7,0,4,270,..,197,249,106,101,156,76,33,4,918,..,253,476,395,680,1192,1133,772,389,5290,139,177,148,100,153,201,199,83,21,1221,7324,3507,4372,4376,4770,5574,4843,2615,788,38167
RA44,..,23,29,6,12,12,16,10,0,110,..,36,72,43,75,126,137,92,49,631,30,38,37,20,22,30,21,6,0,210,1215,636,845,706,756,745,569,234,76,5774,..,89,489,679,655,721,668,259,55,3617,..,151,442,251,300,225,78,15,0,1468,..,33,92,120,128,76,43,20,3,521,2300,..,..,..,..,..,..,..,..,2300,..,264,..,..,..,..,..,..,..,264,..,336,147,55,43,16,3,0,0,596,..,195,110,71,65,80,35,21,5,589,..,26,22,6,9,15,0,0,0,80,..,44,64,23,29,49,36,15,5,259,..,86,159,124,228,391,353,211,75,1614,68,68,78,47,47,67,54,20,5,460,2372,1306,1596,1374,1500,1639,1264,562,153,11772
RA45,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,73,87,111,77,50,64,42,9,4,522,73,87,111,77,50,64,42,9,4,522,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,172,248,184,159,152,96,16,6,1189,154,172,248,184,159,152,96,16,6,1189
