RA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA50,..,7357,9207,2477,2091,2361,1618,602,127,25835,..,3906,11794,9325,10576,18320,23221,18750,9884,105770,2126,3184,2626,1461,1367,1681,1520,809,379,15140,185618,116270,143296,145929,130110,114122,91224,49160,17742,993474,..,3420,90443,171484,155682,134754,108645,52926,10994,728348,..,17410,68001,38154,25660,16770,7619,2172,333,176118,..,1772,10757,20944,24830,14354,6308,3737,2470,85173,377269,..,..,..,..,..,..,..,..,377269,..,104026,..,..,..,..,..,..,..,104026,..,62934,34482,10215,6305,3322,705,20,0,117982,..,11600,9019,3255,3279,5734,6114,3693,2143,44844,..,5968,7572,2733,1688,1142,553,181,41,19887,..,15417,23146,7078,5303,5212,3542,1305,279,61274,..,7594,25873,23445,24641,33898,36991,26719,13368,192527,4293,5822,5454,3539,2905,2909,2518,1313,528,29284,381563,235964,274748,280842,250300,218096,172995,92066,30157,1936737
RA51,..,360,510,188,273,353,248,80,14,2029,..,292,585,626,1270,2312,2721,2170,1095,11068,301,431,333,225,232,380,329,143,65,2444,19555,10347,11139,13828,14902,14719,12172,6153,1968,104774,..,307,6782,14351,16337,17054,15335,7181,1262,78608,..,2094,5902,4232,3799,2970,1426,366,42,20833,..,234,1298,2569,2648,1156,606,396,236,9137,39944,..,..,..,..,..,..,..,..,39944,..,8062,..,..,..,..,..,..,..,8062,..,7007,2379,965,671,348,79,5,0,11452,..,821,467,218,268,542,622,376,227,3542,..,637,627,283,214,168,104,33,15,2075,..,750,1200,514,622,749,541,183,36,4589,..,627,1592,1747,2878,4373,4815,3238,1502,20776,654,818,692,530,508,700,624,256,95,4883,40591,21361,20942,25406,27942,28066,24144,12028,3413,203902
RA52,..,355,350,122,190,285,176,82,7,1565,..,447,722,529,1094,1932,2214,1806,913,9653,290,345,239,181,265,420,359,169,55,2308,15082,7978,9071,9970,10862,11497,9241,4956,1571,80226,..,322,5634,10170,11511,12950,11177,5434,1071,58272,..,2245,5146,3322,2981,2487,1135,312,45,17673,..,227,1054,1824,1820,976,471,348,205,6937,30453,..,..,..,..,..,..,..,..,30453,..,5055,..,..,..,..,..,..,..,5055,..,4917,1729,748,562,300,61,4,0,8323,..,863,426,223,288,467,478,288,155,3183,..,472,375,175,146,127,66,25,0,1374,..,780,940,393,448,586,380,167,21,3719,..,983,1803,1559,2715,4226,4333,2878,1311,19808,578,691,536,427,577,737,709,309,91,4657,31025,16550,17640,18832,21049,22854,18805,9767,2907,159437
RA53,..,148,283,110,111,93,55,22,5,817,..,223,462,274,423,641,530,374,148,3076,183,168,196,123,130,162,126,34,21,1141,8166,3278,5649,5619,4601,3913,2355,1070,297,34948,..,122,3361,6193,5116,4470,2837,1163,221,23476,..,1051,3557,2341,1613,1024,337,82,10,10010,..,105,464,761,615,325,156,85,45,2558,16414,..,..,..,..,..,..,..,..,16414,..,1869,..,..,..,..,..,..,..,1869,..,1873,589,229,167,60,4,0,0,2929,..,484,232,126,162,230,178,93,27,1525,..,215,279,95,77,60,15,12,6,766,..,303,611,277,256,240,133,39,11,1868,..,520,1143,908,1238,1659,1192,691,239,7590,368,357,386,269,296,334,236,73,35,2342,16780,6906,10629,11198,9541,8400,5102,2221,580,71359
RA54,..,97,201,47,52,58,34,14,4,496,..,139,319,211,287,393,296,137,36,1831,122,112,148,93,98,104,39,16,3,733,4756,2433,3521,3025,2588,2234,1194,464,103,20316,..,250,1803,2586,2220,2012,1129,430,42,10468,..,686,1991,1320,978,691,261,59,8,5984,..,150,480,566,496,279,156,73,30,2226,9561,..,..,..,..,..,..,..,..,9561,..,809,..,..,..,..,..,..,..,809,..,1411,449,230,120,53,4,0,0,2257,..,700,351,252,258,281,168,72,36,2115,..,120,132,55,44,40,27,10,0,425,..,180,384,123,140,152,80,25,4,1092,..,258,696,583,816,981,792,306,66,4490,254,222,280,229,222,217,105,31,0,1557,9817,4786,6560,5935,5291,4695,2721,1005,188,40997
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
RA59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,121,119,168,141,96,101,60,11,3,825,121,119,168,141,96,101,60,11,3,825,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,218,270,367,321,228,208,122,30,6,1775,218,270,367,321,228,208,122,30,6,1775
RA61,..,1538,2504,468,386,496,378,145,40,5962,..,577,1749,1533,2192,4129,5377,4460,2224,22239,373,680,546,273,276,354,328,164,75,3061,27270,18226,25307,21163,20761,20483,17939,10459,3604,165225,..,677,14905,21218,21115,21594,19749,10276,2000,111537,..,3424,12189,7131,5409,3862,1861,543,69,34483,..,508,2488,4213,4687,2578,1140,779,440,16838,55311,..,..,..,..,..,..,..,..,55311,..,13951,..,..,..,..,..,..,..,13951,..,9932,4990,1732,1281,655,114,3,0,18705,..,1589,1345,432,504,945,940,568,307,6634,..,1606,3476,666,246,190,118,43,17,6369,..,3067,6137,1248,891,1022,765,291,81,13507,..,1095,3794,3458,4698,7384,8240,6191,3029,37891,741,1250,1216,656,609,647,565,275,106,6068,56052,37099,50538,40765,39445,38880,33496,18978,6047,321299
RA62,..,246,312,136,218,349,313,102,17,1700,..,292,659,535,1294,2654,3220,2592,1162,12409,291,434,261,179,216,358,318,135,39,2238,14940,8887,9881,10297,12392,14845,12888,6685,1935,92752,..,391,5754,9833,12491,16521,15757,7534,1226,69508,..,1904,5553,3839,3789,3250,1664,401,40,20433,..,303,1425,2213,2253,1232,626,480,251,8797,30052,..,..,..,..,..,..,..,..,30052,..,6517,..,..,..,..,..,..,..,6517,..,6116,2531,977,811,404,75,0,0,10912,..,674,329,189,312,589,509,360,162,3125,..,567,561,192,152,134,83,30,9,1732,..,504,942,322,483,721,644,239,54,3909,..,593,1588,1542,3008,5384,5975,3989,1647,23722,563,846,627,432,463,666,626,238,56,4512,30611,18418,19327,19538,23763,28903,25957,13274,3438,183229
RA63,..,12,13,6,8,32,10,0,0,89,..,11,46,38,51,118,135,95,34,535,8,13,17,10,16,32,25,3,0,124,497,222,426,362,413,651,542,237,54,3406,..,14,239,316,390,650,662,263,32,2570,..,66,225,175,153,155,76,15,0,869,..,12,59,43,70,40,26,19,12,282,979,..,..,..,..,..,..,..,..,979,..,115,..,..,..,..,..,..,..,115,..,148,71,31,35,14,3,0,0,296,..,21,16,8,12,20,10,13,0,96,..,14,33,8,3,4,0,3,0,70,..,28,49,21,33,49,31,10,0,210,..,38,113,109,188,339,336,174,59,1356,17,27,39,32,27,69,52,25,0,294,997,489,838,742,903,1329,1206,521,114,7137
RA64,..,0,5,0,0,5,0,0,0,13,..,4,9,10,16,41,36,33,21,173,3,0,4,0,3,7,10,0,0,31,164,55,106,128,119,177,178,89,25,1039,..,8,51,116,107,162,222,102,11,779,..,31,77,70,59,49,34,11,0,333,..,0,6,27,6,17,11,7,0,70,328,..,..,..,..,..,..,..,..,328,..,29,..,..,..,..,..,..,..,29,..,30,25,11,10,4,0,0,0,69,..,9,3,0,4,6,4,0,0,24,..,0,4,0,0,0,0,0,0,7,..,11,15,6,9,9,8,0,0,52,..,9,20,41,44,93,92,71,24,395,9,5,14,3,11,12,17,9,0,76,346,120,221,261,255,355,380,203,39,2175
RA65,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,30,51,35,43,21,33,9,6,0,220,30,51,35,43,21,33,9,6,0,220,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,69,109,98,89,75,63,25,17,0,530,69,109,98,89,75,63,25,17,0,530
RA72,..,511,1178,311,226,237,130,41,9,2637,..,275,838,675,790,1067,1029,569,143,5384,177,228,250,146,140,153,95,39,7,1243,12726,6915,11651,10151,8156,6427,4085,1591,347,62052,..,373,7278,10609,8606,6643,4243,1508,182,39443,..,1671,5447,3407,2403,1524,597,123,8,15182,..,189,873,1522,1491,838,409,194,88,5611,25638,..,..,..,..,..,..,..,..,25638,..,4655,..,..,..,..,..,..,..,4655,..,3667,1685,630,322,135,13,0,0,6458,..,823,738,234,330,525,537,277,109,3577,..,626,1181,327,209,179,83,19,4,2634,..,1132,2528,737,583,553,340,102,13,5989,..,601,1808,1481,1819,2214,1987,925,220,11056,378,411,508,321,291,283,176,62,12,2436,26012,14148,22050,19272,16057,12899,8387,3219,639,122688
RA73,..,135,335,103,95,96,47,23,3,827,..,68,298,211,305,436,311,127,51,1807,68,83,123,67,79,79,46,11,6,566,4318,2303,3849,3059,2715,2306,1262,421,96,20340,..,226,2115,2779,2223,2138,1182,355,35,11057,..,500,1784,1175,951,579,221,35,8,5245,..,124,415,547,514,280,154,64,17,2120,8885,..,..,..,..,..,..,..,..,8885,..,1106,..,..,..,..,..,..,..,1106,..,1450,609,218,111,24,0,0,0,2419,..,554,352,235,245,275,202,84,20,1967,..,147,308,94,71,51,19,10,0,706,..,265,659,241,205,197,103,39,0,1709,..,172,640,504,671,894,676,245,69,3880,160,183,242,138,132,134,97,27,9,1114,9040,4727,7131,5938,5127,4562,2648,862,161,40197
RA74,..,31,60,28,20,30,12,10,0,192,..,72,203,107,158,204,96,26,4,869,128,108,133,79,76,63,24,0,0,618,4617,3216,3445,2746,2208,1525,705,181,29,18670,..,1014,2540,2593,1943,1191,527,106,16,9925,..,342,907,640,479,239,66,15,0,2689,..,207,566,562,434,314,178,69,9,2347,9432,..,..,..,..,..,..,..,..,9432,..,849,..,..,..,..,..,..,..,849,..,2258,940,333,158,41,3,0,0,3731,..,1343,737,584,594,544,314,93,27,4249,..,110,61,39,30,24,7,3,0,281,..,59,124,58,65,57,21,14,0,402,..,140,423,280,369,389,215,57,9,1870,261,220,245,158,143,111,48,8,0,1189,9686,6540,6533,5258,4218,2904,1389,362,65,36956
RA75,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
RA79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,15,32,50,28,35,26,10,0,0,201,15,32,50,28,35,26,10,0,0,201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,57,65,99,65,63,52,31,11,0,441,57,65,99,65,63,52,31,11,0,441
RA80,..,3495,3392,582,361,456,271,90,40,8685,..,1026,3758,2786,2855,4098,4798,3691,1762,24773,403,831,749,362,295,355,314,182,52,3544,38660,25906,36861,33493,27186,22237,17733,9594,3166,214833,..,955,24003,41070,32810,25836,20748,10140,2050,157609,..,4665,17560,8704,5808,3442,1558,421,57,42215,..,231,1771,4241,5250,2846,1146,707,438,16630,79021,..,..,..,..,..,..,..,..,79021,..,20556,..,..,..,..,..,..,..,20556,..,11288,6211,1884,1174,538,113,4,0,21207,..,2219,2280,679,596,1031,1107,757,353,9021,..,2097,3518,755,346,236,86,26,11,7076,..,6652,8270,1745,1011,987,558,180,65,19469,..,1924,7718,6036,5909,7097,7196,5040,2390,43310,813,1535,1515,854,656,655,545,278,85,6943,79831,52124,72846,65972,53552,42666,33059,17563,5450,423061
RA81,..,0,0,0,0,0,0,0,0,5,..,0,0,0,4,5,3,0,0,16,0,0,0,0,0,0,0,0,0,4,65,34,44,50,39,41,21,7,5,296,..,0,37,66,60,52,27,4,3,252,..,12,21,21,8,5,6,0,0,72,..,0,9,3,3,9,0,0,0,24,153,..,..,..,..,..,..,..,..,153,..,25,..,..,..,..,..,..,..,25,..,20,11,0,0,0,0,0,0,27,..,4,0,0,0,0,3,5,0,15,..,4,4,0,0,0,0,0,0,12,..,4,0,0,0,3,0,0,0,10,..,4,4,0,3,13,8,0,0,27,0,0,3,0,3,0,0,0,0,11,153,66,89,102,84,78,43,11,4,622
RA85,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,14,38,24,17,10,20,3,7,0,132,14,38,24,17,10,20,3,7,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,18,59,57,41,32,23,19,3,0,263,18,59,57,41,32,23,19,3,0,263
RA91,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,36,13,17,14,30,11,10,8,0,145,..,0,7,11,12,18,7,9,0,61,..,0,6,0,3,6,0,0,0,17,..,0,0,6,7,0,3,7,0,22,57,..,..,..,..,..,..,..,..,57,..,3,..,..,..,..,..,..,..,3,..,17,4,3,6,0,0,0,0,28,..,5,11,5,6,3,7,0,0,36,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,4,..,0,3,0,11,0,0,4,0,22,5,4,0,0,0,4,0,0,0,11,59,34,26,26,47,30,22,18,0,273
RA94,..,7,5,0,9,10,0,0,0,30,..,6,11,18,21,66,64,41,17,249,7,13,5,9,3,16,9,4,0,69,288,150,156,238,231,313,213,105,28,1715,..,15,126,250,241,322,254,103,18,1331,..,26,72,67,85,81,32,9,0,365,..,4,14,26,43,17,11,3,3,110,638,..,..,..,..,..,..,..,..,638,..,90,..,..,..,..,..,..,..,90,..,84,33,20,8,4,0,0,0,149,..,16,4,5,3,11,13,15,11,71,..,3,5,0,0,0,0,0,0,16,..,7,9,11,6,14,5,0,0,51,..,21,41,39,48,135,112,63,23,475,14,16,7,20,9,27,32,10,6,126,655,276,303,430,439,604,454,194,54,3417
RA95,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
