RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA10,66922,60721,127641,175870,163686,339555,47482,46740,94223,30734,29998,60733,254514,240819,495341,111708,106176,217882,48466,48719,97193,37932,37138,75069,198426,192321,390748,10847,11185,22032,13088,19271,32364,23100,12097,35193,26961,42909,69872,317,302,622,74318,85760,160077,79256,93890,173145,28642,34125,62773,11107,13066,24170,26753,41932,68684,389,393,783,146136,183411,329552,220880,269634,490511,12670,12352,25024,16226,22320,38549,348,305,651,29249,34974,64226,158147,152439,310583,928143,950912,1879052
RA11,16428,15225,31653,42763,39914,82682,12961,12828,25787,7643,7529,15166,63457,60329,123788,28847,27328,56170,11719,12273,23987,8385,8805,17195,48983,48461,97445,1940,2292,4226,1524,2964,4488,7401,4838,12242,6299,11664,17966,111,102,213,17274,21860,39132,4790,8982,13777,2376,4627,7004,1209,2313,3524,4544,10167,14716,53,73,120,12969,26165,39132,30282,48077,78357,1306,1265,2575,1939,3679,5622,72,69,136,3322,5013,8338,56808,51497,108302,219280,228609,447895
RA12,3709,3467,7174,10824,10006,20825,3341,3278,6617,956,916,1878,15139,14224,29368,7589,7422,15016,2355,2450,4806,1127,1255,2389,11087,11133,22224,334,340,673,229,483,709,1444,996,2439,1194,2578,3771,38,24,63,3235,4417,7651,562,1065,1632,225,589,813,183,430,613,617,1950,2569,5,13,20,1597,4044,5644,4840,8472,13313,244,272,515,325,721,1046,19,19,39,589,1009,1601,19549,17568,37122,54922,55884,110800
RA13,273,251,519,689,663,1357,332,343,675,23,18,36,1048,1019,2070,495,482,974,54,65,120,68,119,181,612,663,1272,12,16,33,16,33,47,63,57,113,49,170,221,0,0,0,139,275,417,38,89,123,12,34,40,7,24,34,34,138,170,0,0,0,87,286,374,229,563,792,7,3,10,9,45,52,0,0,0,15,51,69,2228,2120,4344,4393,4663,9059
RA14,81,47,123,185,149,335,70,78,146,16,14,22,266,239,507,102,109,207,13,26,44,19,15,32,135,146,283,3,5,7,7,4,8,20,5,31,9,43,54,0,0,0,45,54,98,9,13,18,5,10,8,0,9,10,4,35,36,0,0,3,18,61,76,61,115,178,9,6,16,4,17,25,0,0,0,10,26,39,582,576,1159,1140,1145,2283
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
RA20,57540,52642,110183,143685,133639,277323,39362,38446,77812,23682,24620,48300,207049,196976,404029,92861,85579,178442,34774,36132,70911,34559,35448,70004,162429,157374,319805,12412,10897,23302,12383,16658,29044,15302,7006,22313,20429,28887,49316,249,179,430,60773,63632,124403,69508,84093,153602,26891,33133,60024,8243,10035,18279,22011,36451,58464,307,338,638,126961,164047,291010,188048,227973,416022,11791,11319,23105,14804,21749,36551,284,275,565,26885,33343,60225,120402,114856,235266,762353,783169,1545531
RA21,12824,11714,24543,33266,30433,63698,12582,12473,25061,4216,4045,8260,50113,46999,97113,21102,20237,41345,11253,11608,22861,6465,6522,12986,38851,38399,77251,1680,2015,3690,1223,2438,3664,4878,2782,7657,4020,6768,10787,106,74,180,11903,14075,25981,4419,7694,12116,1780,3812,5588,761,1426,2194,3145,7638,10783,43,62,109,10154,20633,30784,22085,34754,56839,1308,1183,2491,1999,3408,5409,77,76,150,3390,4661,8049,41776,39015,80793,169040,175546,344590
RA22,2367,2286,4652,6752,6315,13064,1939,1969,3906,802,803,1600,9495,9091,18585,5236,5128,10369,1321,1457,2776,799,890,1687,7359,7478,14831,295,384,678,174,407,584,837,505,1345,673,1465,2148,18,20,31,1994,2789,4783,399,797,1200,199,529,731,88,221,306,405,1224,1630,6,17,24,1102,2787,3886,3103,5574,8673,268,249,512,383,733,1109,34,31,60,681,1002,1689,10799,10199,20998,33801,35625,69430
